鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
二林鎮,土地,段459-7地號,6509.0,,特定農業區,農牧用地,1130502,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10414400,1600,,0.0,0,,RPVNMLMJNHJGFGN86DA,0.0,0.0,0.0,無,
二林鎮,房地(土地+建物),彰化縣二林鎮大仁街２５號五樓之四,6.01,住,,,1130504,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,27.119999999999997,1,1,1,有,有,1530000,56416,,0.0,0,,RPQNMLTJNHJGFGN07DA,17.96,0.0,3.49,有,0001
彰化市,土地,線東段673-3地號,10.77,農,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,270000,25070,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJNHJGFAN98EA,0.0,0.0,0.0,無,0002
彰化市,土地,南興段160-1地號,17.9,都市：其他:綠園道用地,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,580000,32402,,0.0,0,包含公共設施保留地用地；,RPPNMLTJNHJGFAN09EA,0.0,0.0,0.0,無,
秀水鄉,土地,金興段491-10地號,182.01,,特定農業區,甲種建築用地,1130503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1650000,9065,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLTJNHJGFAN07DA,0.0,0.0,0.0,無,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿和路三段６２２巷２４號,84.35,,鄉村區,乙種建築用地,1130501,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0751124,162.29,4,3,3,有,無,892440,5499,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPVNMLNKNHJGFCN66DA,162.29,0.0,0.0,無,
芬園鄉,土地,清水段732地號,197.07,住,,,1130508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11920000,60486,,0.0,0,,RPUOMLNKNHJGFAN09DA,0.0,0.0,0.0,無,
線西鄉,土地,德興段522地號,108.11,,鄉村區,乙種建築用地,1130504,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,980700,9071,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLNKNHJGFBN68DA,0.0,0.0,0.0,無,0003
田尾鄉,土地,田豐段308-15地號,127.06,,鄉村區,乙種建築用地,1130507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1729350,13610,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOKNHJGFFN09DA,0.0,0.0,0.0,無,0004
