編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQLLHJGFBQ56CC,27,85.03,住家用,鋼筋混凝土造,85年11月23日,七層,,
RPQNMLTLLHJGFBQ96CC,31,242.23,住商用,鋼筋混凝土造,82年4月22日,四層,,
RPPNMLQLLHJGFBQ56CC,27,23.15,防空避難室、停車場,鋼筋混凝土造,85年11月23日,七層,,
RPPNMLQLLHJGFBQ56CC,27,14.13,樓梯間、電梯間,鋼筋混凝土造,85年11月23日,七層,,
RPPNMLTLLHJGFBQ86CC,42,115.88,住商用,鋼筋混凝土加強磚造,70年12月15日,二層,,
RPRNMLMLKHJGFBQ88CC,16,128.29,車庫、店舖、集合住宅,鋼筋混凝土造,96年9月10日,五層,,
RPPNMLQJLHJGFCQ09CC,3,29.54,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPPNMLLLLHJGFCQ78CC,27,22.81,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLLLLHJGFCQ78CC,27,9.67,共有部分,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLPJLHJGFCQ98CC,27,25.88,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLPJLHJGFCQ98CC,27,12.09,共有部分,鋼筋混凝土造,85年12月3日,五層,,
RPQNMLTJMHJGFBQ86CC,27,87.67,倉庫,鋼造,86年8月9日,一層,,
RPPNMLLJMHJGFCQ68CC,24,13.97,住家用,鋼筋混凝土造,89年7月6日,四層,,
RPPNMLKKMHJGFBQ58CC,12,224.81,住商用,鋼筋混凝土造,100年11月9日,四層,,
RPPNMLNJMHJGFBQ78CC,17,204.00,停車空間、店舖、集合住宅,鋼筋混凝土造,96年6月28日,四層,,
RPPNMLLKMHJGFBQ68CC,18,22.39,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLLKMHJGFBQ68CC,18,6.54,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLLKMHJGFBQ68CC,18,8.89,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLMJMHJGFBQ68CC,18,22.32,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLMJMHJGFBQ68CC,18,6.51,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLMJMHJGFBQ68CC,18,8.89,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLLLLHJGFEQ98CC,38,95.83,住家用,鋼筋混凝土加強磚造,75年3月13日,二層,,
RPPNMLQLLHJGFEQ86CC,28,294.14,住宅、停車場,鋼筋混凝土造,85年1月23日,四層,,
