鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉樹山路,29.3,,鄉村區,乙種建築用地,1130213,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.59,3,2,2,有,無,7970000,74772,一樓平面,0.0,0,,RPQNMLNLKHJGFCT56CB,好厝+,C棟3號,1130914全部解約
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮新義段7-10地號A5/2F,20.95,住,,,1130221,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.04,2,2,2,有,無,7700000,77871,坡道機械,9.0,1000000,,RPPNMLRLKHJGFDT96CB,NEW CITY,A5棟0號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市龍華路237巷龍華段1099地號,33.47,,鄉村區,乙種建築用地,1130224,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.31,3,2,2,有,無,7730000,65337,一樓平面,6.97,0,,RPPNMLTLKHJGFAT86CB,皇家大苑12期,B棟2號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉學文路8A6,32.64,住,,,1130222,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.76,3,2,2,有,無,13000000,87563,坡道平面,19.0,1200000,,RPPNMLTLKHJGFCT07CB,NEW BOSS,A棟6號,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮瑞星路,46.3,住,,,1130215,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.89,3,2,2,有,無,7890000,63793,一樓平面,13.75,800000,,RPPNMLTLKHJGFCT17DB,和嘉苑七期,E棟5號,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮瑞星路,46.3,住,,,1130220,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.89,3,2,2,有,無,8090000,65593,一樓平面,13.75,800000,,RPQNMLTLKHJGFCT27DB,和嘉苑七期,E棟5號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉復興路,28.53,,鄉村區,乙種建築用地,1130224,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.46,2,1,2,有,無,9090000,69843,一樓平面,15.92,1160000,,RPPNMLLJLHJGFAT58CB,幸福欣印象-豐收區,G3棟6號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉復興路,20.73,,鄉村區,乙種建築用地,1130219,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.36,1,1,2,有,無,7010000,70961,一樓平面,15.92,1160000,,RPQNMLLJLHJGFAT68CB,幸福欣印象-豐收區,F1棟5號,
東港鎮,房地(土地+建物),屏東縣東港鎮興東路,136.69,住,,,1130222,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.55,5,2,4,有,無,15880000,86990,,0.0,0,,RPPNMLLJLHJGFDT88CB,長居(七期),F棟1號,
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,26.87,,鄉村區,乙種建築用地,1130223,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.72,3,2,2,有,無,7500000,62154,坡道平面,13.75,1100000,,RPPNMLOJLHJGFAT88CB,萬丹印象,E棟3號,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮朝昇東路,40.51,住,,,1130304,土地2建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,111.92,3,2,2,有,無,8280000,73981,一樓平面,14.82,0,,RPPNMLOJLHJGFCT56DB,御潮苑,B1棟3樓號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉光明路292巷,29.09,住,,,1130301,土地2建物1車位1,二層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,106.37,3,2,2,有,無,7600000,66429,升降機械,5.51,900000,,RPPNMLPJLHJGFCT56CB,皇家欣天地3期 森鄰,D棟2號,
佳冬鄉,房地(土地+建物)+車位,屏東縣佳冬鄉忠愛街,41.51,住,,,1130224,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.05,3,2,2,有,無,6470000,55729,一樓平面,15.0,950000,,RPPNMLPJLHJGFFT96DB,佳冬寶,A棟1號,
佳冬鄉,房地(土地+建物),屏東縣佳冬鄉忠愛街,30.4,住,,,1130226,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.55,2,1,2,有,無,4500000,62026,,0.0,0,,RPQNMLPJLHJGFFT07DB,佳冬寶,A棟3號,
麟洛鄉,房地(土地+建物)+車位,屏東縣麟洛鄉成功路,25.71,住,,,1130214,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.01,2,2,2,有,無,6880000,67198,一樓平面,16.46,1400000,,RPPNMLRJLHJGFAT56CB,磬揚安安,A棟5號,
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉成功路,23.06,住,,,1130223,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.16,2,2,2,有,無,5150000,70394,,0.0,0,,RPQNMLRJLHJGFAT66CB,磬揚安安,A棟3號,
內埔鄉,房地(土地+建物),屏東縣內埔鄉光明路292巷,90.0,住,,,1130306,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,168.94,5,2,4,有,無,14220000,84172,,0.0,0,,RPQNMLRJLHJGFCT86CB,皇家欣天地3期 森鄰,A棟11號,
東港鎮,房地(土地+建物),屏東縣東港鎮興東路,136.99,住,,,1130304,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.81,5,2,4,有,無,15880000,86866,,0.0,0,,RPPNMLRJLHJGFDT86CB,長居(七期),E棟3號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉崑崙段60、62-3地號,36.82,,鄉村區,乙種建築用地,1130223,土地2建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.75,3,2,2,有,無,8500000,66132,一樓平面,17.12,1250000,,RPPNMLSJLHJGFAT66CB,良?一方,B棟5號,
長治鄉,房地(土地+建物),屏東縣長治鄉潭頭路,17.76,商,,,1130217,土地1建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.79,2,2,2,有,無,6130000,70630,,0.0,0,,RPPNMLKKLHJGFAT58CB,白上白,A棟1號,
長治鄉,房地(土地+建物),屏東縣長治鄉潭頭路,17.76,商,,,1130223,土地1建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.79,2,2,2,有,無,6500000,74893,,0.0,0,,RPQNMLKKLHJGFAT68CB,白上白,A棟1號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉潭頭路,21.12,商,,,1130310,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.62,3,2,2,有,無,9450000,78011,坡道平面,21.43,1400000,,RPRNMLKKLHJGFAT78CB,白上白,A棟5號,
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,23.12,,鄉村區,乙種建築用地,1130310,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.35,3,2,2,有,無,6800000,64334,坡道平面,13.75,1100000,,RPPNMLLKLHJGFAT68CB,萬丹印象,G棟1號,
枋寮鄉,房地(土地+建物),屏東縣枋寮鄉安樂路,13.09,住,,,1130228,土地4建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,35.63,1,1,1,有,無,2500000,70166,,0.0,0,,RPQNMLLKLHJGFFT66CB,中寮段,D棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,22.48,,鄉村區,乙種建築用地,1130229,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.58,3,2,2,有,無,8100000,80160,一樓平面,13.75,1300000,,RPPNMLMKLHJGFAT78CB,屏東印象,A3棟6樓號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,27.1,,鄉村區,乙種建築用地,1130306,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.03,3,2,2,有,無,9550000,80661,坡道平面,13.75,1300000,,RPQNMLMKLHJGFAT88CB,屏東印象,D1棟6樓號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,22.48,,鄉村區,乙種建築用地,1130310,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.58,3,2,2,有,無,8180000,81103,一樓平面,13.75,1300000,,RPTNMLMKLHJGFAT56CB,屏東印象,B1棟7樓號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,27.1,,鄉村區,乙種建築用地,1130310,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.03,3,2,2,有,無,9500000,80172,坡道平面,13.75,1300000,,RPUNMLMKLHJGFAT66CB,屏東印象,D1棟4樓號,
枋寮鄉,房地(土地+建物),屏東縣枋寮鄉安樂路,25.72,住,,,1130307,土地4建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.05,2,2,2,有,無,4180000,59672,,0.0,0,,RPPNMLMKLHJGFFT66CB,中寮段,C棟2號,
枋寮鄉,房地(土地+建物)+車位,屏東縣枋寮鄉安樂路,37.89,住,,,1130219,土地4建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.12,3,2,2,有,無,6560000,61657,坡道平面,9.7,800000,,RPQNMLMKLHJGFFT76CB,中寮段,Ｂ棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市民生東路11巷,27.59,,一般農業區,甲種建築用地,1130225,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,147.65,3,2,2,有,無,11240000,82387,坡道平面,27.0,1300000,,RPPNMLNKLHJGFAT88CB,中洲向山學,A棟2號,
屏東市,房地(土地+建物),屏東縣屏東市民生東路11巷,138.79,,一般農業區,甲種建築用地,1130217,土地3建物1車位0,全,4,透天厝,住家用,鋼骨混凝土造,,215.5,5,2,4,有,無,23050000,106961,,0.0,0,,RPQNMLNKLHJGFAT98CB,中洲向山學,G棟1號,1130623全部解約
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉香楊路1巷,44.34,住,,,1130215,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.92,3,2,2,有,無,10220000,78823,一樓平面,8.39,1350000,,RPRNMLNKLHJGFAT09CB,屏蒔,B棟3號,
