編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKNHJGFBA47DB,文昌段二小段,10.12,都市：住,100000,3350,持分移轉,05490000
RPUNMLOKNHJGFBA87CB,城中段二小段,.61,都市：商,100000,469,持分移轉,04210000
RPUNMLOKNHJGFBA87CB,城中段二小段,.09,都市：商,100000,469,持分移轉,04220000
RPUNMLOKNHJGFBA87CB,城中段二小段,.60,都市：商,100000,469,持分移轉,04230000
RPUNMLOKNHJGFBA87CB,城中段二小段,.09,都市：商,100000,469,持分移轉,04240000
RPUNMLOKNHJGFBA87CB,城中段二小段,.56,都市：商,100000,469,持分移轉,04250000
RPUNMLOKNHJGFBA87CB,城中段二小段,.08,都市：商,100000,469,持分移轉,04260000
RPWNMLOKNHJGFBA08CB,城中段二小段,.68,都市：商,100000,518,持分移轉,04210000
RPWNMLOKNHJGFBA08CB,城中段二小段,.10,都市：商,100000,518,持分移轉,04220000
RPWNMLOKNHJGFBA08CB,城中段二小段,.66,都市：商,100000,518,持分移轉,04230000
RPWNMLOKNHJGFBA08CB,城中段二小段,.10,都市：商,100000,518,持分移轉,04240000
RPWNMLOKNHJGFBA08CB,城中段二小段,.62,都市：商,100000,518,持分移轉,04250000
RPWNMLOKNHJGFBA08CB,城中段二小段,.09,都市：商,100000,518,持分移轉,04260000
RPXNMLOKNHJGFBA18CB,雙園段一小段,.16,都市：住,100000,1425,持分移轉,02820001
RPXNMLOKNHJGFBA18CB,雙園段一小段,13.74,都市：住,100000,1425,持分移轉,02840000
RPXNMLOKNHJGFBA18CB,雙園段一小段,1.03,都市：住,100000,1425,持分移轉,03300002
RPPNMLSKNHJGFBA87DB,文昌段二小段,10.85,都市：住,100000,3594,持分移轉,05490000
RPPNMLTKNHJGFBA87CB,雙園段一小段,.16,都市：住,100000,1425,持分移轉,02820001
RPPNMLTKNHJGFBA87CB,雙園段一小段,13.74,都市：住,100000,1425,持分移轉,02840000
RPPNMLTKNHJGFBA87CB,雙園段一小段,1.03,都市：住,100000,1425,持分移轉,03300002
RPPNMLRKNHJGFBA77DB,文昌段二小段,10.12,都市：住,100000,3350,持分移轉,05490000
RPPNMLNKNHJGFDA47CB,玉成段四小段,.45,都市：住,100000,461,持分移轉,03030000
RPPNMLNKNHJGFDA47CB,玉成段四小段,.39,都市：住,100000,461,持分移轉,03040000
RPPNMLNKNHJGFDA47CB,玉成段四小段,.13,都市：住,100000,461,持分移轉,03040001
RPPNMLNKNHJGFDA47CB,玉成段四小段,15.79,都市：住,100000,461,持分移轉,03050000
RPPNMLNKNHJGFDA47CB,玉成段四小段,.32,都市：住,100000,461,持分移轉,03080000
RPPNMLNKNHJGFDA47CB,玉成段四小段,.10,都市：住,100000,461,持分移轉,03090000
RPQNMLNKNHJGFDA57CB,玉成段四小段,.38,都市：住,100000,391,持分移轉,03030000
RPQNMLNKNHJGFDA57CB,玉成段四小段,.33,都市：住,100000,391,持分移轉,03040000
RPQNMLNKNHJGFDA57CB,玉成段四小段,.11,都市：住,100000,391,持分移轉,03040001
RPQNMLNKNHJGFDA57CB,玉成段四小段,13.40,都市：住,100000,391,持分移轉,03050000
RPQNMLNKNHJGFDA57CB,玉成段四小段,.27,都市：住,100000,391,持分移轉,03080000
