鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
屏東市,租賃房屋,屏東縣屏東市自由路西段１４９號,71.0,住,,,1130511,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0631220,119.2,3,3,2,有,無,有,16000,134,,0.0,0,,RPRNMLNKNHJGFAT76CC,整棟(戶)出租,無,1130520~1140519,無,熱水器、瓦斯或天然氣,
屏東市,租賃房屋,屏東縣屏東市福建路７８號３F之９,7.0,商,,,1130514,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0830623,42.65,1,1,1,有,無,有,8000,188,,0.0,0,,RPPNMLRKNHJGFAT96CC,獨立套房,無,1130516~1140515,有,冷氣、洗衣機、冰箱、網路,一般包租
長治鄉,租賃房屋,屏東縣長治鄉長春街一段５２號５樓之１１,0.0,,,,1130513,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0930630,27.650000000000002,1,0,1,有,有,無,4750,172,,0.0,0,,RPPNMLLLNHJGFAT09CC,獨立套房,有,1130513~1131112,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
屏東市,租賃房屋,屏東縣屏東市民生東路７４-３號,0.0,,,,1130517,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730706,100.15,3,2,1,有,無,有,12000,120,,0.0,0,,RPQNMLLLNHJGFAT56CC,整棟(戶)出租,無,1130601~1140531,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般包租
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２３０號,0.0,,,,1130515,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.55,2,0,2,有,有,有,5800,190,,0.0,0,租金總額含管理費；網路費；,RPXOMLMLNHJGFCT67CC,分租套房,有,1130901~1140131,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２３２號,0.0,,,,1130514,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.66,2,0,2,有,有,有,6000,190,,0.0,0,租金總額含管理費；網路費；,RPPPMLMLNHJGFCT96CC,分租套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２３０號,0.0,,,,1130515,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,29.86,9,0,9,有,有,有,5800,194,,0.0,0,租金總額含管理費；網路費；,RPTPMLMLNHJGFCT37CC,分租套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２２８號,0.0,,,,1130517,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.94,3,0,3,有,有,有,5800,187,,0.0,0,租金總額含管理費；網路費；,RPUPMLMLNHJGFCT47CC,分租套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２２８號,0.0,,,,1130514,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.94,3,0,3,有,有,有,5800,187,,0.0,0,租金總額含管理費；網路費；,RPVPMLMLNHJGFCT57CC,分租套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２２８號,0.0,,,,1130515,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.81,2,0,2,有,有,有,5500,173,,0.0,0,租金總額含管理費；網路費；,RPWPMLMLNHJGFCT67CC,分租套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２３０號,0.0,,,,1130516,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.45,2,0,2,有,有,有,5600,184,,0.0,0,租金總額含管理費；網路費；,RPXPMLMLNHJGFCT77CC,分租套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２３０號,0.0,,,,1130517,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.45,2,0,2,有,有,有,5600,184,,0.0,0,租金總額含管理費；網路費；,RPQNMLOLNHJGFCT07CC,分租套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２３０號,0.0,,,,1130517,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.45,2,0,2,有,有,有,5600,184,,0.0,0,租金總額含管理費；網路費；,RPRNMLOLNHJGFCT17CC,分租套房,有,1130901~1140831,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２３２號,0.0,,,,1130518,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.29,2,0,2,有,有,有,5600,185,,0.0,0,租金總額含管理費；網路費；,RPSNMLOLNHJGFCT27CC,分租套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
