鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
吉安鄉,租賃房屋,花蓮縣吉安鄉南海四街２０５巷１０號,59.0,,鄉村區,乙種建築用地,1130514,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0701012,52.52,4,2,2,有,無,無,13500,257,,0.0,0,,RPPNMLPKNHJGFAU86CC,整棟(戶)出租,無,1130601~1150531,無,熱水器,
花蓮市,租賃房屋,花蓮縣花蓮市美工路１７號,991.73,工,,,1130514,土地1建物1車位0,見其他登記事項,1,工廠,廠房,鋼骨造,0861016,1435.37,0,0,0,無,無,無,189000,,,0.0,0,,RPQNMLPKNHJGFAU96CC,,無,1130801~1180731,無,,
花蓮市,租賃房屋,花蓮縣花蓮市鎮國街１２０巷１號,93.0,住,,,1130514,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660917,111.01,4,3,2,有,無,有,22000,198,,0.0,0,,RPRNMLPKNHJGFAU07CC,整棟(戶)出租,無,1130601~1150531,無,冷氣、熱水器,
花蓮市,租賃房屋,花蓮縣花蓮市自強路５９４巷７號之５,9.51,住,,,1130511,土地2建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831117,31.86,2,1,2,有,無,無,15000,471,,0.0,0,,RPSNMLPKNHJGFAU17CC,整棟(戶)出租,無,1130601~1150531,有,冷氣、熱水器,
新城鄉,租賃房屋,花蓮縣新城鄉光復路４９３之７號,30.53,住,,,1130515,土地1建物1車位0,一層,7,店面(店鋪),店舖,鋼筋混凝土造,1100204,78.19,0,0,0,無,無,無,13850,177,,0.0,0,租金總額含管理費；其他租金15000-管理費1150=實收租金13850元；,RPVNMLQKNHJGFAU57CC,,無,1130515~1140514,無,冷氣、熱水器,
花蓮市,租賃房屋,花蓮縣花蓮市國聯四路２３號,0.0,,,,1130513,土地0建物0車位0,全,4,透天厝,店鋪、住宅、民宿,鋼筋混凝土造,0700828,26.45,12,1,12,有,無,有,9500,359,,0.0,0,,RPXNMLQKNHJGFAU77CC,分租套房,無,1130515~1140514,無,冷氣、熱水器、電視機、冰箱、網路,
花蓮市,租賃房屋,花蓮縣花蓮市中央路四段８６號２樓,101.25,住,,,1130519,土地1建物1車位0,二層,4,辦公商業大樓,辦公室,鋼筋混凝土造,0990625,284.96,0,0,0,無,無,無,40000,140,,0.0,0,,RPQNMLKLNHJGFAU56CC,,無,1130520~1160530,有,熱水器,
花蓮市,土地,慈勝段747地號,2614.8,農,,,1130511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,30000,11,,0.0,0,含增建或未登記建物；,RPSNMLLLNHJGFAU86CC,,,1130511~1160510,,,
花蓮市,租賃房屋,花蓮縣花蓮市美工路１７號,3495.0,工,,,1130514,土地1建物1車位0,一層,1,工廠,廠房,鋼骨造,0861016,1435.37,0,0,0,無,無,無,189000,,,0.0,0,租金總額含稅；,RPSNMLMLNHJGFAU96CC,,無,1130801~1170731,無,,
花蓮市,租賃房屋,花蓮縣花蓮市民國路１３９號四樓１號,17.05,商,,,1130521,土地1建物1車位0,四層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0770213,138.6,4,1,2,有,有,有,14500,105,,0.0,0,,RPTNMLMLNHJGFAU07CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅代管
花蓮市,租賃房屋,花蓮縣花蓮市德安六街１０５巷９號２F-２,0.0,,,,1130522,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0870403,110.86999999999999,3,2,2,有,有,有,15000,135,,0.0,0,,RPPNMLOLNHJGFAU86CC,整棟(戶)出租,有,1130601~1140531,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、有線電視,一般包租
吉安鄉,租賃房屋,花蓮縣吉安鄉南山五街１０８號,81.0,商,,,1130522,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0660208,112.86,3,2,2,有,無,有,15000,133,,0.0,0,,RPRNMLOLNHJGFAU07CC,整棟(戶)出租,無,1130515~1140514,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
花蓮市,租賃房屋,花蓮縣花蓮市德安二街６０號十一樓,17.31,住,,,1130523,土地1建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0841104,96.19,3,1,2,有,無,有,12000,125,,0.0,0,,RPSNMLOLNHJGFAU17CC,整棟(戶)出租,無,1130505~1140504,有,冷氣、熱水器、洗衣機,社會住宅代管
花蓮市,租賃房屋,花蓮縣花蓮市中華路２１２號８樓之３,0.0,,,,1130523,土地0建物1車位0,八層,9,辦公商業大樓,商業用,鋼筋混凝土造,0840313,26.759999999999998,1,0,1,有,有,有,6500,243,,0.0,0,,RPTNMLOLNHJGFAU27CC,獨立套房,有,1130701~1140630,有,冷氣、熱水器、洗衣機、冰箱,一般轉租
花蓮市,租賃房屋,花蓮縣花蓮市國盛一街６６巷２之２號,0.0,,,,1130513,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730919,92.53999999999999,3,2,1,有,無,無,7000,76,,0.0,0,,RPRNMLRLNHJGFAU37CC,整棟(戶)出租,無,1130524~1140523,無,瓦斯或天然氣,社會住宅包租轉租
花蓮市,租賃房屋,花蓮縣花蓮市民族路１號１０樓-７,4.24,商,,,1130525,土地1建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850202,41.07,1,1,1,有,有,有,8500,207,,0.0,0,,RPPNMLSLNHJGFAU27CC,分層出租,有,1130525~1140524,有,冷氣、熱水器、洗衣機、冰箱,一般包租
