編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKQHJGFAW96DA,,96.13,集合住宅,鋼筋混凝土造,113年6月7日,五層,一層 陽台,全筆移轉
RPPNMLMKQHJGFAW96DA,,26.17,集合住宅：本共有部分項目有甲梯、乙梯、梯坑、梯廳、水塔間、電梯機房及電信機房等７項。,鋼筋混凝土造,113年6月7日,五層,,持分移轉
RPPNMLRLQHJGFAW57DA,,101.25,集合住宅,鋼筋混凝土造,113年5月3日,三層,三層 陽台,全筆移轉
RPPNMLRLQHJGFAW57DA,,11.32,集合住宅：本共有部分項目有樓梯間１、樓梯間２等２項。,鋼筋混凝土造,113年5月3日,三層,,持分移轉
RPUNMLMJRHJGFAW47DA,11,49.33,集合住宅,鋼筋混凝土造,103年1月28日,三層,三層 陽台,全筆移轉
RPUNMLMJRHJGFAW47DA,11,6.58,共有部分：本共有部分之項目計有樓梯間、陽台、閣樓等３項。,鋼筋混凝土造,103年1月28日,三層,,持分移轉
RPQNMLMLQHJGFAW17DA,5,241.34,集村農舍,鋼筋混凝土造,108年8月8日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLMLQHJGFAW07DA,7,28.23,集合住宅,鋼筋混凝土造,106年6月27日,三層,二層 雨遮,全筆移轉
RPPNMLMLQHJGFAW07DA,7,5.58,共有部分：本共有部分之項目有梯間、門廊、陽台等３項。,鋼筋混凝土造,106年6月27日,三層,,持分移轉
RPSNMLRLQHJGFAW87DA,,102.06,集合住宅,鋼筋混凝土造,113年5月3日,三層,二層 陽台,全筆移轉
RPSNMLRLQHJGFAW87DA,,11.32,集合住宅：本共有部分項目有樓梯間１、樓梯間２等２項。,鋼筋混凝土造,113年5月3日,三層,,持分移轉
RPRNMLQLQHJGFAW67DA,7,54.66,集合住宅,鋼筋混凝土造,106年3月22日,三層,二層,全筆移轉
RPRNMLQLQHJGFAW67DA,7,6.45,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,106年3月22日,三層,,持分移轉
RPPNMLNLPHJGFAW07DA,1,109.39,集合住宅,鋼筋混凝土造,112年11月17日,十三層,十三層 陽台,全筆移轉
RPPNMLNLPHJGFAW07DA,1,74.58,集合住宅、店舖：本共有部分項目有停車空間、梯廳、進排風室、緊急升降機、安全梯２、蓄水池、消防泵浦室、台電配電場所、垃圾資源回收區、停車空間兼防空避難室、電信室、小公變電室、發電機室、排煙室、安全梯１、大廳、管委會、廁所、排煙室（梯廳）、安全梯１（兼無障礙梯）、樓梯間、消防水箱間、消防水箱、電梯機房、水箱等２５項。,鋼筋混凝土造,112年11月17日,十三層,,持分移轉
RPTNMLNLPHJGFAW47DA,6,185.67,住家用,鋼筋混凝土造,107年3月27日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLKKPHJGFAW96EA,1,102.50,集合住宅,鋼筋混凝土造,112年12月7日,十二層,十一層 陽台,全筆移轉
RPRNMLKKPHJGFAW96EA,1,43.08,補習班、集合住宅：本共有部分項目有防空避難室、給水池、台電配電室、電信室、消防發電機房、管委會、梯廳、甲梯（無障礙樓梯）、乙梯、水錶間、電梯機房及水箱等１２項。,鋼筋混凝土造,112年12月7日,十二層,,持分移轉
RPRNMLKKPHJGFAW96EA,1,14.21,補習班、集合住宅：本共有部分項目有法定機械停車位１項。,鋼筋混凝土造,112年12月7日,十二層,,持分移轉
RPQNMLKMPHJGFAW96DA,1,89.37,集合住宅,鋼筋混凝土造,112年6月30日,五層,一層,全筆移轉
RPQNMLKMPHJGFAW96DA,1,14.54,集合住宅：本共有部分項目有梯廳、樓梯間、水箱及機械室等４項。,鋼筋混凝土造,112年6月30日,五層,,持分移轉
RPRNMLSKPHJGFAW67DA,,96.14,集合住宅,鋼筋混凝土造,113年6月7日,五層,二層 陽台,全筆移轉
RPRNMLSKPHJGFAW67DA,,26.17,集合住宅：本共有部分項目有甲梯、乙梯、梯坑、梯廳、水塔間、電梯機房及電信機房等７項。,鋼筋混凝土造,113年6月7日,五層,,持分移轉
RPQNMLQKPHJGFAW37DA,26,240.15,地面層停車空間、住宅。二、三層住宅。,鋼筋混凝土造,87年7月20日,三層,一層 二層 三層 陽台 平台 屋頂突出物 騎樓,全筆移轉
RPRNMLPKPHJGFAW37DA,10,145.75,集合住宅,鋼筋混凝土造,103年1月27日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLMKPHJGFAW86DA,11,163.40,住家用,鋼筋混凝土造,102年10月4日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLQJQHJGFAW27DA,8,203.61,集村農舍,鋼筋混凝土造,105年11月1日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLPJQHJGFAW57DA,9,26.75,集合住宅,鋼筋混凝土造,104年7月23日,三層,三層 雨遮,全筆移轉
RPTNMLPJQHJGFAW57DA,9,2.16,共有部分：本共有部分之項目計有樓梯間一項。,鋼筋混凝土造,104年7月23日,三層,,持分移轉
RPTNMLPJQHJGFAW57DA,9,2.50,共有部分：本共有部分之項目計有走廊一項。,鋼筋混凝土造,104年7月23日,三層,,持分移轉
RPPNMLTJQHJGFAW57DA,,56.96,集合住宅,鋼筋混凝土造,113年1月22日,五層,一層 陽台,全筆移轉
RPPNMLTJQHJGFAW57DA,,14.50,集合住宅：本共有部分項目有安全梯、電梯、梯廳、昇降機道及上水塔等５項。,鋼筋混凝土造,113年1月22日,五層,,持分移轉
RPSNMLMJQHJGFAW17DA,13,227.52,住家用,鋼筋混凝土造,100年10月27日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項,全筆移轉
RPTNMLLJQHJGFAW17DA,9,39.68,集合住宅,鋼筋混凝土造,104年11月25日,八層,四層 陽台 雨遮,全筆移轉
RPTNMLLJQHJGFAW17DA,9,54.76,共有部分：本共有部分項目有：管委會空間、電樓梯間、梯廳、車道、走廊、防空避難室兼停車空間、受電箱、台電配電場所、電信機房、蓄水池、汙水處理機房、消防泵浦室、水箱等十三項。,鋼筋混凝土造,104年11月25日,八層,,持分移轉
RPPNMLMJQHJGFAW86DA,,96.14,集合住宅,鋼筋混凝土造,113年6月7日,五層,四層 陽台,全筆移轉
RPPNMLMJQHJGFAW86DA,,26.17,集合住宅：本共有部分項目有甲梯、乙梯、梯坑、梯廳、水塔間、電梯機房及電信機房等７項。,鋼筋混凝土造,113年6月7日,五層,,持分移轉
RPPNMLOKQHJGFAW27EA,4,39.94,旅館,鋼筋混凝土造,109年4月8日,十層,六層 雨遮,全筆移轉
RPPNMLOKQHJGFAW27EA,4,20.79,店舖、集合住宅、本建物共有部分之項目有車道、排風機房、緊急昇降機、客梯兼無障礙電梯、廢水池、消防幫浦室、蓄水池、甲梯、進風機房、防空避難室兼停車空間、電信機房、乙梯、梯廳、汙物處理室、台電受電室、設備空間、機械室、停車空間、迴轉空間、發電機室、排煙室、消防設備空間、雨遮、陽台、管委會空間等共計２５項。,鋼筋混凝土造,109年4月8日,十層,,持分移轉
RPSNMLLMPHJGFAW27DA,,97.34,集合住宅,鋼筋混凝土造,113年6月7日,五層,五層 陽台,全筆移轉
RPSNMLLMPHJGFAW27DA,,26.57,集合住宅：本共有部分項目有甲梯、乙梯、梯坑、梯廳、水塔間、電梯機房及電信機房等７項。,鋼筋混凝土造,113年6月7日,五層,,持分移轉
RPUNMLOKQHJGFAW67DA,4,61.87,集合住宅,鋼筋混凝土造,109年9月25日,五層,四層 陽台,全筆移轉
RPUNMLOKQHJGFAW67DA,4,14.64,集合住宅、共有項目有大廳、梯廳、甲梯（安全梯）及無障礙電梯等４項。,鋼筋混凝土造,109年9月25日,五層,,持分移轉
RPQNMLSJPHJGFAW47DA,9,181.41,住家用,鋼筋混凝土造,104年11月12日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLLLQHJGFAW07EA,1,102.50,集合住宅,鋼筋混凝土造,112年12月7日,十二層,十一層 陽台,全筆移轉
RPPNMLLLQHJGFAW07EA,1,43.08,補習班、集合住宅：本共有部分項目有防空避難室、給水池、台電配電室、電信室、消防發電機房、管委會、梯廳、甲梯（無障礙樓梯）、乙梯、水錶間、電梯機房及水箱等１２項。,鋼筋混凝土造,112年12月7日,十二層,,持分移轉
RPPNMLLLQHJGFAW07EA,1,14.21,補習班、集合住宅：本共有部分項目有法定機械停車位１項。,鋼筋混凝土造,112年12月7日,十二層,,持分移轉
RPXNMLPKQHJGFAW08DA,,98.44,集合住宅,鋼筋混凝土造,113年5月24日,七層,三層 陽台,全筆移轉
RPXNMLPKQHJGFAW08DA,,46.26,集合住宅：本共有部分項目有防空避難室兼儲藏室（１）、防空避難室兼儲藏室（２）、防空避難室兼儲藏室（３）、防空避難室兼儲藏室（４）、防空避難室兼儲藏室（５）、防空避難室兼儲藏室（６）、防空避難室兼儲藏室（７）、防空避難室、無障礙電梯、（安全梯）無障礙樓梯、陽台、防空避難室兼梯廳、電信機房、樓梯間、梯廳及走道等１６項。,鋼筋混凝土造,113年5月24日,七層,,持分移轉
RPQNMLSLQHJGFAW77DA,11,230.14,集村農舍,鋼筋混凝土造,102年3月28日,三層,一層 二層 三層 陽台,全筆移轉
RPPOMLPKQHJGFAW37DA,,98.44,集合住宅,鋼筋混凝土造,113年5月24日,七層,六層 陽台,全筆移轉
RPPOMLPKQHJGFAW37DA,,46.26,集合住宅：本共有部分項目有防空避難室兼儲藏室（１）、防空避難室兼儲藏室（２）、防空避難室兼儲藏室（３）、防空避難室兼儲藏室（４）、防空避難室兼儲藏室（５）、防空避難室兼儲藏室（６）、防空避難室兼儲藏室（７）、防空避難室、無障礙電梯、（安全梯）無障礙樓梯、陽台、防空避難室兼梯廳、電信機房、樓梯間、梯廳及走道等１６項。,鋼筋混凝土造,113年5月24日,七層,,持分移轉
RPRNMLKMPHJGFAW07DA,,97.33,集合住宅,鋼筋混凝土造,113年6月7日,五層,一層 陽台,全筆移轉
RPRNMLKMPHJGFAW07DA,,26.57,集合住宅：本共有部分項目有甲梯、乙梯、梯坑、梯廳、水塔間、電梯機房及電信機房等７項。,鋼筋混凝土造,113年6月7日,五層,,持分移轉
RPPNMLTLQHJGFAW77DA,,96.14,集合住宅,鋼筋混凝土造,113年6月7日,五層,三層 陽台,全筆移轉
