鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南澳鄉,土地,鹿皮段4-27地號,5320.0,,山坡地保育區,林業用地,1131101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,56,,0.0,0,,RPRNMLLKJIJGFAG57EA,0.0,0.0,0.0,無,
三星鄉,土地,大湖段540地號,1244.75,,特定農業區,農牧用地,1131101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2259200,1815,,0.0,0,,RPUNMLRJJIJGFAG28DA,0.0,0.0,0.0,無,
宜蘭市,土地,東村段8地號,107.19,都市：其他:道路用地,,,1131108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10097612,94203,,0.0,0,包含公共設施保留地用地；協議價購；,RPVNMLNKJIJGFBG18DA,0.0,0.0,0.0,無,0001
員山鄉,土地,大三鬮段159地號,7.55,,特定農業區,甲種建築用地,1131109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,280000,37086,,0.0,0,,RPPNMLOKJIJGFBG67DA,0.0,0.0,0.0,無,
礁溪鄉,土地,公園北段32地號,70.26,都市：其他:休閒別墅區,,,1131104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7075000,100697,,0.0,0,,RPVOMLNKJIJGFBG28DA,0.0,0.0,0.0,無,0002
宜蘭市,土地,中興段139地號,16.37,住,,,1131105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,990000,60476,,0.0,0,,RPPNMLPKJIJGFBG87EA,0.0,0.0,0.0,無,
羅東鎮,土地,復興段443地號,179.62,都市：其他:保護區,,,1131103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8600000,47879,,0.0,0,未登記建物；,RPPNMLSKJIJGFAG97DA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民生新街１７號,15.0,商,,,1131107,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0590204,42.0,2,1,1,有,無,2750000,65476,,0.0,0,,RPQNMLSKJIJGFBG28EA,42.0,0.0,0.0,無,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉季水路清水一巷１弄７０號三樓,53.4,,鄉村區,乙種建築用地,1131105,土地1建物1車位1,三層，四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870602,153.37,3,2,2,有,無,3200000,20865,坡道平面,0.0,0,陽台外推；,RPUNMLQJJIJGFAG18DA,98.77,0.0,11.5,無,0003
三星鄉,土地,大隱二段497地號,1080.17,,特定農業區,農牧用地,1131107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3600000,3333,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLKLJIJGFAG67EA,0.0,0.0,0.0,無,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮聖愛路１１８之８號,19.11,住,,,1131109,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670523,24.36,7,2,2,有,無,300000,12315,,0.0,0,一樓空地及三樓加蓋其他增建；,RPPPMLSKJIJGFAG18DA,24.36,0.0,0.0,無,
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結北路１２號,104.0,住,,,1131105,土地1建物1車位0,全,一層,透天厝,住家用,木造,05501,32.53,1,1,1,有,無,1550000,47648,,0.0,0,1兄弟之間特殊買賣親友、員工、共有人或其他特殊關係間之交易；,RPUOMLKLJIJGFAG87DA,32.53,0.0,0.0,無,
礁溪鄉,房地(土地+建物)+車位,宜蘭縣礁溪鄉武暖路８０之６號五樓,24.48,,特定農業區,甲種建築用地,1131108,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870612,98.14,2,2,2,有,有,5660000,57673,坡道平面,0.0,0,陽台外推；夾層；,RPSOMLLLJIJGFBG87DA,58.87,0.0,2.98,有,0004
宜蘭市,土地,東村段47-2地號,54.45,都市：其他:道路用地,,,1131106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2007180,36863,,0.0,0,包含公共設施保留地用地；,RPSNMLTKJIJGFBG48DA,0.0,0.0,0.0,無,0005
頭城鎮,土地,新興一段744地號,66.09,商,,,1131111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,60524,,0.0,0,未登記建物；包含公共設施保留地用地；,RPVNMLMLJIJGFBG18DA,0.0,0.0,0.0,無,0006
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮公正街４５號,107.0,商,,,1131105,土地3建物1車位0,全,一層,透天厝,住家用,加強磚造,0480700,50.16,3,1,2,有,無,14000000,279107,,0.0,0,,RPQPMLMLJIJGFAG87EA,50.16,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市慈安路８４之２號七樓,18.25,住,,,1131110,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831005,96.63,3,2,2,有,有,5650000,58470,,0.0,0,,RPQNMLLLJIJGFBG67EA,66.75,0.0,12.6,有,0007
羅東鎮,土地,中華段989地號,271.0,商,,,1131112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,36891000,136129,,0.0,0,,RPQNMLMLJIJGFAG57DA,0.0,0.0,0.0,無,0008
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路四段１７３號,374.0,商,,,1131102,土地4建物2車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0950529,565.86,8,2,7,有,無,46000000,81292,,0.0,0,一樓增建其他增建；,RPUNMLMLJIJGFAG97DA,512.91,16.95,36.0,無,
頭城鎮,土地,新打馬煙段454地號,23.29,,鄉村區,乙種建築用地,1131110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,563618,24200,,0.0,0,,RPUNMLMLJIJGFBG08DA,0.0,0.0,0.0,無,
宜蘭市,土地,北津段1273-3地號,323.0,,特定農業區,農牧用地,1131113,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,6192,,0.0,0,,RPXNMLMLJIJGFBG38DA,0.0,0.0,0.0,無,0009
