編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTJJIJGFHH78DA,坡道平面,0,,地下二樓
RPQNMLSJJIJGFHH88EA,其他,1830000,25.06,地下一樓
RPRNMLOJKIJGFHH68EA,坡道平面,0,,地下一樓
RPOOMLQJJIJGFAH77DA,坡道平面,0,,地下三樓
RPOOMLQJJIJGFAH77DA,坡道平面,0,,地下三樓
RPQNMLPJJIJGFCH97DA,坡道平面,0,28.83,地下一樓
RPVNMLTKJIJGFAH78DA,坡道平面,0,,地下一樓
RPPNMLPJJIJGFHH38DA,坡道平面,0,28.69,地下三樓
RPUNMLLLJIJGFAH08EA,一樓平面,0,,一樓
RPQPMLTKJIJGFBH58DA,坡道平面,0,27.69,地下二樓
RPSPMLNKJIJGFAH08DA,坡道平面,0,26.05,地下二樓
RPSPMLNKJIJGFAH08DA,坡道平面,0,26.05,地下二樓
RPSPMLNKJIJGFAH08DA,坡道平面,0,26.05,地下二樓
RPTOMLMKJIJGFAH97DA,坡道平面,0,,地下一樓
RPQNMLLLJIJGFHH38EA,坡道平面,0,,地下一樓
RPQNMLLLJIJGFHH38EA,坡道平面,0,,地下一樓
RPPNMLTKJIJGFAH28EA,坡道機械,0,,地下一樓
RPSQMLOKJIJGFBH38DA,坡道平面,0,,地下二樓
RPQQMLSKJIJGFAH48DA,坡道平面,0,27.49,地下三樓
RPRQMLSKJIJGFAH58DA,坡道平面,0,27.49,地下三樓
RPRQMLSKJIJGFAH58DA,坡道平面,0,27.49,地下三樓
RPPNMLLLJIJGFCH77EA,坡道平面,1200000,36.44,地下二樓
RPPNMLLLJIJGFAH57EA,坡道平面,0,,地下一樓
RPPNMLLLJIJGFAH57EA,坡道平面,0,,地下一樓
RPPNMLLLJIJGFAH57EA,坡道平面,0,,地下二樓
RPPNMLLLJIJGFAH57EA,坡道平面,0,,地下二樓
RPWQMLKLJIJGFAH38DA,坡道平面,0,23.05,地下二樓
RPWQMLKLJIJGFAH38DA,坡道平面,0,23.05,地下二樓
RPSQNLLLJIJGFBH28DA,坡道機械,1500000,7.80,地下四樓
RPPNMLPLJIJGFAH97EA,坡道機械,0,,地下一樓
RPRNMLPLJIJGFAH18EA,坡道平面,0,29.99,地下三樓
RPRNMLPLJIJGFAH18EA,坡道平面,0,29.99,地下三樓
RPRNMLPLJIJGFAH18EA,坡道平面,0,29.99,地下三樓
RPRNMLPLJIJGFAH18EA,坡道平面,0,29.99,地下三樓
RPVNMLOJJIJGFBH38EA,坡道平面,0,,地下一樓
RPRNMLRLJIJGFCH58EA,坡道平面,0,30.86,地下二樓
RPRNMLQLJIJGFCH38DA,坡道平面,0,35.56,地下一樓
RPTQMLKLJIJGFBH18DA,坡道平面,1785000,27.92,地下一樓
RPPNMLQLJIJGFEH38DA,坡道平面,1400000,44.71,地下二樓
RPROMLOKJIJGFCH18DA,坡道平面,0,,地下二樓
