編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLNJKIJGFDP78DA,32,173.54,住家用,鋼筋混凝土造,82年3月10日,三層,一層 二層 三層 陽台 平台 電梯樓梯間,全筆移轉
RPTNMLLKJIJGFFP09DA,1,46.75,店舖,鋼筋混凝土造,113年1月17日,七層,見其他登記事項,全筆移轉
RPTNMLLKJIJGFFP09DA,1,49.59,本共有部分之項目有停車空間、管委會空間、電梯間、電梯機房、水箱等５項,鋼筋混凝土造,113年1月17日,七層,,持分移轉
RPUNMLLKJIJGFFP56DA,1,74.79,集合住宅,鋼筋混凝土造,113年1月17日,七層,陽台 見其他登記事項,全筆移轉
RPUNMLLKJIJGFFP56DA,1,31.28,本共有部分之項目有停車空間、管委會空間、電梯間、電梯機房、水箱等５項,鋼筋混凝土造,113年1月17日,七層,,持分移轉
RPXNMLOJJIJGFDP86DA,48,107.98,住商用,加強磚造,65年8月8日,二層,一層 二層 騎樓 夾層,全筆移轉
RPRNMLSKJIJGFAP09DA,6,985.50,農業設施（集貨包裝場、冷藏室）,鋼鐵造有牆,108年1月18日,一層,一層,全筆移轉
RPTNMLPJJIJGFEP66DA,30,145.24,住家用,鋼筋混凝土造,83年10月14日,三層,一層 二層 三層 陽台,全筆移轉
RPVNMLPJJIJGFAP09DA,8,171.51,住宅、樓梯間,鋼筋混凝土造,105年9月1日,三層,一層 二層 三層 陽台 電梯樓梯間,全筆移轉
RPWNMLPJJIJGFAP56DA,30,31.20,住家用,鋼筋混凝土造,83年9月18日,十四層,七層 陽台,全筆移轉
RPWNMLPJJIJGFAP56DA,30,12.31,共有部份,鋼筋混凝土造,83年9月18日,十四層,,持分移轉
RPSNMLNKJIJGFAP68DA,39,108.46,住商用,鋼筋混凝土造,74年9月14日,三層,一層 二層 三層 電梯樓梯間,持分移轉
RPVNMLKLJIJGFAP78DA,15,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,四層 陽台 雨遮,全筆移轉
RPVNMLKLJIJGFAP78DA,15,3.85,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,持分移轉
RPPNMLMKJIJGFAP28DA,29,95.71,住家用,鋼筋混凝土造,84年9月20日,七層,七層 陽台 花台,全筆移轉
RPPNMLMKJIJGFAP28DA,29,21.52,共有部份,鋼筋混凝土造,84年9月20日,七層,,持分移轉
RPVNMLKLJIJGFAP78DA,15,4.84,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,持分移轉
RPPNMLMKJIJGFAP28DA,29,20.05,共有部份,鋼筋混凝土造,84年9月20日,七層,,持分移轉
RPWNMLLLJIJGFAP98DA,26,28.76,住家用,鋼筋混凝土造,87年10月30日,十層,九層 陽台,全筆移轉
RPWNMLLLJIJGFAP98DA,26,12.34,共有部份,鋼筋混凝土造,87年10月30日,十層,,持分移轉
