編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLTKKHKGFDC78DA,深澳段,6.37,都市：其他:住宅區(住四),100000,27,持分移轉,10170000
RPPOMLLLKHKGFDC47DA,東信段一小段,1.00,都市：其他:住宅區,1,1,全筆移轉,00460157
RPQNMLPLKHKGFDC87DA,德育段,26.87,都市：其他:住宅區(住二),1563,27,持分移轉,05530000
RPQOMLOLKHKGFDC87DA,東信段三小段,58.25,都市：其他:住宅區,4,1,持分移轉,00350046
RPQNMLPLKHKGFDC87DA,德育段,1.80,都市：其他:道路用地,1563,27,持分移轉,05530001
RPQNMLPLKHKGFDC87DA,德育段,1.23,都市：其他:住宅區(住二),1563,27,持分移轉,07410000
RPPOMLTKKHKGFDC18DA,調和段,25.06,都市：其他:住宅區(住二),10000,33,持分移轉,11250000
RPTOMLTKKHKGFDC58DA,港濱段,28.48,都市：其他:住宅區(住二),2000,128,持分移轉,16510000
RPTNMLPLKHKGFDC18DA,深美段,22.12,都市：其他:住宅區(住二),10000,36,持分移轉,01610000
RPTNMLPLKHKGFDC18DA,深美段,.01,都市：其他:住宅區(住一),10000,36,持分移轉,01610001
RPSNMLQLKHKGFDC18DA,長潭段,22.90,都市：其他:住宅區(住二),100000,174,持分移轉,09020000
RPTOMLKKKHKGFDC67DA,港灣段三小段,17.44,都市：其他:商業區,100000,927,持分移轉,00040000
RPUOMLKKKHKGFDC77DA,港灣段三小段,15.14,都市：其他:商業區,100000,805,持分移轉,00040000
RPROMLKKKHKGFDC47DA,中濱段,.16,都市：其他:住宅區(住一),10000,1,持分移轉,00370000
RPQNMLSJKHKGFDC97DA,仁德段,81.00,都市：其他:住宅區(住二),1,1,全筆移轉,03230001
RPPOMLQJKHKGFDC77DA,五堵段五堵北小段,42.86,都市：其他:住宅區,280,30,持分移轉,10660000
RPOOMLKLKHKGFDC27DA,日新段五小段,.17,都市：其他:商業區(商四),20000,2,持分移轉,00010000
RPPPMLNKKHKGFDC67DA,德育段,49.91,都市：其他:住宅區(住二),1,1,全筆移轉,05820000
RPRNMLOKKHKGFDC77DA,大華段,78.75,都市：其他:部分公園用地部分道路用地,4,1,持分移轉,05820000
RPSOMLRKKHKGFDC28DA,八德段,6.75,都市：其他:住宅區(住三),12,1,持分移轉,07370000
RPUOMLNKKHKGFDC08DA,新城段,23.93,都市：其他:住宅區(住一),10000,23,持分移轉,08580000
RPUOMLNKKHKGFDC08DA,新城段,.02,都市：其他:道路用地,10000,23,持分移轉,08580001
RPUOMLNKKHKGFDC08DA,新城段,.05,都市：其他:道路用地,10000,23,持分移轉,08580002
RPUOMLNKKHKGFDC08DA,新城段,.52,都市：其他:道路用地,10000,23,持分移轉,08590000
RPUOMLNKKHKGFDC08DA,新城段,3.02,都市：其他:住宅區(住一),10000,23,持分移轉,08790000
RPRNMLRKKHKGFDC08DA,日新段五小段,.17,都市：其他:商業區(商四),10000,1,持分移轉,00010000
RPVOMLNKKHKGFDC18DA,港濱段,63.00,都市：其他:住宅區(住一),1,1,全筆移轉,02600000
RPSNMLPJLHKGFDC97DA,港灣段二小段,113.50,都市：其他:住宅區,1,1,全筆移轉,00180005
RPSNMLPJLHKGFDC97DA,港灣段二小段,10.00,都市：其他:住宅區,1,1,全筆移轉,00180040
RPSNMLPJLHKGFDC97DA,港灣段二小段,.50,都市：其他:住宅區,1,1,全筆移轉,00200050
RPVNMLPJLHKGFDC28DA,德安段,31.01,都市：其他:住宅區(住二),7638,28,持分移轉,03710000
SPVNMLPJLHKGFDC38DA,德安段,31.01,都市：其他:住宅區(住二),7638,28,持分移轉,03710000
RPVNMLPJLHKGFDC28DA,德安段,.14,都市：其他:住宅區(住二),100000,6,持分移轉,05270000
SPVNMLPJLHKGFDC38DA,德安段,.14,都市：其他:住宅區(住二),100000,6,持分移轉,05270000
RPQNMLNJLHKGFDC57DA,武訓段,47.29,都市：其他:住宅區(住三),10000,48,持分移轉,00610000
RPQNMLNJLHKGFDC57DA,武訓段,.56,都市：其他:保護區,10000,48,持分移轉,00610001
RPQNMLNJLHKGFDC57DA,武訓段,.99,都市：其他:住宅區(住三),10000,48,持分移轉,00750000
RPQNMLNJLHKGFDC57DA,武訓段,1.67,都市：其他:住宅區(住三),10000,48,持分移轉,00800000
RPQNMLNJLHKGFDC57DA,武訓段,1.43,都市：其他:住宅區(住三),10000,48,持分移轉,00860000
RPROMLNJLHKGFDC77DA,仁德段,29.33,都市：其他:住宅區(住二),3,1,持分移轉,02830000
RPSNMLNJLHKGFDC77DA,港濱段,18.35,都市：其他:住宅區(住一),20,1,持分移轉,13650000
RPSNMLNJLHKGFDC77DA,港濱段,.75,都市：其他:住宅區(住一),20,1,持分移轉,13650001
RPSNMLNJLHKGFDC77DA,港濱段,2.80,都市：其他:道路用地,20,1,持分移轉,13650002
RPOOMLOJLHKGFDC57DA,源遠段,26.98,都市：其他:住宅區(住三),10000,94,持分移轉,04910000
RPSOMLOJLHKGFDC97DA,新會段,34.80,都市：其他:住宅區(住三),100000,190,持分移轉,05080000
RPPNMLPJLHKGFDC67DA,新會段,6.54,都市：其他:住宅區(住二),10000,18,持分移轉,00720000
RPPNMLPJLHKGFDC67DA,新會段,.69,都市：其他:道路用地,10000,18,持分移轉,00760001
RPPNMLPJLHKGFDC67DA,新會段,1.88,都市：其他:鄰里公園用地,10000,18,持分移轉,01000000
RPPNMLPJLHKGFDC67DA,新會段,.20,都市：其他:住宅區(住二),10000,18,持分移轉,01000001
RPPNMLPJLHKGFDC67DA,新會段,4.29,都市：其他:住宅區(住二),10000,18,持分移轉,01010000
RPPNMLPLKHKGFDC87EA,新會段,225.25,都市：其他:水源特定保護區,10,6,持分移轉,07820000
RPPNMLSKKHKGFDC08EA,大德段,7.00,都市：其他:住宅區,1,1,全筆移轉,04630009
RPRNMLMKKHKGFDC67EA,福祿段,13.62,都市：其他:住宅區,24,1,持分移轉,08550000
RPRNMLMKKHKGFDC67EA,福祿段,.08,都市：其他:住宅區,24,1,持分移轉,08550004
RPPNMLRLKHKGFDC08EA,代天府段,.84,都市：其他:住宅區(住三),3360,1,持分移轉,05990000
RPPNMLRLKHKGFDC08EA,代天府段,26.46,都市：其他:住宅區(住三),10000,48,持分移轉,06040000
RPQNMLOJLHKGFDC77EA,金華段,8.85,都市：其他:住宅區,10000,29,持分移轉,04670000
RPOOMLQJLHKGFDC77DA,東信段一小段,27.75,都市：其他:住宅區,4,1,持分移轉,00390006
RPWNMLQJLHKGFDC48DA,新暖碇段,290.13,都市：其他:保護區,1,1,全筆移轉,00290004
RPXOMLPJLHKGFDC58DA,工建段,22.07,都市：其他:住宅區(住三),10000,63,持分移轉,02290000
RPTNMLQKJHKGFDC18EA,觀音段,81.00,都市：其他:住宅區,1,1,全筆移轉,01940001
RPPNMLRKJHKGFDC87EA,五堵段五堵北小段,25.20,都市：其他:住宅區,30,1,持分移轉,06100000
RPQNMLRKJHKGFDC97EA,深澳段,372.89,都市：其他:公園用地,9,4,持分移轉,10030000
RPXNMLRKJHKGFDC68EA,大華段,32.50,都市：其他:住宅區(住三),2,1,持分移轉,06230000
RPTNMLTJJHKGFDC28DA,仁德段,.33,都市：其他:道路用地,12,1,持分移轉,07850000
RPTNMLTJJHKGFDC28DA,仁德段,4.33,都市：其他:住宅區(住一),12,1,持分移轉,07860000
RPTNMLTJJHKGFDC28DA,仁德段,4.42,都市：其他:住宅區(住一),12,1,持分移轉,07870000
RPTNMLTJJHKGFDC28DA,仁德段,7.25,都市：其他:住宅區(住一),12,1,持分移轉,07880000
RPVNMLKKJHKGFDC67DA,忠義段六小段,23.67,都市：其他:住宅區,3,1,持分移轉,00310068
RPVOMLTJJHKGFDC58DA,暖暖段東勢坑小段,35.94,都市：其他:住宅區(住三),10000,729,持分移轉,09040000
RPOOMLKKJHKGFDC07DA,保定段,.24,都市：其他:道路用地,3949,30,持分移轉,01010000
RPOOMLKKJHKGFDC07DA,保定段,.14,都市：其他:兒童遊樂場用地,3949,30,持分移轉,01010005
RPOOMLKKJHKGFDC07DA,保定段,29.29,都市：其他:住宅區(住二),3949,30,持分移轉,01010006
RPOOMLKKJHKGFDC07DA,保定段,.01,都市：其他:道路用地,3949,30,持分移轉,01010007
RPOOMLKKJHKGFDC07DA,保定段,.31,都市：其他:兒童遊樂場用地,3949,30,持分移轉,01010008
RPOOMLSJJHKGFDC77DA,瑪陵坑段東勢下股小段,62.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00270010
RPWNMLKKJHKGFDC77DA,忠義段一小段,.03,都市：其他:道路用地,10000,17,持分移轉,00010000
RPWNMLKKJHKGFDC77DA,日新段一小段,2.93,都市：其他:商業區(商四),10000,17,持分移轉,00030000
RPXPMLOKJHKGFDC48DA,保定段,13.75,都市：其他:道路用地,4,1,持分移轉,06630000
RPPNMLTKJHKGFDC97DA,榮華段,24.64,都市：其他:住宅區,100,32,持分移轉,10420000
RPRNMLQKJHKGFDC87DA,中興段一小段,10.08,都市：其他:商業區(商四),616,32,持分移轉,00500000
RPSNMLRKJHKGFDC08DA,榮華段,34.00,都市：其他:商業區,1,1,全筆移轉,08240000
RPRNMLQKJHKGFDC87DA,中興段一小段,1.04,都市：其他:商業區(商四),616,32,持分移轉,00510000
RPXPMLOKJHKGFDC48DA,保定段,3.25,都市：其他:道路用地,4,1,持分移轉,06630001
RPUNMLTJJHKGFDC38DA,調和段,5.21,都市：其他:住宅區(住二),100000,36,持分移轉,14130000
RPUNMLPKJHKGFDC08DA,大華段,34.67,都市：其他:商業區(商三),3,1,持分移轉,19370000
RPSNMLKLJHKGFDC47DA,大德段,29.83,都市：其他:住宅區,24,2,持分移轉,06780000
RPSNMLKLJHKGFDC47DA,大德段,6.00,都市：其他:公園用地,24,2,持分移轉,06780001
SPRNMLQKJHKGFDC97DA,中興段一小段,10.08,都市：其他:商業區(商四),616,32,持分移轉,00500000
SPRNMLQKJHKGFDC97DA,中興段一小段,1.04,都市：其他:商業區(商四),616,32,持分移轉,00510000
RPROMLQKJHKGFDC97DA,延年段,6.45,都市：其他:商業區,10000,333,持分移轉,07320000
RPROMLQKJHKGFDC97DA,延年段,.00,都市：其他:道路用地,10000,333,持分移轉,07320001
