鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
暖暖區,房地(土地+建物),基隆市暖暖區國安路,7.35,住,,,1131117,土地2建物1車位0,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.61,2,2,1,有,無,11570000,141772,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPNMLMLJIJGFDC37CB,美麗上城,B棟09號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,8.39,住,,,1131114,土地2建物1車位1,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.82,3,2,2,有,無,18560000,170391,坡道平面,15.74,2700000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPRNMLMLJIJGFDC57CB,美麗上城,A棟10號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,6.97,住,,,1131114,土地2建物1車位1,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.52,2,1,1,有,無,15850000,169207,坡道平面,15.1,2750000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPSNMLMLJIJGFDC67CB,美麗上城,A棟11號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,6.97,住,,,1131116,土地2建物1車位1,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.16,2,1,1,有,無,15550000,162103,坡道平面,15.74,3000000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPXNMLMLJIJGFDC18CB,美麗上城,B棟06號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,8.75,住,,,1131119,土地2建物1車位0,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.17,3,2,2,有,無,14120000,145312,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPNMLKKKIJGFDC17CB,美麗上城,C棟07號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,7.32,住,,,1131120,土地2建物1車位0,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.28,2,2,2,有,無,11620000,142963,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPQNMLKKKIJGFDC27CB,美麗上城,D棟10號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,6.97,住,,,1131127,土地2建物1車位1,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.52,2,1,1,有,無,15680000,167657,坡道平面,15.1,2700000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPRNMLKKKIJGFDC37CB,美麗上城,B棟11號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,7.33,住,,,1131120,土地2建物1車位0,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.45,2,2,1,有,無,12520000,153714,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPSNMLKKKIJGFDC47CB,美麗上城,D棟09號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,6.97,住,,,1131129,土地2建物1車位1,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.52,2,1,1,有,無,15340000,162619,坡道平面,15.1,2750000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPTNMLKKKIJGFDC57CB,美麗上城,B棟06號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,7.35,住,,,1131129,土地2建物1車位1,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.19,2,2,1,有,無,15430000,156598,坡道平面,13.58,2650000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPUNMLKKKIJGFDC67CB,美麗上城,C棟08號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,7.17,住,,,1131207,土地2建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.31,2,2,1,有,無,15140000,155712,坡道平面,15.74,2750000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPVNMLKKKIJGFDC77CB,美麗上城,C棟03號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,7.17,住,,,1131127,土地2建物1車位0,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.57,2,2,1,有,無,12350000,155209,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPWNMLKKKIJGFDC87CB,美麗上城,D棟03號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,6.97,住,,,1131129,土地2建物1車位0,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.42,2,1,1,有,無,11950000,154353,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPXNMLKKKIJGFDC97CB,美麗上城,C棟06號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,6.97,住,,,1131130,土地2建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.52,2,1,1,有,無,15050000,158874,坡道平面,15.1,2750000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPOOMLKKKIJGFDC17CB,美麗上城,A棟06號,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區國安路,8.75,住,,,1131205,土地2建物1車位1,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.75,3,2,2,有,無,16920000,150458,坡道平面,13.58,2300000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPOMLKKKIJGFDC27CB,美麗上城,D棟07號,
暖暖區,房地(土地+建物),基隆市暖暖區國安路,7.35,住,,,1131207,土地2建物1車位0,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.55,2,2,2,有,無,12990000,159289,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPQOMLKKKIJGFDC37CB,美麗上城,A棟01號,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰和街88號之旁,35.54,住,,,1131129,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,166.77,3,2,2,有,無,12500000,91170,坡道平面,45.02,1400000,交易總價含下列非屬預售屋價格之費用:內含電視、冰箱、洗衣機費,RPPNMLTKKIJGFDC18DB,富源鑫Ⅲ森活,B1棟08號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,21.08,住,,,1131218,土地17建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.97,2,2,2,有,無,12700000,123825,坡道平面,23.75,1900000,,RPPNMLRLKIJGFDC97CB,白天鵝安幔,A棟A6-08F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,26.29,住,,,1131211,土地17建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.58,3,2,2,有,無,15600000,126803,坡道平面,23.75,1800000,,RPQNMLRLKIJGFDC08CB,白天鵝安幔,B棟B10-11F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,24.42,住,,,1131214,土地17建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.72,3,2,2,有,無,14430000,125087,坡道平面,23.75,1800000,,RPRNMLRLKIJGFDC18CB,白天鵝安幔,A棟A2-14F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,38.17,住,,,1131215,土地17建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.07,3,2,2,有,無,23610000,123818,坡道平面,47.5,4100000,,RPSNMLRLKIJGFDC28CB,白天鵝安幔,A棟A5-08F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,24.42,住,,,1131214,土地17建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.58,3,2,2,有,無,13950000,120500,坡道平面,23.75,1800000,,RPTNMLRLKIJGFDC38CB,白天鵝安幔,A棟A1-06F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,21.08,住,,,1131218,土地17建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.97,2,2,2,有,無,12850000,126691,坡道平面,23.75,1800000,,RPUNMLRLKIJGFDC48CB,白天鵝安幔,A棟A6-11F號,
