鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
永康區,房地(土地+建物)+車位,臺南市永康區王行路898巷,27.62,住,,,1131111,土地2建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.56,3,2,2,有,無,11780000,87677,坡道平面,27.03,1300000,,RPTNMLNKJIJGFKD58CB,上宇LINK,A棟3號,
永康區,房地(土地+建物)+車位,臺南市永康區南灣街,23.57,住,,,1131114,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.94,3,2,2,有,無,11900000,102783,坡道平面,16.48,1780000,買賣契約書之共有部分 含停車位面積,RPQNMLOKJIJGFKD38CB,鄰語堂5期,A棟1號,
安南區,房地(土地+建物),臺南市安南區永續路、永續二街交叉口,77.45,住,,,1131112,土地6建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,,188.51,5,2,4,有,無,22020000,116811,,0.0,0,內含停車位1個,RPPNMLRKJIJGFBD67CB,邰欣地堡79期,B棟5號,
安南區,房地(土地+建物),臺南市安南區永續路、永續二街交叉口,82.35,住,,,1131111,土地5建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,193.46,3,2,5,有,無,26100000,134912,,0.0,0,內含停車位1個,RPQNMLRKJIJGFBD77CB,邰欣地堡79期,A棟7號,
新營區,房地(土地+建物)+車位,臺南市新營區文昌街2-8號,19.91,商,,,1131115,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.19,3,2,2,有,無,10650000,82314,一樓平面,31.03,1500000,,RPPNMLRKJIJGFDD87CB,站前創世紀,A棟3號,
永康區,房地(土地+建物)+車位,臺南市永康區仁愛街53巷,14.18,商,,,1131116,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.21,3,2,2,有,無,14750000,119234,坡道平面,31.6,1800000,,RPQNMLSKJIJGFKD78CB,深耕八期,A棟5號,
安南區,房地(土地+建物),臺南市安南區府安路六段20巷19號,108.6,住,,,1131112,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,157.94,4,2,3,有,無,19710000,124794,,0.0,0,1.內含停車位一個,RPSNMLTKJIJGFBD18CB,年年如意102期,B棟11號,
東區,房地(土地+建物)+車位,臺南市東區中華東路一段與瑞祥街交叉口,12.82,商,,,1131113,土地2建物1車位1,十八層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.22,3,2,2,有,無,28100000,192121,坡道平面,26.45,2400000,,RPPNMLTKJIJGFCD97CB,浩瀚無極,B棟B3號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智發五街152號對面,22.67,住,,,1131115,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.07,2,2,2,有,無,12380000,121260,坡道平面,27.17,1600000,,RPPNMLTKJIJGFID58CB,春福天蒔,A8-12F號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區清水段52、54地號,39.07,住,,,1131112,土地2建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.56,3,2,2,有,無,12800000,104002,一樓平面,14.87,1600000,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKJIJGFID68CB,府居柏金,A棟2號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區清水段52、54地號,39.07,住,,,1131117,土地2建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.83,3,2,2,有,無,12900000,104002,一樓平面,23.14,1700000,,RPSNMLTKJIJGFID88CB,府居柏金,A棟2號,
仁德區,房地(土地+建物)+車位,臺南市仁德區中正路二段701號旁,42.36,住,,,1131112,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,162.23,3,2,2,有,無,14910000,101992,坡道平面,31.73,1600000,,RPTNMLTKJIJGFID98CB,白里織上,A棟A6號,
歸仁區,房地(土地+建物),臺南市歸仁區清水段52、54地號,28.33,住,,,1131119,土地2建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.09,2,2,2,有,無,7550000,96683,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLTKJIJGFID56CB,府居柏金,A棟6號,
仁德區,房地(土地+建物)+車位,臺南市仁德區德安路128號旁,35.99,住,,,1131112,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,165.36,3,2,2,有,無,15610000,102942,坡道平面,29.75,1650000,,RPOOMLTKJIJGFID58CB,白里織上2期,B棟B3號,
麻豆區,房地(土地+建物)+車位,臺南市麻豆區新生南路,33.09,住,,,1131117,土地2建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.63,2,2,2,有,無,10770000,77066,坡道平面,26.45,1200000,,RPPNMLTKJIJGFFD38DB,諧作悅,E棟6號,
麻豆區,房地(土地+建物)+車位,臺南市麻豆區新生南路,97.94,住,,,1131119,土地2建物1車位3,一層,14,店面(店鋪),住家用,鋼筋混凝土造,,450.47,0,1,1,有,無,28550000,66745,坡道平面,82.65,4000000,,RPPNMLKLJIJGFFD57DB,諧作悅,C棟店K號,1140401全部解約
關廟區,房地(土地+建物)+車位,臺南市關廟區中山路二段172號對面,39.21,住,,,1131116,土地2建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,195.45,3,2,2,有,無,17000000,95455,坡道平面,33.07,1500000,,RPPNMLKLJIJGFID87DB,臺邦第一景II,A棟7號,
