編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLNJKHKGFFP76DA,新吉段,8.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02550001
RPPNMLLKKHKGFAP28DA,荷苞段,74.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06310000
RPPNMLNKKHKGFCP68DA,湳仔段,157.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02080000
RPPNMLNKKHKGFCP68DA,湳仔段,14.44,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,02090000
RPTNMLNKKHKGFDP56DA,越港段,91.74,都市：其他:住宅區,10000,4444,持分移轉,05220014
RPRNMLSJKHKGFCP66DA,五塊厝段,1700.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,07020000
RPPNMLRKKHKGFEP76EA,溪南段,470.73,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01380000
RPTNMLRJKHKGFAP56DA,永昌段,69.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02850000
RPQNMLNJKHKGFDP78DA,信義段,3.45,都市：其他:商業區,1,1,全筆移轉,09370010
RPQNMLRKKHKGFCP56DA,埔東段,97.58,都市：其他:住宅區,1,1,全筆移轉,00210004
RPPNMLQJKHKGFCP88DA,五塊厝段,1380.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09890002
RPQPMLOKKHKGFDP56DA,廉使北段,26.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,21,3,持分移轉,07110000
RPQPMLOKKHKGFDP56DA,廉使北段,98.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,21,3,持分移轉,07150000
RPQPMLOKKHKGFDP56DA,廉使北段,1.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,21,3,持分移轉,07220000
RPQPMLOKKHKGFDP56DA,廉使北段,22.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,21,3,持分移轉,07230000
RPQPMLOKKHKGFDP56DA,廉使北段,40.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,21,3,持分移轉,07380000
RPRNMLRKKHKGFDP76DA,明正段,14.67,都市：其他:住宅區,10000,100,持分移轉,08420000
RPPNMLSKKHKGFCP56DA,社西段,.16,都市：其他:農業區,50,1,持分移轉,05880003
RPRNMLKKKHKGFBP48DA,茄苳腳段,2139.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,30410000
RPSNMLMKKHKGFBP78DA,五間厝段,165.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01800036
RPSNMLMKKHKGFBP78DA,五間厝段,10.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,37344,2125,持分移轉,01800045
RPSNMLOJKHKGFBP88DA,北銘段,11.00,都市：其他:道路用地,1,1,全筆移轉,11980000
RPRNMLRKKHKGFBP56DA,田子林段,109.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,04780001
RPRNMLRKKHKGFBP56DA,田子林段,18.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,18,1,持分移轉,04780006
RPRNMLRKKHKGFBP56DA,田子林段,100.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,04780009
RPQNMLTKKHKGFDP86DA,菜園段,283.37,都市：其他:住宅區,1,1,全筆移轉,08440003
RPTNMLTKKHKGFDP17DA,有才段,1566.69,非都市：特定農業區 ; 非都市編定：農牧用地,3,2,持分移轉,03020000
RPPNMLOKKHKGFCP88EA,新港後段,2909.32,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01340000
RPPNMLOKKHKGFCP88EA,新港後段,209.31,非都市：特定農業區 ; 非都市編定：交通用地,48,9,持分移轉,01670000
RPPNMLOKKHKGFCP88EA,新港後段,1523.17,非都市：特定農業區 ; 非都市編定：農牧用地,6000,891,持分移轉,01700000
RPPNMLOKKHKGFCP88EA,新港後段,4.92,非都市：特定農業區 ; 非都市編定：水利用地,6,1,持分移轉,01710000
RPPNMLOKKHKGFCP88EA,新港後段,41.60,非都市：特定農業區 ; 非都市編定：水利用地,6,1,持分移轉,01730000
RPPNMLOKKHKGFCP88EA,新港後段,407.15,非都市：特定農業區 ; 非都市編定：農牧用地,6000,891,持分移轉,01740000
RPPNMLOKKHKGFCP88EA,新港後段,110.45,非都市：特定農業區 ; 非都市編定：甲種建築用地,384,6,持分移轉,02240000
RPPNMLOKKHKGFCP88EA,新港後段,56.70,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,05060000
RPSNMLSKKHKGFFP17DA,海口段,32.73,都市：其他:住宅區,1056,30,持分移轉,03240001
RPSNMLSKKHKGFFP17DA,海口段,126.58,都市：其他:住宅區,252000,27618,持分移轉,06680000
RPPNMLSKKHKGFFP86DA,海口段,32.73,都市：其他:住宅區,176,5,持分移轉,03240001
RPPNMLSKKHKGFFP86DA,海口段,65.56,都市：其他:住宅區,42000,2384,持分移轉,06680000
RPRNMLSKKHKGFFP07DA,海口段,32.73,都市：其他:住宅區,704,20,持分移轉,03240001
RPRNMLSKKHKGFFP07DA,海口段,126.58,都市：其他:住宅區,168000,18412,持分移轉,06680000
RPQNMLSKKHKGFFP96DA,海口段,32.73,都市：其他:住宅區,352,10,持分移轉,03240001
RPQNMLSKKHKGFFP96DA,海口段,66.28,都市：其他:住宅區,42000,2410,持分移轉,06680000
RPQNMLRKKHKGFBP09DA,中天段,23.00,都市：其他:商業區,1,1,全筆移轉,00930001
RPUNMLRKKHKGFDP07DA,新吉段,21.18,都市：其他:住宅區,3897,256,持分移轉,01540001
RPUNMLRKKHKGFDP07DA,新吉段,162.06,都市：其他:公共設施保留地(綠地),1,1,全筆移轉,01540002
RPPNMLKLKHKGFFP88EA,東南段,82.00,都市：其他:農業區,1,1,全筆移轉,09780009
RPQNMLKLKHKGFDP68DA,新北段,121.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,05450005
RPQNMLKLKHKGFDP68DA,新北段,166.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05450019
RPQNMLKLKHKGFDP68DA,新北段,112.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05450020
RPSNMLRKKHKGFAP56DA,大潭段社口小段,98.00,都市：其他:道路用地,1,1,全筆移轉,01220001
RPXNMLLLKHKGFAP56DA,苦苓腳段,870.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01580059
RPOOMLLLKHKGFAP38DA,苦苓腳段,16.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01580371
RPPNMLTKKHKGFAP09DA,大潭段社口小段,7.15,都市：其他:住宅區,881730,3573,持分移轉,01720008
RPPNMLKLKHKGFAP28DA,虎溪段,113.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10950005
RPRNMLKLKHKGFFP98DA,後安段,3322.66,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,08570000
RPRNMLKLKHKGFFP98DA,後安段,2066.94,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,08570001
RPQNMLKLKHKGFFP88DA,後安段,3208.17,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,08560000
RPQNMLKLKHKGFFP88DA,後安段,2000.00,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,08560001
RPPNMLLLKHKGFFP88DA,東南段,53.00,都市：其他:農業區,1,1,全筆移轉,09780015
RPQNMLLLKHKGFFP98DA,東南段,51.00,都市：其他:農業區,1,1,全筆移轉,09780016
RPPNMLOLKHKGFFP56DA,東南段,36.00,都市：其他:農業區,1,1,全筆移轉,09780014
RPQNMLLLKHKGFCP78EA,新港後段,59.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,160,9,持分移轉,04680000
RPQNMLLLKHKGFCP78EA,新港後段,162.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,160,9,持分移轉,04750000
RPQNMLLLKHKGFCP78EA,新港後段,9.53,非都市：鄉村區 ; 非都市編定：交通用地,160,9,持分移轉,04760000
RPRNMLLLKHKGFCP88EA,大義崙段,7.41,非都市：特定農業區 ; 非都市編定：農牧用地,51,2,持分移轉,03080001
RPRNMLLLKHKGFCP88EA,新港後段,59.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,320,18,持分移轉,04680000
RPRNMLLLKHKGFCP88EA,新港後段,162.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,320,18,持分移轉,04750000
RPRNMLLLKHKGFCP88EA,新港後段,9.53,非都市：鄉村區 ; 非都市編定：交通用地,320,18,持分移轉,04760000
RPQNMLSKKHKGFCP66DA,社西段,.16,都市：其他:農業區,50,1,持分移轉,05880003
RPXNMLTKKHKGFAP27DA,海豐崙段朱丹灣小段,40.91,都市：其他:住宅區,100000,2177,持分移轉,00150000
RPPNMLTKKHKGFCP66DA,廣興段,441.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04530000
RPPNMLTKKHKGFCP66DA,廣興段,98.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,2,持分移轉,04540000
RPPNMLKLKHKGFCP48DA,湳仔段,4.71,非都市：鄉村區 ; 非都市編定：交通用地,120,1,持分移轉,02280000
RPPNMLKLKHKGFCP48DA,湳仔段,36.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,1,持分移轉,02360000
RPPNMLKLKHKGFCP48DA,湳仔段,333.93,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,03960000
RPPNMLKLKHKGFCP48DA,湳仔段,116.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,18,1,持分移轉,03970000
RPPNMLKLKHKGFCP48DA,湳仔段,9.73,非都市：鄉村區 ; 非都市編定：交通用地,24,1,持分移轉,03980000
RPPNMLTKKHKGFDP76DA,立仁段,19.80,都市：其他:住宅區,10000,59,持分移轉,00530000
RPPNMLTKKHKGFDP76DA,立仁段,.24,都市：其他:公共設施保留地(計劃道路),10000,59,持分移轉,00530001
RPTNMLSKKHKGFEP17DA,外埔段,6140.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01000000
RPPNMLOKKHKGFEP98DA,關聖段,49.00,都市：其他:商業區,1,1,全筆移轉,07620008
RPPNMLOKKHKGFEP98DA,關聖段,26.00,都市：其他:商業區,1,1,全筆移轉,07620009
RPPNMLOKKHKGFEP98DA,關聖段,12.00,都市：其他:商業區,1,1,全筆移轉,07620014
RPPNMLOKKHKGFEP98DA,關聖段,11.00,都市：其他:商業區,1,1,全筆移轉,07620015
RPPNMLTKKHKGFEP86DA,長興段,86.50,都市：其他:住宅區,1,1,全筆移轉,04960005
RPRNMLLLKHKGFEP98DA,梧北段,3033.93,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06140000
RPQNMLTKKHKGFEP96DA,大興段,985.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,07710000
RPRNMLKLKHKGFEP88DA,水井段,1981.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06780001
RPPNMLLLKHKGFEP78DA,椬梧庄段,103.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00660000
RPPNMLLLKHKGFEP78DA,椬梧庄段,257.49,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00670000
RPQNMLMKKHKGFEP88DA,西井段,2758.80,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,19620000
RPQNMLQJKHKGFEP56DA,草湖段,3758.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05340000
RPQNMLLKKHKGFEP78DA,蕃薯段,1456.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,26340000
RPQNMLLLKHKGFEP88DA,復興段,100.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,07900000
RPSNMLMKKHKGFEP09DA,林厝寮段,78.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,4,1,持分移轉,14520000
RPSNMLMKKHKGFEP09DA,林厝寮段,32.25,非都市：一般農業區 ; 非都市編定：甲種建築用地,4,1,持分移轉,14520006
RPRNMLOLKHKGFEP66DA,福德段,812.40,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01660001
