編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNLJIJGFCT66CB,檨興段,15.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1176,持分移轉,01340000
RPRNMLNLJIJGFCT66CB,檨興段,.08,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1176,持分移轉,01420001
RPRNMLNLJIJGFCT66CB,檨興段,6.32,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1176,持分移轉,01430000
RPPNMLKLJIJGFCT88DB,美和段,27.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,208,持分移轉,09410000
RPQNMLSLJIJGFDT17CB,東新段,43.12,都市：住,10000,1276,持分移轉,12750006
RPQNMLTLJIJGFAT96CB,潭頭段,18.63,都市：商,10000,376,持分移轉,03300000
RPSNMLSLJIJGFDT37CB,關帝段,112.95,都市：住,1,1,全筆移轉,10060016
RPSNMLSLJIJGFDT37CB,關帝段,.19,都市：住,16,1,持分移轉,10060017
RPQNMLQLJIJGFAT66CB,歸義段,86.30,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05370019
RPQNMLQLJIJGFAT66CB,歸義段,25.16,非都市：一般農業區 ; 非都市編定：丁種建築用地,12,1,持分移轉,05360010
RPQNMLQLJIJGFAT66CB,歸義段,.33,非都市：一般農業區 ; 非都市編定：甲種建築用地,18,1,持分移轉,05370003
RPTNMLQLJIJGFAT96CB,歸義段,86.95,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05370008
RPTNMLQLJIJGFAT96CB,歸義段,25.16,非都市：一般農業區 ; 非都市編定：丁種建築用地,12,1,持分移轉,05360010
RPTNMLQLJIJGFAT96CB,歸義段,.33,非都市：一般農業區 ; 非都市編定：甲種建築用地,18,1,持分移轉,05370003
