編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKJHKGFAZ07DA,馬祖段,126.65,都市：其他:商業區,1,1,全筆移轉,04740000
RPPNMLQJKIJGFAZ07DA,介壽段,36.33,都市：其他:住宅區,2,1,持分移轉,09850000
RPPNMLSJJHKGFAZ17DA,珠螺段,254.93,,1,1,全筆移轉,02370009
RPPNMLPLKIJGFAZ17DA,東引西段,84.44,都市：其他:農業區,1,1,全筆移轉,10990000
RPPNMLPLKIJGFAZ17DA,東引西段,43.56,都市：其他:農業區,1,1,全筆移轉,11140000
RPPNMLPLKIJGFAZ17DA,東引西段,104.56,都市：其他:農業區,1,1,全筆移轉,11230000
RPPNMLPLKIJGFAZ17DA,東引西段,83.65,都市：其他:農業區,1,1,全筆移轉,11310000
RPPNMLSJJHKGFAZ17DA,珠螺段,199.12,都市：其他:農業區,1,1,全筆移轉,03890000
RPQNMLPLKIJGFAZ27DA,東引西段,21.54,都市：其他:住宅區,1,1,全筆移轉,07930000
RPPNMLKMKIJGFAZ76DA,塘岐段,14.81,都市：其他:住宅區,1,1,全筆移轉,02440002
