鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
萬華區,土地,雙園段二小段712-1地號,8.46,都市：其他:道路用地(公共設施用地)。56/8/25,,,1130606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,35461,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPPNMLQJOHJGFBA57DA,0.0,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區林森北路４１０號三樓之２２,2.94,商,,,1130501,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0640829,16.59,0,0,0,無,有,2800000,168776,,0.0,0,本案為無隔間之商場買賣。,RPWNMLQJNHJGFCA28DA,9.0,0.0,0.0,有,
中正區,車位,臺北市中正區延平南路１１０號地下三樓,1.34,商,,,1130501,土地1建物1車位1,地下三層,十五層,其他,防空避難室兼停車場,鋼筋混凝土造,0700225,28.29,0,0,0,無,有,1890000,,坡道平面,28.29,1890000,僅車位交易；,RPRNMLSJNHJGFBA97EA,0.0,0.0,0.0,有,0001
北投區,土地,桃源段五小段374地號,72.96,住,,,1130503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2400000,32895,,0.0,0,,RPWNMLRJNHJGFEA68EA,0.0,0.0,0.0,無,
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路８２號六樓之１,10.02,商,,,1130502,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020528,149.89,2,2,2,有,有,30880000,218024,坡道機械,16.51,1800000,,RPPNMLQJNHJGFBA47DA,81.25,1.61,6.53,有,0002
中山區,土地,德惠段二小段881-1地號,204.77,都市：其他:道路用地(公共設施用地)。56/10/5,,,1130502,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21424000,104625,,0.0,0,包含公共設施保留地用地；,RPUNMLTJNHJGFCA48EA,0.0,0.0,0.0,無,0003
中山區,土地,德惠段二小段881-1地號,227.4,都市：其他:道路用地(公共設施用地)。56/10/5,,,1130502,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,23794000,104635,,0.0,0,包含公共設施保留地用地；,RPVNMLTJNHJGFCA58EA,0.0,0.0,0.0,無,0003
中正區,房地(土地+建物),臺北市中正區牯嶺街８７之３號四樓,4.1,商,,,1130506,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610517,14.77,3,0,1,有,無,2000000,135410,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKKNHJGFAA27DA,14.77,0.0,0.0,無,
南港區,土地,南港段四小段328-2地號,19.18,住,,,1130505,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12449000,649062,,0.0,0,,RPPNMLNKNHJGFDA47DA,0.0,0.0,0.0,無,0005
大安區,土地,金華段三小段32地號,7.92,都市：其他:道路用地(公共設施用地)。,,,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,88384,,0.0,0,包含公共設施保留地用地；,RPPNMLNKNHJGFFA67DA,0.0,0.0,0.0,無,
南港區,土地,大豐段三小段183地號,53.0,都市：其他:保護區。,,,1130505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,288585,5445,,0.0,0,,RPPQMLTLJHJGFDA18EA,0.0,0.0,0.0,無,
松山區,房地(土地+建物),臺北市松山區新中街４巷１０號四樓,45.17,都市：其他:住宅用地(民生社區特定專用區)。,,,1130503,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0590127,79.7,3,2,1,有,無,20000000,250941,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；頂樓加蓋；,RPQNMLNLMHJGFDA67EA,79.7,0.0,0.0,無,
萬華區,土地,漢中段一小段342地號,29.0,都市：其他:道路用地(公共設施用地)。45/5/4,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5080800,175200,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPPNMLRLMHJGFBA67DA,0.0,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區中山北路二段１１５巷３弄１０號四樓之２,8.87,商,,,1130502,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710825,52.94,4,0,4,有,有,12000000,226672,,0.0,0,,RPVNMLKKNHJGFCA67DA,38.29,3.37,1.55,有,
中山區,車位,臺北市中山區新生北路二段６０之１號，６０之２號，６０之３號，６０之５號，６０之６號，６０之７號，新生北路二段６０巷１號，３號，５號，７號，９號，１１號，１３號，１５號，１７號，１９號，２１號，２３號，２５號，２７號，２９號，新生北路二段６２巷２號，６號，８號，１６號，１８號，２０號，２２號，長春路６１巷２７號，２９號建物門牌地下二層至地下三層,0.31,商,,,1130508,土地1建物1車位1,地下二層，地下三層,十九層,其他,獎勵停車空間,鋼骨鋼筋混凝土造,1050322,33.22,0,0,0,無,有,3300000,,坡道平面,33.21,3300000,僅車位交易；,RPSNMLNKNHJGFCA67DA,0.0,0.0,0.0,有,0006
中山區,車位,臺北市中山區建國北路二段３巷１７號門牌房屋地下二、三、四層,2.17,住,,,1130501,土地1建物1車位1,地下一層，地下二層，地下三層，地下四層,九層,其他,見使用執照,鋼筋混凝土造,0811217,30.79,0,0,0,無,有,2000000,,坡道平面,30.78,2000000,僅車位交易；,RPXNMLNKNHJGFCA18DA,0.0,0.0,0.0,有,0007
松山區,土地,西松段三小段239地號,5.23,都市：其他:道路用地(公共設施用地)。62/12/31,,,1130503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,486812,93081,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPUNMLRLMHJGFDA38DA,0.0,0.0,0.0,無,0008
士林區,土地,富安段三小段209地號,825.5,,,,1130502,土地14建物0車位0,,,其他,,,,0.0,0,0,0,無,無,67000000,81163,,0.0,0,,RPOOMLSJNHJGFEA97DA,0.0,0.0,0.0,無,0009
士林區,車位,臺北市士林區中山北路五段７２７號房屋地下三樓,1.16,住,,,1130501,土地1建物1車位1,地下三層,十三層,其他,停車空間,鋼筋混凝土造,0821018,36.830000000000005,0,0,0,無,有,2950000,,坡道平面,36.81,2950000,僅車位交易；,RPPNMLLKNHJGFEA37DA,0.0,0.0,0.0,有,0010
士林區,房地(土地+建物),臺北市士林區和豐街２８號三樓,17.83,住,,,1130504,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0591002,58.48,3,2,1,有,無,7330000,125342,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNKNHJGFEA67DA,51.51,0.0,6.97,無,
大安區,土地,復興段一小段155-2地號,4.0,都市：其他:道路用地(公共設施用地)。48/3/13,,,1130501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,668400,167100,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPSNMLTKMHJGFFA48DA,0.0,0.0,0.0,無,0011
