year,district,single_total,ordinary_total,ratio_single
2015,中山區,42105,57049,0.42464247534138816
2015,中正區,23226,42065,0.3557304988436385
2015,信義區,32169,57370,0.3592736126157317
2015,內湖區,32276,74269,0.3029330329907551
2015,北投區,30485,65216,0.31854421583891496
2015,南港區,15920,30508,0.34289652795726716
2015,士林區,33688,72624,0.31687862141620887
2015,大同區,19461,32052,0.37778813115135984
2015,大安區,39772,80628,0.33033222591362127
2015,文山區,33438,70974,0.3202505459142627
2015,松山區,25958,54334,0.3232949733472824
2015,萬華區,30639,47674,0.3912377255372671
2016,中山區,42738,56868,0.4290705379194025
2016,中正區,23527,41452,0.36207082288123854
2016,信義區,32610,56926,0.3642110436025733
2016,內湖區,32939,74254,0.30728685641786313
2016,北投區,31405,65005,0.3257442174048335
2016,南港區,16181,30628,0.3456813860582367
2016,士林區,34495,72303,0.32299293994269557
2016,大同區,19792,31802,0.38361049734465247
2016,大安區,40352,80164,0.33482691094958345
2016,文山區,34029,70907,0.3242833727224213
2016,松山區,26362,53950,0.328244845104094
2016,萬華區,31260,47288,0.39797321383103323
2017,中山區,43455,56768,0.43358310966544605
2017,中正區,23833,41269,0.3660870633774692
2017,信義區,33036,56415,0.369319515712513
2017,內湖區,33615,74301,0.31149227176692984
2017,北投區,31860,64899,0.329271695656218
2017,南港區,16459,30593,0.349804471648389
2017,士林區,35164,71861,0.32855874795608503
2017,大同區,20189,31598,0.3898468727672968
2017,大安區,40860,79876,0.33842433077126954
2017,文山區,34751,70726,0.3294651914635418
2017,松山區,26827,53725,0.33303952726189295
2017,萬華區,31879,46750,0.40543565351206295
2018,中山區,43936,56555,0.43721328278154264
2018,中正區,24275,41194,0.3707861736088836
2018,信義區,33597,55971,0.37510048231511256
2018,內湖區,34276,74463,0.3152134928590478
2018,北投區,32616,64757,0.3349593829911783
2018,南港區,16836,30548,0.3553098092183015
2018,士林區,35898,71614,0.3338976114294218
2018,大同區,20508,31270,0.39607555332380545
2018,大安區,41627,79715,0.34305516638921396
2018,文山區,35748,70889,0.3352307360484635
2018,松山區,27548,53580,0.33956217335568484
2018,萬華區,32472,46295,0.41225386265821984
2019,中山區,44723,56035,0.44386549951368626
2019,中正區,24859,40964,0.3776643422511888
2019,信義區,34171,55242,0.38217037790925257
2019,內湖區,35361,74228,0.32266924600096725
2019,北投區,33475,64498,0.3416757678135813
2019,南港區,17328,30286,0.363926576217079
2019,士林區,37096,71007,0.3431542140366132
2019,大同區,20944,30977,0.4033820612083743
2019,大安區,42096,79554,0.3460419235511714
2019,文山區,36807,70544,0.3428659257948226
2019,松山區,27871,53487,0.3425723346198284
2019,萬華區,33434,45851,0.42169388913413636
2020,中山區,45596,55192,0.452395126403937
2020,中正區,25374,40417,0.38567585232022616
2020,信義區,34750,54198,0.39067769932994556
2020,內湖區,36226,73665,0.3296539298031686
2020,北投區,34103,64018,0.34756066489334597
2020,南港區,18042,29968,0.3757967090189544
2020,士林區,38038,70100,0.3517542399526531
2020,大同區,21546,30583,0.4133208003222774
2020,大安區,42586,78565,0.35151174979983657
2020,文山區,37753,69912,0.35065248688060185
2020,松山區,28291,52663,0.349470069422141
2020,萬華區,34424,44950,0.43369365283342154
2021,中山區,46320,53205,0.46541070082893743
2021,中正區,25852,39220,0.3972830095893779
2021,信義區,35450,52389,0.403579275720352
2021,內湖區,37350,72589,0.33973385240906323
2021,北投區,34834,63088,0.355732113314679
2021,南港區,18385,29415,0.3846234309623431
2021,士林區,38909,68250,0.3630959602086619
2021,大同區,22184,29955,0.42547804906116343
2021,大安區,43437,75948,0.3638396783515517
2021,文山區,38562,68678,0.35958597538232
2021,松山區,28819,51160,0.3603320871728829
