編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLPJJIIFFAE77CA,青海段,24.83,都市：住,10000,90,持分移轉,06800000
RPOOMLOJJIIFFAE96CA,龍華段二小段,25.40,都市：住,10000,312,持分移轉,05780001
RPPOMLPJJIIFFAE17CA,青海段,28.14,都市：住,10000,102,持分移轉,06800000
RPXNMLPJJIIFFAE87CA,龍華段四小段,104.00,都市：其他:(空白),40,13,持分移轉,05670008
RPXNMLPJJIIFFAE87CA,龍華段四小段,112.00,都市：住,82,28,持分移轉,05760000
RPSNMLSJJIIFFAE67CA,龍華段一小段,34.35,都市：住,10000,407,持分移轉,08270000
RPPNMLRKJIIFFAE37CA,興橋段,25.68,都市：商,10000,944,持分移轉,04460000
RPTNMLMKJIIFFAE27CA,龍華段一小段,112.00,都市：住,1,1,全筆移轉,03370000
RPSSMLMLJIIFFAE77CA,龍華段八小段,4.21,都市：住,10000,89,持分移轉,24210000
RPUNMLOJJIIFFBE57CA,林興段,4.32,都市：住,10000,122,持分移轉,05870001
RPUNMLOJJIIFFBE57CA,林興段,26.62,都市：住,10000,103,持分移轉,05880000
RPVNMLQJJIIFFBE87CA,正明段,29.98,都市：商,4,1,持分移轉,02020000
RPXNMLRJJIIFFBE18CA,過田子段,50.00,都市：其他:,1,1,全筆移轉,10480000
RPXNMLRJJIIFFBE18CA,正言段,4.65,都市：其他:,5,2,持分移轉,07800000
RPXNMLRJJIIFFBE18CA,正言段,22.20,都市：其他:,20,11,持分移轉,08790002
RPUOMLRJJIIFFBE97CA,大統段一小段,18.13,都市：商,10000,207,持分移轉,08300000
RPQNMLTJJIIFFBE67CA,苓洲段,5.28,都市：商,100000,886,持分移轉,05420000
RPWOMLRLJIIFFBE38CA,林德官段,50.19,都市：商,10000,1485,持分移轉,13270000
RPPNMLSLJIIFFBE67CA,成功段,8.53,都市：住,10000,69,持分移轉,02990000
RPUNMLSLJIIFFBE18CA,五塊厝段,28.17,都市：住,24,1,持分移轉,18090000
RPVOMLOKJIIFFAE77CA,府北段五小段,13.01,都市：住,10000,573,持分移轉,01470000
RPQNMLMKJIIFFAE96CA,龍華段八小段,17.05,都市：商,10000,49,持分移轉,22430000
RPSPMLPJJIIFFCE77CA,愛群段,8.10,都市：商,10000,117,持分移轉,01980000
RPSPMLPJJIIFFCE77CA,愛群段,13.67,都市：住,10000,117,持分移轉,02020000
RPUPMLPJJIIFFCE97CA,愛群段,8.10,都市：商,10000,117,持分移轉,01980000
RPUPMLPJJIIFFCE97CA,愛群段,13.67,都市：住,10000,117,持分移轉,02020000
RPSNMLOJJIIFFCE47CA,鳳鼻頭段,3640.00,都市：工,1,1,全筆移轉,10820004
RPPNMLPKJIIFFBE27CA,福裕段,3.69,都市：住,10000,345,持分移轉,08120000
RPPNMLPKJIIFFBE27CA,福裕段,3.17,都市：住,10000,345,持分移轉,08460000
RPUPMLSJJIIFFCE28CA,愛群段,5.90,都市：商,100000,331,持分移轉,17460000
RPXNMLKLJIIFFCE77CA,盛興段,2.42,都市：住,60,1,持分移轉,00190000
RPXNMLKLJIIFFCE77CA,盛興段,2.42,都市：住,60,1,持分移轉,00190000
RPXNMLKLJIIFFCE77CA,盛興段,2.42,都市：住,60,1,持分移轉,00190000
RPXNMLKLJIIFFCE77CA,盛興段,.05,都市：住,60,1,持分移轉,00190001
RPXNMLKLJIIFFCE77CA,盛興段,.05,都市：住,60,1,持分移轉,00190001
RPXNMLKLJIIFFCE77CA,盛興段,.05,都市：住,60,1,持分移轉,00190001
RPXNMLKLJIIFFCE77CA,盛興段,33.00,都市：住,3,1,持分移轉,00300000
RPXNMLKLJIIFFCE77CA,盛興段,33.00,都市：住,3,1,持分移轉,00300000
RPXNMLKLJIIFFCE77CA,盛興段,33.00,都市：住,3,1,持分移轉,00300000
RPOPMLMLJIIFFCE27CA,光華段,11.24,都市：住,100000,900,持分移轉,06140000
RPOPMLMLJIIFFCE27CA,光華段,11.24,都市：住,100000,900,持分移轉,06140000
RPRPMLMLJIIFFCE57CA,光華段,11.10,都市：住,200000,1777,持分移轉,06140000
RPRPMLMLJIIFFCE57CA,光華段,11.10,都市：住,200000,1777,持分移轉,06140000
RPPPMLMJKIIFFBE17CA,新興段二小段,76.34,都市：住,10000,520,持分移轉,12380000
RPXNMLPLJIIFFCE28CA,光華段,29.20,都市：住,100000,2338,持分移轉,06140000
RPPOMLPLJIIFFCE57CA,光華段,28.90,都市：住,100000,2314,持分移轉,06140000
RPTOMLPLJIIFFCE97CA,青島段二小段,28.80,都市：住,20,1,持分移轉,06600007
RPUOMLPLJIIFFCE08CA,光華段,31.71,都市：住,100000,2539,持分移轉,06140000
RPVOMLPLJIIFFCE18CA,光華段,28.49,都市：住,100000,2281,持分移轉,06140000
RPWOMLPLJIIFFCE28CA,青島段二小段,28.80,都市：住,20,1,持分移轉,06600007
RPROMLPLJIIFFCE77CA,光華段,29.40,都市：住,100000,2354,持分移轉,06140000
RPQPMLPLJIIFFCE77CA,光華段,28.49,都市：住,100000,2281,持分移轉,06140000
RPRPMLPLJIIFFCE87CA,光華段,31.41,都市：住,100000,2515,持分移轉,06140000
RPPNMLRLJIIFFBE57CA,意誠段,4.00,都市：住,10000,47,持分移轉,05370000
RPUNMLOKJIIFFAE57CA,博孝段,5.15,都市：商,10000,50,持分移轉,05360000
RPUPMLTLJIIFFBE48CA,新興段四小段,3.69,都市：商,10000,75,持分移轉,11030000
RPWNMLPLJIIFFCE18CA,憲德段二小段,13.39,都市：商,10000,46,持分移轉,00160020
RPTOMLTLJIIFFAE18CA,前峰段,31.42,都市：住,10000,227,持分移轉,02150000
RPROMLRLJIIFFAE77CA,龍華段八小段,6.16,都市：住,10000,34,持分移轉,24060000
RPUOMLNKJIIFFBE67CA,意誠段,1.16,都市：商,100000,12,持分移轉,07630000
RPUOMLNKJIIFFBE67CA,意誠段,.29,都市：商,100000,12,持分移轉,07630001
RPROMLQLJIIFFCE87CA,光華段,28.49,都市：住,100000,2281,持分移轉,06140000
RPPNMLTLJIIFFCE87CA,光華段,15.23,都市：住,200000,2439,持分移轉,06140000
RPPNMLTLJIIFFCE87CA,光華段,15.23,都市：住,200000,2439,持分移轉,06140000
RPTNMLOJJIIFFDE67CA,鼎金段,170.38,都市：農,1,1,全筆移轉,03780000
RPVOMLRJJIIFFDE28CA,建德段,26.20,都市：商,1000,100,持分移轉,08970000
RPUNMLSJJIIFFDE18CA,獅頭段一小段,17.98,都市：住,100000,744,持分移轉,18100000
RPQOMLMKJIIFFCE27CA,新生段,256.00,都市：商,1,1,全筆移轉,02940000
RPROMLSJJIIFFDE97CA,建安段,17.47,都市：住,100000,209,持分移轉,04710000
RPQOMLLKJIIFFDE27CA,獅頭段一小段,93.00,都市：住,1,1,全筆移轉,19460000
RPQPMLMKJIIFFDE47CA,灣愛段,18.62,都市：住,7,1,持分移轉,04210000
RPWOMLSLJIIFFCE58CA,光華段,22.48,都市：住,100000,1800,持分移轉,06140000
RPXOMLSLJIIFFCE68CA,光華段,22.49,都市：住,100000,1801,持分移轉,06140000
RPWNMLMKJIIFFDE87CA,獅頭段,2.75,都市：商,100000,154,持分移轉,23190000
RPQNMLOKJIIFFDE47CA,覆鼎金段覆鼎金小段,32.22,都市：住,10000,120,持分移轉,16150000
RPTOMLOKJIIFFDE87CA,大順段,9.25,都市：商,10000,25,持分移轉,09110000
RPOQMLOKJIIFFDE57CA,覆鼎金段覆鼎金一小段,16.80,都市：住,10000,84,持分移轉,06170000
RPPOMLTKJIIFFDE97CA,大裕段一小段,16.65,都市：住,10000,26,持分移轉,02190000
RPWNMLNKJIIFFDE97CA,灣中段,4.96,都市：商,500,1,持分移轉,01400000
RPPNMLPLJIIFFDE57CA,鼎泰段,24.57,都市：住,10000,171,持分移轉,14700000
RPXNMLTJJIIFFDE58CA,大港段,4.23,都市：住,100000,407,持分移轉,35170000
RPXNMLTJJIIFFDE58CA,大港段,.28,都市：住,100000,407,持分移轉,35170003
RPQOMLPKJIIFFDE67CA,大港段七小段,53.00,都市：住,1,1,全筆移轉,06950027
RPROMLSLJIIFFCE08CA,光華段,22.48,都市：住,100000,1800,持分移轉,06140000
RPQOMLSLJIIFFCE97CA,光華段,28.49,都市：住,100000,2281,持分移轉,06140000
RPUOMLSLJIIFFCE38CA,光華段,28.69,都市：住,100000,2297,持分移轉,06140000
RPTOMLSLJIIFFCE28CA,光華段,22.48,都市：住,100000,1800,持分移轉,06140000
RPUNMLQJJIIFFEE08CA,新庄段十三小段,4.90,都市：商,100000,1202,持分移轉,15190001
RPSOMLOJJIIFFEE77CA,右昌段四小段,232.00,都市：住,1,1,全筆移轉,09200001
RPRNMLRJJIIFFEE87CA,福山段,10.15,都市：商,10000,68,持分移轉,04720000
RPRNMLSJJIIFFEE97CA,和平段五小段,4.20,都市：商,100000,645,持分移轉,00310000
RPRNMLSJJIIFFEE97CA,和平段五小段,4.20,都市：商,100000,645,持分移轉,00310000
RPTNMLTJJIIFFEE28CA,新庄段十二小段,12.83,都市：住,10000,80,持分移轉,12290000
RPSOMLSLJIIFFCE18CA,光華段,22.48,都市：住,100000,1800,持分移轉,06140000
RPVPMLMKJIIFFEE08CA,新光段,13.61,都市：住,10000,223,持分移轉,03340000
RPTOMLNKJIIFFEE87CA,新夏段,15.88,都市：住,100000,3683,持分移轉,00130000
RPPQMLOKJIIFFEE77CA,新庄段十二小段,9.76,都市：住,10000,149,持分移轉,11480000
RPPQMLOKJIIFFEE77CA,新庄段十二小段,21.69,都市：住,10000,149,持分移轉,11490000
RPRPMLOJJIIFFFE87CA,頂?田段,2640.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12200000
RPPPMLSLJIIFFEE18CA,新民段,11.22,都市：住,10000,62,持分移轉,01810000
RPQNMLTJJIIFFFE08CA,九甲圍段,143.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11150002
RPQOMLQLJIIFFCE77CA,光華段,22.48,都市：住,100000,1800,持分移轉,06140000
RPWNMLMLJIIFFFE18CA,大公段,934.00,都市：住,1,1,全筆移轉,03240000
RPWNMLMLJIIFFFE18CA,大公段,136.00,都市：住,1,1,全筆移轉,03260000
RPWNMLMLJIIFFFE18CA,大公段,77.00,都市：住,1,1,全筆移轉,03270000
RPOQMLLJJIIFFGE47CA,竹子腳段,24.49,都市：住,10000,370,持分移轉,01160000
RPUNMLOJJIIFFGE08CA,北門段,29.66,都市：住,10000,62,持分移轉,09480000
RPXNMLQJJIIFFGE58CA,五甲段,24.26,都市：住,10000,382,持分移轉,13810010
RPROMLSJJIIFFGE28CA,赤山段,22.73,都市：住,10000,61,持分移轉,03580002
RPROMLSJJIIFFGE28CA,赤山段,.03,都市：住,10000,61,持分移轉,03580022
RPWPMLRJJIIFFGE78CA,華鳳段,12.54,都市：住,100000,183,持分移轉,01120001
RPXNMLMKJIIFFGE28CA,文英段,22.60,都市：住,10000,86,持分移轉,21450000
RPROMLPKJIIFFGE08CA,牛潮埔段,16.97,都市：住,3000,100,持分移轉,06130000
RPXOMLMLJIIFFGE48CA,七老爺段,83.00,都市：住,1,1,全筆移轉,03100050
RPXOMLMLJIIFFGE48CA,七老爺段,16.25,都市：住,4,1,持分移轉,03100052
RPUNMLNKJIIFFGE08CA,中崙段,41.28,都市：住,100000,100,持分移轉,00170000
RPUNMLNKJIIFFGE08CA,中崙段,.14,都市：住,250000000,830,持分移轉,00170000
RPXNMLMLJIIFFFE28CA,大公段,94.00,都市：住,1,1,全筆移轉,03020007
RPSNMLSLJIIFFGE48CA,五甲段,8.80,都市：住,5,1,持分移轉,22030000
RPSNMLSLJIIFFGE48CA,五甲段,4.00,都市：住,8,1,持分移轉,22030001
RPSNMLSLJIIFFGE48CA,五甲段,1.75,都市：住,8,1,持分移轉,22030004
RPSNMLSLJIIFFGE48CA,五甲段,12.27,都市：住,11,1,持分移轉,22030006
RPVOMLRJJIIFFEE38CA,右昌段六小段,5.55,都市：其他:道路用地,228614400000,22670513320,持分移轉,16290000
RPQOMLOKJIIFFIE08CA,保安段,31.12,都市：住,16,2,持分移轉,02090008
RPQOMLOKJIIFFIE08CA,保安段,97.00,都市：住,1,1,全筆移轉,02090012
RPROMLSLJIIFFFE38CA,新莊段,142.56,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06960000
RPROMLSLJIIFFFE38CA,新莊段,241.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06970000
RPROMLSLJIIFFFE38CA,新莊段,242.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06980000
RPROMLSLJIIFFFE38CA,新莊段,243.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06990000
RPROMLSLJIIFFFE38CA,新莊段,303.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07000010
RPROMLSLJIIFFFE38CA,新莊段,83.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07000011
RPXOMLTKJIIFFIE66CA,澄觀段,209.37,都市：住,1,1,全筆移轉,02280003
RPSNMLOJJIIFFJE18CA,田寮段,582.49,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,447,持分移轉,01290001
RPTNMLOJJIIFFJE28CA,石案潭段,1587.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11520000
RPQNMLRJJIIFFJE28CA,華正段,56.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,288,17,持分移轉,09320000
RPPNMLOJJIIFFHE67CA,竹峰段,1.41,都市：其他:,1,1,全筆移轉,06080000
RPPNMLOJJIIFFHE67CA,竹峰段,106.42,都市：住,1,1,全筆移轉,06090000
RPPNMLOJJIIFFHE67CA,竹峰段,1.51,都市：其他:,1,1,全筆移轉,06110000
RPQNMLQKJIIFFJE28CA,中路段,2644.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,20710000
RPPNMLKLJIIFFJE67CA,土庫段,1884.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,20700000
RPSNMLRLJIIFFJE68CA,古亭坑段,233.60,非都市：森林區 ; 非都市編定：農牧用地,25,4,持分移轉,00470000
RPSNMLRLJIIFFJE68CA,古亭坑段,102.80,非都市：森林區 ; 非都市編定：農牧用地,5,1,持分移轉,00470001
RPSNMLRLJIIFFJE68CA,古亭坑段,130.00,非都市：森林區 ; 非都市編定：農牧用地,5,1,持分移轉,00480000
RPSNMLRLJIIFFJE68CA,古亭坑段,169.80,非都市：森林區 ; 非都市編定：農牧用地,5,1,持分移轉,00490000
