編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUPMLSJJIIFFAE18CB,坡道平面,0,29.28,
RPVPMLSJJIIFFAE28CB,坡道平面,0,29.28,
RPPQMLSJJIIFFAE77CB,坡道機械,0,9.87,
RPTQMLSJJIIFFAE18CB,坡道平面,0,29.28,
RPQRMLSJJIIFFAE97CB,坡道機械,0,9.87,
RPSRMLSJJIIFFAE18CB,坡道機械,0,9.87,
RPSNMLPKJIIFFAE57CB,坡道機械,0,9.87,
RPRNMLPKJIIFFAE47CB,坡道平面,0,29.28,
RPUOMLPKJIIFFAE87CB,坡道平面,0,29.28,
RPUNMLPKJIIFFAE77CB,坡道機械,0,9.87,
RPSOMLPKJIIFFAE67CB,坡道平面,0,29.28,
RPQOMLPKJIIFFAE47CB,坡道機械,0,9.87,
RPXOMLPKJIIFFAE18CB,坡道機械,0,9.87,
RPVOMLPKJIIFFAE97CB,坡道平面,0,29.28,
RPWOMLPKJIIFFAE08CB,坡道平面,0,29.28,
RPUNMLMLJIIFFAE57CB,坡道機械,0,9.87,
RPXNMLMLJIIFFAE87CB,坡道機械,0,9.87,
RPWNMLMLJIIFFAE77CB,坡道機械,0,9.87,
RPTNMLMLJIIFFAE47CB,坡道機械,0,9.87,
RPPOMLMLJIIFFAE17CB,坡道平面,0,29.28,
RPROMLMLJIIFFAE37CB,坡道機械,0,9.87,
RPSOMLMLJIIFFAE47CB,坡道機械,0,9.87,
RPUOMLMLJIIFFAE67CB,坡道平面,0,29.28,
RPPRMLMLJIIFFAE47CB,坡道機械,0,9.87,
RPSPMLNJKIIFFEE97CB,坡道平面,1050000,29.24,
RPUPMLKKKIIFFEE97CB,坡道平面,950000,29.24,
RPXNMLSJJHJFFAE28CB,坡道平面,0,29.28,
RPOOMLSJJHJFFAE47CB,坡道平面,0,29.28,
RPPOMLSJJHJFFAE57CB,坡道平面,0,29.28,
RPQOMLSJJHJFFAE67CB,坡道平面,0,9.87,
RPTOMLSJJHJFFAE97CB,坡道機械,0,9.87,
RPQQMLQKJHJFFGE38CB,坡道平面,0,22.18,
RPPQMLQKJHJFFGE28CB,坡道平面,0,22.18,
RPWPMLQKJHJFFGE88CB,坡道平面,0,22.18,
RPUPMLQKJHJFFGE68CB,坡道平面,0,22.18,
RPTPMLQKJHJFFGE58CB,坡道平面,0,22.18,
RPWOMLQKJHJFFGE78CB,坡道平面,0,22.18,
RPVPMLQKJHJFFGE78CB,坡道平面,0,22.18,
RPRPMLSJJHJFFGE48CB,坡道平面,0,21.49,
RPSPMLSJJHJFFGE58CB,坡道平面,0,22.18,
RPVPMLKKKIIFFEE08CB,坡道平面,800000,27.17,
RPRPMLNLJHJFFGE18CB,坡道機械,0,12.50,
RPVPMLNLJHJFFGE58CB,坡道機械,0,12.50,
RPXOMLNLJHJFFGE68CB,坡道機械,0,12.50,
RPSPMLNLJHJFFGE28CB,坡道平面,0,22.18,
RPQPMLNLJHJFFGE08CB,坡道機械,0,12.50,
RPTPMLNLJHJFFGE38CB,坡道機械,0,12.50,
RPPPMLNLJHJFFGE97CB,坡道機械,0,12.50,
RPWOMLNLJHJFFGE58CB,坡道平面,0,22.18,
RPUOMLNLJHJFFGE38CB,坡道平面,0,22.18,
RPVOMLNLJHJFFGE48CB,坡道平面,0,22.18,
RPWPMLNLJHJFFGE68CB,坡道平面,0,22.18,
RPXPMLNLJHJFFGE78CB,坡道機械,0,12.50,
RPPQMLNLJHJFFGE08CB,坡道平面,0,21.49,
RPRQMLNLJHJFFGE28CB,坡道機械,0,12.50,
RPOQMLNLJHJFFGE97CB,坡道機械,0,12.50,
RPVPMLTLJHJFFCE78CB,坡道平面,1500000,20.94,
RPXPMLTLJHJFFCE98CB,坡道平面,1600000,23.00,
RPXRMLTLJHJFFCE56CB,坡道平面,1500000,23.00,
RPOSMLTLJHJFFCE38CB,坡道平面,1600000,23.00,
RPOSMLTLJHJFFCE38CB,坡道平面,1600000,23.00,
RPQSMLTLJHJFFCE58CB,坡道平面,1500000,20.94,
RPQSMLTLJHJFFCE58CB,坡道平面,1600000,23.00,
RPPSMLTLJHJFFCE48CB,坡道平面,1500000,23.00,
RPWRMLTLJHJFFCE09CB,坡道平面,1600000,23.00,
RPVRMLTLJHJFFCE98CB,坡道平面,1500000,23.00,
RPVRMLTLJHJFFCE98CB,坡道平面,1500000,23.00,
RPSSMLTLJHJFFCE78CB,坡道平面,1500000,23.00,
RPSSMLTLJHJFFCE78CB,坡道平面,1500000,23.00,
RPRSMLTLJHJFFCE68CB,坡道平面,1600000,23.00,
RPWSMLTLJHJFFCE56CB,坡道平面,1600000,23.00,
RPVSMLTLJHJFFCE09CB,坡道平面,1600000,23.00,
RPTSMLTLJHJFFCE88CB,坡道平面,1500000,23.00,
RPTTMLTLJHJFFCE98CB,坡道平面,1500000,23.00,
RPOTMLTLJHJFFCE48CB,坡道平面,1500000,23.00,
RPRTMLTLJHJFFCE78CB,坡道平面,1500000,23.00,
RPQTMLTLJHJFFCE68CB,坡道平面,1500000,23.00,
RPSTMLTLJHJFFCE88CB,坡道平面,1500000,23.00,
RPPTMLTLJHJFFCE58CB,坡道平面,1500000,23.00,
RPUTMLTLJHJFFCE09CB,坡道平面,1400000,20.94,
RPPUMLTLJHJFFCE68CB,坡道平面,1500000,23.00,
RPVTMLTLJHJFFCE56CB,坡道平面,1500000,23.00,
RPWTMLTLJHJFFCE66CB,坡道平面,1500000,23.00,
RPQUMLTLJHJFFCE78CB,坡道平面,1400000,20.94,
