鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苓雅區,車位,高雄市苓雅區新光路62巷B4-199車位,0.0,商,,,1021028,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1500,,坡道平面,12.65,1500,,RPXNMLLJJIIFFBE77CC
苓雅區,車位,高雄市苓雅區新光路62巷B1-94車位,0.0,,,,1021031,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.65,2000,,RPOOMLLJJIIFFBE96CC
苓雅區,建物,高雄市苓雅區新光路62巷19號20樓之3,0.0,商,,,1021101,土地0建物1車位0,三十五層,,住宅大樓(11層含以上有電梯),,,,145.12,3,2,2,有,有,有,15000,103,,0.0,0,,RPSOMLLJJIIFFBE37CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕國街163號,26.53,住,,,1021031,土地1建物1車位1,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940909,191.2,4,2,2,有,有,有,25000,131,坡道機械,14.54,0,,RPVNMLLJJIIFFAE47CC
三民區,建物,高雄市三民區覺民路581號4樓2號房間,81.91,住,,,1021101,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0810305,348.23,1,0,1,有,有,有,6500,19,,0.0,0,套房,RPXNMLLJJIIFFDE97CC
左營區,房地(土地+建物),高雄市左營區自由二路192號,94.0,住,,,1021031,土地1建物1車位0,全,5,透天厝,住商用,見其他登記事項,0920305,304.45,5,2,5,有,無,無,75000,246,,0.0,0,,RPXOMLLJJIIFFEE18CC
楠梓區,房地(土地+建物),高雄市楠梓區加宏路162號,78.66,住,,,1021101,土地1建物1車位0,全,4,透天厝,住商用,見使用執照,0911107,191.64,5,2,5,有,無,無,26000,136,,0.0,0,,RPPPMLLJJIIFFEE47CC
小港區,房地(土地+建物),高雄市小港區漢民路119號6樓,16.32,住,,,1021101,土地1建物1車位0,六層,7,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820106,88.75,3,2,2,有,無,無,10400,117,,0.0,0,,RPROMLLJJIIFFCE37CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區保泰路220巷65號5樓,18.14,住,,,1021004,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830628,128.31,3,2,2,有,無,無,10000,78,坡道機械,0.0,0,,RPROMLLJJIIFFGE77CC
鳳山區,土地,牛潮埔段1109-4地號,330.58,工,,,1021001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,33000,100,,0.0,0,,RPSPMLLJJIIFFGE97CC
仁武區,建物,高雄市仁武區鳳仁路292號,0.0,住,,,1021014,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0680525,73.8,0,0,0,無,無,無,13000,176,,0.0,0,外牆作為廣告使用。,RPVNMLLJJIIFFIE28CC
苓雅區,建物,高雄市苓雅區四維三路263號9樓B室,0.0,,,,1021101,土地0建物1車位0,九層,,辦公商業大樓,,,,69.55,0,0,0,無,有,有,10000,144,,0.0,0,,RPQNMLMJJIIFFBE17CC
苓雅區,房地(土地+建物),高雄市苓雅區林森二路17巷34之4號,22.44,住,,,1021031,土地2建物1車位0,五層,,公寓(5樓含以下無電梯),,,,76.85,3,2,2,有,無,無,6000,78,,0.0,0,,RPRNMLMJJIIFFBE27CC
苓雅區,建物,高雄市苓雅區四維三路69號1+2樓,0.0,商,,,1021024,土地0建物1車位0,二層,,店面(店鋪),,,,166.73,0,0,0,無,無,無,25000,150,,0.0,0,,RPUNMLMJJIIFFBE57CC
苓雅區,建物,高雄市苓雅區海邊路31號22樓之3,0.0,商,,,1021023,土地0建物1車位0,二十二層,,辦公商業大樓,,,,181.65,0,0,0,無,有,無,27000,149,,0.0,0,,RPWNMLMJJIIFFBE77CC
仁武區,土地,仁龍段271地號,2314.05,,特定農業區,農牧用地,1021018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,85000,37,,0.0,0,有未登記建物。土地使用分區:農,RPQNMLOJJIIFFIE08CC
仁武區,土地,仁營段998-1地號,446.28,農,,,1021021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,67,,0.0,0,未登記建物。,RPTNMLOJJIIFFIE38CC
仁武區,房地(土地+建物),高雄市仁武區華北街17號,92.0,住,,,1021030,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0711224,172.35,0,0,0,無,無,無,22000,128,,0.0,0,,RPVNMLOJJIIFFIE58CC
仁武區,土地,暘善段544地號,968.6,農,,,1021029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,65000,67,,0.0,0,未登記建物。,RPWNMLOJJIIFFIE68CC
仁武區,土地,澄清段15-4地號,462.81,住,,,1021030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,39200,85,,0.0,0,未登記建物。,RPXNMLOJJIIFFIE78CC
大社區,土地,圳觀段23地號,330.58,農,,,1021031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,23000,70,,0.0,0,未登記建物。,RPPOMLOJJIIFFIE08CC
仁武區,土地,仁雄段438地號,505.9,住,,,1021101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,45000,89,,0.0,0,,RPSOMLOJJIIFFIE38CC
