編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLKKJHJFFDK38CB,坡道平面,700000,15.73,
RPQOMLKKJHJFFDK87CB,坡道平面,650000,15.73,
RPPOMLKKJHJFFDK77CB,一樓平面,600000,4.85,
RPOOMLKKJHJFFDK67CB,一樓平面,600000,4.85,
RPVNMLKKJHJFFDK28CB,坡道平面,650000,15.73,
RPRNMLKKJHJFFDK87CB,一樓平面,700000,4.85,
RPVOMLKKJHJFFDK38CB,坡道平面,650000,15.73,
RPROMLKKJHJFFDK97CB,坡道平面,650000,13.88,
RPOPMLKKJHJFFDK77CB,坡道平面,700000,15.73,
RPWOMLKKJHJFFDK48CB,坡道平面,700000,15.73,
RPQPMLKKJHJFFDK97CB,坡道平面,700000,15.73,
RPXOMLKKJHJFFDK58CB,坡道平面,700000,15.73,
RPSOMLKKJHJFFDK08CB,坡道平面,650000,15.73,
RPPPMLKKJHJFFDK87CB,坡道平面,700000,15.73,
RPXPMLKKJHJFFDK68CB,坡道平面,650000,15.73,
RPPQMLKKJHJFFDK97CB,坡道平面,650000,15.73,
RPOQMLKKJHJFFDK87CB,坡道平面,650000,15.73,
RPQQMLKKJHJFFDK08CB,坡道平面,700000,15.73,
RPTQMLKKJHJFFDK38CB,坡道平面,700000,15.73,
RPSQMLKKJHJFFDK28CB,坡道平面,700000,15.73,
RPRRMLKKJHJFFDK28CB,坡道平面,600000,13.88,
RPORMLKKJHJFFDK97CB,坡道平面,650000,15.73,
RPVRMLKKJHJFFDK68CB,坡道平面,600000,13.88,
RPWRMLKKJHJFFDK78CB,坡道平面,600000,13.88,
RPTRMLKKJHJFFDK48CB,坡道平面,650000,15.73,
RPQSMLKKJHJFFDK28CB,坡道平面,650000,13.88,
RPPSMLKKJHJFFDK18CB,坡道平面,650000,15.73,
RPRSMLKKJHJFFDK38CB,坡道平面,650000,13.88,
RPUSMLKKJHJFFDK68CB,坡道平面,650000,15.73,
RPSSMLKKJHJFFDK48CB,坡道平面,600000,15.73,
RPVSMLKKJHJFFDK78CB,坡道平面,650000,15.73,
RPTSMLKKJHJFFDK58CB,坡道平面,700000,15.73,
RPPTMLKKJHJFFDK28CB,坡道平面,700000,15.73,
RPRTMLKKJHJFFDK48CB,坡道平面,600000,15.73,
RPVTMLKKJHJFFDK88CB,坡道平面,700000,15.73,
RPOTMLKKJHJFFDK18CB,坡道平面,650000,15.73,
RPWSMLKKJHJFFDK88CB,坡道平面,600000,13.88,
RPWTMLKKJHJFFDK98CB,坡道平面,650000,13.88,
RPXSMLKKJHJFFDK98CB,坡道平面,650000,13.88,
RPOUMLKKJHJFFDK28CB,坡道平面,650000,15.73,
RPQUMLKKJHJFFDK48CB,坡道平面,600000,15.73,
RPXTMLKKJHJFFDK09CB,坡道平面,600000,13.88,
RPUUMLKKJHJFFDK88CB,坡道平面,600000,13.88,
RPRUMLKKJHJFFDK58CB,坡道平面,650000,15.73,
RPVUMLKKJHJFFDK98CB,坡道平面,650000,15.73,
RPPVMLKKJHJFFDK48CB,坡道平面,600000,13.88,
RPRVMLKKJHJFFDK68CB,坡道平面,600000,13.88,
RPSVMLKKJHJFFDK78CB,坡道平面,600000,13.88,
RPTUMLKKJHJFFDK78CB,坡道平面,650000,15.73,
RPQVMLKKJHJFFDK58CB,坡道平面,650000,13.88,
RPSWMLKKJHJFFDK88CB,坡道平面,650000,15.73,
