編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLQJKHJFFAA07CA,景美段四小段,.03,都市：商,100000,1,持分移轉,01970000
RPVNMLQJKHJFFBA57CA,中正段二小段,32.94,都市：住,10000,366,持分移轉,02520000
RPVNMLQJKHJFFBA57CA,中正段二小段,.92,都市：商,10000,366,持分移轉,02520001
RPOOMLQJKHJFFAA86CA,老泉段四小段,.02,都市：農,496,9,持分移轉,01240000
RPOOMLQJKHJFFAA86CA,老泉段四小段,41.64,都市：其他:保護區,496,9,持分移轉,06390000
RPOOMLQJKHJFFAA86CA,老泉段四小段,24.75,都市：農,124,9,持分移轉,02410000
RPXOMLKKKHJFFAA27CA,實踐段一小段,29.47,都市：住,14520,264,持分移轉,02630000
RPXOMLKKKHJFFAA27CA,實踐段一小段,2.38,都市：其他:道路用地,14520,264,持分移轉,02630001
RPXOMLRJKHJFFBA97CA,臨沂段一小段,7.20,都市：其他:資訊產業專用區,10000,48,持分移轉,00210000
RPXOMLRJKHJFFBA97CA,臨沂段一小段,.12,都市：其他:資訊產業專用區,10000,48,持分移轉,00210001
RPQPMLPJKHJFFBA17CA,橋北段一小段,17.40,都市：住,5,1,持分移轉,01400000
RPOOMLQJKHJFFBA96CA,福星段二小段,5.51,都市：商,2991194,3810,持分移轉,05510000
RPTNMLNKKHJFFBA17CA,臨沂段三小段,14.12,都市：住,26,1,持分移轉,02280000
RPTNMLNKKHJFFBA17CA,臨沂段三小段,14.12,都市：住,26,1,持分移轉,02280000
RPRQMLPJKHJFFCA47CA,德惠段二小段,3.76,都市：住,10000,28,持分移轉,06800000
RPPRMLPJKHJFFCA37CA,東湖段五小段,25.85,都市：住,10000,251,持分移轉,03220000
RPTOMLKKKHJFFCA07CA,吉林段三小段,10.49,都市：商,192,31,持分移轉,08730000
RPQNMLOKKHJFFCA07CA,石潭段三小段,3.26,都市：商,12,1,持分移轉,06330000
RPPNMLQJKHJFFCA07CA,石潭段四小段,10.22,都市：住,10000,98,持分移轉,00210000
RPXNMLQJKHJFFCA87CA,正義段二小段,6.00,都市：商,10000,193,持分移轉,02900000
RPUNMLRJKHJFFCA67CA,吉林段三小段,1.55,都市：住,10000,310,持分移轉,02710000
RPUNMLRJKHJFFCA67CA,吉林段三小段,10.70,都市：住,10000,310,持分移轉,02720000
RPUPMLSKKHJFFCA08CA,德惠段四小段,21.80,都市：商,5,1,持分移轉,02780000
RPUPMLSKKHJFFCA08CA,德惠段四小段,.80,都市：商,5,1,持分移轉,02790000
RPWOMLKKKHJFFCA37CA,西湖段一小段,39.31,都市：工,16,1,持分移轉,09430000
RPUNMLRJKHJFFDA77CA,西松段二小段,14.02,都市：商,5200,108,持分移轉,05860000
RPUNMLRJKHJFFDA77CA,西松段二小段,6.38,都市：住,5200,108,持分移轉,05880001
RPPPMLQJKHJFFDA37CA,美仁段一小段,37.50,都市：住,4,1,持分移轉,01630000
RPWNMLQJKHJFFDA87CA,永春段二小段,28.75,都市：住,4,1,持分移轉,01450000
RPWNMLQJKHJFFDA87CA,永春段二小段,1.00,都市：其他:道路用地(公共設施用地)。,4,1,持分移轉,01460000
RPWOMLKKKHJFFDA47CA,敦化段五小段,1.97,都市：住,10000,33,持分移轉,00080007
RPRQMLRJKHJFFDA77CA,吳興段三小段,33.59,都市：住,10000,165,持分移轉,00070008
RPQOMLKKKHJFFDA86CA,三興段二小段,32.52,都市：住,10000,517,持分移轉,04720000
RPQOMLKKKHJFFDA86CA,三興段二小段,1.00,都市：住,1,1,全筆移轉,04730001
RPWNMLLKKHJFFDA47CA,福德段三小段,46.50,都市：住,4,1,持分移轉,06800000
RPQQMLNKKHJFFDA37CA,逸仙段三小段,2.60,都市：商,66955,61,持分移轉,07000000
RPQQMLNKKHJFFDA37CA,逸仙段三小段,16.95,都市：住,66955,61,持分移轉,07010000
RPQQMLNKKHJFFDA37CA,逸仙段三小段,2.22,都市：商,66955,61,持分移轉,07020000
RPQRMLOKKHJFFDA57CA,玉成段二小段,8.44,都市：工,100000,980,持分移轉,03820000
RPRNMLQKKHJFFDA47CA,中南段二小段,.04,都市：住,80,3,持分移轉,05460000
RPRNMLQKKHJFFDA47CA,中南段二小段,1.46,都市：其他:道路用地,80,3,持分移轉,05470000
