編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLQJKHJFFAF77CA,海山段,30.25,都市：住,4,1,持分移轉,08310000
RPORMLPJKHJFFAF57CA,延和段,11.17,都市：住,10000,44,持分移轉,02060000
RPPRMLPJKHJFFAF67CA,中興段,18.38,都市：住,10000,197,持分移轉,00860000
RPTNMLRJKHJFFAF87CA,文化段,30.75,都市：住,4,1,持分移轉,21450000
RPWQMLPJKHJFFAF28CA,沛陂段,23.19,都市：住,100000,680,持分移轉,04090000
RPOQMLNKKHJFFAF37CA,江子翠段新埔小段,35.00,都市：住,4,1,持分移轉,00120012
RPXOMLLKKHJFFAF87CA,振興段,48.30,都市：住,10000,589,持分移轉,00700000
RPUQMLPLKHJFFAF28CA,大庭段,.20,都市：其他:抽水站用地,2,1,持分移轉,00180002
RPSUMLOKKHJFFAF28CA,沛陂段,23.77,都市：住,100000,697,持分移轉,04090000
RPPOMLRJKHJFFBF67CA,力行段,22.38,都市：住,100000,918,持分移轉,00430000
RPORMLQJKHJFFBF77CA,榮富段,13.43,都市：住,10000,65,持分移轉,08500001
RPRTMLKKKHJFFBF77CA,同榮段,18.97,都市：住,100000,554,持分移轉,05840000
RPSOMLRJKHJFFBF97CA,副都心段一小段,27.74,都市：商,100000,472,持分移轉,04020000
RPTRMLPJKHJFFBF18CA,瓊林段,19.67,都市：住,100000,646,持分移轉,00030000
RPRQMLLKKHJFFBF57CA,麗林段,11.41,都市：商,100000,151,持分移轉,04070002
RPSPMLRKKHJFFBF18CA,新林段,158.85,都市：住,10000,625,持分移轉,03520000
RPXNMLQJKHJFFBF28CA,南林段,38.84,都市：住,10000,503,持分移轉,05270000
RPVRMLOKKHJFFBF38CA,榮富段,10.97,都市：住,10000,20,持分移轉,09290000
RPVQMLLKKHJFFBF97CA,水碓段水碓窠小段,10.74,都市：住,100000,123,持分移轉,01170000
RPWQMLRLKHJFFBF78CA,化成段,19.51,都市：其他:道路用地,1,1,全筆移轉,01720001
RPWQMLRLKHJFFBF78CA,化成段,400.51,都市：工,1,1,全筆移轉,01720000
RPWQMLRLKHJFFBF78CA,化成段,167.83,都市：工,1,1,全筆移轉,09690000
RPWQMLRLKHJFFBF78CA,化成段,9.85,都市：其他:道路用地,1,1,全筆移轉,09690001
RPWQMLRLKHJFFBF78CA,化成段,207.01,都市：其他:道路用地,1,1,全筆移轉,01730000
RPOQMLNJLHJFFBF47CA,觀音坑段坑口小段,2.30,都市：住,10,1,持分移轉,04660013
RPOQMLNJLHJFFBF47CA,觀音坑段坑口小段,131.40,都市：住,10,1,持分移轉,04660014
RPOQMLNJLHJFFBF47CA,觀音坑段坑口小段,19.50,都市：其他:,10,1,持分移轉,04660015
RPOQMLNJLHJFFBF47CA,觀音坑段坑口小段,.70,都市：其他:,10,1,持分移轉,04660016
RPVQMLPJKHJFFCF38CA,太平段,49.10,都市：其他:旅館區,100000,1289,持分移轉,01970000
RPPNMLTJKHJFFCF87CA,順安段,13.54,都市：住,100000,202,持分移轉,00340000
RPXRMLPLKHJFFBF78CA,興化段,5.31,都市：其他:道路用地,100,26,持分移轉,03770000
RPXRMLPLKHJFFBF78CA,興化段,137.39,都市：其他:道路用地,3444,912,持分移轉,03780000
RPXRMLPLKHJFFBF78CA,興化段,12.07,都市：其他:道路用地,3444,912,持分移轉,03780001
RPXRMLPLKHJFFBF78CA,興化段,51.05,都市：其他:道路用地,12,2,持分移轉,03980000
RPXRMLPLKHJFFBF78CA,興化段,59.56,都市：其他:道路用地,12,2,持分移轉,04070000
RPOPMLKKKHJFFCF17CA,蘭溪段,28.76,都市：其他:保安保護區,1,1,全筆移轉,12390001
RPOPMLKKKHJFFCF17CA,蘭溪段,114.49,都市：其他:保安保護區,1,1,全筆移轉,12400001
RPOPMLKKKHJFFCF17CA,蘭溪段,109.74,都市：其他:保安保護區,1,1,全筆移轉,12410002
RPOPMLKKKHJFFCF17CA,蘭溪段,84.95,都市：其他:保安保護區,1,1,全筆移轉,12420001
RPRNMLLKKHJFFCF37CA,華城一段,170.10,都市：住,10000,246,持分移轉,00010004
RPOPMLMKKHJFFCF37CA,行政段,28.18,都市：住,10000,234,持分移轉,08180000
RPWOMLOKKHJFFCF28CA,華城二段,484.43,都市：住,1,1,全筆移轉,06010014
RPRNMLMJLHJFFBF37CA,麗林段,17.58,都市：商,10000,17,持分移轉,04070004
RPQNMLMJLHJFFBF27CA,麗林段,10.34,都市：商,10000,10,持分移轉,04070004
RPXPMLQJKHJFFEF78CA,淡海段,28.16,都市：住,50000,226,持分移轉,00290000
RPPNMLRJKHJFFEF87CA,關渡段,4.23,都市：住,10000,48,持分移轉,05870000
RPPNMLRJKHJFFEF87CA,關渡段,3.75,都市：商,10000,48,持分移轉,05870002
SPXPMLQJKHJFFEF88CA,淡海段,28.29,都市：住,50000,227,持分移轉,00290000
RPQRPLRJKHJFFEF68CA,新小基隆段埔頭坑小段,14.76,都市：住,10000,27,持分移轉,00740000
RPXSMLKKKHJFFEF58CA,大八里坌段渡船頭小段,1218.00,都市：其他:,1,1,全筆移轉,05950000
RPXSMLKKKHJFFEF58CA,大八里坌段渡船頭小段,1816.00,都市：其他:,1,1,全筆移轉,05950004
RPUNMLOKKHJFFEF18CA,淡海段,39.11,都市：商,100000,851,持分移轉,01040000
RPXNMLOKKHJFFCF28CA,深坑子段新埤內小段,68.94,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,70,持分移轉,00780004
RPVTMLRKKHJFFBF88CA,副都心段一小段,64.98,都市：商,100000,787,持分移轉,00320000
RPURMLLLKHJFFAF97CA,延和段,17.23,都市：住,10000,87,持分移轉,01360000
RPQPMLRJKHJFFBF87CA,副都心段一小段,34.50,都市：商,100000,587,持分移轉,04020000
RPVOMLRJKHJFFBF28CA,副都心段一小段,27.74,都市：商,100000,472,持分移轉,04020000
RPQOMLMKKHJFFEF67CA,中庄段,198.07,都市：住,800000,110370,持分移轉,02480000
RPQNMLRKKHJFFEF08CA,海天段,2.01,都市：住,1,1,全筆移轉,00230003
RPQNMLRKKHJFFEF08CA,海天段,11.61,都市：住,1,1,全筆移轉,00230007
RPQNMLRKKHJFFEF08CA,海天段,1327.79,都市：住,1,1,全筆移轉,00230001
RPQNMLRKKHJFFEF08CA,海天段,325.11,都市：其他:道路用地,1,1,全筆移轉,00230002
RPQNMLRKKHJFFEF08CA,海天段,44.10,都市：住,1,1,全筆移轉,00240000
RPQNMLRKKHJFFEF08CA,海天段,242.94,都市：其他:道路用地,1,1,全筆移轉,00230005
RPQNMLRKKHJFFEF08CA,海天段,39.21,都市：住,1,1,全筆移轉,00230006
RPQNMLRKKHJFFEF08CA,海天段,277.24,都市：住,1,1,全筆移轉,00230004
RPQNMLRKKHJFFEF08CA,海天段,13.67,都市：其他:道路用地,1,1,全筆移轉,00240001
RPQNMLRKKHJFFEF08CA,海天段,62.81,都市：住,1,1,全筆移轉,00260000
RPQNMLRKKHJFFEF08CA,海天段,132.08,都市：其他:道路用地,1,1,全筆移轉,00260001
RPQNMLRKKHJFFEF08CA,海天段,92.53,都市：住,1,1,全筆移轉,00260002
RPQNMLRKKHJFFEF08CA,海天段,527.10,都市：住,1,1,全筆移轉,00280000
RPQNMLRKKHJFFEF08CA,海天段,6.97,都市：其他:道路用地,1,1,全筆移轉,00280001
RPPNMLRKKHJFFEF97CA,海天段,950.61,都市：其他:保護區,1,1,全筆移轉,00230000
RPOOMLOKKHJFFEF67CA,淡海段,40.63,都市：商,100000,884,持分移轉,01040000
RPVNMLOKKHJFFEF28CA,淡海段,39.11,都市：商,100000,851,持分移轉,01040000
RPXNMLOKKHJFFEF48CA,淡海段,39.11,都市：商,100000,851,持分移轉,01040000
RPWNMLOKKHJFFEF38CA,淡海段,39.11,都市：商,100000,851,持分移轉,01040000
RPOPMLKLKHJFFEF47CA,新市段,17.98,都市：住,10000,33,持分移轉,00620000
RPUPMLKLKHJFFEF08CA,新市段,31.60,都市：住,10000,58,持分移轉,00620000
RPXOMLKLKHJFFEF28CA,新市段,25.61,都市：住,10000,47,持分移轉,00620000
RPPPMLKLKHJFFEF57CA,新市段,23.97,都市：住,10000,44,持分移轉,00620000
RPQPMLKLKHJFFEF67CA,新市段,31.60,都市：住,10000,58,持分移轉,00620000
RPSPMLKLKHJFFEF87CA,新市段,31.60,都市：住,10000,58,持分移轉,00620000
RPVPMLKLKHJFFEF18CA,新市段,32.15,都市：住,10000,59,持分移轉,00620000
RPPNMLKKKHJFFFF37CA,爪峰段,100.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00770000
RPPNMLKKKHJFFFF37CA,爪峰段,100.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00940000
RPPNMLKKKHJFFFF37CA,爪峰段,31.81,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00950000
RPPNMLKKKHJFFFF37CA,爪峰段,272.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,3,持分移轉,00740000
RPPNMLKKKHJFFFF37CA,爪峰段,292.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,3,持分移轉,00830000
RPPNMLKKKHJFFFF37CA,爪峰段,107.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,4000,1945,持分移轉,00920000
RPWPMLKLKHJFFEF28CA,新市段,32.15,都市：住,10000,59,持分移轉,00620000
RPRNMLKKKHJFFFF57CA,爪峰段,90.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,00740000
RPRNMLKKKHJFFFF57CA,爪峰段,97.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,00830000
RPRNMLKKKHJFFFF57CA,爪峰段,113.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,4000,2055,持分移轉,00920000
RPTNMLRKKHJFFFF48CA,三爪子段三爪子坑小段,23.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,235,持分移轉,03210002
RPSNMLNJLHJFFFF97CA,柑腳段柑腳小段,1003.00,非都市：山坡地保育區 ; 非都市編定：林業用地,523150,10030,持分移轉,04780000
RPRSMLSKKHJFFBF48CA,中原段,27.62,都市：住,100000,602,持分移轉,03340000
RPXWMLSKKHJFFBF86CA,副都心段一小段,43.60,都市：商,100000,528,持分移轉,00320000
RPTOMLQJKHJFFGF48CA,民族段,19.74,都市：住,5,1,持分移轉,06400000
RPRQMLQJKHJFFGF48CA,光華段,31.53,都市：住,10000,1911,持分移轉,13480000
RPXOMLQJKHJFFGF88CA,集賢段,17.24,都市：住,10000,118,持分移轉,02330000
RPVOMLRJKHJFFGF78CA,仁愛段,6.14,都市：工,10000,50,持分移轉,24450000
RPVPMLKKKHJFFGF28CA,大同南段,8.83,都市：其他:道,25,1,持分移轉,04780000
RPPQMLPJKHJFFGF18CA,興華段,8.45,都市：住,10000,103,持分移轉,12550000
RPXOMLNJLHJFFEF48CA,正德段,2.78,都市：住,10000,16,持分移轉,07470000
RPXOMLNJLHJFFEF48CA,正德段,15.97,都市：住,10000,24,持分移轉,07480000
RPPNMLQJKHJFFGF97CA,光華段,34.80,都市：住,5,1,持分移轉,09030000
RPXOMLOKKHJFFGF78CA,永安段,33.60,都市：住,10,1,持分移轉,15250000
RPOPMLOKKHJFFGF97CA,永安段,33.60,都市：住,10,1,持分移轉,15250000
