編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLQLKHJFFAI18CC,後庄段,66.00,都市：住,,,,06990000
RPWNMLOLKHJFFAI58CC,車店段車店小段,76.00,都市：商,,,,07950002
RPUNMLPLKHJFFAI58DC,太平段,18.50,都市：住,,,,00210000
RPWNMLRLKHJFFAI88CC,中山段一小段,87.00,都市：住,,,,00390033
RPUNMLQLKHJFFAI58CC,太平段,4.50,都市：住,,,,00210000
RPUOMLRLKHJFFAI78CC,太平段,9.45,都市：住,,,,00210000
RPXNMLRLKHJFFAI98CC,北門段七小段,82.00,都市：商,,,,00140004
RPSNMLNJLHJFFAI97CC,竹圍子段友愛小段,427.00,都市：住,,,,00250000
RPOOMLQLKHJFFAI08CC,太平段,4.95,都市：住,,,,00210000
RPTNMLLKLHJFFAI97CC,竹圍子段中興小段,12.25,都市：住,,,,00350000
RPRNMLOLLHJFFAI28DC,太平段,15.28,都市：住,,,,00210000
RPUNMLLKLHJFFAI08CC,港子坪段港坪小段,122.01,都市：住,,,,01750000
RPQNMLRLLHJFFAI48DC,白川段,34.87,都市：住,,,,00170000
RPQPMLRKLHJFFAI58DC,竹圍子段,367.00,都市：住,,,,01570017
RPSNMLRJMHJFFAI68EC,台斗坑段,80.00,都市：住,,,,03660015
RPQOMLMJMHJFFAI97DC,車店段,98.00,都市：住,,,,01630059
RPPNMLMLMHJFFAI97DC,太平段,14.47,都市：住,,,,00210000
RPWNMLPLMHJFFAI09EC,竹圍子段三小段,415.00,都市：住,,,,00250000
RPVOMLKMMHJFFAI48CC,車店段,.00,都市：其他:空白,,,,03410060
RPQOMLMKLHJFFAI87CC,榮段三小段,29.00,都市：商,,,,01060005
RPUOMLRKMHJFFAI88CC,太平段,21.71,都市：住,,,,00210000
RPQOMLMKLHJFFAI87CC,榮段三小段,59.00,都市：商,,,,01050008
RPQOMLMKLHJFFAI87CC,榮段三小段,2.00,都市：商,,,,01050003
RPPOMLKMMHJFFAI87CC,榮段二小段,44.00,都市：商,,,,00700015
RPSOMLMKMHJFFAI18CC,檜段六小段,20.25,都市：住,,,,00090002
RPRNMLKMMHJFFAI97CC,車店段,87.00,都市：商,,,,00730040
RPUOMLSJMHJFFAI88CC,車店段車店小段,.00,非都市： ; 非都市編定：,,,,01220000
RPQOMLKMMHJFFAI97CC,白川段,125.00,都市：住,,,,00650017
