鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西區,房地(土地+建物),臺中市西區大業路２號６樓之１０,4.61,住,,,1030423,土地1建物1車位0,六層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830625,37.53,1,0,1,有,有,2120000,56488,,0.0,0,,RPWNMLMJNHJFFAB57CA,23.11,0.0,4.33,,
東區,房地(土地+建物),臺中市東區東英十五街２６８號,28.63,住,,,1030402,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800808,134.08,3,2,2,有,有,6200000,46241,,0.0,0,,RPTNMLNJNHJFFAB37CA,94.94,4.87,0.0,,
南區,房地(土地+建物),臺中市南區南和一街２０號１０樓之２,18.71,住,,,1030409,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830718,115.19,3,2,2,有,有,4600000,39934,,0.0,0,,RPUNMLNJNHJFFAB47CA,76.43,0.8,7.66,,
南區,土地,萬安段五小段13-3地號,440.0,住,,,1030307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32609500,74113,,0.0,0,,RPPNMLPJNHJFFAB17CA,0.0,0.0,0.0,,
西區,車位,臺中市西區精誠２８街１９號地下一層,1.18,住,,,1030417,土地0建物0車位1,地下一層,七層,其他,商業用,鋼筋混凝土造,0811002,725.12,0,0,0,有,有,650000,,坡道平面,7.16,650000,單獨車位交易。,RPUNMLPJNHJFFAB67CA,0.0,0.0,0.0,,
中區,房地(土地+建物),臺中市中區民權路１６４號２５樓之３７　,1.93,商,,,1030415,土地2建物1車位0,二十五層,二十八層,套房(1房1廳1衛),住家用,見其他登記事項,0860131,37.55,1,1,1,有,有,1100000,29294,,0.0,0,,RPXNMLPJNHJFFAB97CA,21.44,0.0,2.94,,
西區,房地(土地+建物),臺中市西區向上路一段３０７巷８號三樓,33.0,住,,,1030415,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0670922,89.69,3,2,2,有,無,4000000,44598,,0.0,0,,RPROMLPJNHJFFAB47CA,80.4,0.0,9.29,,
西區,房地(土地+建物),臺中市西區民生路１９７號,4.46,商,,,1030417,土地2建物3車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780515,37.25,1,0,1,有,有,1600000,42953,,0.0,0,,RPUOMLPJNHJFFAB77CA,22.36,0.0,2.59,,
南區,房地(土地+建物),臺中市南區學府路２１１號五樓,18.0,住,,,1030401,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710607,91.65,3,1,4,有,無,4180000,45608,,0.0,0,,RPUPMLPJNHJFFAB87CA,77.0,0.0,3.72,,
南區,房地(土地+建物),臺中市南區五權南路６０６號１４樓,12.15,住,,,1030408,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811023,103.27,3,2,2,有,有,3380000,32730,,0.0,0,,RPXPMLPJNHJFFAB18CA,71.64,0.0,10.18,,
西區,房地(土地+建物)+車位,臺中市西區三民路一段３６號１３樓之１６,2.36,住,,,1030417,土地2建物1車位1,十三層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,29.2,1,0,1,有,有,1200000,41096,坡道機械,0.0,0,,RPSOMLQJNHJFFAB67CA,15.37,0.0,5.06,,
南區,房地(土地+建物)+車位,臺中市南區復興路二段７１巷３７－５號６樓,17.34,住,,,1030321,土地2建物1車位1,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850911,99.66,3,2,2,有,有,4500000,45154,坡道機械,22.12,0,,RPQOMLRJNHJFFAB57CA,59.6,4.64,6.63,,
西區,房地(土地+建物),臺中市西區日進街１１０號４樓之１６,4.76,住,,,1030324,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830208,27.06,0,0,1,無,有,1000000,36955,,0.0,0,,RPPNMLRJNHJFFAB37CA,24.17,0.0,2.89,,
中區,土地,柳川段七小段1-4地號,155.5,住,,,1030331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,64309,,0.0,0,,RPOQMLSJNHJFFAB67CA,0.0,0.0,0.0,,
南區,房地(土地+建物)+車位,臺中市南區文心南路８８８號九樓之八,18.84,住,,,1030403,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000127,179.76,3,2,2,有,有,11100000,61749,坡道平面,0.0,0,,RPWOMLMKNHJFFAB77CA,90.5,3.95,16.04,,
西區,房地(土地+建物),臺中市西區五權三街２７２號,36.45,住,,,1030325,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0610519,25.03,2,1,1,有,無,3000000,119856,,0.0,0,,RPRNMLNKNHJFFAB27CA,0.0,0.0,0.0,,
