編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLQJNHJFFAM78CA,西施厝坪段西施厝坪小段,132.00,都市：住,1,1,全筆移轉,01350011
RPQNMLQJNHJFFAM48CA,首區段,216.36,都市：住,2,1,持分移轉,00670000
RPQNMLQJNHJFFAM48CA,首區段,216.36,都市：住,2,1,持分移轉,00670000
RPTOMLQJNHJFFAM88CA,茄苳腳段,77.00,都市：住,1,1,全筆移轉,04410049
RPSNMLQJNHJFFAM68CA,西施厝坪段西施厝坪小段,132.00,都市：住,1,1,全筆移轉,01350009
RPWNMLQJNHJFFAM09CA,仁和段,469.43,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09930000
RPWNMLQJNHJFFAM09CA,仁和段,1305.36,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09860000
RPWNMLQJNHJFFAM09CA,仁和段,279.18,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09940000
RPWNMLQJNHJFFAM09CA,仁和段,2415.77,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09920000
RPWNMLQJNHJFFAM09CA,仁和段,635.08,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09850000
RPUOMLSJNHJFFAM56CA,大崗段,327.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00110006
RPWOMLNKNHJFFAM98CA,牛運堀段,97.00,都市：住,1,1,全筆移轉,04950092
RPTOMLNKNHJFFAM68CA,分水寮段,471.00,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,00030004
RPUOMLNKNHJFFAM78CA,爽文段,809.61,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,10790001
RPWNMLPJNHJFFBM09CA,雙冬段雙冬小段,198.80,非都市：山坡地保育區 ; 非都市編定：農牧用地,15,1,持分移轉,13750000
RPWNMLPJNHJFFBM09CA,雙冬段雙冬小段,2575.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13750005
RPSOMLPJNHJFFBM78CA,雙冬段雙冬小段,198.80,非都市：山坡地保育區 ; 非都市編定：農牧用地,15,1,持分移轉,13750000
RPSOMLPJNHJFFBM78CA,雙冬段雙冬小段,2793.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13750008
RPPOMLMJNHJFFCM28CA,三條崙段,292.48,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05920000
RPPOMLMJNHJFFCM28CA,三條崙段,2719.44,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06120000
RPOOMLMJNHJFFCM18CA,虎仔耳段,115.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00650005
RPQNMLPJNHJFFCM58CA,水長流段,15670.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,16190000
RPSOMLPJNHJFFCM88CA,武界段,372.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02000000
RPQNMLOKNHJFFCM58CA,梅林段,141.71,都市：農,1,1,全筆移轉,00820000
RPQNMLOKNHJFFCM58CA,梅林段,88.08,都市：其他:,4,1,持分移轉,00850000
RPSNMLNKNHJFFCM68CA,北港溪段,2200.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06640000
RPSNMLNKNHJFFCM68CA,北港溪段,2640.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06650000
RPQOMLTKNHJFFCM56CA,麒麟段,15.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,359,持分移轉,03540000
RPPNMLMJNHJFFDM28CA,平正段,62.33,都市：住,1,1,全筆移轉,05240000
RPPNMLPJNHJFFCM48CA,南光段,69.00,都市：住,1,1,全筆移轉,02130002
RPPNMLQJNHJFFDM68CA,新內湖段,1344.83,都市：農,1,1,全筆移轉,12110000
RPPNMLQJNHJFFDM68CA,新內湖段,1787.84,都市：農,1,1,全筆移轉,12120000
RPVNMLPJNHJFFDM56CA,山坪頂段,1004.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01661648
RPQNMLQJNHJFFDM78CA,嶺頂段,2608.11,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,01420000
RPQNMLQJNHJFFDM78CA,嶺頂段,13844.31,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,01460000
RPPNMLPKNHJFFDM68CA,仁德段,3823.97,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05760000
RPSNMLQJNHJFFDM98CA,前山段,104.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04820000
RPRNMLPJNHJFFCM78DA,愛蘭段,191.10,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12920000
RPSNMLPJNHJFFCM88DA,牛眠段,2635.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03810000
RPOOMLMKNHJFFCM28CA,三條崙段,126.83,非都市： ; 非都市編定：,1,1,全筆移轉,09340001
RPOOMLMKNHJFFCM28CA,三條崙段,200.38,非都市： ; 非都市編定：,1,1,全筆移轉,09340002
