編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLPJQHJFFBC38CA,42,48.26,住家用,鋼筋混凝土加強磚造,61年11月14日,四層,二層
RPWOMLSJQHJFFBC78CA,21,110.11,住家用,鋼筋混凝土造,82年11月9日,五層,三層 陽台
RPVNMLPJQHJFFBC28CA,15,24.46,住家用,鋼筋混凝土造,88年1月14日,十四層,十一層 陽台
RPVNMLPJQHJFFBC28CA,15,5.34,共有部分,鋼筋混凝土造,88年1月14日,十四層,
RPVNMLPJQHJFFBC28CA,15,1.90,共有部分,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLPJQHJFFBC28CA,15,.57,共有部分,鋼筋混凝土造,88年1月14日,十六層,
RPVVMLOKQHJFFBC09CA,33,132.44,住家用,鋼筋混凝土造,70年12月22日,三層,二層 陽台 露台
RPVNMLPJQHJFFBC28CA,15,.29,共有部分,鋼筋混凝土造,88年1月14日,十六層,
RPVVMLOKQHJFFBC09CA,33,132.44,住家用,鋼筋混凝土造,70年12月22日,三層,二層 陽台 露台
RPVNMLPJQHJFFCC38CA,37,71.04,住家用,鋼筋混凝土加強磚造,66年5月20日,四層,四層
RPSOMLPJQHJFFCC18CA,32,81.91,國民住宅,鋼筋混凝土造,71年5月24日,四層,三層 四層 陽台
RPSOMLPJQHJFFCC18CA,32,10.96,共用部份,鋼筋混凝土造,71年5月24日,四層,
RPROMLPJQHJFFCC08CA,2,105.55,集合住宅,鋼筋混凝土造,101年6月13日,七層,六層 陽台 雨遮
RPROMLPJQHJFFCC08CA,2,41.99,本共有部分之項目：防空避難室兼停車空間共１項。,鋼筋混凝土造,101年6月13日,七層,
RPROMLPJQHJFFCC08CA,2,17.40,本共有部分之項目樓電梯間‧水箱‧機房‧樓梯間共四項。,鋼筋混凝土造,101年6月13日,七層,
RPROMLPJQHJFFCC08CA,2,3.18,本共有部分之項目：管委會共１項。,鋼筋混凝土造,101年6月13日,七層,
RPPNMLRKQHJFFCC08CA,8,243.09,住家用,鋼筋混凝土造,95年7月24日,四層,一層 二層 三層 四層
RPPNMLRKQHJFFCC08CA,8,82.92,共有部分,鋼筋混凝土造,95年7月24日,五層,
RPPNMLRKQHJFFCC08CA,8,33.56,共有部分,鋼筋混凝土造,95年7月24日,五層,
RPPNMLRKQHJFFCC08CA,8,4.09,共有部分,鋼筋混凝土造,95年7月24日,二層,
RPSOMLKLQHJFFBC77CA,20,98.59,住家用,鋼筋混凝土造,83年8月31日,七層,三層 陽台 花台
RPSOMLKLQHJFFBC77CA,20,4.10,共用部份,鋼筋混凝土造,83年8月31日,七層,
RPSOMLKLQHJFFBC77CA,20,1.38,共用部份,鋼筋混凝土造,83年8月31日,七層,
