編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLOJQHJFFAH28CA,幸褔段,14.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,02850000
RPVRMLOJQHJFFAH98CA,山德段,1.88,都市：其他:道路用地,192,3,持分移轉,05250000
RPVRMLOJQHJFFAH98CA,山德段,2.59,都市：其他:道路用地,192,3,持分移轉,05260000
RPPSMLLJQHJFFAH18CA,幸褔段,20.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,01570000
RPUNMLPJQHJFFAH58CA,和平段,1081.00,都市：其他:零星工業區,1,1,全筆移轉,06490000
RPUNMLPJQHJFFAH58CA,和平段,88.00,都市：其他:零星工業區,2,1,持分移轉,06490002
RPUNMLPJQHJFFAH58CA,和平段,428.00,都市：其他:零星工業區,1,1,全筆移轉,06500001
RPRNMLPJQHJFFAH28CA,桃園段武陵小段,3.75,都市：其他:公設保留地-道路用地,600,75,持分移轉,00340010
RPRNMLPJQHJFFAH28CA,桃園段武陵小段,2.00,都市：其他:公設保留地-道路用地,600,75,持分移轉,00340012
RPRNMLPJQHJFFAH28CA,桃園段武陵小段,2.88,都市：其他:公設保留地-道路用地,600,75,持分移轉,00340018
RPRNMLPJQHJFFAH28CA,埔子段北門埔子小段,1.47,都市：其他:公設保留地-道路用地,1320,3,持分移轉,00900001
RPRNMLPJQHJFFAH28CA,埔子段北門埔子小段,.66,都市：其他:公設保留地-道路用地,1320,3,持分移轉,00910004
RPWNMLPJQHJFFAH78CA,峨眉段,80.09,都市：住,1,1,全筆移轉,03480000
RPXPMLQJQHJFFAH56CA,大有段,132.67,都市：其他:,400,337,持分移轉,04380000
RPXOMLPJQHJFFAH98CA,興華段,81.49,都市：住,10000,463,持分移轉,01980000
RPQRMLQJQHJFFAH68CA,中山段,29.37,都市：住,10000,701,持分移轉,02130000
RPSRMLQJQHJFFAH88CA,埔子段北門埔子小段,40.25,都市：商,10000,851,持分移轉,01370001
RPVWMLLKQHJFFAH66CA,中路二段,172.79,都市：住,100000,37351,持分移轉,01860000
RPPNMLRJQHJFFAH28CA,中路二段,144.61,都市：住,500000,147655,持分移轉,02280000
RPPNMLRJQHJFFAH28CA,中路三段,1732.86,都市：住,500000,147655,持分移轉,01130000
RPQQMLSJQHJFFAH78CA,會稽段,23.41,都市：住,10000,42,持分移轉,04470000
RPOOMLRJQHJFFAH28CA,龍安段,17.84,都市：住,10000,126,持分移轉,00490000
RPSRMLRJQHJFFAH98CA,大有段,6.57,都市：住,100000,121,持分移轉,01870000
RPPRMLNKQHJFFAH38CA,楓樹段,70.93,都市：住,10000,326,持分移轉,00860000
RPRQMLSJQHJFFAH88CA,中路二段,14.90,都市：商,500000,15218,持分移轉,02280000
RPRQMLSJQHJFFAH88CA,中路三段,178.60,都市：商,500000,15218,持分移轉,01130000
RPXVMLLKQHJFFAH76CA,東嶺段,58.77,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,1081,持分移轉,03300000
RPWRMLMKQHJFFAH98CA,忠義段,14.90,都市：住,10000,29,持分移轉,04870000
RPOUMLSJQHJFFAH98CA,和平段,14.78,都市：住,9,1,持分移轉,00220000
RPOUMLSJQHJFFAH98CA,和平段,10.56,都市：住,9,1,持分移轉,00220001
RPTUMLOKQHJFFAH56CA,中路二段,91.71,都市：住,500000,93637,持分移轉,02280000
RPTUMLOKQHJFFAH56CA,中路三段,1098.91,都市：住,500000,93637,持分移轉,01130000
RPUUMLOKQHJFFAH66CA,中路二段,95.89,都市：住,500000,97906,持分移轉,02280000
RPUUMLOKQHJFFAH66CA,中路三段,1149.01,都市：住,500000,97906,持分移轉,01130000
RPVUMLOKQHJFFAH76CA,中路二段,25.26,都市：住,500000,25794,持分移轉,02280000
RPVUMLOKQHJFFAH76CA,中路三段,302.71,都市：住,500000,25794,持分移轉,01130000
RPPQMLQLQHJFFAH68CA,新埔段,21.45,都市：住,100000,495,持分移轉,06550000
RPWUMLOKQHJFFAH86CA,中路二段,36.55,都市：住,500000,37323,持分移轉,02280000
RPWUMLOKQHJFFAH86CA,中路三段,438.02,都市：住,500000,37323,持分移轉,01130000
RPPOMLRLQHJFFAH58CA,中路二段,370.17,都市：住,200000,26865,持分移轉,02030000
RPPOMLRLQHJFFAH58CA,中路二段,83.36,都市：住,200000,26865,持分移轉,02120000
RPSOMLRLQHJFFAH88CA,中路二段,139.50,都市：住,200000,10124,持分移轉,02030000
RPSOMLRLQHJFFAH88CA,中路二段,31.42,都市：住,200000,10124,持分移轉,02120000
RPROMLRLQHJFFAH78CA,中路二段,301.30,都市：住,200000,21867,持分移轉,02030000
RPROMLRLQHJFFAH78CA,中路二段,67.85,都市：住,200000,21867,持分移轉,02120000
RPUOMLRLQHJFFAH09CA,中路二段,171.96,都市：住,200000,12480,持分移轉,02030000
RPUOMLRLQHJFFAH09CA,中路二段,38.73,都市：住,200000,12480,持分移轉,02120000
RPTOMLRLQHJFFAH98CA,中路二段,900.14,都市：住,200000,65327,持分移轉,02030000
RPTOMLRLQHJFFAH98CA,中路二段,202.71,都市：住,200000,65327,持分移轉,02120000
RPVOMLTLQHJFFAH76CA,東嶺段,54.61,都市：工,10000,222,持分移轉,06110000
RPQRMLLJQHJFFBH28CA,茄苳坑段對面厝小段,858.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10960003
RPUNMLOJQHJFFBH58CA,中原段,34.84,都市：農,448,1,持分移轉,07450000
RPUNMLOJQHJFFBH58CA,中原段,.00,都市：其他:,448,1,持分移轉,07450002
RPUNMLOJQHJFFBH58CA,中原段,.06,都市：其他:,448,1,持分移轉,07450003
RPUNMLOJQHJFFBH58CA,中原段,2.62,都市：農,648,1,持分移轉,08060000
RPUPMLOJQHJFFBH78CA,興南段興南小段,4.35,都市：商,100000,278,持分移轉,02270116
RPXNMLOJQHJFFBH88CA,中壢埔頂段,27.42,都市：住,10000,67,持分移轉,13640000
RPWNMLOJQHJFFBH78CA,中原段,34.84,都市：農,448,1,持分移轉,07450000
RPWNMLOJQHJFFBH78CA,中原段,.00,都市：其他:,448,1,持分移轉,07450002
RPWNMLOJQHJFFBH78CA,中原段,.70,都市：其他:,40,1,持分移轉,07450003
RPWNMLOJQHJFFBH78CA,中原段,2.62,都市：農,648,1,持分移轉,08060000
RPSOMLOJQHJFFBH48CA,興南段興南小段,.30,都市：其他:公設保留地,20,1,持分移轉,02230029
RPSOMLOJQHJFFBH48CA,興南段興南小段,32.16,都市：商,24000,799,持分移轉,02270014
RPSOMLOJQHJFFBH48CA,興南段興南小段,10.24,都市：商,2400,273,持分移轉,02270035
RPSOMLOJQHJFFBH48CA,興南段興南小段,.72,都市：商,12000,22,持分移轉,02270134
RPSOMLOJQHJFFBH48CA,興南段興南小段,3.12,都市：其他:道路用地,16,1,持分移轉,02270135
RPSOMLOJQHJFFBH48CA,興南段興南小段,.38,都市：其他:道路用地,16,1,持分移轉,02270324
RPSOMLOJQHJFFBH48CA,興南段興南小段,.01,都市：商,12000,22,持分移轉,02270471
RPSOMLOJQHJFFBH48CA,興南段興南小段,.01,都市：商,12000,22,持分移轉,02270472
RPSOMLOJQHJFFBH48CA,興南段興南小段,9.44,都市：商,2400,273,持分移轉,02270473
RPSOMLOJQHJFFBH48CA,興南段興南小段,1.82,都市：商,2400,273,持分移轉,02270474
RPSOMLOJQHJFFBH48CA,興南段興南小段,7.56,都市：其他:公設保留地,812640,66027,持分移轉,02270475
RPSOMLOJQHJFFBH48CA,興南段興南小段,.24,都市：其他:公設保留地,812640,66027,持分移轉,02270476
RPSOMLOJQHJFFBH48CA,興南段興南小段,.56,都市：其他:公設保留地,16,1,持分移轉,02270481
RPSOMLOJQHJFFBH48CA,興南段興南小段,.03,都市：商,24000,799,持分移轉,02270482
RPSOMLOJQHJFFBH48CA,興南段興南小段,.23,都市：商,2400,273,持分移轉,02270485
RPSOMLOJQHJFFBH48CA,興南段興南小段,.20,都市：住,20,1,持分移轉,02270494
RPSOMLOJQHJFFBH48CA,興南段興南小段,2.25,都市：其他:公設保留地,20,1,持分移轉,02270495
RPSOMLOJQHJFFBH48CA,興南段興南小段,.30,都市：其他:公設保留地,20,1,持分移轉,02270574
RPSOMLOJQHJFFBH48CA,興南段興南小段,.06,都市：其他:道路用地,620,13,持分移轉,02270775
RPTOMLPJQHJFFBH68CA,仁美段,22.21,都市：住,10000,45,持分移轉,06940000
RPPPMLPJQHJFFBH38CA,前寮段,25.17,都市：住,10000,300,持分移轉,02420000
RPVOMLPJQHJFFBH88CA,新街段,19.74,都市：住,100000,276,持分移轉,08360000
RPORMLRJQHJFFBH68CA,三座屋段三座屋小段,10.59,都市：住,10000,35,持分移轉,13450097
RPWPMLPJQHJFFBH09CA,廣興段,5054.13,都市：其他:,1,1,全筆移轉,05180001
RPWPMLPJQHJFFBH09CA,廣興段,8505.11,都市：其他:,1,1,全筆移轉,05180002
RPSSMLRJQHJFFBH56CA,普義段,24.22,都市：住,100000,274,持分移轉,08850000
RPROMLNKQHJFFBH38CA,工業區段二小段,121.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00430026
RPSNMLPKQHJFFBH58CA,青平段,175.70,都市：住,1,1,全筆移轉,03460000
RPQUMLSJQHJFFBH66CA,復興段,31.25,都市：住,10000,219,持分移轉,06060000
RPPQMLTKQHJFFBH98CA,仁德段,203.25,都市：其他:道路用地,2862923,500000,持分移轉,03090049
RPVPMLKLQHJFFBH68CA,振興段,100.13,都市：住,1,1,全筆移轉,00480000
RPRWMLSKQHJFFAH96CA,江南段,11.99,都市：住,10000,38,持分移轉,02410000
RPQNMLMKQHJFFBH08CA,環東段,4.64,都市：住,10000,29,持分移轉,08510000
RPTNMLTKQHJFFBH09CA,前寮段,18.90,都市：住,10000,178,持分移轉,03300008
RPPQMLPLQHJFFBH68CA,雙嶺段,22.76,都市：住,100000,521,持分移轉,13920000
RPOQMLPLQHJFFBH58CA,雙嶺段,21.41,都市：住,100000,490,持分移轉,13920000
RPQQMLPLQHJFFBH78CA,雙嶺段,22.76,都市：住,100000,521,持分移轉,13920000
RPUPMLPLQHJFFBH09CA,雙嶺段,22.85,都市：住,100000,523,持分移轉,13920000
RPXPMLPLQHJFFBH76CA,雙嶺段,21.41,都市：住,100000,490,持分移轉,13920000
RPWPMLPLQHJFFBH66CA,雙嶺段,22.85,都市：住,100000,523,持分移轉,13920000
RPVPMLPLQHJFFBH56CA,雙嶺段,22.85,都市：住,100000,523,持分移轉,13920000
RPOWMLLLQHJFFAH68CA,龍鳳段,216.67,都市：住,1,1,全筆移轉,09200000
RPRSMLQLQHJFFAH09CA,小檜溪段,87.86,都市：住,10000,2569,持分移轉,11260000
RPRSMLQLQHJFFAH09CA,小檜溪段,44.44,都市：住,10000,2569,持分移轉,11390000
RPRQMLPLQHJFFBH88CA,雙嶺段,22.76,都市：住,100000,521,持分移轉,13920000
RPORMLPLQHJFFBH68CA,雙嶺段,21.36,都市：住,100000,489,持分移轉,13920000
RPPRMLPLQHJFFBH78CA,雙嶺段,20.58,都市：住,100000,471,持分移轉,13920000
SPPRMLPLQHJFFBH88CA,雙嶺段,21.41,都市：住,100000,490,持分移轉,13920000
