編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLOJQHJFFBJ38CA,6,116.87,商業用,鋼筋混凝土造,97年7月10日,七層,一層 陽台 見其他登記事項
RPOPMLOJQHJFFBJ38CA,6,43.08,共用部分,鋼筋混凝土造,97年7月10日,七層,
RPXNMLOJQHJFFBJ09CA,,28.02,住家用,鋼筋混凝土造,,五層,五層 陽台
RPXNMLOJQHJFFBJ09CA,,8.59,共用部分,鋼筋混凝土造,,五層,
RPTNMLPJQHJFFBJ78CA,1,129.80,住家用,鋼筋混凝土造,102年11月7日,二十二層,二十層 陽台 雨遮
RPTNMLPJQHJFFBJ78CA,1,25.89,本共有部分之項目有防空避難室兼停車空間，清水池，機房，電信室，台電配電室，開放空間，門廳，梯間，機械室，中繼機房，水塔室，水箱等十二項。,鋼筋混凝土造,102年11月6日,二十二層,
RPTNMLPJQHJFFBJ78CA,1,31.04,本共有部分之項目有梯間，機械室，中繼機房，水塔室，水箱等五項。,鋼筋混凝土造,102年11月6日,二十二層,
RPTNMLPJQHJFFBJ78CA,1,.07,住家用,鋼筋混凝土造,102年11月7日,二十二層,
RPTNMLPJQHJFFBJ78CA,1,66.37,本共有部分之項目有防空避難室兼停車空間，清水池，機房，電信室，台電配電室，開放空間，門廳，梯間，機械室，中繼機房，水塔室，水箱等十二項。,鋼筋混凝土造,102年11月6日,二十二層,
RPQNMLQJQHJFFBJ58CA,,108.21,住家用,鋼筋混凝土造,103年5月1日,二十三層,四層 陽台
RPQNMLQJQHJFFBJ58CA,,67.79,本共有部分之項目有資源回收室、防空避難室兼停車空間、樓梯間、管理委員室、頂蓋型廣場式開放、機械室、水箱等七項。,鋼筋混凝土造,103年5月1日,二十三層,
RPSNMLPJQHJFFBJ68CA,2,130.33,住商用,鋼筋混凝土造,102年11月7日,二十二層,一層 二層 陽台
RPSNMLPJQHJFFBJ68CA,2,30.27,本共有部分之項目有防空避難室兼停車空間，清水池，機房，電信室，台電配電室，開放空間，門廳，梯間，機械室，中繼機房，水塔室，水箱等十二項。,鋼筋混凝土造,102年11月6日,二十二層,
RPSNMLPJQHJFFBJ68CA,2,.03,住家用,鋼筋混凝土造,102年11月7日,二十二層,
RPSNMLPJQHJFFBJ68CA,2,33.19,本共有部分之項目有防空避難室兼停車空間，清水池，機房，電信室，台電配電室，開放空間，門廳，梯間，機械室，中繼機房，水塔室，水箱等十二項。,鋼筋混凝土造,102年11月6日,二十二層,
RPSPMLRJQHJFFBJ09CA,20,73.62,住家用,鋼筋混凝土造,83年1月6日,八層,五層 陽台 花台
RPSPMLRJQHJFFBJ09CA,20,26.14,共用部分,鋼筋混凝土造,83年1月6日,八層,
RPTNMLMJQHJFFCJ58CA,1,209.82,住家用,鋼筋混凝土造,102年9月23日,四層,一層 二層 三層 四層 見其他登記事項
RPQOMLQLQHJFFBJ88CA,,142.18,住家用,鋼筋混凝土造,103年1月21日,十三層,三層 陽台 雨遮
RPQOMLQLQHJFFBJ88CA,,24.50,本共有部分之項目有梯間等一項。,鋼筋混凝土造,103年1月21日,十三層,
RPQOMLQLQHJFFBJ88CA,,113.85,本共有部分之項目有防空避難室兼停車空間、頂蓋型開放空間、管理員室、集中式垃圾貯存空間、樓梯間、水表區、水箱、機械室等八項。,鋼筋混凝土造,103年1月21日,十三層,
RPROMLQLQHJFFBJ98CA,,143.69,住家用,鋼筋混凝土造,103年1月21日,十三層,九層 陽台 雨遮
RPROMLQLQHJFFBJ98CA,,24.73,本共有部分之項目有梯間等一項。,鋼筋混凝土造,103年1月21日,十三層,
RPROMLQLQHJFFBJ98CA,,113.85,本共有部分之項目有防空避難室兼停車空間、頂蓋型開放空間、管理員室、集中式垃圾貯存空間、樓梯間、水表區、水箱、機械室等八項。,鋼筋混凝土造,103年1月21日,十三層,
RPSNMLQJQHJFFDJ98CA,26,133.12,住家用,加強磚造,77年8月8日,二層,一層 二層 陽台 屋頂突出物
RPUNMLLJQHJFFDJ68CA,43,121.66,住家用,加強磚造,60年12月1日,二層,一層 二層
RPXNMLKLQHJFFCJ98CA,20,107.16,住家用,鋼筋混凝土造,83年10月22日,五層,三層 陽台
RPXNMLKLQHJFFCJ98CA,20,16.64,共用部分,鋼筋混凝土造,83年10月22日,五層,
RPVNMLOKQHJFFDJ56CA,8,21.39,住家用,鋼筋混凝土造,95年6月15日,五層,四層 陽台
RPVNMLOKQHJFFDJ56CA,8,6.81,見其他登記事項,鋼筋混凝土造,95年6月15日,五層,
RPUNMLNKQHJFFDJ09DA,20,99.73,住家用,鋼筋混凝土造,83年2月17日,六層,四層 陽台
RPOOMLPJQHJFFBJ48DA,,134.84,住家用,加強磚造,,二層,一層 二層 騎樓
RPQNMLNKQHJFFDJ58CA,15,.32,住家用,鋼筋混凝土造,88年8月27日,四層,一層
RPQNMLNKQHJFFDJ58CA,15,235.29,住家用,鋼筋混凝土造,88年8月27日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮 地下層
RPQNMLNKQHJFFDJ58CA,15,21.09,停車空間,鋼筋混凝土造,88年8月27日,四層,
RPSNMLOKQHJFFDJ88CA,7,180.05,住家用,鋼筋混凝土造,96年5月18日,四層,一層 二層 三層 四層 陽台 雨遮
RPUPMLSLQHJFFDJ17CA,19,202.65,住家用,鋼筋混凝土造,84年11月20日,四層,一層 二層 三層 四層 陽台
RPTNMLRJQHJFFDJ56CA,9,79.66,住家用,鋼筋混凝土造,94年1月13日,五層,四層 陽台
RPTNMLRJQHJFFDJ56CA,9,11.10,梯間．機械室,鋼筋混凝土造,94年1月13日,五層,
RPOOMLRJQHJFFDJ78CA,4,69.21,住家用,鋼筋混凝土造,99年11月30日,五層,三層 陽台 雨遮
RPOOMLRJQHJFFDJ78CA,4,7.19,樓梯間、電梯機房、水箱,鋼筋混凝土造,99年11月30日,五層,
RPWNMLPJQHJFFCJ56CA,14,165.99,住家用,鋼筋混凝土造,89年1月7日,十層,五層 陽台
RPWNMLPJQHJFFCJ56CA,14,12.10,共用部分,鋼筋混凝土造,89年1月7日,十層,
RPWNMLPJQHJFFCJ56CA,14,51.20,共用部分,鋼筋混凝土造,89年1月7日,十層,
RPWNMLPJQHJFFCJ56CA,14,39.74,共用部分,鋼筋混凝土造,89年1月7日,十層,
RPSOMLRJQHJFFBJ98CA,9,.03,守衛室,鋼筋混凝土造,94年9月23日,十五層,
RPSOMLRJQHJFFBJ98CA,9,24.71,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPSOMLRJQHJFFBJ98CA,9,139.78,住家用,鋼筋混凝土造,94年9月23日,十五層,十四層 陽台 雨遮
RPSOMLRJQHJFFBJ98CA,9,18.47,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPSOMLRJQHJFFBJ98CA,9,26.81,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPTOMLTKQHJFFBJ76CA,6,28.58,共用部分,鋼筋混凝土造,97年3月10日,十層,
RPQNMLMJRHJFFDJ58DA,8,86.57,商業用,鋼筋混凝土造,95年10月20日,五層,一層 陽台
RPPQMLQJQHJFFBJ78CA,1,100.79,住家用,鋼筋混凝土造,103年1月14日,十四層,十三層 陽台 雨遮
RPPQMLQJQHJFFBJ78CA,1,90.94,本共有部分之項目有防空避難室兼停車空間、開放空間等二項。,鋼筋混凝土造,103年1月14日,十四層,
RPPQMLQJQHJFFBJ78CA,1,24.32,本共有部分之項目有樓梯間、機械室、水箱等三項。,鋼筋混凝土造,103年1月14日,十四層,
RPSNMLRJQHJFFBJ88CA,21,77.79,住家用,鋼筋混凝土造,82年9月23日,十二層,十層 陽台 花台
RPSNMLRJQHJFFBJ88CA,21,14.40,共用部分,鋼筋混凝土造,82年9月23日,十二層,
RPSNMLRJQHJFFBJ88CA,21,7.39,共用部分,鋼筋混凝土造,82年9月23日,十二層,
RPXNMLRJQHJFFBJ76CA,21,204.49,住家用,鋼筋混凝土造,82年12月8日,三層,一層 二層 三層 騎樓
RPPNMLQJQHJFFBJ48CA,,71.25,住家用,鋼筋混凝土造,,四層,三層
RPPPMLRJQHJFFBJ78CA,10,256.54,住商用,鋼筋混凝土造,93年6月28日,四層,一層 二層 三層 四層 陽台 屋頂突出物 地下層
RPPPMLRJQHJFFBJ78CA,10,55.30,共用部分,鋼筋混凝土造,93年6月28日,四層,
RPTNMLSJQHJFFBJ09CA,21,96.37,住家用,鋼筋混凝土造,82年7月16日,五層,五層 陽台
RPTNMLSJQHJFFBJ09CA,21,11.19,共用部分,鋼筋混凝土造,82年7月16日,五層,
RPTNMLSJQHJFFBJ09CA,21,31.21,共用部分,鋼筋混凝土造,82年7月16日,五層,
RPOOMLRJQHJFFBJ58CA,9,20.76,商業用,鋼筋混凝土造,94年5月24日,十層,二層 陽台
RPOOMLRJQHJFFBJ58CA,9,10.90,共用部分,鋼筋混凝土造,94年5月24日,十層,
RPXNMLLJRHJFFCJ98CA,18,176.60,住家用,鋼筋混凝土造,85年8月15日,五層,一層 二層 三層 陽台
RPXNMLLJRHJFFCJ98CA,18,15.08,共用部分,鋼筋混凝土造,85年8月15日,五層,
RPWNMLLJRHJFFCJ88CA,,99.60,住家用,加強磚造,,二層,
RPQOMLRJQHJFFBJ78CA,2,172.16,住家用,鋼筋混凝土造,103年5月29日,二十四層,二十層 陽台 雨遮
RPQOMLRJQHJFFBJ78CA,2,118.12,本共有部分之項目有防空避難室兼停車空間、防災中心等２項,鋼筋混凝土造,103年5月29日,二十四層,
RPQOMLRJQHJFFBJ78CA,2,52.96,本共有部分之項目有開放空間、公共服務空間、垃圾集中處、樓梯間、屋頂平台、中繼機房、水錶箱室、水箱等８項,鋼筋混凝土造,103年5月23日,二十四層,
RPVOMLRJQHJFFBJ66CA,2,187.30,住家用,鋼筋混凝土造,103年5月29日,二十四層,九層 陽台 雨遮
RPVOMLRJQHJFFBJ66CA,2,120.70,本共有部分之項目有防空避難室兼停車空間、防災中心等２項,鋼筋混凝土造,103年5月29日,二十四層,
RPVOMLRJQHJFFBJ66CA,2,58.00,本共有部分之項目有開放空間、公共服務空間、垃圾集中處、樓梯間、屋頂平台、中繼機房、水錶箱室、水箱等８項,鋼筋混凝土造,103年5月23日,二十四層,
RPRPMLMJRHJFFDJ78CA,,216.84,住宅（附屬停車空間）,鋼筋混凝土造,103年2月14日,4,一層 二層 三層 四層 陽台 雨遮
RPROMLRJQHJFFBJ88CA,1,255.40,住家用,鋼筋混凝土造,103年5月29日,二十四層,二十四層 陽台 雨遮
RPROMLRJQHJFFBJ88CA,1,132.07,本共有部分之項目有防空避難室兼停車空間、防災中心等２項,鋼筋混凝土造,103年5月29日,二十四層,
RPROMLRJQHJFFBJ88CA,1,78.68,本共有部分之項目有開放空間、公共服務空間、垃圾集中處、樓梯間、屋頂平台、中繼機房、水錶箱室、水箱等８項,鋼筋混凝土造,103年5月23日,二十四層,
RPWOMLRJQHJFFBJ76CA,2,187.30,住家用,鋼筋混凝土造,103年5月29日,二十四層,十八層 陽台 雨遮
RPWOMLRJQHJFFBJ76CA,2,120.70,本共有部分之項目有防空避難室兼停車空間、防災中心等２項,鋼筋混凝土造,103年5月29日,二十四層,
RPWOMLRJQHJFFBJ76CA,2,58.00,本共有部分之項目有開放空間、公共服務空間、垃圾集中處、樓梯間、屋頂平台、中繼機房、水錶箱室、水箱等８項,鋼筋混凝土造,103年5月23日,二十四層,
RPQOMLLJRHJFFCJ38CA,18,73.59,住家用,鋼筋混凝土造,85年5月6日,九層,九層 陽台 雨遮
RPQOMLLJRHJFFCJ38CA,18,8.25,共用部分,鋼筋混凝土造,85年5月6日,九層,
RPQOMLLJRHJFFCJ38CA,18,8.36,共用部分,鋼筋混凝土造,85年5月6日,十層,
RPXOMLKLQHJFFCJ09CA,12,346.26,住家用,鋼筋混凝土造,91年3月20日,三層,一層 二層 三層 陽台
RPOOMLRJQHJFFCJ68CA,16,154.28,農舍,鋼筋混凝土造、鋼架造,86年7月29日,二層,一層 二層
RPQOMLSJQHJFFCJ98CA,16,241.71,住家用,鋼筋混凝土造,87年10月23日,五層,一層 二層 三層 四層 五層 陽台 雨遮
RPTOMLSJQHJFFCJ66CA,,101.20,住家用,加強磚造,,二層,一層 騎樓 地下層
RPTPMLMKQHJFFCJ88CA,19,65.14,住家用,鋼筋混凝土造,84年8月1日,十三層,六層 陽台
RPTPMLMKQHJFFCJ88CA,19,8.95,共用部分,鋼筋混凝土造,84年8月1日,十三層,
RPTPMLMKQHJFFCJ88CA,19,13.67,共用部分,鋼筋混凝土造,84年8月1日,十三層,
RPWNMLRJQHJFFBJ76DA,52,100.20,商業用,磚造,51年8月1日,二層,一層 二層 騎樓
RPSOMLSJQHJFFDJ76DA,,191.06,住家用,加強磚造．磚石造,,二層,一層 二層
RPUNMLSJQHJFFCJ76DA,21,66.21,住家用,鋼筋混凝土造,82年9月25日,九層,九層 陽台
RPUNMLSJQHJFFCJ76DA,21,12.04,住家用,鋼筋混凝土造,82年9月25日,九層,
RPUNMLSJQHJFFCJ76DA,21,11.56,共用部分,鋼筋混凝土造,82年9月25日,九層,
RPRNMLSKQHJFFDJ56CA,18,89.96,住家用,鋼筋混凝土造,85年8月23日,十層,三層 陽台
RPRNMLSKQHJFFDJ56CA,18,15.73,停車場．避難室,鋼筋混凝土造,85年8月23日,十層,
RPRNMLSKQHJFFDJ56CA,18,11.69,人行道．梯間,鋼筋混凝土造,85年8月23日,十層,
RPPNMLLKQHJFFDJ28CA,13,177.20,停車空間．住宅,鋼筋混凝土造,90年7月10日,四層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項
RPQNMLLKQHJFFDJ38CA,,92.82,住家用,加強磚造,,二層,一層 二層
RPUNMLMKQHJFFDJ88CA,32,114.04,住商用,鋼筋混凝土造,71年7月1日,二層,
RPSOMLRJQHJFFDJ56CA,10,227.08,住家用,鋼筋混凝土造,93年7月25日,五層,一層 二層 三層 四層 五層 陽台 雨遮
RPSOMLRJQHJFFDJ56CA,10,1.80,住家用,鋼筋混凝土造,93年7月25日,五層,一層 二層 三層 四層 五層 陽台 雨遮
RPXOMLSJQHJFFDJ17CA,22,3.07,樓梯間．突出物．水塔,鋼筋混凝土造,81年4月22日,五層,
RPXOMLSJQHJFFDJ17CA,22,24.80,住家用,鋼筋混凝土造,81年4月22日,五層,二層 陽台
RPXOMLSJQHJFFDJ17CA,22,5.11,樓梯間．走道,鋼筋混凝土造,81年4月22日,五層,
RPQOMLSJQHJFFDJ09CA,17,252.79,住商用,鋼筋混凝土造,87年1月2日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
RPOQMLMKQHJFFCJ48CA,7,217.06,住家用,鋼筋混凝土造,96年6月14日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPQOMLPKQHJFFCJ78CA,,229.14,商業用,加強磚造,,二層,一層 二層 騎樓 地下層
RPOOMLSJQHJFFCJ78CA,,95.44,住家用,加強磚造,,二層,
RPTNMLSJQHJFFCJ56CA,19,227.90,住家用,鋼筋混凝土造,84年9月22日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPOOMLLJRHJFFDJ28CA,16,83.04,住家用,鋼筋混凝土造,87年9月24日,九層,九層 陽台
RPOOMLLJRHJFFDJ28CA,16,50.81,共用部分,鋼筋混凝土造,87年9月24日,九層,
RPUNMLTKQHJFFBJ76CA,5,145.28,住家用,鋼筋混凝土造,98年3月11日,十五層,八層 陽台 雨遮
RPUNMLTKQHJFFBJ76CA,5,.42,管理室,鋼筋混凝土造,98年3月11日,十五層,
RPUNMLTKQHJFFBJ76CA,5,28.26,共用部分,鋼筋混凝土造,98年3月11日,十五層,
RPUNMLTKQHJFFBJ76CA,5,83.95,共用部分,鋼筋混凝土造,98年3月11日,十五層,
RPUNMLTKQHJFFBJ76CA,5,.07,共用部分,鋼筋混凝土造,98年3月11日,十五層,
RPUNMLTLQHJFFCJ96CA,19,87.98,住家用,鋼筋混凝土造,84年7月20日,十二層,五層 陽台 花台
RPUNMLTLQHJFFCJ96CA,19,11.96,共用部分,鋼筋混凝土造,84年7月20日,十二層,
RPUNMLTLQHJFFCJ96CA,19,10.50,共用部分,鋼筋混凝土造,84年7月20日,十二層,
RPOPMLNKQHJFFBJ38CA,21,98.17,住家用,鋼筋混凝土造,82年12月24日,六層,四層 陽台 花台
RPOPMLNKQHJFFBJ38CA,21,2.00,共用部分,鋼筋混凝土造,82年12月24日,六層,
RPOPMLNKQHJFFBJ38CA,21,2.26,共用部分,鋼筋混凝土造,82年12月24日,六層,
RPOPMLNKQHJFFBJ38CA,21,2.26,共用部分,鋼筋混凝土造,82年12月24日,六層,
RPOPMLNKQHJFFBJ38CA,21,2.00,共用部分,鋼筋混凝土造,82年12月24日,六層,
RPOPMLNKQHJFFBJ38CA,21,14.35,共用部分,鋼筋混凝土造,82年12月24日,六層,
RPSPMLNKQHJFFBJ78CA,26,159.83,住家用,鋼筋混凝土造,78年1月7日,三層,一層 二層 三層
RPUOMLRJQHJFFBJ56CA,21,.84,商業用,鋼筋混凝土造,82年3月26日,五層,
RPUOMLRJQHJFFBJ56CA,21,23.56,見使用執照,鋼筋混凝土造,82年3月26日,五層,
RPUOMLRJQHJFFBJ56CA,21,109.02,住家用,鋼筋混凝土造,82年3月26日,五層,一層 平台
RPUOMLRJQHJFFBJ56CA,21,12.94,見使用執照,鋼筋混凝土造,82年3月26日,五層,
RPPNMLSJQHJFFBJ68CA,18,22.46,住家用,鋼筋混凝土造,85年1月30日,八層,七層 陽台
