編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSONLPJJIJFFAO68CA,唐高段,.15,都市：住,10000,9,持分移轉,05360000
RPSONLPJJIJFFAO68CA,唐高段,57.00,都市：住,1,1,全筆移轉,05360033
RPSONLPJJIJFFAO68CA,唐高段,.40,都市：住,10000,160,持分移轉,05360034
RPROMLOJJIJFFAO38CA,中雅段,1.19,都市：商,10000,1,持分移轉,02140000
RPVPNLPJJIJFFAO09CA,中華段,22.04,都市：其他:住商,100000,194,持分移轉,01360000
RPUPMLOKJIJFFAO88CA,新莊段,35.26,都市：商,10000,120,持分移轉,06870000
RPROMLOJJIJFFAO38CA,崙子段,.03,都市：商,10000,1,持分移轉,20600000
RPUNMLQJJIJFFAO78CA,柴橋段,14.10,都市：其他:,100000,102,持分移轉,08260000
RPPNMLRJJIJFFAO38CA,新興段一小段,7.75,都市：住,10000,71,持分移轉,00910000
RPXPMLKKJIJFFAO78CA,新港段,24.80,都市：住,100000,1119,持分移轉,04640000
RPTPMLSKJIJFFAO56CA,信義段,12.10,都市：住,10000,42,持分移轉,07390000
RPVOMLLKJIJFFAO68DA,南興段,2452.89,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02840000
RPVOMLLKJIJFFAO68DA,南興段,1596.52,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04930000
RPVOMLLKJIJFFAO68DA,南興段,2081.04,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04950000
RPVOMLLKJIJFFAO68DA,南興段,3796.78,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05290000
RPVOMLLKJIJFFAO68DA,內湖段,1924.63,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03610000
RPVOMLLKJIJFFAO68DA,見樂段,125.31,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01630000
