編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLPLJIJFFAP66CA,咬狗段,1547.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02210003
RPXNMLPLJIJFFAP66CA,咬狗段,2710.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02160001
RPRNMLQJJIJFFDP88CA,惠來厝段,29.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,26810001
RPRNMLQJJIJFFDP88CA,惠來厝段,17.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,29180000
RPRNMLQJJIJFFDP88CA,惠來厝段,128.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,29190000
RPRNMLRJJIJFFBP78CA,新安段,109.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15590000
RPPNMLQJJIJFFBP48CA,田子林段,7.67,非都市：特定農業區 ; 非都市編定：交通用地,24,2,持分移轉,03530001
RPPNMLQJJIJFFBP48CA,田子林段,55.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,2,持分移轉,04780006
RPPNMLQJJIJFFBP48CA,田子林段,300.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04780007
RPPNMLQJJIJFFBP48CA,田子林段,329.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04780011
RPPNMLQJJIJFFEP78CA,崇文段,200.00,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,00210026
RPPNMLQJJIJFFEP78CA,崇文段,229.00,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,00210027
RPPOMLOKJIJFFEP78CA,北港段,112.00,都市：住,1,1,全筆移轉,14160107
RPSNMLRJJIJFFDP09CA,惠來厝段,2714.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,23970000
RPPNMLTKJIJFFEP56CA,下崙段,129.00,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,19180031
RPSNMLPLJIJFFFP66CA,許厝寮段後安寮小段,4086.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10300000
RPQNMLQLJIJFFFP56CA,橋頭段,1610.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,17380000
RPUNMLPJJIJFFAP88DA,大湖底段,82.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,2,1,持分移轉,01270030
RPSNMLLKJIJFFAP38DA,斗六段,19.54,都市：住,71200,1954,持分移轉,00150000
RPQNMLPJJIJFFAP48DA,大潭段社口小段,81.00,都市：住,1,1,全筆移轉,00710054
RPRNMLQJJIJFFAP68DA,埔南段,171.92,都市：農,5,4,持分移轉,04740000
RPRNMLQJJIJFFAP68DA,埔南段,432.84,都市：其他:,5,4,持分移轉,04740001
RPRNMLQJJIJFFAP68DA,埔南段,2147.81,都市：農,1,1,全筆移轉,04770000
