鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義巿保安一路４２號,92.0,住,,,1031209,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0820713,335.81,4,2,2,有,無,10290000,30642,,0.0,0,,RPUOMLLKKHKFFAI97CA,293.85,9.72,32.24,,
嘉義市,房地(土地+建物),嘉義市嘉義巿維新路３６號,87.0,住,,,1040119,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0621221,127.36,3,1,2,有,無,12000000,94221,,0.0,0,,RPUNMLMKKHKFFAI97CA,127.36,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿自強街１０６巷３７號,76.0,住,,,1040102,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810201,178.43,6,1,5,有,無,5250000,29423,,0.0,0,,RPOOMLMKKHKFFAI47CA,156.78,5.41,16.24,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿友孝路１７１號４樓之２,14.62,住,,,1040122,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830507,133.42000000000002,3,2,2,有,有,4000000,29981,坡道機械,0.0,0,,RPSPMLQKKHKFFAI38CA,85.73,0.0,6.7,,
嘉義市,房地(土地+建物),嘉義市嘉義巿博愛路二段１６８號９樓之２,3.84,其他,,,1040113,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880421,39.13,1,1,1,有,無,1050000,26834,,0.0,0,,RPXPMLRKKHKFFAI98CA,24.92,0.0,2.59,,
嘉義市,房地(土地+建物),嘉義市嘉義巿義教街７０６巷８之８號,166.46,住,,,1031215,土地2建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1030807,274.47,5,1,6,有,無,13000000,47364,,0.0,0,,RPSOMLQLKHKFFAI38CA,252.14,0.0,22.08,,
嘉義市,房地(土地+建物),嘉義市嘉義巿義教街７０６巷１６之２號,128.46,住,,,1031128,土地2建物1車位0,一層，二層，三層，四層，見其他登記事項,四層,店面(店鋪),見其他登記事項,見其他登記事項,1030807,228.02,4,2,6,有,無,12150000,53285,,0.0,0,,RPTOMLQLKHKFFAI48CA,215.0,0.0,12.77,,
嘉義市,房地(土地+建物),嘉義市嘉義巿義教街７０６巷１６之１號,129.46,住,,,1031128,土地2建物1車位0,一層，二層，三層，四層，見其他登記事項,四層,店面(店鋪),見其他登記事項,見其他登記事項,1030807,227.78,5,1,6,有,無,12150000,53341,,0.0,0,,RPUOMLQLKHKFFAI58CA,215.0,0.0,12.53,,
嘉義市,房地(土地+建物),嘉義市嘉義巿義教街７０６巷１６號,121.46,住,,,1031128,土地2建物1車位0,一層，二層，三層，四層，見其他登記事項,四層,店面(店鋪),見其他登記事項,見其他登記事項,1030807,228.02,5,1,6,有,無,11800000,51750,,0.0,0,,RPVOMLQLKHKFFAI68CA,215.0,0.0,12.77,,
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路２３８巷５９弄１６號２樓１,30.72,住,,,1040114,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790219,144.25,4,2,2,有,有,3300000,22877,,0.0,0,,RPPNMLOJKHKFFAI77EA,115.82,0.0,2.07,,
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路４２１巷３８號,83.0,住,,,1031230,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0681015,95.19,4,2,2,有,無,1485700,15608,,0.0,0,二親等買賣,RPWNMLOJKHKFFAI48EA,88.37,6.82,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿玉山路２４０巷２號八樓之４,10.0,住,,,1040111,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830718,106.95,3,1,2,有,有,2000000,18700,,0.0,0,,RPUNMLPJKHKFFAI38EA,74.41,0.0,8.17,,
嘉義市,土地,元段五小段74地號,62.0,商,,,1040123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,45161,,0.0,0,地上尚有未保存登記建物,RPOOMLQJKHKFFAI97EA,0.0,0.0,0.0,,
嘉義市,土地,堀川段4-507地號,199.0,住,,,1031214,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5375000,27010,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPQOMLNKKHKFFAI97EA,0.0,0.0,0.0,,
嘉義市,土地,短竹段333-23地號,87.0,商,,,1031229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,24138,,0.0,0,,RPPOMLQJKHKFFAI08EA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路６９１巷２５９弄３２號,108.0,住,,,1040107,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0570301,65.2,0,0,0,無,有,3593700,55118,,0.0,0,,RPPOMLOJKHKFFAI87EA,65.2,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義巿中興路408巷46號,91.0,住,,,1031229,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0681208,111.6,3,1,2,有,無,5500000,49283,,0.0,0,,RPVNMLQJKHKFFAI48DA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿興達路７５號,76.0,住,,,1031224,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0701228,172.76,6,3,3,有,無,8650000,50069,,0.0,0,,RPROMLPLKHKFFAI18CA,168.32,4.44,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路２３８巷３號,89.0,住,,,1031227,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0660204,120.38,3,2,3,有,無,6350000,52750,,0.0,0,,RPSOMLPLKHKFFAI28CA,116.35,4.03,0.0,,
嘉義市,建物,嘉義市嘉義巿下埤里賢達路５０１巷２０號,0.0,,,,1040112,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0940714,178.74,4,2,3,有,無,1000000,5595,,0.0,0,,RPSOMLMKKHKFFAI87CA,161.6,2.75,14.39,,
嘉義市,房地(土地+建物),嘉義市嘉義巿八德路195號9樓2,15.76,住,,,1040126,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821223,125.53,3,1,2,有,有,3300000,26289,,0.0,0,,RPQPMLLKKHKFFAI67CA,85.56,1.4,12.07,,
嘉義市,土地,新厝段907地號,1092.71,農,,,1031231,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6521309,5968,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLNKKHKFFAI08CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義巿文雅街１１６巷２１號,30.96,住,,,1040104,土地1建物1車位0,一層，二層，三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850618,190.03,4,2,3,有,有,5200000,27364,,0.0,0,,RPOPMLTJKHKFFAI18CA,136.62,0.0,20.4,,
嘉義市,土地,劉厝段玉山小段96地號,175.5,住,,,1040130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8900000,50712,,0.0,0,,RPWNMLKKKHKFFAI97CA,0.0,0.0,0.0,,
嘉義市,土地,北門段四小段6地號,101.0,住,,,1040121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9800000,97030,,0.0,0,,RPPNMLPJKHKFFAI67CA,0.0,0.0,0.0,,
嘉義市,土地,檜段四小段54-3地號,21.0,住,,,1040121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,47619,,0.0,0,,RPQNMLPJKHKFFAI77CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿永福一街１１號８樓２,17.68,住,,,1040120,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831223,146.38,3,2,2,有,有,4490000,30674,坡道機械,0.0,0,,RPOOMLRJKHKFFAI87CA,97.69,0.0,13.18,,
嘉義市,房地(土地+建物),嘉義市嘉義巿永吉二街２號,187.0,住,,,1031216,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0660705,97.82,3,2,1,有,無,12000000,122674,,0.0,0,,RPPOMLRJKHKFFAI97CA,0.0,0.0,0.0,,
嘉義市,土地,頂庄段726-15地號,609.62,農,,,1040108,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5435000,8915,,0.0,0,,RPQOMLTJKHKFFAI28CA,0.0,0.0,0.0,,
