編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNKKHKFFCN68CC,景福段,66.00,都市：其他:,,,,00070000
RPRNMLPJLHKFFCN88CC,鹿德段,117.56,都市：住,,,,04500000
RPUNMLQKKHKFFAN56DC,民生段,19.76,都市：商,,,,08630000
RPPOMLRKLHKFFAN88CC,南郭段南郭小段,79.00,都市：住,,,,03000030
RPQNMLPLLHKFFBN98DC,建興段,1685.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,13640000
RPWNMLLMLHKFFAN56DC,西門口段,77.00,都市：住,,,,05420040
RPSNMLPJLHKFFCN98CC,埔崙段,104.98,都市：住,,,,00180000
RPXNMLLJMHKFFAN09DC,南郭段南郭小段,149.00,都市：商,,,,04350001
RPTNMLLJMHKFFDN88CC,員林段,69.00,都市：商,,,,05140111
RPXNMLLMLHKFFAN66DC,西門口段,7.00,都市：住,,,,08810000
RPQOMLRJMHKFFDN76DC,靜修段,90.33,都市：住,,,,07270012
RPQOMLOKMHKFFAN78CC,彰興段,1589.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,01830000
RPSNMLTJMHKFFAN66CC,下崙段,989.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,06080000
RPRNMLSJMHKFFCN76DC,東石段,99.00,非都市：一般農業區 ; 非都市編定：養殖用地,,,,08180002
RPWNMLPLLHKFFCN96CC,龍山段,54.00,都市：商,,,,00220000
RPPNMLLKLHKFFCN38CC,鹿德段,56.77,都市：住,,,,04470000
