編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLQJKHKFFAW96CA,1,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPUNMLQJKHKFFAW07CA,1,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPTNMLQKKHKFFAW07CA,,50.28,集合住宅,鋼筋混凝土造,103年9月26日,七層,七層 陽台
RPTNMLQKKHKFFAW07CA,,16.15,共有部分：本共有部分之項目計有防空避難室、電梯、梯廳、樓梯間、電信室、蓄水池、機械室等７項。,鋼筋混凝土造,103年9月26日,七層,
RPRNMLQJKHKFFAW76CA,,27.60,集合住宅,鋼筋混凝土造,103年10月16日,三層,二層 陽台
RPRNMLQJKHKFFAW76CA,,4.19,共有部分：本共有部分之項目計有樓梯間、走廊等二項。,鋼筋混凝土造,103年10月16日,三層,
RPUNMLQKKHKFFAW17CA,,48.44,共有部分：本共有部分之項目計有防空避難室、電梯、梯廳、樓梯間、電信室、蓄水池、機械室等７項。,鋼筋混凝土造,103年9月26日,七層,
RPUNMLQKKHKFFAW17CA,,50.28,集合住宅,鋼筋混凝土造,103年9月26日,七層,四層 陽台
RPUNMLQKKHKFFAW17CA,,50.28,集合住宅,鋼筋混凝土造,103年9月26日,七層,五層 陽台
RPUNMLQKKHKFFAW17CA,,50.28,集合住宅,鋼筋混凝土造,103年9月26日,七層,六層 陽台
RPVNMLQKKHKFFAW27CA,,48.44,共有部分：本共有部分之項目計有防空避難室、電梯、梯廳、樓梯間、電信室、蓄水池、機械室等７項。,鋼筋混凝土造,103年9月26日,七層,
RPVNMLQKKHKFFAW27CA,,43.51,集合住宅,鋼筋混凝土造,103年9月26日,七層,一層
RPVNMLQKKHKFFAW27CA,,50.28,集合住宅,鋼筋混凝土造,103年9月26日,七層,二層 陽台
RPVNMLQKKHKFFAW27CA,,50.28,集合住宅,鋼筋混凝土造,103年9月26日,七層,三層 陽台
RPVNMLQKKHKFFAW27CA,,46.54,共有部分：本共有部分之項目有防空避難室１項。,鋼筋混凝土造,103年9月26日,七層,
RPVNMLMKKHKFFAW86CA,,86.63,集合住宅,鋼筋混凝土造,103年12月22日,三層,三層 陽台
RPVNMLMKKHKFFAW86CA,,17.54,共有部分：本共有部分之項目有樓梯間、水箱等二項。,鋼筋混凝土造,103年12月22日,三層,
RPTNMLMKKHKFFAW66CA,,77.72,集合住宅,鋼筋混凝土造,103年12月22日,三層,三層 陽台
RPTNMLMKKHKFFAW66CA,,15.65,共有部分：本共有部分之項目有樓梯間、水箱二項。,鋼筋混凝土造,103年12月22日,三層,
RPUNMLNKKHKFFAW86CA,1,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPOOMLMKKHKFFAW88CA,,67.61,集合住宅,鋼筋混凝土造,103年12月22日,三層,一層 陽台
RPOOMLMKKHKFFAW88CA,,15.65,共有部分：本共有部分之項目有樓梯間、水箱二項。,鋼筋混凝土造,103年12月22日,三層,
RPSNMLNKKHKFFAW66CA,1,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPVNMLPJLHKFFAW17CA,1,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPQNMLPLKHKFFAW76CA,,142.48,住家用,鋼筋混凝土造,103年11月24日,三層,一層 二層 三層 陽台 雨遮
RPRNMLLMLHKFFAW76DA,,66.71,見其他登記事項,鋼筋混凝土造,104年1月5日,三層,
RPRNMLLMLHKFFAW76DA,,10.44,見其他登記事項,鋼筋混凝土造,104年1月5日,三層,
RPQNMLLMLHKFFAW66DA,,66.71,見其他登記事項,鋼筋混凝土造,104年1月5日,三層,
RPQNMLLMLHKFFAW66DA,,10.44,見其他登記事項,鋼筋混凝土造,104年1月5日,三層,
RPRQMLTJLHKFFAW47CA,,28.03,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,三層
RPRQMLTJLHKFFAW47CA,,4.42,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,
SPRQMLTJLHKFFAW57CA,,49.71,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,三層
SPRQMLTJLHKFFAW57CA,,7.94,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,
SPPQMLTJLHKFFAW37CA,,49.71,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,二層
SPPQMLTJLHKFFAW37CA,,7.94,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,
RPXOMLTJLHKFFAW87CA,5,149.33,住家用,鋼筋混凝土造,99年1月21日,三層,一層 二層 三層 陽台 雨遮
RPPQMLTJLHKFFAW27CA,,28.03,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,二層
RPPQMLTJLHKFFAW27CA,,4.42,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,
RPSNMLMKLHKFFAW66CA,1,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPOQMLTJLHKFFAW17CA,2,140.76,見其他登記事項,鋼筋混凝土造,102年7月26日,三層,一層 二層 三層 見其他登記事項
RPQNMLTJLHKFFAW07CA,,77.72,集合住宅,鋼筋混凝土造,103年12月22日,三層,二層 陽台
RPQNMLTJLHKFFAW07CA,,15.65,共有部分：本共有部分之項目有樓梯間、水箱二項。,鋼筋混凝土造,103年12月22日,三層,
RPWNMLTJLHKFFAW67CA,,86.63,集合住宅,鋼筋混凝土造,103年12月22日,三層,二層 陽台
RPWNMLTJLHKFFAW67CA,,17.54,共有部分：本共有部分之項目有樓梯間、水箱等二項。,鋼筋混凝土造,103年12月22日,三層,
RPPOMLTJLHKFFAW07CA,,86.63,集合住宅,鋼筋混凝土造,103年12月22日,三層,一層 陽台
RPPOMLTJLHKFFAW07CA,,17.54,共有部分：本共有部分之項目有樓梯間、水箱等二項。,鋼筋混凝土造,103年12月22日,三層,
RPUNMLTJLHKFFAW47CA,,69.49,集合住宅,鋼筋混凝土造,103年12月22日,三層,二層 陽台
RPUNMLTJLHKFFAW47CA,,15.65,共有部分：本共有部分之項目有樓梯間、水箱二項。,鋼筋混凝土造,103年12月22日,三層,
RPUOMLTJLHKFFAW57CA,,87.01,集合住宅,鋼筋混凝土造,103年12月22日,三層,二層 陽台
RPUOMLTJLHKFFAW57CA,,17.01,共有部分：本共有部分之項目有樓梯間、水箱等二項。,鋼筋混凝土造,103年12月22日,三層,
RPSOMLTJLHKFFAW37CA,,87.01,集合住宅,鋼筋混凝土造,103年12月22日,三層,三層 陽台
RPSOMLTJLHKFFAW37CA,,17.01,共有部分：本共有部分之項目有樓梯間、水箱等二項。,鋼筋混凝土造,103年12月22日,三層,
RPSNMLTJLHKFFAW27CA,,75.83,集合住宅,鋼筋混凝土造,103年12月22日,三層,一層 陽台
RPSNMLTJLHKFFAW27CA,,15.65,共有部分：本共有部分之項目有樓梯間、水箱二項。,鋼筋混凝土造,103年12月22日,三層,
RPWOMLTJLHKFFAW77CA,,65.23,集合住宅,鋼筋混凝土造,103年12月22日,三層,三層 陽台
RPWOMLTJLHKFFAW77CA,,17.44,共有部分：本共有部分之項目有樓梯間、水箱二項,鋼筋混凝土造,103年12月22日,三層,
RPQPMLTJLHKFFAW27CA,,65.23,集合住宅,鋼筋混凝土造,103年12月22日,三層,二層 陽台
RPQPMLTJLHKFFAW27CA,,17.44,共有部分：本共有部分之項目有樓梯間、水箱二項,鋼筋混凝土造,103年12月22日,三層,
RPSPMLTJLHKFFAW47CA,,65.23,集合住宅,鋼筋混凝土造,103年12月22日,三層,一層 陽台
RPSPMLTJLHKFFAW47CA,,17.44,共有部分：本共有部分之項目有樓梯間、水箱二項,鋼筋混凝土造,103年12月22日,三層,
RPTNMLMKLHKFFAW76CA,1,204.18,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPUPMLTJLHKFFAW67CA,,49.71,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,一層
RPUPMLTJLHKFFAW67CA,,7.94,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,
RPWPMLTJLHKFFAW87CA,,28.03,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,一層
RPWPMLTJLHKFFAW87CA,,4.42,見其他登記事項,鋼筋混凝土造,104年1月20日,三層,
RPQNMLRKLHKFFAW96CA,19,162.00,住商用,鋼筋混凝土造,84年11月4日,三層,一層 二層 三層
RPSNMLRKLHKFFAW17CA,,69.49,集合住宅,鋼筋混凝土造,103年12月22日,三層,三層 陽台
RPSNMLRKLHKFFAW17CA,,15.65,共有部分：本共有部分之項目有樓梯間、水箱二項。,鋼筋混凝土造,103年12月22日,三層,
RPUNMLRKLHKFFAW37CA,,205.29,集合住宅,鋼筋混凝土造,103年8月29日,三層,一層 二層 三層 陽台 地下一層
RPUNMLRKLHKFFAW37CA,,92.98,共有部分：本共有部分之項目計有停車空間、機械室、發電機室、車道、消防機械室、電信機房及電表室等七項。,鋼筋混凝土造,103年8月29日,三層,
RPVNMLLMLHKFFAW17DA,,66.71,見其他登記事項,鋼筋混凝土造,104年1月5日,三層,
RPVNMLLMLHKFFAW17DA,,10.44,見其他登記事項,鋼筋混凝土造,104年1月5日,三層,
RPSNMLOLLHKFFAW96CA,1,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPTNMLNLLHKFFAW96CA,6,16.56,樓梯間,鋼筋混凝土造,97年10月29日,五層,
RPTNMLNLLHKFFAW96CA,6,137.30,集合住宅,鋼筋混凝土造,97年10月29日,五層,五層 陽台 雨遮 見其他登記事項
RPUNMLRKMHKFFAW47CA,1,222.88,集合住宅,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPXNMLLLMHKFFAW37DA,19,245.12,防空避難室，旅館,鋼筋混凝土造,85年5月9日,四層,一層 二層 三層 四層 屋頂突出物 電梯樓梯間 地下層
RPUNMLPLLHKFFAW27CA,3,38.08,集合住宅,鋼筋混凝土造,101年5月9日,四層,三層 陽台
RPWNMLPLLHKFFAW47CA,6,297.71,店舖、住宅,鋼筋混凝土造,98年4月20日,三層,一層 二層 三層 陽台
RPPNMLPLLHKFFAW76CA,19,207.82,住家用,鋼筋混凝土加強磚造,84年9月6日,三層,一層 二層 三層 陽台 平台
RPSNMLPLLHKFFAW07CA,,145.57,住家用,鋼筋混凝土造,103年11月24日,三層,一層 二層 三層 陽台 雨遮
RPQOMLNKMHKFFAW76CA,,145.29,一般事務所,鋼筋混凝土造,104年1月9日,十層,三層 陽台 雨遮
RPQOMLNKMHKFFAW76CA,,44.98,共有部分：本共有部分之項目有樓梯間、防空避難室、水箱、無障礙電梯、台電配電室、梯廳、機房、清水池、發電機室、電信室、消防機房、升降機道、升降機房等１３項。,鋼筋混凝土造,104年1月9日,十層,
RPTOMLNKMHKFFAW07CA,,109.73,一般事務所,鋼筋混凝土造,104年1月9日,十層,八層 陽台 雨遮
RPTOMLNKMHKFFAW07CA,,44.98,共有部分：本共有部分之項目有樓梯間、防空避難室、水箱、無障礙電梯、台電配電室、梯廳、機房、清水池、發電機室、電信室、消防機房、升降機道、升降機房等１３項。,鋼筋混凝土造,104年1月9日,十層,
RPPOMLNKMHKFFAW66CA,,369.47,補習班,鋼筋混凝土造,104年1月9日,十層,一層 二層 陽台 雨遮 見其他登記事項
RPPOMLNKMHKFFAW66CA,,44.98,共有部分：本共有部分之項目有樓梯間、防空避難室、水箱、無障礙電梯、台電配電室、梯廳、機房、清水池、發電機室、電信室、消防機房、升降機道、升降機房等１３項。,鋼筋混凝土造,104年1月9日,十層,
RPUOMLNKMHKFFAW17CA,,109.73,一般事務所,鋼筋混凝土造,104年1月9日,十層,九層 陽台 雨遮
