編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLQJKHKFFAW96CA,湖前段,96.03,都市：住,200054,9603,持分移轉,05460000
RPPNMLTJKHKFFAW86CA,東洲段,10300.00,都市：其他:保護區,1,1,全筆移轉,00210022
RPQNMLQJKHKFFAW76DA,東園劃段,798.86,都市：農,1,1,全筆移轉,00820000
RPQNMLOJKHKFFAW09CA,沙溪一劃段,987.99,都市：農,1,1,全筆移轉,02620000
RPQNMLOJKHKFFAW09CA,沙溪一劃段,940.27,都市：其他:農業區.道路用地,1,1,全筆移轉,03370000
RPUNMLQJKHKFFAW07CA,湖前段,96.02,都市：住,200054,9602,持分移轉,05460000
RPTOMLNJKHKFFAW86DA,北四劃段,323.00,都市：農,1,1,全筆移轉,04030001
RPSNMLQJKHKFFAW86CA,山柄段,114.43,都市：農,1,1,全筆移轉,02740000
RPSNMLQJKHKFFAW86CA,山柄段,26.57,都市：農,1,1,全筆移轉,02740001
RPSNMLOJKHKFFAW76DA,沙港劃段,1000.05,都市：農,1,1,全筆移轉,08420000
RPQNMLLKKHKFFAW88CA,寧湖三劃段,1000.00,都市：農,1,1,全筆移轉,08490000
RPTNMLLKKHKFFAW56CA,太湖劃測段,1000.02,都市：農,1,1,全筆移轉,16770000
RPTNMLQKKHKFFAW07CA,祥豐段,15.16,都市：住,14,1,持分移轉,00290000
RPVNMLQJKHKFFAW17CA,太武段,382.74,都市：農,1,1,全筆移轉,11110000
RPVNMLQJKHKFFAW17CA,太武段,.61,都市：其他:公園用地,1,1,全筆移轉,11110001
RPVNMLQJKHKFFAW17CA,太武段,17.64,都市：其他:溝渠用地,1,1,全筆移轉,11110002
RPRNMLQJKHKFFAW76CA,北二三劃測段,17.77,都市：其他:自然村專用區,10000,483,持分移轉,02290000
RPQNMLTJKHKFFAW07DA,小西門劃測段,1036.21,都市：其他:保護區,1,1,全筆移轉,19560000
RPPOMLMKKHKFFAW98CA,寧劃段,488.59,都市：農,1,1,全筆移轉,04510000
RPRNMLTJKHKFFAW07CA,寧安四劃段,520.00,都市：農,1,1,全筆移轉,05190000
RPQNMLKKKHKFFAW78CA,尚義段,785.58,都市：農,1,1,全筆移轉,02570000
RPQNMLKKKHKFFAW78CA,浯坑劃測段,747.00,都市：其他:農、道,1,1,全筆移轉,03660000
RPUNMLKKKHKFFAW56CA,北九十劃段,500.48,都市：農,2,1,持分移轉,05490000
RPUNMLKKKHKFFAW56CA,北九十劃段,1000.54,都市：農,1,1,全筆移轉,05500000
RPOOMLQJKHKFFAW66DA,北八劃段,1000.00,都市：農,1,1,全筆移轉,02810000
RPSNMLPJLHKFFAW96DA,燕南山段,469.47,都市：農,1,1,全筆移轉,05930000
RPSNMLPJLHKFFAW96DA,燕南山段,223.38,都市：農,1,1,全筆移轉,00350000
RPSNMLPJLHKFFAW96DA,燕南山段,271.74,都市：農,1,1,全筆移轉,00360000
RPUNMLQKKHKFFAW17CA,祥豐段,45.47,都市：住,14,3,持分移轉,00290000
RPPNMLKKKHKFFAW68CA,官嶼劃段,798.92,都市：農,1,1,全筆移轉,00240000
RPVNMLKKKHKFFAW66CA,北九十劃段,500.48,都市：農,2,1,持分移轉,05490000
RPXNMLMKKHKFFAW07CA,沙港劃段,1000.02,都市：農,1,1,全筆移轉,07290000
RPVNMLQKKHKFFAW27CA,祥豐段,45.47,都市：住,14,3,持分移轉,00290000
RPPNMLOKKHKFFAW09CA,古崗村段,212.00,都市：住,1,1,全筆移轉,04310000
RPVNMLLKKHKFFAW76CA,湖后劃段,1000.00,都市：其他:自然村專用區,1,1,全筆移轉,00630000
RPTNMLQLKHKFFAW27DA,東面山測段,720.96,都市：農,1,1,全筆移轉,04550000
RPUNMLLKKHKFFAW66CA,北九劃段,1000.00,都市：農,1,1,全筆移轉,10930000
RPUNMLLKKHKFFAW66CA,北九劃段,1000.00,都市：農,1,1,全筆移轉,12700000
RPVNMLMKKHKFFAW86CA,山前段,56.35,都市：農,3,1,持分移轉,04430003
RPTNMLMKKHKFFAW66CA,山前段,64.47,都市：農,10000,1106,持分移轉,04430000
RPRNMLMKKHKFFAW09CA,新頭段,87.30,都市：其他:道路用地,1,1,全筆移轉,04480001
RPSNMLPLKHKFFAW07DA,浦邊段,418.00,都市：住,1,1,全筆移轉,08460000
RPUNMLNKKHKFFAW86CA,湖前段,96.05,都市：住,200054,9605,持分移轉,05460000
RPROMLMKKHKFFAW56CA,南雄段,94.34,都市：其他:國家公園 第二類一般管制區,56,1,持分移轉,01780002
