編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLMJNHKFFEE97CC,坡道機械,0,,
RPVNMLOJNHKFFEE68CC,坡道機械,0,,
RPRQMLQJNHKFFEE78CC,坡道機械,0,,
RPPNMLQJNHKFFAE87CC,坡道機械,0,,
RPSNMLSJNHKFFBE48CC,升降機械,0,,
RPOOMLLKNHKFFBE57CC,坡道機械,0,9.22,
RPSNMLMKNHKFFBE97CC,坡道平面,1800,14.65,
RPRNMLMKNHKFFBE87CC,坡道平面,1800,12.65,
RPVNMLMKNHKFFBE28CC,坡道平面,2000,14.65,
RPSNMLPKNHKFFGE78CC,坡道平面,0,20.45,
RPQNMLRKNHKFFBE28CC,坡道平面,1800,12.65,
RPRNMLRKNHKFFBE38CC,坡道平面,2000,14.65,
RPWNMLSKNHKFFEE66CC,坡道機械,0,,
RPUQMLTKNHKFFEE86CC,坡道機械,0,,
RPVQMLTKNHKFFEE96CC,坡道平面,0,,
RPQNMLRJNHKFFCE28CC,坡道平面,0,20.38,
RPPNMLNLNHKFFEE18CC,坡道平面,0,,
RPQOMLPLNHKFFEE58CC,坡道機械,0,10.36,
RPQNMLNLNHKFFBE97CC,坡道平面,2000,14.65,
RPOOMLPLNHKFFEE38CC,坡道平面,0,19.65,
RPPNMLLMNHKFFBE77CC,坡道平面,2000,14.65,
RPUNMLMJOHKFFBE18CC,坡道平面,0,,
RPVNMLMJOHKFFBE28CC,坡道機械,0,,
RPVNMLMJOHKFFAE18CC,坡道平面,0,24.86,
RPOOMLMJOHKFFCE77CC,坡道平面,0,28.48,
RPTOMLNJOHKFFAE18CC,坡道平面,0,19.34,
RPVNMLMJOHKFFCE38CC,坡道機械,0,13.60,
RPQOMLOJOHKFFAE97CC,坡道機械,0,,
RPXOMLMJOHKFFDE78CC,坡道平面,0,26.61,
RPVOMLPJOHKFFCE78CC,坡道機械,0,8.68,
RPXOMLNJOHKFFCE78CC,坡道平面,0,41.03,
RPRNMLRJOHKFFBE38CC,坡道平面,1500,14.65,
RPUNMLRJOHKFFBE68CC,坡道平面,1500,14.65,
RPSNMLRJOHKFFBE48CC,坡道平面,1800,12.65,
RPTNMLKKOHKFFAE87CC,坡道機械,0,14.55,
RPPPMLKKOHKFFAE67CC,坡道平面,0,31.59,
RPUSMLKKOHKFFEE88CC,升降機械,0,,
RPWNMLLKOHKFFGE88CC,坡道平面,0,,
RPSOMLSJOHKFFAE58CC,坡道平面,0,16.63,
RPTOMLQKOHKFFDE88CC,坡道平面,0,23.66,
RPTNMLMLOHKFFEE58CC,坡道機械,0,10.55,
RPTNMLQKOHKFFAE48CC,坡道平面,0,22.96,
RPTOMLMKOHKFFAE18CC,坡道平面,0,23.73,
RPSNMLPKOHKFFAE28CC,坡道機械,0,,
RPVNMLNLOHKFFBE58CC,坡道平面,1800,12.65,
RPWNMLNLOHKFFBE68CC,坡道平面,1700,12.65,
RPRNMLOLOHKFFAE18CC,坡道平面,0,38.66,
RPQNMLOLOHKFFAE08CC,坡道平面,0,19.34,
RPQQMLLJPHKFFEE38CC,坡道平面,0,20.67,
RPXOMLTLOHKFFEE17CC,坡道平面,0,7.43,
RPWOMLLJPHKFFAE38CC,坡道平面,0,30.50,
RPTOMLLJPHKFFCE28CC,坡道平面,0,17.23,
RPVNMLNJPHKFFEE88DC,坡道平面,0,13.30,
RPTNMLNJPHKFFBE28CC,坡道平面,2000,14.65,
RPSOMLKMOHKFFDE38CC,坡道平面,0,,
RPRNMLQJPHKFFBE38CC,坡道平面,2000,14.65,
RPPOMLQJPHKFFCE38CC,坡道平面,0,,
RPUOMLLJPHKFFDE48CC,坡道平面,0,16.65,
RPUNMLSJPHKFFDE09CC,坡道平面,0,31.41,
RPUNMLSJPHKFFDE09CC,坡道平面,0,31.41,
RPWNMLSJPHKFFBE09CC,坡道平面,0,18.48,
RPWNMLSJPHKFFBE09CC,坡道平面,0,18.49,
RPOPMLTJPHKFFAE48CC,坡道平面,0,,
RPXNMLSJPHKFFAE09CC,坡道平面,0,19.34,
RPOPMLLJPHKFFAE67CC,坡道平面,0,19.34,
RPTNMLQJPHKFFAE48CC,坡道平面,0,,
RPSNMLTJPHKFFCE88CC,坡道平面,0,,
RPXNMLTJPHKFFEE96CC,坡道機械,0,6.72,
RPROMLKKPHKFFDE18CC,坡道平面,0,,
RPSOMLKKPHKFFDE28CC,坡道機械,0,,
RPUNMLQKPHKFFBE78CC,坡道平面,1500,14.65,
RPRNMLRKPHKFFDE78CC,坡道平面,0,21.40,
RPSNMLRKPHKFFDE88CC,坡道平面,0,21.40,
RPQNMLLLPHKFFEE28CC,坡道平面,0,17.13,
RPQNMLSKPHKFFAE48CC,坡道機械,0,10.79,
RPRNMLSKPHKFFAE58CC,坡道機械,0,10.79,
RPXNMLMLPHKFFBE78CC,坡道平面,2500,14.65,
RPTNMLMLPHKFFEE68CC,坡道平面,0,18.22,
RPPNMLMLPHKFFCE08CC,坡道機械,0,10.18,
RPSPMLQKPHKFFCE88CC,坡道平面,0,,
RPSNMLNLPHKFFAE28CC,坡道平面,0,9.74,
RPQOMLRLPHKFFEE98CC,坡道機械,0,,
RPQNMLSLPHKFFEE98CC,坡道平面,0,,
RPUOMLSLPHKFFEE86CC,坡道平面,0,29.27,
RPWNMLRLPHKFFBE56CC,坡道平面,1700,12.65,
RPTOMLLMPHKFFAE38CC,坡道平面,0,22.96,
RPXNMLSLPHKFFCE86CC,坡道平面,0,2.00,
