編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSPMLOJNHKFFAU96CA,順安段,2524.09,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06430000
RPQOMLOJNHKFFAU66CA,民勤段,46.42,都市：住,10000,132,持分移轉,04300000
RPQNMLQJNHKFFAU76CA,民意段,28.10,都市：住,10,1,持分移轉,08190003
RPUNMLPJNHKFFAU07CA,石壁段,97.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01590000
RPPOMLQJNHKFFAU76CA,大坪段,4485.32,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08570000
RPPOMLQJNHKFFAU76CA,大坪段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08590000
RPQNMLRJNHKFFAU86CA,國股段,126.11,都市：住,5,1,持分移轉,06160000
RPROMLSJNHKFFAU17CA,干城段,118.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04800000
RPOOMLOJNHKFFAU09CA,林森段,16.65,都市：住,20,3,持分移轉,02950000
RPOOMLOJNHKFFAU09CA,林森段,22.05,都市：住,20,3,持分移轉,02950001
RPVNMLOJNHKFFAU07CA,興海段,2849.85,都市：農,1,1,全筆移轉,08620000
RPSPMLMKNHKFFAU86CA,民孝段,31.60,都市：住,100000,598,持分移轉,01310000
RPSOMLRJNHKFFAU17CA,莊敬段,12.95,都市：住,1000,23,持分移轉,04280002
RPRNMLMKNHKFFAU56CA,富國段,8.51,都市：住,10000,60,持分移轉,01570000
RPVNMLNKNHKFFAU07CA,慈安段,114.00,都市：住,1,1,全筆移轉,07960000
RPVNMLNKNHKFFAU07CA,慈安段,.50,都市：住,4,1,持分移轉,08030000
RPTNMLSLNHKFFAU47CA,吳全段,4614.40,都市：農,1,1,全筆移轉,06650000
RPPNMLTLNHKFFAU17CA,碧雲段,113.00,都市：住,1,1,全筆移轉,00110000
RPPNMLTLNHKFFAU17CA,碧雲段,126.00,都市：住,1,1,全筆移轉,00120000
RPPNMLSKNHKFFAU96CA,吳全段,259.90,都市：農,100,35,持分移轉,12570000
RPPNMLSKNHKFFAU96CA,吳全段,2667.00,都市：農,1,1,全筆移轉,12570002
RPRNMLLJNHKFFBU09CA,鳳光段,106.00,都市：住,1,1,全筆移轉,02960005
RPQNMLOJNHKFFCU76CA,?段,3410.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,28520000
RPQNMLPJNHKFFCU86CA,富里段,2740.00,非都市：山坡地保育區 ; 非都市編定：暫未編定,1,1,全筆移轉,18710000
RPQNMLPJNHKFFCU86CA,富里段,820.00,非都市：山坡地保育區 ; 非都市編定：暫未編定,1,1,全筆移轉,20130004
RPWOMLRJNHKFFAU77EA,嘉南段,74.00,都市：住,1,1,全筆移轉,04490000
RPRNMLOJNHKFFAU86EA,南坑段,21216.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00320000
RPSNMLQJNHKFFAU17EA,福興段,127.00,都市：住,1,1,全筆移轉,04470000
RPUNMLOJNHKFFAU17EA,德布克段,1121.05,都市：農,1,1,全筆移轉,04430000
RPPNMLLKNHKFFCU09CA,玉東段,1851.50,都市：農,1,1,全筆移轉,06660000
RPOQMLMKNHKFFAU76EA,新興段,465.09,都市：其他:道路用地,1,1,全筆移轉,01740000
RPPNMLPJNHKFFCU76CA,瑞新段,155.76,都市：住,1,1,全筆移轉,02000009
RPVNMLLJOHKFFAU86CA,永興段,124.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02900000
RPWNMLLJOHKFFAU96CA,碧雲段,111.00,都市：住,1,1,全筆移轉,00030005
RPTPMLMKNHKFFAU96CA,福祥段,107.81,都市：住,10000,1310,持分移轉,09510000
RPUPMLMKNHKFFAU07CA,樹林段,155.49,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02470000
RPWOMLMKNHKFFAU17CA,自強段,34.78,都市：住,10000,23,持分移轉,01940000
RPVNMLPJNHKFFAU37EA,富國段,9.30,都市：商,100,3,持分移轉,00960004
RPUPMLLKNHKFFAU96CA,豐坪段,4784.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04870000
RPUPMLLKNHKFFAU96CA,豐坪段,2823.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04880000
RPUPMLLKNHKFFAU96CA,豐坪段,2823.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04890000
RPUPMLLKNHKFFAU96CA,豐坪段,2823.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04900000
RPQNMLSJNHKFFAU96CA,福吉段,2646.88,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05060000
RPPQMLKLNHKFFAU56CA,大漢段,93.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07590000
RPQOMLSJNHKFFAU07CA,民生段,.84,都市：其他:,1000,76,持分移轉,01670001
RPQOMLSJNHKFFAU07CA,民生段,.23,都市：其他:,1000,76,持分移轉,01670002
RPQOMLSJNHKFFAU07CA,民生段,21.20,都市：商,1000,76,持分移轉,01670000
RPSNMLSJNHKFFAU17CA,民德段,38.48,都市：住,10000,142,持分移轉,05670000
RPRNMLQJNHKFFAU86CA,太昌段,123.00,都市：住,1,1,全筆移轉,13680015
RPRNMLQJNHKFFAU86CA,太昌段,21.00,都市：住,1,1,全筆移轉,13700028
RPPPMLPJNHKFFAU76CA,民勤段,313.00,都市：農,1,1,全筆移轉,17480000
RPPPMLPJNHKFFAU76CA,民勤段,56.00,都市：農,1,1,全筆移轉,17480009
RPPPMLPJNHKFFAU76CA,民勤段,7.00,都市：農,1,1,全筆移轉,17480010
RPPPMLPJNHKFFAU76CA,民勤段,1.00,都市：農,1,1,全筆移轉,17480003
RPPPMLPJNHKFFAU76CA,民勤段,16.00,都市：農,1,1,全筆移轉,17480013
RPPPMLPJNHKFFAU76CA,民勤段,18.00,都市：農,1,1,全筆移轉,17480014
RPVOMLPJNHKFFAU27CA,嘉北段,188.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,02650007
RPOPMLPJNHKFFAU66CA,大漢段,55.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03110000
RPOPMLPJNHKFFAU66CA,大漢段,43.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1325,35,持分移轉,03600000
RPSOMLPJNHKFFAU96CA,民享段,31.40,都市：住,5,1,持分移轉,18270000
RPPOMLPJNHKFFAU66CA,崇德段,4190.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12160000
RPPNMLPJNHKFFAU56CA,康樂段,122.56,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01690000
