編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLOJNHKFFAV17CA,19,97.58,集合住宅,鋼筋混凝土造,85年6月21日,七層,七層 陽台
RPVNMLOJNHKFFAV17CA,19,11.86,主要內容：樓梯．電梯（共同使用）,鋼筋混凝土造,85年6月21日,七層,
RPVNMLOJNHKFFAV17CA,19,16.82,防空避難室暨停車空間共同使用,鋼筋混凝土造,85年6月21日,七層,
RPVNMLOJNHKFFAV17CA,19,6.89,車道．樓梯．配電室．機械房．蓄水池．機車停車位共同使用,鋼筋混凝土造,85年6月21日,七層,
RPVNMLOJNHKFFAV17CA,19,6.88,電梯．水箱．機械房．樓梯共同使用,鋼筋混凝土造,85年6月21日,七層,
UPRNMLPJNHKFFCV37CA,6,147.31,住家用,鋼筋混凝土造,98年6月19日,三層,一層 二層 三層 見其他登記事項
RPRNMLPJNHKFFCV07CA,6,147.31,住家用,鋼筋混凝土造,98年6月19日,三層,一層 二層 三層 見其他登記事項
RPWNMLOJNHKFFAV27CA,,25.97,住家用,木竹造,,一層,一層 騎樓 見其他登記事項
RPWNMLOJNHKFFAV27CA,,25.97,住家用,木竹造,,一層,一層 騎樓 見其他登記事項
RPWNMLOJNHKFFAV27CA,51,34.85,住家用,鐵筋水泥磚,53年1月22日,一層,一層 騎樓
RPWNMLOJNHKFFAV27CA,51,17.42,住家用,鐵筋水泥磚,53年1月22日,一層,一層 騎樓
RPWNMLOJNHKFFAV27CA,51,17.42,住家用,鐵筋水泥磚,53年1月22日,一層,一層 騎樓
RPWNMLOJNHKFFAV27CA,,51.94,住家用,木竹造,,一層,一層 騎樓 見其他登記事項
SPRNMLPJNHKFFCV17CA,6,147.31,住家用,鋼筋混凝土造,98年6月19日,三層,一層 二層 三層 見其他登記事項
TPRNMLPJNHKFFCV27CA,6,147.31,住家用,鋼筋混凝土造,98年6月19日,三層,一層 二層 三層 見其他登記事項
VPRNMLPJNHKFFCV47CA,6,147.31,住家用,鋼筋混凝土造,98年6月19日,三層,一層 二層 三層 見其他登記事項
WPRNMLPJNHKFFCV57CA,6,147.31,住家用,鋼筋混凝土造,98年6月19日,三層,一層 二層 三層 見其他登記事項
RPUNMLSJNHKFFDV77CA,21,49.77,住宅避難室,鋼筋混凝土造,82年11月26日,三層,一層 地下層
RPUNMLSJNHKFFDV77CA,21,49.77,住宅避難室,鋼筋混凝土造,82年11月26日,三層,一層 地下層
