編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLOJNHKFFAV17CA,豐年段,25.88,都市：住,10000,56,持分移轉,00270007
RPVNMLLJNHKFFAV86CA,豐利段,701.62,都市：農,1,1,全筆移轉,10590000
RPVNMLLJNHKFFAV86CA,豐利段,6363.10,都市：農,1,1,全筆移轉,10600000
UPRNMLPJNHKFFCV37CA,龍田段,116.38,都市：住,1,1,全筆移轉,11490007
RPRNMLPJNHKFFCV07CA,龍田段,96.18,都市：住,1,1,全筆移轉,11490004
RPWNMLOJNHKFFAV27CA,中心段,33.00,都市：其他:,4,2,持分移轉,06810000
RPWNMLOJNHKFFAV27CA,中心段,16.50,都市：其他:,4,1,持分移轉,06810000
RPWNMLOJNHKFFAV27CA,中心段,16.50,都市：其他:,4,1,持分移轉,06810000
RPWNMLOJNHKFFAV27CA,中心段,131.50,都市：住,4,2,持分移轉,06800000
RPWNMLOJNHKFFAV27CA,中心段,65.75,都市：住,4,1,持分移轉,06800000
RPWNMLOJNHKFFAV27CA,中心段,65.75,都市：住,4,1,持分移轉,06800000
SPRNMLPJNHKFFCV17CA,龍田段,123.08,都市：住,1,1,全筆移轉,11490005
TPRNMLPJNHKFFCV27CA,龍田段,117.54,都市：住,1,1,全筆移轉,11490006
VPRNMLPJNHKFFCV47CA,龍田段,96.77,都市：住,1,1,全筆移轉,11490002
WPRNMLPJNHKFFCV57CA,龍田段,96.62,都市：住,1,1,全筆移轉,11490003
RPPNMLPJNHKFFDV96CA,尚武段,95.84,非都市： ; 非都市編定：,1,1,全筆移轉,05530000
RPQNMLPJNHKFFDV07CA,尚武段,121.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05520000
RPUNMLSJNHKFFDV77CA,秀山段,12.87,都市：住,6,1,持分移轉,06990000
RPUNMLSJNHKFFDV77CA,秀山段,.28,都市：住,6,1,持分移轉,06990001
RPUNMLSJNHKFFDV77CA,秀山段,.28,都市：住,6,1,持分移轉,06990001
RPUNMLSJNHKFFDV77CA,秀山段,1.62,都市：住,30,1,持分移轉,06950000
RPUNMLSJNHKFFDV77CA,秀山段,1.62,都市：住,30,1,持分移轉,06950000
RPUNMLSJNHKFFDV77CA,秀山段,12.87,都市：住,6,1,持分移轉,06990000
