編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLJQHKFFDE08CC,大港段二小段,96.00,都市：住,,,,15210003
RPUNMLNJQHKFFDE68CC,澄東段,169.69,都市：住,,,,00770000
RPPNMLMJQHKFFBE87CC,意誠段,.00,都市：商,,,,01990000
RPPNMLLJQHKFFBE77CC,過田子段,6.35,都市：住,,,,10130000
RPTNMLNJQHKFFDE58CC,澄東段,169.69,都市：住,,,,00770000
RPUNMLNJQHKFFAE38CC,內惟段九小段,.00,非都市： ; 非都市編定：,,,,00190000
RPPOMLNJQHKFFEE38CC,清楠段,.00,非都市： ; 非都市編定：,,,,05150000
RPROMLNJQHKFFCE38CC,愛群段,2.54,非都市： ; 非都市編定：,,,,29490000
RPVNMLNJQHKFFDE78CC,鼎金段,170.87,都市：住,,,,04240000
RPOOMLNJQHKFFAE87CC,鹽府段,18.00,都市：商,,,,01490000
RPOOMLNJQHKFFAE87CC,鹽府段,66.00,都市：商,,,,01500000
RPQNMLNJQHKFFIE78CC,保安段,152.00,都市：住,,,,08070007
RPQNMLOJQHKFFGE68CC,赤山段,46.00,都市：住,,,,06410052
RPQNMLOJQHKFFGE68CC,赤山段,13.00,都市：住,,,,06410056
RPVNMLNJQHKFFIE66CC,青雲段,60.70,都市：住,,,,05970000
RPOPMLOJQHKFFGE68CC,七老爺段一甲小段,13.21,都市：住,,,,14630000
RPROMLOJQHKFFEE68CC,果貿段,16.72,都市：住,,,,00060000
RPXNMLOJQHKFFAE78CC,龍中段,32.03,都市：住,,,,02080000
RPVOMLPJQHKFFDE09CC,大港段七小段,.00,都市：商,,,,04440006
RPXNMLPJQHKFFDE56CC,大順段,16.51,都市：商,,,,05690000
RPSNMLPJQHKFFFE88CC,大仁段,82.00,都市：住,,,,11290002
RPVNMLQJQHKFFDE09CC,澄東段,152.60,都市：住,,,,01050003
RPVNMLQJQHKFFDE09CC,澄東段,11.02,都市：住,,,,01050009
RPWNMLQJQHKFFDE56CC,河濱段,.00,都市：商,,,,05410000
RPXNMLQJQHKFFDE66CC,大港段二小段,.00,都市：住,,,,11030002
RPQSMLPJQHKFFEE09CC,福民段,.00,都市：住,,,,00900008
RPSSMLPJQHKFFEE66CC,新庄段十三小段,.00,非都市： ; 非都市編定：,,,,13860000
RPWOMLPJQHKFFEE66CC,新民段,17.03,都市：住,,,,02130000
RPUNMLRJQHKFFAE78CC,龍中段,286.57,都市：商,,,,00160003
RPWNMLRJQHKFFAE98CC,龍水段一小段,59.31,都市：商,,,,11790000
RPQOMLRJQHKFFAE48CC,青海段,23.97,都市：住,,,,05450000
RPVOMLRJQHKFFAE98CC,前金段,13.67,都市：商,,,,00960001
RPQQMLQJQHKFFGE56CC,竹子腳段,97.00,都市：住,,,,02230040
RPUOMLRJQHKFFEE66CC,楠都段一小段,161.00,都市：商,,,,01770000
RPVNMLRJQHKFFDE56CC,三塊厝段一小段,72.00,都市：商,,,,06220030
RPOOMLRJQHKFFDE58CC,大港段三小段,136.00,都市：住,,,,07130002
RPTNMLRJQHKFFDE98CC,建豐段,75.73,都市：住,,,,09570000
RPVOMLRJQHKFFEE76CC,新庄段一小段,70.00,都市：住,,,,07260000
RPVOMLRJQHKFFEE76CC,新庄段一小段,2.00,都市：住,,,,07250000
RPVNMLRJQHKFFIE07CC,仁德段,80.00,都市：住,,,,00220035
RPOPMLRJQHKFFEE78CC,?後段,44.79,都市：住,,,,00190002
RPUQMLRJQHKFFEE86CC,新庄段十三小段,8.67,都市：商,,,,14450000
RPPOMLKKQHKFFGE38CC,新庄子段,75.00,都市：其他:,,,,00630013
RPVNMLKKQHKFFFE78CC,介壽段,46.00,都市：住,,,,01160000
RPPOMLLKQHKFFDE18CC,大港段三小段,62.41,都市：商,,,,07880001
RPPOMLLKQHKFFDE18CC,大港段三小段,5.87,都市：其他:道路用地,,,,07880006
RPVOMLLKQHKFFGE09CC,維新段,.00,非都市： ; 非都市編定：,,,,10830000
RPSOMLLKQHKFFEE58CC,新庄段十三小段,63.00,都市：住,,,,13900001
RPQNMLLKQHKFFIE68CC,仁雄段,406.34,都市：住,,,,00610001
RPRNMLMKQHKFFGE68CC,七老爺段一甲小段,12.52,非都市： ; 非都市編定：,,,,10950015
RPWOMLKKQHKFFAE48CC,龍中段,165.28,都市：商,,,,01520006
RPRNMLNJQHKFFBE18CC,意誠段,.00,都市：商,,,,01990000
RPQNMLMJQHKFFBE97CC,意誠段,.00,都市：商,,,,01990000
RPSNMLMJQHKFFBE18CC,意誠段,.00,都市：商,,,,01990000
RPRNMLMJQHKFFBE08CC,意誠段,.00,都市：商,,,,01990000
RPOOMLMKQHKFFAE87CC,博孝段,5.50,都市：其他:,,,,12340000
RPRQMLMKQHKFFCE58CC,盛興段,9.05,都市：住,,,,15500000
RPSNMLNJQHKFFBE28CC,新興段四小段,4.58,都市：商,,,,11380000
RPQNMLKKQHKFFBE87CC,大統段二小段,.00,非都市： ; 非都市編定：,,,,12800000
RPWNMLMKQHKFFBE68CC,大統段一小段,3.93,非都市： ; 非都市編定：,,,,08560000
RPPNMLKKQHKFFBE77CC,大統段二小段,.00,非都市： ; 非都市編定：,,,,12800000
RPWNMLRJQHKFFBE09CC,成功段,14.33,都市：商,,,,00590000
RPSOMLMKQHKFFBE38CC,林德官段二小段,.00,都市：商,,,,34120000
