鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮站東路170巷3號2樓之1,17.65,住,,,1040722,土地1建物1車位0,二層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030402,34.27,1,1,1,有,無,有,7000,204,,0.0,0,,RPQNMLLJQHKFFAG97CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮站東路170巷3號3樓之2,17.65,住,,,1040727,土地1建物1車位0,三層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030402,34.27,1,1,1,有,無,有,7000,204,,0.0,0,,RPRNMLLJQHKFFAG08CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮清潭路17號3樓B室,14.83,住,,,1040714,土地1建物1車位0,三層,3,套房(1房1廳1衛),住商用,鋼筋混凝土造,0880120,27.13,1,0,1,有,無,有,5000,184,,0.0,0,三層樓隔為2間，承租其中一間。,RPSNMLLJQHKFFAG18CC
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮重陽街27巷31號2樓,25.37,住,,,1040718,土地2建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870512,25.17,3,2,1,有,無,有,12000,477,一樓平面,18.47,0,,RPTNMLLJQHKFFAG28CC
冬山鄉,土地,義成六段341地號,157.55,商,,,1040717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,63,,0.0,0,本案有未保存之建物。,RPUNMLLJQHKFFAG38CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮民生路125號,140.0,住,,,1040722,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住家用,鋼筋混凝土加強磚造,0661012,374.38,0,0,3,有,無,無,33000,88,,0.0,0,,RPVNMLLJQHKFFAG48CC
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威南路19-8號3F,14.11,,特定農業區,甲種建築用地,1040723,土地1建物1車位0,三層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840524,35.44,1,1,1,有,有,有,7000,198,,0.0,0,,RPXNMLLJQHKFFAG68CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿民權新路259巷7號,69.4,住,,,1040724,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830914,127.08,4,3,2,有,無,有,14000,110,,0.0,0,,RPQNMLLJQHKFFBG08CC
宜蘭市,建物,宜蘭縣宜蘭巿校舍路50號,0.0,商,,,1040802,土地0建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,,58.5,0,0,0,無,無,無,13000,222,,0.0,0,,RPTNMLNJQHKFFBG58CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南門路35巷20號,31.33,住,,,1040724,土地1建物1車位0,三層,2,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620706,52.75,2,1,2,有,無,有,8000,152,,0.0,0,租賃層數未辦保存部分,RPROMLOJQHKFFAG48CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿黎明三路295號,573.76,農,,,1040712,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0620731,124.4,0,0,0,無,無,無,40000,322,,0.0,0,,RPPNMLOJQHKFFBG38DC
宜蘭市,建物,宜蘭縣宜蘭巿崇聖街115號,0.0,住,,,1040809,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,119.87,0,0,0,無,無,有,10000,83,,0.0,0,,RPOPMLMKQHKFFBG48EC
宜蘭市,建物,宜蘭縣宜蘭巿健康路三段29號,0.0,住,,,1040803,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,,89.0,0,0,0,無,無,無,20000,225,,0.0,0,,RPPPMLMKQHKFFBG58EC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路三段269號,108.0,商,,,1040812,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,0621029,268.41,0,0,0,無,無,無,76000,283,,0.0,0,,RPUNMLOKQHKFFAG78CC
宜蘭市,建物,宜蘭縣宜蘭巿延平路56巷9-1號7F,0.0,住,,,1040731,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830802,77.6,2,2,1,有,無,有,10000,129,,0.0,0,,RPPNMLSKQHKFFBG88DC
