鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄11號,111.76,住,,,1040629,土地3建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1040515,240.98,4,1,4,有,有,9120000,37845,,0.0,0,,RPSNMLPJQHKFFBJ78CA,233.63,0.0,7.35,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄7號,73.87,住,,,1040629,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1040515,217.95,4,1,4,有,有,8050000,36935,,0.0,0,,RPTNMLPJQHKFFBJ88CA,213.09,0.0,4.86,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄2號,93.96,住,,,1040629,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040515,251.96,3,1,4,有,有,9530000,37823,,0.0,0,,RPUNMLPJQHKFFBJ98CA,224.05,20.59,7.32,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄10號,88.48,住,,,1040629,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040515,248.45,3,1,4,有,有,8880000,35742,,0.0,0,,RPVNMLPJQHKFFBJ09CA,220.89,20.36,7.2,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄12號,88.48,住,,,1040629,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040515,248.45,3,1,4,有,有,8800000,35420,,0.0,0,,RPWNMLPJQHKFFBJ56CA,220.89,20.36,7.2,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄16號,88.48,住,,,1040629,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040515,248.45,3,1,4,有,有,8800000,35420,,0.0,0,,RPXNMLPJQHKFFBJ66CA,220.89,20.36,7.2,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄18號,88.49,住,,,1040629,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040515,248.45,3,1,4,有,有,8580000,34534,,0.0,0,,RPOOMLPJQHKFFBJ48CA,220.89,20.36,7.2,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄9號,112.65,住,,,1040630,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1040515,238.69,4,1,4,有,有,9100000,38125,,0.0,0,,RPROMLPJQHKFFBJ78CA,231.41,0.0,7.28,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄8號,88.48,住,,,1040703,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040515,248.45,3,1,4,有,有,8880000,35742,,0.0,0,,RPWOMLPJQHKFFBJ66CA,220.89,20.36,7.2,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段80巷20弄20號,88.49,住,,,1040703,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040515,248.45,3,1,4,有,有,8750000,35218,,0.0,0,,RPXOMLPJQHKFFBJ76CA,220.89,20.36,7.2,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文化街16巷5號七樓,25.91,住,,,1040626,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940616,155.74,3,2,2,有,有,7500000,48157,坡道平面,0.0,0,,RPPOMLLKQHKFFBJ28CA,80.02,3.9,8.51,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利一路９８號十四樓,25.98,商,,,1040721,土地1建物1車位1,十五層，十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941004,271.64,4,2,3,有,有,14300000,52643,坡道平面,0.0,0,,RPXPMLNKQHKFFBJ76CA,165.58,3.57,11.81,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功八路１７２號五樓之二,14.55,商,,,1040621,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031009,163.26999999999998,3,2,2,有,有,9900000,60636,坡道平面,0.0,0,,RPQOMLOLQHKFFBJ78CA,76.15,4.0,8.86,,
竹北市,土地,三崁店段三崁店小段19-1地號,661.23,,特定農業區,農牧用地,1040721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14800000,22383,,0.0,0,,RPUNMLRLQHKFFBJ76CA,0.0,0.0,0.0,,
峨眉鄉,土地,赤柯坪段赤柯山小段108-8地號,2695.0,,山坡地保育區,農牧用地,1040611,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4930000,1829,,0.0,0,,RPSNMLOJQHKFFCJ78CA,0.0,0.0,0.0,,
橫山鄉,土地,內灣段861地號,137.37,,鄉村區,乙種建築用地,1040720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,16743,,0.0,0,,RPVNMLPJQHKFFCJ56CA,0.0,0.0,0.0,,
竹東鎮,土地,員崠段899地號,23714.98,,山坡地保育區,農牧用地,1040325,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5350000,226,,0.0,0,,RPWNMLPJQHKFFCJ66CA,0.0,0.0,0.0,,
竹東鎮,土地,五豐段78地號,173.29,其他,,,1040721,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,416000,2401,,0.0,0,,RPQNMLKKQHKFFCJ28CA,0.0,0.0,0.0,,
竹東鎮,房地(土地+建物),新竹縣竹東鎮長春路三段１４１號四樓,9.9,住,,,1040630,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820729,77.45,2,2,1,有,有,3600000,46482,,0.0,0,,RPXNMLMKQHKFFCJ56CA,51.61,0.0,7.29,,
尖石鄉,土地,煤源段832地號,16990.0,,山坡地保育區,農牧用地,1040701,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5800000,341,,0.0,0,,RPQNMLPLQHKFFCJ88CA,0.0,0.0,0.0,,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中興路四段１０３０巷４６弄１４號三樓,29.21,住,,,1040720,土地2建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.19,3,2,2,有,有,6200000,43299,坡道平面,0.0,0,,RPXNMLQLQHKFFCJ07CA,86.25,0.0,11.78,,
尖石鄉,土地,煤源段18-4地號,6325.0,,山坡地保育區,農牧用地,1040715,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,316,,0.0,0,,RPOOMLQLQHKFFCJ88CA,0.0,0.0,0.0,,
北埔鄉,土地,湖中段1253地號,1380.0,,山坡地保育區,農牧用地,1040721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1042000,755,,0.0,0,,RPPOMLQLQHKFFCJ98CA,0.0,0.0,0.0,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉三峰路二段５６５號三樓,22.62,住,,,1040714,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840412,136.82,3,2,2,有,有,3000000,21927,升降機械,0.0,0,,RPSOMLQLQHKFFCJ66CA,68.2,0.0,10.33,,
竹東鎮,房地(土地+建物),新竹縣竹東鎮三重一路77號一樓,19.8,住,,,1040721,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830107,84.10999999999999,3,2,2,有,無,2000000,23778,,0.0,0,,RPRNMLSLQHKFFCJ66CA,67.97,5.85,0.0,,
尖石鄉,土地,新樂段水田小段630地號,1440.0,,山坡地保育區,農牧用地,1040603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,694,,0.0,0,,RPQNMLTLQHKFFCJ66CA,0.0,0.0,0.0,,
尖石鄉,土地,新樂段水田小段757地號,9220.0,,山坡地保育區,農牧用地,1040603,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16000000,1735,,0.0,0,,RPRNMLTLQHKFFCJ76CA,0.0,0.0,0.0,,
尖石鄉,土地,新樂段水田小段768-1地號,12935.0,,山坡地保育區,林業用地,1040603,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,696,,0.0,0,,RPSNMLTLQHKFFCJ86CA,0.0,0.0,0.0,,
芎林鄉,土地,新鳳段669地號,199.15,,特定農業區,農牧用地,1040611,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,25107,,0.0,0,,RPRNMLLMQHKFFCJ68CA,0.0,0.0,0.0,,
竹東鎮,房地(土地+建物),新竹縣竹東鎮中興路三段３９２號十樓,14.36,住,,,1040713,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850507,106.25,2,2,2,有,有,3260000,30682,,0.0,0,,RPQNMLLJRHKFFCJ38CA,69.84,0.0,10.06,,
竹東鎮,房地(土地+建物),新竹縣竹東鎮中豐路一段８５巷２弄２３號,77.0,住,,,1040722,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,86.1,3,2,2,有,無,4080000,47387,,0.0,0,,RPRNMLLJRHKFFCJ48CA,86.1,0.0,0.0,,
峨眉鄉,土地,石井段梯子桄小段126-14地號,2645.0,,山坡地保育區,農牧用地,1040724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2160000,817,,0.0,0,,RPOPMLLJRHKFFCJ38CA,0.0,0.0,0.0,,
湖口鄉,土地,南湖段579-2地號,436.0,其他,,,1040720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10200000,23394,,0.0,0,,RPUNMLOJQHKFFDJ09CA,0.0,0.0,0.0,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉成德路１４９號,66.0,,特定農業區,甲種建築用地,1040612,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830601,147.69,4,2,3,有,無,4000000,27084,,0.0,0,,RPVNMLOJQHKFFDJ56CA,129.03,9.72,8.94,,
新豐鄉,房地(土地+建物),新竹縣新豐鄉紅毛３０５之２號,1253.0,,特定農業區,農牧用地,1040723,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1040515,293.37,6,2,4,有,無,5000000,,,0.0,0,,RPWNMLOJQHKFFDJ66CA,283.26,0.0,10.11,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉信全街３６巷４號七樓,23.2,住,,,1040723,土地4建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840509,118.58,3,1,2,有,有,2500000,21083,,0.0,0,,RPRNMLPJQHKFFDJ88CA,82.38,0.0,11.09,,
新豐鄉,房地(土地+建物),新竹縣新豐鄉紅毛３５１之５號,2005.0,,特定農業區,農牧用地,1040717,土地1建物1車位0,全,一層,透天厝,農舍,鋼筋混凝土造,1040522,170.78,3,2,2,有,無,12190000,71378,,0.0,0,,RPSNMLQJQHKFFDJ09CA,170.78,0.0,0.0,,
