編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQLQHKFFAK78CA,酸柑湖段,5872.12,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,11970000
RPPNMLMLQHKFFAK38CA,興榮段,2800.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03140010
RPPNMLMLQHKFFAK38CA,興榮段,2800.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03140117
RPPNMLMLQHKFFAK38CA,興榮段,2825.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03140118
RPQNMLPJQHKFFAK58CA,食水坑段,1239.36,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00100001
RPQNMLPJQHKFFAK58CA,食水坑段,1339.15,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00100002
RPOOMLOJQHKFFBK48CA,出礦坑段,2521.80,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03430007
RPXNMLOJQHKFFBK66CA,出礦坑段,2521.80,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03430003
RPUNMLPJQHKFFBK09CA,文發段,126.03,都市：住,1,1,全筆移轉,00510000
RPUNMLPJQHKFFBK09CA,文發段,.23,都市：其他:道路用地,100,1,持分移轉,00520000
RPPNMLPJQHKFFBK58CA,明德段,9276.70,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00330000
RPPNMLPJQHKFFAK48CA,食水坑段,1642.03,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00100005
RPPNMLPJQHKFFAK48CA,食水坑段,2253.47,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00100007
RPPNMLPJQHKFFBK58CA,明德段,723.30,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00330003
RPSNMLOJQHKFFBK78CA,北苗段,8.17,都市：商,10000,49,持分移轉,04650000
RPUNMLOJQHKFFBK98CA,大坪段,4703.72,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05420000
RPPOMLPJQHKFFBK68CA,中義段,605.67,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03400000
