編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLQJQHKFFAN76CA,,279.65,人行道、店舖、住宅、停車空間,鋼筋混凝土造,103年10月1日,五層,一層 二層 三層 四層 五層 陽台 騎樓
RPUNMLQJQHKFFAN76CA,,.35,守衛室,鋼筋混凝土造,103年10月1日,一層,
RPPOMLQJQHKFFAN98CA,1,227.52,住宅、停車空間、樓梯間,鋼筋混凝土造,103年10月1日,五層,一層 二層 三層 四層 陽台 見其他登記事項
RPPOMLQJQHKFFAN98CA,1,.35,守衛室,鋼筋混凝土造,103年10月1日,一層,
RPVNMLQJQHKFFAN86CA,1,220.37,住宅、停車空間、樓梯間,鋼筋混凝土造,103年10月1日,五層,一層 二層 三層 四層 陽台 見其他登記事項
RPVNMLQJQHKFFAN86CA,1,.35,守衛室,鋼筋混凝土造,103年10月1日,一層,
RPRPMLOKQHKFFAN56CA,34,58.89,住家用,鋼筋混凝土造,70年3月27日,四層,一層
RPPOMLSKQHKFFAN66CA,,429.30,停車空間、機電設備空間、人行道、住宅、店舖,鋼筋混凝土造,104年4月20日,五層,一層 二層 三層 四層 五層 陽台 騎樓 地下一層
RPQOMLQJQHKFFAN09CA,1,217.52,住宅、停車空間、樓梯間,鋼筋混凝土造,103年10月1日,五層,一層 二層 三層 四層 陽台 見其他登記事項
RPQOMLQJQHKFFAN09CA,1,.35,守衛室,鋼筋混凝土造,103年10月1日,一層,
RPWNMLQJQHKFFAN96CA,1,277.61,住宅、停車空間、樓梯間,鋼筋混凝土造,103年10月1日,五層,一層 二層 三層 四層 五層 陽台
RPWNMLQJQHKFFAN96CA,1,.35,守衛室,鋼筋混凝土造,103年10月1日,一層,
RPSOMLSKQHKFFAN96CA,,388.35,停車空間、機電設備空間、住宅,鋼筋混凝土造,104年4月20日,四層,一層 二層 三層 四層 陽台 地下一層
RPTOMLSKQHKFFAN07CA,,388.35,停車空間、機電設備空間、住宅,鋼筋混凝土造,104年4月20日,四層,一層 二層 三層 四層 陽台 地下一層
RPQOMLSKQHKFFAN76CA,,405.91,停車空間、機電設備空間、人行道、住宅、店舖,鋼筋混凝土造,104年4月20日,五層,一層 二層 三層 四層 五層 陽台 騎樓 地下一層
RPVOMLSKQHKFFAN27CA,,373.97,停車空間、機電設備空間、住宅,鋼筋混凝土造,104年4月20日,四層,一層 二層 三層 四層 陽台 地下一層
RPOOMLQJQHKFFAN88CA,1,217.52,住宅、停車空間、樓梯間,鋼筋混凝土造,103年10月1日,五層,一層 二層 三層 四層 陽台 見其他登記事項
RPOOMLQJQHKFFAN88CA,1,.35,守衛室,鋼筋混凝土造,103年10月1日,一層,
RPWOMLSKQHKFFAN37CA,,373.97,停車空間、機電設備空間、住宅,鋼筋混凝土造,104年4月20日,四層,一層 二層 三層 四層 陽台 地下一層
RPVNMLSKQHKFFAN17CA,,387.37,停車空間、機電設備空間、人行道、住宅,鋼筋混凝土造,104年4月20日,五層,一層 二層 三層 四層 五層 陽台 騎樓 地下一層
RPXNMLQJQHKFFAN07CA,1,275.65,住宅、停車空間、樓梯間,鋼筋混凝土造,103年10月1日,五層,一層 二層 三層 四層 五層 陽台
RPXNMLQJQHKFFAN07CA,1,.35,守衛室,鋼筋混凝土造,103年10月1日,一層,
RPWNMLSKQHKFFAN27CA,,387.63,停車空間、機電設備空間、人行道、住宅,鋼筋混凝土造,104年4月20日,五層,一層 二層 三層 四層 五層 陽台 騎樓 地下一層
RPXNMLSKQHKFFAN37CA,,387.63,停車空間、機電設備空間、人行道、住宅,鋼筋混凝土造,104年4月20日,五層,一層 二層 三層 四層 五層 陽台 騎樓 地下一層
RPUNMLPJQHKFFBN76CA,,189.55,騎樓、住宅、樓梯間,鋼筋混凝土造,104年2月5日,三層,一層 二層 三層 騎樓 見其他登記事項
RPVNMLPJQHKFFBN86CA,20,102.35,住商用,鋼筋混凝土造,84年8月3日,三層,一層 二層 三層 屋頂突出物 騎樓
RPUOMLSKQHKFFAN17CA,,390.59,停車空間、機電設備空間、住宅,鋼筋混凝土造,104年4月20日,四層,一層 二層 三層 四層 陽台 地下一層
RPPNMLMKQHKFFBN68CA,,171.83,停車空間，住宅,鋼筋混凝土造,104年4月24日,四層,一層 二層 三層 四層 陽台
RPRNMLMKQHKFFBN88CA,,180.56,停車空間，住宅,鋼筋混凝土造,104年4月24日,四層,一層 二層 三層 四層 陽台
RPSNMLMKQHKFFBN98CA,,194.93,停車空間，住宅,鋼筋混凝土造,104年4月24日,四層,一層 二層 三層 四層 陽台
RPTNMLMKQHKFFBN09CA,,205.35,停車空間，住宅,鋼筋混凝土造,104年4月24日,四層,一層 二層 三層 四層 陽台
RPUNMLMKQHKFFBN56CA,,190.89,停車空間，住宅,鋼筋混凝土造,104年5月11日,四層,一層 二層 三層 四層 陽台
RPTNMLKKQHKFFBN88CA,36,106.00,住商用,鋼筋混凝土加強磚造,68年7月12日,二層,一層 二層 騎樓
RPROMLSKQHKFFAN86CA,,405.64,停車空間、機電設備空間、人行道、住宅、店舖,鋼筋混凝土造,104年4月20日,五層,一層 二層 三層 四層 五層 陽台 騎樓 地下一層
RPRNMLRJQHKFFCN76CA,1,194.60,住家用、樓梯間,鋼筋混凝土造,103年11月20日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLTKQHKFFBN76CA,24,93.80,住家用,鋼筋混凝土造,80年4月25日,五層,四層 陽台
RPWNMLSLQHKFFEN77CA,30,199.95,住家用,鋼筋混凝土造,74年12月24日,三層,一層 二層 三層 騎樓
RPOOMLPJQHKFFFN66CA,20,132.13,住家用,鋼筋混凝土造,84年7月15日,四層,一層 二層 三層 四層 陽台
RPXNMLLKQHKFFDN96CA,7,64.36,集合住宅,鋼筋混凝土造,97年12月1日,五層,四層 陽台
RPXNMLLKQHKFFDN96CA,7,64.36,集合住宅,鋼筋混凝土造,97年12月1日,五層,四層 陽台
RPXNMLLKQHKFFDN96CA,7,41.60,消防邦浦室、發電機室、停車空間、電信機房、走廊、樓梯間、電梯梯間,鋼筋混凝土造,97年12月1日,五層,
RPUNMLPJQHKFFFN17CA,10,167.17,住家用,鋼筋混凝土造,94年11月28日,三層,一層 二層 三層 陽台
RPPNMLSLPHKFFBN96CD,40,59.20,住家用,鋼筋混凝土加強磚造,64年11月4日,二層,一層 二層
RPPNMLLMPHKFFHN96CD,,187.76,住宅、樓梯間,鋼筋混凝土造,104年1月23日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLPJQHKFFAN88DA,6,113.42,集合住宅,鋼筋混凝土造,98年8月21日,七層,四層 陽台
RPPNMLPJQHKFFAN88DA,6,71.13,防空避難室、停車空間、機電設備空間、守衛室、樓電梯間、機房、水箱、社區遊憩空間、社區川廊、管委會辦公室等等,鋼筋混凝土造,98年8月21日,七層,
RPXNMLPJQHKFFAN07DA,38,132.00,住商用,鋼筋混凝土造,66年8月30日,三層,一層 二層 三層 騎樓
RPQNMLLKQHKFFHN66CA,,471.93,住宅、診所、騎樓,鋼筋混凝土造,104年2月6日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
RPQNMLRKQHKFFHN27CA,4,223.60,住家用,鋼筋混凝土造,100年1月31日,三層,一層 二層 三層 屋頂突出物 騎樓 雨遮
RPQNMLRKQHKFFHN27CA,4,194.80,住家用,鋼筋混凝土造,100年1月31日,三層,一層 二層 三層 屋頂突出物 騎樓 雨遮
RPQNMLSLQHKFFFN27CA,1,201.00,住宅，停車空間,鋼筋混凝土造,103年7月1日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLTKQHKFFEN17CA,2,50.02,農舍,鋼骨造,102年8月9日,一層,一層
RPSNMLPJQHKFFEN86CA,25,163.25,住家用,鋼筋混凝土造,80年1月15日,三層,一層 二層 三層 騎樓
RPROMLMKQHKFFDN56CA,40,169.42,住家用,鋼筋混凝土加強磚造,64年5月20日,三層,一層 二層 三層
RPXNMLPJQHKFFDN27CA,34,67.33,農舍,鋼筋混凝土加強磚造,70年1月14日,一層,一層 騎樓
RPPNMLRJQHKFFDN66CA,26,118.11,住家用,鋼筋混凝土造,78年8月12日,三層,一層 二層 三層
RPVNMLOJQHKFFDN96CA,18,111.13,住家用,鋼筋混凝土造,86年5月14日,三層,一層 二層 三層 電梯樓梯間
RPQNMLRJQHKFFCN66CA,24,190.92,住商用,鋼筋混凝土造,80年9月18日,三層,一層 二層 三層 陽台 騎樓 雨遮
RPTNMLRKQHKFFAN86CA,19,270.37,住家用,鋼筋混凝土造,85年7月1日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPQNMLPJQHKFFAN88CA,48,96.12,住家用,鋼筋混凝土加強磚造,56年6月9日,二層,一層 二層
RPTNMLQJQHKFFAN66CA,,237.65,住宅、停車空間,鋼筋混凝土造,103年12月12日,四層,一層 二層 三層 四層 陽台
RPTOMLOLQHKFFAN76CA,9,147.77,住宅、停車空間,鋼筋混凝土造,95年4月7日,四層,一層 二層 三層 四層 陽台
RPRNMLLKQHKFFAN68CA,35,94.90,住家用,加強磚造,69年12月15日,二層,一層 二層
RPTPMLOLQHKFFAN86CA,25,268.95,住家、停車場避難室,鋼筋混凝土造,80年1月3日,四層,一層 二層 三層 四層 地下層 見其他登記事項
RPTPMLOLQHKFFAN86CA,25,22.17,避難室,鋼筋混凝土造,80年1月3日,四層,
RPUOMLRJQHKFFAN96CA,35,93.00,住家用,加強磚造,69年5月15日,二層,一層 二層
RPUOMLKKQHKFFAN98CA,22,89.65,住家用,鋼筋混凝土造,82年1月21日,七層,六層 陽台
RPUOMLKKQHKFFAN98CA,22,28.60,社區活動中心、通道、康樂室、避難室、停車空間、梯間,鋼筋混凝土造,82年1月21日,七層,
RPVOMLKKQHKFFAN09CA,18,.20,管理員室,鋼筋混凝土造,86年10月20日,十三層,一層 平台 花台
RPVOMLKKQHKFFAN09CA,18,11.02,停車空間、機械室、水箱,鋼筋混凝土造,86年10月20日,十三層,
RPVOMLKKQHKFFAN09CA,18,5.62,停車空間、機械室、水箱,鋼筋混凝土造,86年10月20日,十三層,
RPOOMLKKQHKFFAN38CA,36,54.69,住家用,加強磚造,69年1月10日,二層,
RPOOMLKKQHKFFAN38CA,36,54.69,住家用,加強磚造,69年1月10日,二層,
RPTNMLNKQHKFFAN09CA,21,92.01,住家用,鋼筋混凝土造,83年12月21日,十二層,一層 平台 花台
RPTNMLNKQHKFFAN09CA,21,27.70,住家用,鋼筋混凝土造,83年12月21日,十二層,
RPTNMLOKQHKFFAN56CA,,219.25,人行道、停車空間、住宅,鋼筋混凝土造,104年2月5日,四層,一層 二層 三層 四層 陽台 騎樓
RPUNMLKLQHKFFBN09CA,3,161.04,住宅，梯間,鋼筋混凝土造,101年5月30日,三層,一層 二層 三層 屋頂突出物
RPUNMLOKQHKFFAN66CA,,219.25,人行道、停車空間、住宅,鋼筋混凝土造,104年2月5日,四層,一層 二層 三層 四層 陽台 騎樓
RPXNMLLKQHKFFAN66CA,21,97.39,住家、梯間,鋼筋混凝土造,83年10月4日,十三層,二層 陽台
RPXNMLLKQHKFFAN66CA,21,15.38,避難室、停車空間、梯間,鋼筋混凝土造,83年10月4日,十三層,
RPOOMLMJRHKFFDN88CA,,50.00,農舍,鋼骨造,104年1月15日,一層,一層
RPPOMLQLQHKFFAN56CA,,207.96,人行道、店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,104年5月13日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
RPOOMLQLQHKFFAN09CA,,207.72,人行道、店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,104年5月13日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
