鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
屏東市,房地(土地+建物),屏東縣屏東巿公勤街１００巷１３號,62.0,住,,,1040713,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,,60.0,2,1,2,有,無,2550000,42500,,0.0,0,,RPPNMLOJQHKFFAT66CA,60.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿田中一橫巷１８９號,63.0,住,,,1040706,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700609,79.2,3,2,2,有,無,3200000,40404,,0.0,0,,RPRNMLOJQHKFFAT86CA,79.2,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿高豐街７２號,77.0,住,,,1040623,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0711006,154.44,5,2,3,有,無,8500000,55038,,0.0,0,,RPTNMLOJQHKFFAT07CA,154.44,0.0,0.0,,
九如鄉,房地(土地+建物),屏東縣九如鄉東寧村中庄街71巷83號,3615.0,,一般農業區,農牧用地,1040713,土地1建物2車位0,一層,一層,其他,見其他登記事項,見其他登記事項,0931018,1727.76,3,2,2,有,無,15000000,8682,,0.0,0,,RPPOMLOJQHKFFAT76CA,0.0,0.0,0.0,,
長治鄉,土地,水源段545地號,111.24,,鄉村區,乙種建築用地,1040723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,810000,7282,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUOMLOJQHKFFAT27CA,0.0,0.0,0.0,,
萬丹鄉,土地,竹林段642地號,9837.14,,特定農業區,農牧用地,1040706,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23326800,2371,,0.0,0,,RPPNMLPJQHKFFAT76CA,0.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿公民街１０號,67.0,住,,,1040709,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0820729,238.13,5,2,3,有,無,6400000,26876,,0.0,0,,RPROMLPJQHKFFAT07CA,208.89,9.08,20.16,,
屏東市,房地(土地+建物),屏東縣屏東巿廣東路１２０巷５８號,93.0,住,,,1040723,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030721,168.45,6,2,3,有,無,7530000,44702,,0.0,0,,RPROMLQJQHKFFAT17CA,150.12,0.0,18.33,,
屏東市,房地(土地+建物),屏東縣屏東巿建興南路１０號六樓之二,16.14,住,,,1040717,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830701,150.04,4,2,3,有,無,3700000,24660,,0.0,0,,RPSNMLRJQHKFFAT27CA,87.56,1.64,10.52,,
九如鄉,土地,耆老段186地號,1995.0,,特定農業區,農牧用地,1040708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6982500,3500,,0.0,0,,RPXOMLLKQHKFFAT37CA,0.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿民貴二街２８號,183.25,住,,,1040710,土地7建物1車位0,全,二層,透天厝,住家用,加強磚造,0760622,178.37,5,2,3,有,無,6000000,33638,,0.0,0,,RPSNMLLKQHKFFAT76CA,170.74,7.63,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿古松西巷４弄１７號,76.0,住,,,1040706,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820114,167.43,4,1,3,有,無,4000000,23891,,0.0,0,,RPSQMLLKQHKFFAT07CA,133.11,25.32,9.0,,
屏東市,房地(土地+建物),屏東縣屏東巿建華一街３０７巷５號,88.0,住,,,1040706,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040206,188.47,4,2,3,有,無,9000000,47753,,0.0,0,,RPRNMLOKQHKFFAT96CA,174.48,0.0,13.99,,
九如鄉,土地,九平段639地號,1487.94,農,,,1040623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2529498,1700,,0.0,0,親友、員工或其他特殊關係間之交易。價金由雙方自行約定交付，已支付457000元，未支付部分視同贈與。,RPSNMLOKQHKFFAT07CA,0.0,0.0,0.0,,
麟洛鄉,土地,麟和段292-7地號,844.85,,一般農業區,農牧用地,1040721,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3348000,3963,,0.0,0,,RPOOMLSLQHKFFAT27CA,0.0,0.0,0.0,,
萬巒鄉,土地,萬和段1435地號,443.68,農,,,1040624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,563,,0.0,0,二等親間之買賣,RPTNMLKKQHKFFCT96CA,0.0,0.0,0.0,,
內埔鄉,土地,新埔段2754-1地號,2560.0,,特定農業區,農牧用地,1040428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5250000,2051,,0.0,0,,RPPNMLMKQHKFFCT76CA,0.0,0.0,0.0,,
萬巒鄉,土地,民生段496地號,1403.76,,鄉村區,乙種建築用地,1040702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,214,,0.0,0,親友間之交易。有未保存建物.,RPSNMLMKQHKFFCT07CA,0.0,0.0,0.0,,
內埔鄉,土地,頭鏢段662-1地號,2108.0,,一般農業區,農牧用地,1040723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,427,,0.0,0,,RPWNMLNKQHKFFCT57CA,0.0,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮三星路２０號三樓之二,17.81,住,,,1040720,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831108,92.42999999999999,2,2,1,有,無,1330000,14389,,0.0,0,,RPQOMLOKQHKFFCT17CA,60.6,0.0,7.97,,
潮州鎮,土地,興美段745地號,1271.0,,特定農業區,農牧用地,1040705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4324000,3402,,0.0,0,,RPQNMLRKQHKFFCT37CA,0.0,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮海康街２１２號七樓之十,25.39,住,,,1040708,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830407,156.32999999999998,3,1,2,有,無,3000000,19190,,0.0,0,,RPPNMLSKQHKFFCT37CA,89.58,0.0,16.02,,
新埤鄉,土地,建功段61地號,1738.5,,一般農業區,農牧用地,1040708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,460,,0.0,0,,RPUNMLSKQHKFFCT87CA,0.0,0.0,0.0,,
潮州鎮,土地,延平段219地號,1232.02,住,,,1040715,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46046560,37375,,0.0,0,,RPOOMLLJRHKFFCT66CA,0.0,0.0,0.0,,
東港鎮,房地(土地+建物),屏東縣東港鎮船頭路２５之６６號,69.4,住,,,1040702,土地1建物1車位0,全,二層,透天厝,住宅,加強磚造,0660713,78.06,3,2,2,有,無,2580000,33051,,0.0,0,,RPTNMLNJQHKFFDT27CA,78.06,0.0,0.0,,
新園鄉,土地,新房段1017地號,1321.19,,一般農業區,農牧用地,1040706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3405000,2577,,0.0,0,,RPVNMLOJQHKFFDT57CA,0.0,0.0,0.0,,
琉球鄉,土地,相埔段823地號,189.55,農,,,1040717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1146803,6050,,0.0,0,,RPTNMLQJQHKFFDT57CA,0.0,0.0,0.0,,
東港鎮,房地(土地+建物),屏東縣東港鎮明德路７７號,130.41,住,,,1040630,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0780624,198.32,4,1,3,有,無,7100000,35801,,0.0,0,,RPRNMLMKQHKFFDT07CA,198.32,0.0,0.0,,
佳冬鄉,房地(土地+建物),屏東縣佳冬鄉新民巷１９弄６號,118.88,,鄉村區,乙種建築用地,1040621,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840825,146.89,4,2,3,有,無,2850000,19402,,0.0,0,,RPRNMLNJQHKFFFT27CA,134.85,5.69,6.35,,
屏東市,土地,新歸來段664地號,2194.02,,一般農業區,農牧用地,1040716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7443500,3393,,0.0,0,,RPXNMLOJQHKFFAT57DA,0.0,0.0,0.0,,
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉保惠街150巷36號,77.0,住,,,1040623,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0840527,149.85,7,7,1,有,無,4960000,33100,,0.0,0,,RPRNMLLMQHKFFAT96DA,0.0,0.0,0.0,,
內埔鄉,土地,忠心崙段1049-5地號,1151.0,,鄉村區,乙種建築用地,1040723,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6615373,5748,,0.0,0,,RPUNMLOJQHKFFCT47DA,0.0,0.0,0.0,,
內埔鄉,土地,上龍泉段683地號,2765.85,農,,,1040723,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5418021,1959,,0.0,0,,RPPNMLKMPHKFFCT96CD,0.0,0.0,0.0,,
枋寮鄉,土地,東海段14-24地號,298.0,,工業區,丁種建築用地,1040727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,4027,,0.0,0,,RPQNMLOJQHKFFFT47EA,0.0,0.0,0.0,,
春日鄉,土地,春日段891地號,270.0,,山坡地保育區,農牧用地,1040724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,133868,496,,0.0,0,受債權債務影響或債務抵償之交易。,RPRNMLQJQHKFFFT77EA,0.0,0.0,0.0,,
枋山鄉,土地,楓港段443地號,35.67,,鄉村區,乙種建築用地,1040727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,170000,4766,,0.0,0,,RPPNMLRJQHKFFFT67EA,0.0,0.0,0.0,,
