編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPJQHKFFAU17CC,國光段,32.81,都市：住,,,,00200000
RPRNMLPJQHKFFAU27CC,北濱段,5.47,都市：住,,,,04140000
RPRNMLPJQHKFFAU27CC,北濱段,3.69,都市：住,,,,04140005
RPPNMLPJQHKFFAU27EC,北濱段,24.00,都市：商,,,,11540000
RPPNMLPJQHKFFAU27EC,北濱段,270.00,都市：商,,,,11550000
RPTPMLOKQHKFFAU67CC,北濱段,1.02,都市：商,,,,06890000
RPVPMLOKQHKFFAU87CC,主商段,4.29,都市：商,,,,07060000
RPUPMLOKQHKFFAU77CC,北濱段,2.53,都市：商,,,,13040000
RPXPMLOKQHKFFAU08CC,主權段,61.00,都市：商,,,,05690000
RPWPMLOKQHKFFAU97CC,北濱段,2.95,都市：商,,,,13040000
RPOQMLOKQHKFFAU27CC,稻香段,82.00,都市：農,,,,01660000
RPOQMLOKQHKFFAU27CC,稻香段,2.00,都市：農,,,,01660027
RPQOMLRKQHKFFAU57CC,宜安段,92.00,都市：住,,,,02470010
RPQNMLRKQHKFFAU47CC,富國段,6.36,都市：住,,,,01690000
RPOOMLPLQHKFFAU27CC,裕民段,3.93,都市：商,,,,04650002
RPRNMLOLQHKFFAU37CC,裕民段,90.33,都市：住,,,,05860000
RPQOMLPLQHKFFAU47CC,慈惠段,78.34,都市：住,,,,05680000
RPTOMLPLQHKFFAU77CC,民享段,10.12,都市：商,,,,04510000
RPROMLPLQHKFFAU57CC,永安段,90.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,12430002
RPUNMLSLQHKFFAU08CC,嘉南段,95.00,都市：住,,,,03740001
RPSOMLLMQHKFFAU37CC,仁恥段,9.82,都市：住,,,,07100010
RPUOMLNKQHKFFAU57CC,平和段,1788.49,都市：其他:,,,,03060000
RPVNMLLKQHKFFAU37CC,光學段,910.50,非都市：一般農業區 ; 非都市編定：農牧用地,,,,00340000
RPTNMLPJQHKFFAU47CC,林森段,16.65,都市：其他:停車場用地,,,,07000004
RPOOMLPJQHKFFAU07CC,林森段,16.69,都市：其他:停車場用地,,,,07000004
RPXNMLPJQHKFFAU87CC,宜安段,21.03,都市：住,,,,07930000
RPXOMLLMQHKFFAU87CC,自強段,5.62,都市：住,,,,00140000
RPPPMLLMQHKFFAU17CC,裕民段,5.49,都市：商,,,,01880000
RPUOMLLMQHKFFAU57CC,富國段,8.40,都市：住,,,,00530000
RPXOMLLJRHKFFAU67CC,民勤段,8.26,都市：住,,,,02190000
RPXOMLLJRHKFFAU67CC,民勤段,8.33,都市：住,,,,02200000
RPXOMLLJRHKFFAU67CC,民勤段,8.23,都市：住,,,,02210000
RPWOMLLMQHKFFAU87DC,主商段,136.00,都市：商,,,,09120000
RPWNMLQJQHKFFAU87CC,富國段,2.83,都市：商,,,,03090000
RPPOMLPJQHKFFAU17CC,自強段,18.55,都市：住,,,,05700000
RPSOMLTJRHKFFAU97CC,林森段,3.38,都市：住,,,,31000000
RPSOMLTJRHKFFAU97CC,林森段,6.32,都市：住,,,,31010000
RPSOMLTJRHKFFAU97CC,林森段,12.41,都市：住,,,,31020000
RPWNMLPKRHKFFAU97CC,富國段,8.51,都市：住,,,,01570000
RPTOMLOJRHKFFAU57CC,林森段,3.38,都市：住,,,,31000000
RPTOMLOJRHKFFAU57CC,林森段,6.32,都市：住,,,,31010000
RPTOMLOJRHKFFAU57CC,林森段,12.41,都市：住,,,,31020000
RPWNMLKKRHKFFAU47CC,富國段,92.00,都市：住,,,,05070003
RPSNMLSJRHKFFAU77CC,仁義段,65.00,都市：住,,,,09120000
RPRNMLSJRHKFFAU67CC,富國段,15.25,都市：住,,,,00720000
RPXNMLNJRHKFFAU77CC,慈安段,112.00,都市：住,,,,07230003
RPQOMLQKRHKFFAU57CC,富國段,3.83,都市：商,,,,03090000
RPTNMLRKRHKFFAU87CC,莊敬段,28.68,都市：住,,,,01230000
RPOPMLPKRHKFFAU37CC,吉興段,7.37,都市：住,,,,02000000
RPXOMLPKRHKFFAU18CC,宜安段,21.03,都市：住,,,,07930000
RPSNMLRKRHKFFAU77CC,吉興段,99.95,都市：住,,,,01340005
RPSOMLSKRHKFFAU08DC,宜昌段,434.00,都市：商,,,,10110000
RPSOMLSKRHKFFAU08DC,宜昌段,433.00,都市：商,,,,10120000
RPSOMLSKRHKFFAU08DC,宜昌段,798.00,都市：商,,,,10130000
RPSOMLSKRHKFFAU08DC,宜昌段,1641.00,都市：商,,,,10240000
RPPNMLQLRHKFFAU47CC,林森段,26.29,都市：住,,,,02040004
RPQPMLSKRHKFFAU87CC,自強段,44.50,都市：住,,,,00450000
RPOPMLSKRHKFFAU67CC,碧雲段,32.61,都市：住,,,,00500005
RPOPMLSKRHKFFAU67CC,碧雲段,36.00,都市：住,,,,00500010
RPPPMLSKRHKFFAU77CC,福安段,84.00,都市：住,,,,19060000
RPPOMLSKRHKFFAU67CC,主權段,118.00,都市：住,,,,03980000
RPOOMLPJIIKFFAU98CC,慈惠段,140.40,都市：商,,,,06040000
RPPOMLPJIIKFFAU09CC,民德段,26.12,都市：商,,,,01100000
RPQOMLPJIIKFFAU56CC,民勤段,20.95,都市：住,,,,04530000
RPROMLPJIIKFFAU66CC,主權段,68.00,都市：商,,,,08400000
RPXNMLQJIIKFFAU27CC,民享段,18.55,都市：住,,,,12060000
RPQNMLTJIIKFFAU86CC,福祥段,94.00,都市：住,,,,02070018
RPUOMLQJIIKFFAU07CC,順安段,108.76,都市：住,,,,01400001
RPQOMLMKIIKFFAU98CC,明義段,43.00,都市：商,,,,07150000
RPROMLMKIIKFFAU09CC,福祥段,70.00,都市：住,,,,07170000
RPXNMLTKIIKFFAU77DC,慶豐段,1.00,都市：其他:,,,,08770025
RPXNMLTKIIKFFAU77DC,慶豐段,97.00,都市：住,,,,08770018
RPRPMLSKRHKFFAU97CC,國風段,62.00,都市：住,,,,02680000
RPUOMLMKIIKFFAU86DC,富國段,64.54,都市：商,,,,02900000
RPPOMLQKRHKFFAU67EC,路內段,17.68,都市：農,,,,00420000
RPQOMLLJIIKFFAU98EC,主商段,100.00,都市：住,,,,02410003
RPPOMLQKRHKFFAU67EC,路內段,24.19,都市：農,,,,00410000
RPPNMLLLQHKFFAU07EC,富國段,114.00,都市：商,,,,01330004
RPQOMLTJRHKFFAU97EC,民勤段,19.00,都市：住,,,,13430001
RPQOMLTJRHKFFAU97EC,民勤段,14.60,都市：住,,,,13440004
RPTNMLQLQHKFFAU97EC,福興段,95.00,都市：住,,,,03080003
RPPNMLSLIIKFFAU07EC,富國段,8.71,都市：住,,,,04030014
RPTOMLMLIIKFFAU76CC,莊敬段,13.03,都市：住,,,,01730000
RPTOMLMLIIKFFAU76CC,莊敬段,5.62,都市：住,,,,01780004
RPPNMLRKIIKFFAU66CC,慶豐段,84.00,都市：住,,,,10650045
RPOOMLTKIIKFFAU86CC,宜寧段,132.00,都市：商,,,,04190000
RPPOMLTLIIKFFAU07CC,民享段,58.00,都市：住,,,,07170000
RPOOMLTLIIKFFAU96CC,仁廉段,160.00,都市：住,,,,01870006
RPSOMLNLIIKFFAU76CC,明義段,119.00,都市：商,,,,12820000
RPSOMLNLIIKFFAU76CC,明義段,40.00,都市：商,,,,12830000
RPSOMLNLIIKFFAU76CC,明義段,43.00,都市：商,,,,12840000
RPVNMLTLIIKFFAU57CC,明義段,138.00,都市：商,,,,11120000
RPROMLTLIIKFFAU27CC,自強段,34.78,都市：住,,,,01940000
RPUNMLNLIIKFFAU86CC,北濱段,168.00,都市：住,,,,02350000
RPSOMLTLIIKFFAU37CC,民享段,31.40,都市：住,,,,18270000
RPSNMLSLIIKFFAU17CC,自強段,36.29,都市：住,,,,01940000
RPWNMLTLIIKFFAU67CC,富國段,15.48,都市：商,,,,00360000
RPUNMLTLIIKFFAU47CC,慈惠段,223.73,都市：住,,,,05240008
