鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶2樓,35.16,住,,,1040201,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,9900000,71387,坡道平面,29.1,1300000,,RPUNMLNJJIKFFCC67CB
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷A戶4樓,34.97,住,,,1030509,土地2建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,3,2,2,有,無,9300000,77198,,0.0,0,,RPTOMLNJJIKFFCC67CB
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶3樓,35.16,住,,,1030312,土地2建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10300000,74707,坡道平面,29.1,1300000,,RPUOMLNJJIKFFCC77CB
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶7樓,35.16,住,,,1040131,土地2建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10880000,79522,坡道平面,29.1,1300000,,RPOPMLNJJIKFFCC27CB
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶12樓,35.16,住,,,1040207,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,11050000,80103,坡道平面,29.1,1400000,,RPTPMLNJJIKFFCC77CB
七堵區,房地(土地+建物),基隆市七堵區基隆市七堵區崇孝街42巷A戶5樓,34.97,住,,,1040211,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,3,2,2,有,無,9200000,76368,,0.0,0,,RPUPMLNJJIKFFCC87CB
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶8樓,35.16,住,,,1040214,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.17,3,2,2,有,無,10550000,77613,坡道平面,30.7,1200000,,RPWPMLNJJIKFFCC08CB
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶9樓,35.16,住,,,1040201,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10820000,79024,坡道平面,29.1,1300000,,RPXPMLNJJIKFFCC18CB
七堵區,房地(土地+建物)+車位,基隆市七堵區基隆市七堵區崇孝街42巷A戶10樓,35.16,住,,,1040509,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10980000,78692,坡道平面,29.1,1500000,,RPOQMLNJJIKFFCC37CB
