編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMJKHLFFHR66CC,鹽中段,.00,都市：住,,,,04130000
RPPNMLMJKHLFFHR66CC,鹽中段,.00,都市：住,,,,04140000
RPRNMLLJKHLFFER09CC,大營段,25.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,12570014
RPQNMLMJKHLFFHR76CC,二王段,.00,都市：其他:,,,,13380000
RPSNMLNJKHLFFHR07CC,大灣段,10.31,都市：住,,,,62300000
RPOOMLNJKHLFFFR56CC,歸仁南段,113.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,10000019
RPXNMLOJKHLFFAD18CC,金華段,.00,都市：商,,,,01220008
RPXNMLNJKHLFFAD08CC,開元段,.00,都市：住,,,,05970000
RPXNMLNJKHLFFAD08CC,開元段,.00,都市：住,,,,06180000
RPPNMLOJKHLFFCD57CC,虎尾寮段,.00,都市：住,,,,05910019
RPQNMLNJKHLFFFR66CC,八甲段,2500.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,27680000
RPSOMLOJKHLFFAD77CC,金華段,17.38,都市：住,,,,01680003
RPTNMLOJKHLFFCD97CC,鹽埕段,.00,都市：住,,,,02900762
RPRNMLPJKHLFFBD77CC,科工段,.00,都市：住,,,,04480054
RPRNMLOJKHLFFBD67CC,十字段,.00,都市：住,,,,07410017
RPTOMLPJKHLFFAD97CC,青年段,2.53,都市：住,,,,02540000
RPTPMLPJKHLFFAD08CC,銀同段,70.42,都市：其他:,,,,08650000
RPTOMLPJKHLFFAD97CC,青年段,5.91,都市：住,,,,02550000
RPTOMLPJKHLFFAD97CC,青年段,.24,都市：住,,,,02560000
RPRNMLPKKHLFFER96CC,大營段,87.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,24270022
RPPNMLQKKHLFFBD77CC,和館段,.00,都市：住,,,,00940266
RPPNMLPKKHLFFER76CC,北勢段,43.84,非都市：特定專用區 ; 非都市編定：甲種建築用地,,,,05740009
RPPNMLSKKHLFFCD08CC,育樂段,.00,都市：住,,,,05350000
RPQNMLSKKHLFFCD18CC,竹篙厝段,.00,都市：商,,,,13910002
RPXOMLRKKHLFFAD68CC,立人段,7.74,都市：住,,,,00650004
RPXOMLRKKHLFFAD68CC,立人段,1.01,都市：住,,,,01040000
RPQNMLRKKHLFFCD08CC,光明段,40.50,都市：商,,,,04290007
RPQNMLRKKHLFFCD08CC,光明段,.60,都市：商,,,,04290008
RPQNMLSKKHLFFBD08CC,和館段,.00,都市：住,,,,00940266
RPOOMLSKKHLFFCD08CC,竹篙厝段,6.67,都市：商,,,,39460008
RPOOMLSKKHLFFCD08CC,竹篙厝段,7.50,都市：商,,,,39460011
RPOOMLSKKHLFFCD08CC,竹篙厝段,.10,都市：商,,,,39460012
RPSOMLTKKHLFFAD48DC,南寧段,2933.00,都市：住,,,,07350000
RPQNMLKLKHLFFAD27CC,立人段,.00,都市：其他:,,,,00650004
RPQNMLKLKHLFFAD27CC,立人段,.00,都市：其他:,,,,01040000
RPSNMLKLKHLFFCD67CC,鹽埕段,.00,都市：住,,,,01920007
RPTNMLTKKHLFFCD58CC,仁和段,.00,都市：住,,,,04490058
RPWNMLTKKHLFFAD68CC,金華段,.00,都市：住,,,,00870000
RPPNMLLLKHLFFAD27CC,實踐段,192.64,都市：住,,,,09420000
RPPNMLLLKHLFFAD27CC,實踐段,31.56,都市：其他:,,,,09310000
RPQNMLLLKHLFFAD37CC,中正段,60.01,都市：商,,,,10530000
RPRNMLLLKHLFFAD47CC,立人段,3.26,都市：住,,,,00650000
RPQNMLMLKHLFFAD47CC,小北段,140.00,都市：住,,,,10580044
RPRNMLMLKHLFFCD77CC,竹篙厝段,.00,都市：住,,,,40620000
RPPOMLNLKHLFFER76CC,福壽段,18.86,都市：住,,,,02050000
RPOOMLNLKHLFFCD67CC,東光段,80.00,都市：其他:,,,,60030005
RPXNMLOLKHLFFHR87CC,成功段,.00,都市：住,,,,00340000
RPRNMLTKKHLFFHR67CC,大灣段,.00,都市：住,,,,87350000
RPTOMLOJKHLFFHR37CC,五王段,44.60,都市：住,,,,07860000
RPUNMLSKKHLFFHR87CC,永興段,44.36,都市：住,,,,00130000
RPSNMLOLKHLFFCD08CC,東光段,112.00,都市：其他:,,,,05340015
RPTNMLOJKHLFFHR27CC,兵北段,83.66,都市：住,,,,08190010
RPVNMLOLKHLFFCD38CC,光華段,.00,都市：住,,,,12630000
RPXNMLOLKHLFFCD58CC,竹篙厝段,.00,都市：住,,,,37270002
RPWNMLOLKHLFFCD48CC,竹篙厝段,.00,都市：住,,,,06300182
RPQOMLOLKHLFFCD97CC,仁和段,.00,都市：住,,,,13350000
RPSNMLQLKHLFFCD28CC,新東段,25.83,都市：住,,,,15170000
RPTNMLQLKHLFFCD38CC,新東段,29.66,都市：住,,,,15170000
RPVOMLQLKHLFFCD68CC,竹篙厝段,.00,都市：住,,,,31800000
RPSNMLSKKHLFFFR47CC,崁腳北段,.00,都市：住,,,,02760000
RPOOMLPKKHLFFFR86CC,和愛段,54.01,都市：工,,,,01200000
RPOOMLPKKHLFFFR86CC,和愛段,172.58,都市：工,,,,01210000
RPOOMLPKKHLFFFR86CC,和愛段,41.21,都市：工,,,,01220000
RPOOMLPKKHLFFFR86CC,和愛段,35.10,都市：工,,,,01250000
RPOOMLPKKHLFFFR86CC,和愛段,147.05,都市：工,,,,01260000
RPOOMLPKKHLFFFR86CC,和愛段,38.99,都市：工,,,,01270000
RPOOMLPKKHLFFFR86CC,和愛段,56.87,都市：工,,,,01290000
RPOOMLPKKHLFFFR86CC,和愛段,215.70,都市：工,,,,01300000
RPOOMLPKKHLFFFR86CC,和愛段,51.48,都市：工,,,,01310000
RPSOMLPLKHLFFAD08CC,三民段,115.00,都市：商,,,,01150000
RPQOMLOLKHLFFAD77CC,開元段,.00,都市：住,,,,05970000
RPQOMLOLKHLFFAD77CC,開元段,.00,都市：住,,,,06180000
RPWOMLQLKHLFFCD78CC,虎尾寮段,.00,都市：住,,,,05690079
RPSPMLOLKHLFFAD08CC,小北段,.00,都市：住,,,,11750027
RPPOMLPLKHLFFAD77CC,頂美段,71.06,都市：住,,,,12260000
RPQNMLQLKHLFFHR37CC,南新段,.00,都市：住,,,,01300000
RPTNMLMLKHLFFAD77CC,立人段,.00,都市：住,,,,00520000
RPTOMLQLKHLFFHR77CC,六甲頂段,.00,都市：住,,,,10910000
RPPNMLTLKHLFFBD18CC,新淵段,51.60,都市：其他:,,,,06070019
RPPNMLTLKHLFFBD18CC,新淵段,1.66,都市：其他:,,,,06060002
RPPNMLTLKHLFFBD18CC,新淵段,1.39,都市：其他:,,,,06060005
RPPNMLTLKHLFFBD18CC,新淵段,.56,都市：其他:,,,,06070011
RPPNMLTLKHLFFBD18CC,新淵段,13.95,都市：其他:,,,,06070012
RPPNMLTLKHLFFBD18CC,新淵段,11.16,都市：其他:,,,,06070024
RPSNMLQLKHLFFHR57CC,中興段,.00,都市：住,,,,03200000
RPPOMLLJLHLFFHR76CC,永信段,.00,都市：住,,,,07370000
RPSOMLQLKHLFFHR67CC,永興段,.00,都市：住,,,,00130000
RPTQMLLJLHLFFAD87CC,開元段,.00,都市：住,,,,06250000
RPUPMLNJLHLFFAD08CC,北華段,33.50,都市：其他:建,,,,02940000
RPQPMLNJLHLFFAD67CC,康祥段,.00,都市：住,,,,06950000
RPPQMLNJLHLFFAD67CC,開元段,.00,都市：商,,,,06250000
RPSNMLNJLHLFFBD77CC,怡北段,.00,都市：住,,,,09340000
RPTNMLLJLHLFFER76CC,番子寮段,105.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,13980014
RPQNMLOJLHLFFHR07CC,永仁段,72.43,都市：住,,,,05600000
RPSNMLRJLHLFFBD18CC,新淵段,79.55,都市：住,,,,06070007
RPRNMLOJLHLFFDR76CC,佳里段,66.00,都市：住,,,,10980016
RPRNMLOJLHLFFDR76CC,佳里段,2.00,都市：住,,,,10990006
RPRNMLOJLHLFFCD87CC,裕東段,116.34,都市：住,,,,06350005
RPTNMLOJLHLFFAD87CC,武聖段,97.71,都市：住,,,,25010010
RPSNMLRJLHLFFCR07CC,中段,80.00,都市：住,,,,02020058
RPQNMLSJLHLFFAD97CC,北元段,.00,都市：其他:,,,,01640000
RPPNMLTJLHLFFER17CC,大成段,36.79,都市：其他:,,,,04600000
RPPNMLTJLHLFFER17CC,大成段,36.79,都市：其他:,,,,04610000
RPRNMLTJLHLFFCD38CC,竹篙厝段,75.00,都市：商,,,,27900016
