編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQPMLLJKHLFFBF67CC,26,100.09,住家用,鋼筋混凝土造,79年5月25日,五層,
RPQPMLLJKHLFFBF67CC,26,13.29,共有部分,鋼筋混凝土造,79年5月25日,五層,
RPUQMLLJKHLFFBF18CC,12,54.40,住家用,鋼筋混凝土造,93年6月7日,十二層,
RPUQMLLJKHLFFBF18CC,12,21.95,共有部分,鋼筋混凝土造,93年6月7日,十三層,
RPXPMLLJKHLFFBF38CC,1,63.24,集合住宅,鋼筋混凝土造,103年10月20日,十八層,
RPXPMLLJKHLFFBF38CC,1,33.01,本共有部分之項目有門廳、排煙室Ａ、緊急昇降機、特別安全梯Ａ、特別安全梯Ｂ、陽台、安全梯、排風、進風、緩衝空間、騎樓、預留地下室排煙室進排風管道開口、梯廳、排風管道、進風管道、緊急昇降機兼行動不便者使用、排煙室Ｂ、排煙室Ａ兼梯廳、機房、消防機房、電梯機房、樓梯間、機電空間、水箱、消防水箱、發電機房排氣管道、發電機房進氣管道、垃圾機房資源回收室、電梯機坑、防災中心、停車空間排風管道閘門與排風機連動、停車空間進風管道閘門與排進機連動、配電盤、台電配電場、汽車停車空間、消防中繼機房、安全梯（停獎專用）、蓄水池、排煙室、發電機房、防空避難室兼停車空間、電信機房、消防泵室、雨水回收設備機房等４４項。,鋼筋混凝土造,103年10月20日,十八層,
RPSOMLLJKHLFFBF77CC,4,165.04,社區教育設施〈營業性補習班〉〈Ｄ５〉,鋼筋混凝土造,101年3月30日,七層,
RPSOMLLJKHLFFBF77CC,4,41.88,本共有部分之項目有停車空間、樓梯間、門廳、雨遮等４項,鋼筋混凝土造,101年3月30日,七層,
RPSOMLLJKHLFFBF77CC,4,150.19,本共有部分之項目有停車空間、雨遮等２項,鋼筋混凝土造,101年3月30日,七層,
RPPQMLLJKHLFFBF67CC,40,196.19,廠房、辦公室、員工餐廳,鋼筋混凝土造,65年1月16日,三層,
RPRQMLLJKHLFFBF87CC,1,40.58,集合住宅,鋼筋混凝土造,104年6月1日,二十一層,
RPRQMLLJKHLFFBF87CC,1,20.56,本共有部分之項目有排煙室、Ａ１特別安全梯、Ａ２特別安全梯、Ａ３安全梯、自行車停放區、門廳兼梯廳、公設（信箱區）、Ｂ１特別安全梯、Ｂ２特別安全梯、Ｂ３安全梯、公設（宅配室）、機車車道、梯廳兼走廊、防空避難室兼停車空間、機車停車位、垃圾車暫停車位、垃圾暫存室、機房（設備室）、發電機室進風、發電機室排風、防災中心、機房、電信室、１Ｆ及公共電錶區、台電配電場所、泳池（水池）機房、發電機室、Ａ棟變電室、Ｂ棟變電室、Ａ棟水箱、Ｂ棟水箱、雨水回收池機房、消防水池、消防泵浦室、機械室、中繼層機房、自來水水箱、消防水箱、機械房等３９項。,鋼筋混凝土造,104年6月1日,二十一層,
RPQRMLLJKHLFFBF87CC,12,54.17,住家用,鋼筋混凝土造,92年8月31日,十層,
RPQRMLLJKHLFFBF87CC,12,17.93,共有部分,鋼筋混凝土造,92年8月31日,十層,
RPTRMLLJKHLFFBF18CC,25,516.64,工業用,鋼筋混凝土造,79年11月22日,八層,
RPTRMLLJKHLFFBF18CC,25,235.14,共有部分,鋼筋混凝土造,79年11月22日,八層,
RPVQMLLJKHLFFBF28CC,13,66.59,住家用,鋼筋混凝土造,91年8月23日,九層,
RPVQMLLJKHLFFBF28CC,13,18.20,共有部分,鋼筋混凝土造,91年8月23日,九層,
RPVQMLLJKHLFFBF28CC,13,13.24,共有部分,鋼筋混凝土造,91年8月23日,九層,
RPWRMLLJKHLFFBF48CC,3,57.02,創業管理技術服務業,鋼筋混凝土造,102年4月30日,十五層,
RPWRMLLJKHLFFBF48CC,3,19.57,本共有部分之項目有電樓梯間、排煙室、茶水間、雨遮等四項。,鋼筋混凝土造,102年4月30日,十五層,
RPWRMLLJKHLFFBF48CC,3,18.01,本共有部分之項目有消防機械室、水箱、停車空間、汽車車道、防空避難室兼停車空間、台電配電場所、機車車道、電信室、發電機室、管委會使用空間、陽台、雨遮、消防水箱、機械房、穿廊、電樓梯間等１６項,鋼筋混凝土造,102年4月30日,十五層,
RPOSMLLJKHLFFBF77CC,39,71.42,住家用,鋼筋混凝土造,65年10月20日,四層,
RPORMLLJKHLFFBF67CC,42,107.78,住家用,加強磚造,62年11月15日,三層,
RPPRMLLJKHLFFBF77CC,9,84.14,住家用,鋼筋混凝土造,95年11月21日,十三層,
RPPRMLLJKHLFFBF77CC,9,49.90,共有部分,鋼筋混凝土造,95年11月21日,十三層,
RPSRMLLJKHLFFBF08CC,3,126.08,集合住宅,鋼骨鋼筋混凝土造,102年6月3日,二十五層,
RPSRMLLJKHLFFBF08CC,3,34.06,本共有部分之項目有住宅大廳、梯廳、樓電梯間、排煙室、中繼機房、中繼水箱、自來水箱、電錶室〈一〉、垃圾處理室〈二〉、機房、水箱、樓梯間等１２項,鋼骨鋼筋混凝土造,102年6月3日,二十五層,
RPSRMLLJKHLFFBF08CC,3,24.85,本共有部分之項目有商業大廳、頂蓋型廊道、門廳、車道、一般零售業、機房、警衛室、健身服務業、商業用途之管委會使用空間、游泳池、泳池機房、自由職業事務所、陽台、防空避難室兼停車空間、台電配電場所、受電箱室、自行車停車空間、進氣機房、電動汽車充電位置、車道、防災中心、排氣機房、緊急發電室、機車道、電動機車充電位置、機電設備空間、垃圾處理室〈一〉、垃圾車暫停車位、電信機房、機電設備空間〈一、二、三〉、機電設備空間〈水箱室〉、雨水回收機房、消防泵浦室等３３項,鋼骨鋼筋混凝土造,102年6月3日,二十五層,
RPSRMLLJKHLFFBF08CC,3,37.08,本共有部分之項目有防空避難室兼停車空間、車道、停車空間等３項,鋼骨鋼筋混凝土造,102年6月3日,二十五層,
RPSRMLLJKHLFFBF08CC,3,3.49,本共有部分之項目有機車停車空間１項,鋼骨鋼筋混凝土造,102年6月3日,二十五層,
RPTNMLLJKHLFFEF08CC,8,84.86,住家用,鋼筋混凝土造,96年8月27日,十八層,
RPTNMLLJKHLFFEF08CC,8,101.22,共有部分,鋼筋混凝土造,96年8月27日,二十一層,
RPUOMLLJKHLFFGF48CC,4,119.34,住家用,鋼筋混凝土造,101年7月6日,十四層,
RPUOMLLJKHLFFGF48CC,7,44.07,住家用,鋼筋混凝土造,98年4月15日,十二層,
RPUOMLLJKHLFFGF48CC,7,101.36,住家用,鋼筋混凝土造,98年4月15日,十二層,
RPROMLLJKHLFFEF97CC,10,84.48,住家用,鋼筋混凝土造,94年12月5日,二十六層,
RPXOMLLJKHLFFIF98CC,8,25.33,店舖、集合住宅,鋼筋混凝土造,97年1月14日,五層,
RPOPMLLJKHLFFIF18CC,6,137.45,集合住宅,鋼筋混凝土造,98年7月30日,二十五層,
RPTOMLLJKHLFFCF18EC,19,132.24,住家用,鋼筋混凝土造,85年7月19日,十五層,
RPTOMLLJKHLFFCF18EC,19,39.22,共有部分,鋼筋混凝土造,85年7月19日,十六層,
RPTOMLLJKHLFFCF18EC,19,10.83,共有部分,鋼筋混凝土造,85年7月19日,十六層,
RPTOMLLJKHLFFCF18EC,19,9.11,共有部分,鋼筋混凝土造,85年7月19日,十六層,
RPPOMLMJKHLFFEF97DC,20,85.91,住家用,鋼筋混凝土造,84年7月28日,二十三層,
RPPNMLMJKHLFFEF87DC,7,28.26,住家用,鋼筋混凝土造,97年9月9日,二十九層,
RPPOMLMJKHLFFEF97DC,20,13.09,住家用,鋼筋混凝土造,84年7月28日,二十三層,
RPPNMLMJKHLFFEF87DC,7,1.16,住家用,鋼筋混凝土造,97年9月9日,二十九層,
RPPOMLMJKHLFFEF97DC,20,7.63,共有部分,鋼筋混凝土造,84年7月28日,二十三層,
RPPNMLMJKHLFFEF87DC,7,17.04,共有部分,鋼筋混凝土造,97年9月9日,二十九層,
RPPOMLMJKHLFFEF97DC,20,22.87,共有部分,鋼筋混凝土造,84年7月28日,二十三層,
RPQOMLMJKHLFFDF08EC,17,42.69,停車空間兼防空避難室,鋼筋混凝土造,88年2月3日,三十三層,
RPROMLMJKHLFFDF18EC,17,68.80,住家用,鋼筋混凝土造,88年2月3日,三十二層,
RPROMLMJKHLFFDF18EC,17,1.60,共有部分,鋼筋混凝土造,88年2月3日,三十三層,
RPROMLMJKHLFFDF18EC,17,2.12,共有部分,鋼筋混凝土造,88年2月3日,三十三層,
RPROMLMJKHLFFDF18EC,17,18.21,共有部分,鋼筋混凝土造,88年2月3日,三十二層,
RPRPMLLJKHLFFHF38CC,38,110.10,住家用,鋼筋混凝土造,67年6月22日,四層,
RPPNMLMJKHLFFHF08CC,17,.09,管理員室,鋼筋混凝土造,87年11月20日,十九層,
RPPNMLMJKHLFFHF08CC,17,47.65,共有部分,鋼筋混凝土造,87年11月20日,十九層,
RPPNMLMJKHLFFHF08CC,17,.01,共有部分,鋼筋混凝土造,87年11月20日,十九層,
RPPNMLMJKHLFFHF08CC,17,.00,共有部分,鋼筋混凝土造,87年11月20日,十九層,
RPPNMLMJKHLFFHF08CC,17,.00,共有部分,鋼筋混凝土造,87年11月20日,十九層,
RPRSMLLJKHLFFBF08CC,12,83.27,住家用,鋼筋混凝土造,93年4月15日,十一層,
RPRSMLLJKHLFFBF08CC,12,14.96,共有部分,鋼筋混凝土造,93年4月15日,十一層,
RPRSMLLJKHLFFBF08CC,12,40.03,共有部分,鋼筋混凝土造,93年4月15日,十一層,
RPQSMLLJKHLFFBF97CC,15,104.65,住家用,鋼筋混凝土造,90年7月13日,十四層,
RPQSMLLJKHLFFBF97CC,15,4.56,共有部分,鋼筋混凝土造,90年7月13日,十四層,
RPQSMLLJKHLFFBF97CC,15,15.45,共有部分,鋼筋混凝土造,90年7月13日,十四層,
RPUNMLMJKHLFFHF58CC,17,.09,管理員室,鋼筋混凝土造,87年11月20日,十九層,
RPUNMLMJKHLFFHF58CC,17,47.65,共有部分,鋼筋混凝土造,87年11月20日,十九層,
RPUNMLMJKHLFFHF58CC,17,.01,共有部分,鋼筋混凝土造,87年11月20日,十九層,
RPUNMLMJKHLFFHF58CC,17,.00,共有部分,鋼筋混凝土造,87年11月20日,十九層,
RPUNMLMJKHLFFHF58CC,17,.00,共有部分,鋼筋混凝土造,87年11月20日,十九層,
RPSNMLMJKHLFFHF38CC,17,.09,管理員室,鋼筋混凝土造,87年11月20日,十九層,
RPSNMLMJKHLFFHF38CC,17,47.65,共有部分,鋼筋混凝土造,87年11月20日,十九層,
