編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLOJKHLFFAM38CA,15,170.44,住家用,鋼筋混凝土造,90年1月18日,三層,一層 二層 三層 陽台 屋頂突出物
RPRNMLMJKHLFFBM18CA,,63.43,集合住宅,鋼筋混凝土造,104年10月16日,十一層,二層 陽台 雨遮
RPRNMLMJKHLFFBM18CA,,30.23,本共有部分之項目有防空避難室兼停車空間、緊急發電室、台電配電室、電信室、水箱、消防機房、污水機房、電錶區、梯、電梯、梯廳、安全梯、排煙室、緊急昇降機、管委會空間、機械室、樓梯間、水錶室、水箱間及停車空間等２０項,鋼筋混凝土造,104年10月16日,十一層,
RPPOMLLJKHLFFBM97CA,39,211.23,住商用,鋼筋混凝土加強磚造,65年8月30日,三層,一層 二層 三層 騎樓
RPSNMLOJKHLFFBM58DA,21,31.72,住家用,鋼筋混凝土造,83年11月7日,十三層,十二層 陽台
RPSNMLOJKHLFFBM58DA,21,10.17,防空避難室、梯間、機械室、水箱,鋼筋混凝土造,83年11月7日,十三層,
RPSNMLMLKHLFFDM68CA,1,96.72,住宅、水箱間,鋼筋混凝土造,104年5月25日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLMLKHLFFDM68CA,1,96.72,住宅、水箱間,鋼筋混凝土造,104年5月25日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLRKKHLFFDM09CA,20,26.37,集合住宅,鋼筋混凝土造,85年3月9日,五層,五層 陽台 花台
RPSNMLRKKHLFFDM09CA,20,7.19,防空避難室、停車空間、門廳、屋頂突出物等公共設施,鋼筋混凝土造,85年3月9日,七層,
RPSNMLRKKHLFFDM09CA,20,5.29,梯間及走道等公共設施,鋼筋混凝土造,85年3月9日,五層,
RPQNMLPJKHLFFBM38CA,45,69.34,住家用,鋼筋混凝土加強磚造,59年9月12日,二層,一層 二層
RPWNMLRKKHLFFBM66CA,19,75.17,集合住宅,鋼筋混凝土造,85年12月7日,八層,七層 陽台
RPWNMLRKKHLFFBM66CA,19,25.29,防空避難室、停車空間、門廳、水箱、梯間、機械室、瞭望台,鋼筋混凝土造,85年12月7日,八層,
RPVNMLRKKHLFFBM56CA,18,189.77,住商用,鋼筋混凝土造,87年6月11日,四層,一層 二層 三層 四層 騎樓
RPQNMLOJKHLFFAM18CA,46,87.42,住家用,鐵筋加強磚造,59年3月17日,二層,一層 二層
RPRNMLPKKHLFFAM48CA,1,314.53,住家用,鋼筋混凝土造,104年4月17日,四層,一層 二層 三層 四層 陽台 雨遮
RPWNMLOJKHLFFAM78CA,10,140.40,住家用,鋼筋混凝土造,94年7月13日,三層,一層 二層 三層 屋頂突出物
RPQNMLLJLHLFFDM28CA,15,111.00,住家用,鋼筋混凝土造,90年6月7日,二層,一層 二層 電梯樓梯間
RPSNMLPKKHLFFBM78DA,40,93.04,住商用,鋼筋混凝土加強磚造,64年7月8日,二層,一層 二層 騎樓
RPQNMLOKKHLFFCM58DA,28,171.57,住家用,鋼筋混凝土造,76年9月14日,三層,
RPTNMLPKKHLFFCM98DA,41,89.53,住家用,鋼筋混凝土加強磚造,64年1月20日,二層,一層 二層
RPTNMLLJLHLFFDM58CA,28,148.68,住家用,鋼筋混凝土加強磚造,76年7月20日,二層,一層 二層
RPQNMLPLLHLFFEM98CA,47,316.36,住商用,鋼筋混凝土加強磚造,58年2月14日,三層,一層 二層 三層 騎樓 地下層
RPPNMLPKKHLFFCM48CA,11,154.70,住家用,鋼筋混凝土造,93年10月14日,四層,一層 二層 三層 四層 陽台
RPQNMLQKKHLFFCM68CA,23,252.30,住商用,鋼筋混凝土造,82年3月24日,三層,一層 二層 三層 騎樓
RPRNMLNLKHLFFAM38CA,38,92.22,住家用,鋼筋混凝土加強磚造,67年5月11日,二層,一層 二層
RPRNMLQKKHLFFAM58CA,37,92.70,住家用,鋼筋混凝土加強磚造,68年6月28日,二層,一層 二層
RPRNMLTKKHLFFCM56DA,,69.00,住家用,鋼筋混凝土造,,,
RPRNMLOLKHLFFAM48CA,16,60.59,住家用,鋼筋混凝土造,88年8月30日,五層,三層 陽台
RPRNMLOLKHLFFAM48CA,16,5.41,屋頂突出物、梯間,鋼筋混凝土造,88年8月30日,五層,
RPPNMLLJLHLFFBM97CA,29,53.28,商業用,鋼造,75年11月22日,一層,一層
RPSNMLSKKHLFFCM09CA,32,79.92,住家用,鋼筋混凝土造,73年3月2日,二層,一層 二層
RPTNMLSKKHLFFCM66DA,34,208.46,人行道、店舖、住宅,鋼筋混凝土造,70年11月27日,二層,一層 二層 陽台 騎樓
RPPNMLNLKHLFFEM58CA,21,193.78,住家用,鋼筋混凝土造,84年6月30日,四層,一層 二層 三層 四層 陽台
RPPNMLNJLHLFFEM48CA,,110.04,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPSNMLNLKHLFFAM48CA,20,30.54,住家用,鋼筋混凝土造,85年4月10日,七層,三層 陽台
RPSNMLNLKHLFFAM48CA,20,12.92,防空避難室、停車空間、梯間、走道、水箱、住宅、店舖、機房、受電室,鋼筋混凝土造,85年4月10日,七層,
RPPOMLMLKHLFFAM18CA,39,89.14,住家用,鋼筋混凝土加強磚造,66年2月15日,二層,一層 二層
