編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLPJKHLFFBQ09CA,三姓寮段三義小段,3135.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01680000
RPTNMLPJKHLFFBQ09CA,三姓寮段三義小段,2090.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01690000
RPSNMLMJKHLFFCQ78CA,崙子頂段,1902.00,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,01900000
RPOOMLMJKHLFFCQ48CA,潭子墘段潭大小段,2691.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02640000
RPSNMLQKKHLFFDQ76CA,新埤段,19.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉,00150027
RPSNMLQKKHLFFDQ76CA,新埤段,81.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00150062
RPSNMLQKKHLFFDQ76CA,新埤段,1.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,200,持分移轉,00150090
RPSNMLQKKHLFFDQ76CA,新埤段新埤小段,3.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,200,持分移轉,02670000
RPSNMLQKKHLFFDQ76CA,新埤段新埤小段,1.46,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉,02670047
RPSNMLQKKHLFFDQ76CA,新埤段新埤小段,1.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,200,持分移轉,02720000
RPRNMLNJKHLFFDQ88CA,南靖段南和小段,31.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,115,持分移轉,14900000
RPSNMLOJKHLFFBQ88CA,湖底段湖底小段,25.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06630002
RPSNMLOJKHLFFBQ88CA,湖底段湖底小段,1500.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06610000
RPSNMLOJKHLFFBQ88CA,湖底段湖底小段,483.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06630000
RPTNMLMLKHLFFBQ98CA,三姓寮段三義小段,1924.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02780000
RPTNMLMJKHLFFCQ88CA,崙子頂段,2745.00,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,00030002
RPTNMLMJKHLFFCQ88CA,崙子頂段,226.00,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,00030006
RPTNMLPKKHLFFDQ76CA,和興段,728.20,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,12070003
RPTNMLNLKHLFFDQ66CA,灣潭子段,102.00,非都市： ; 非都市編定：,1,1,全筆移轉,00160037
RPOOMLPLKHLFFDQ09CA,粗溪段粗溪小段,2402.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03690000
RPPNMLOLKHLFFDQ98CA,灣潭子段,677.00,非都市： ; 非都市編定：,1,1,全筆移轉,00160035
RPROMLPLKHLFFDQ76CA,粗溪段粗溪小段,2184.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03680000
RPROMLPLKHLFFDQ76CA,粗溪段粗溪小段,2239.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03670000
RPUNMLNLKHLFFDQ76CA,灣潭子段,130.00,非都市： ; 非都市編定：,1,1,全筆移轉,00160038
RPPOMLPLKHLFFDQ56CA,粗溪段粗溪小段,2930.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03770000
RPQOMLPLKHLFFDQ66CA,粗溪段粗溪小段,2931.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03760000
RPVNMLPLKHLFFDQ07CA,大堀尾段大堀小段,3376.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05100000
RPUNMLPLKHLFFDQ96CA,大堀尾段大堀小段,4203.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04880000
RPPNMLQKKHLFFEQ56CA,大坪段,267.75,非都市：風景區 ; 非都市編定：農牧用地,64,4,持分移轉,02030001
RPQNMLQKKHLFFEQ66CA,大坪段,8.69,非都市：風景區 ; 非都市編定：交通用地,48,3,持分移轉,02030004
RPRNMLOJKHLFFDQ09DA,外溪洲段溪洲小段,77.00,都市：住,1,1,全筆移轉,00180039
RPQNMLOJKHLFFDQ98DA,外溪洲段溪洲小段,77.00,都市：住,1,1,全筆移轉,00180064
RPSNMLNJKHLFFDQ09DA,和興段,49.35,都市：住,10000,89,持分移轉,02640000
RPRNMLMJLHLFFDQ98DA,柳子林段柳林小段,3049.38,非都市：特定農業區 ; 非都市編定：丁種建築用地,8,5,持分移轉,00770000
RPQNMLSKKHLFFCQ76DA,民興段,37.72,都市：住,1,1,全筆移轉,04100000
RPPOMLNLKHLFFDQ56EA,溪洲段,84.89,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08220000
RPPOMLNLKHLFFDQ56EA,溪安段,92.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,03090000
RPPNMLLJLHLFFCQ58DA,溪北段溪北小段,2100.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03240000
RPPNMLSKKHLFFCQ66DA,民興段,9.49,都市：住,1,1,全筆移轉,04090000
RPVOMLOJKHLFFEQ96CA,番路段,4.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,01380001
RPVOMLOJKHLFFEQ96CA,番路段,5.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05160163
RPVOMLOJKHLFFEQ96CA,番路段,5.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05160174
RPTNMLOJKHLFFEQ66CA,番路段,152.21,非都市：山坡地保育區 ; 非都市編定：農牧用地,14,1,持分移轉,05150001
RPUNMLNJKHLFFEQ66CA,公田段,25845.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,01570003
RPPNMLNJKHLFFCQ78EA,松子腳段,984.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03520000
RPRNMLNJKHLFFCQ88DA,林子前段三和小段,1489.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,05020000
RPSNMLOJKHLFFEQ56CA,番路段,4.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05160171
RPSNMLOJKHLFFEQ56CA,番路段,3.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05160172
RPSNMLOJKHLFFEQ56CA,番路段,7.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05160173
RPSNMLOJKHLFFEQ56CA,番路段,23.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,01380000
RPSNMLOJKHLFFEQ56CA,番路段,45.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,01380016
RPSNMLOJKHLFFEQ56CA,番路段,.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,01380017
RPSNMLOJKHLFFEQ56CA,番路段,13.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,01380018
RPSNMLOJKHLFFEQ56CA,番路段,8.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,01380020
RPSNMLOJKHLFFEQ56CA,番路段,3.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,01380023
RPSNMLOJKHLFFEQ56CA,番路段,1.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,01380024
RPSNMLOJKHLFFEQ56CA,番路段,4.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05150000
RPSNMLOJKHLFFEQ56CA,番路段,16.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05150006
RPSNMLOJKHLFFEQ56CA,番路段,12.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05150007
RPSNMLOJKHLFFEQ56CA,番路段,11.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05150009
RPSNMLOJKHLFFEQ56CA,番路段,19.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05150010
RPSNMLOJKHLFFEQ56CA,番路段,15.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05150011
RPSNMLOJKHLFFEQ56CA,番路段,39.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05150012
RPSNMLOJKHLFFEQ56CA,番路段,30.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05150013
RPSNMLOJKHLFFEQ56CA,番路段,7.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05160165
RPUNMLOJKHLFFEQ76CA,番路段,4.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05160170
RPUOMLOJKHLFFEQ86CA,番路段,4.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,2,持分移轉,05160169
RPXNMLPLKHLFFDQ27CA,下寮新段,30.06,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04860000
RPXNMLPLKHLFFDQ27CA,下寮新段,922.71,都市：住,1,1,全筆移轉,04850000
RPXNMLPLKHLFFDQ27CA,下寮新段,249.86,都市：住,1,1,全筆移轉,04600000
RPSOMLPLKHLFFDQ86CA,水東段,47.45,都市：住,4,1,持分移轉,07020000
RPTOMLPLKHLFFDQ96CA,下寮新段,506.52,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12080000
RPPNMLRKKHLFFDQ56CA,三界埔段,2960.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05610000
RPQNMLKLKHLFFDQ68CA,嘉新段,10.23,都市：住,10000,26,持分移轉,06820000
RPSNMLRKKHLFFDQ86CA,新埤段,47.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,35993,47,持分移轉,00490007
RPPNMLTKKHLFFDQ76CA,水西段,97.20,都市：住,1,1,全筆移轉,07340004
RPVNMLNJKHLFFDQ66CA,民生段,64.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03230000
RPVNMLOJKHLFFCQ66CA,永福段,130.17,都市：住,12,1,持分移轉,03100001
RPSNMLPJKHLFFCQ09CA,建國段,462.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02460000
RPUNMLPJKHLFFCQ66CA,竹子腳段西昌小段,5501.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01230000
RPUNMLOJKHLFFCQ56CA,北斗段,175.14,都市：住,1,1,全筆移轉,02120000
RPPNMLKLKHLFFBQ38CA,見龍段,93.02,都市：住,1,1,全筆移轉,07430000
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,917.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,13280001
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,51.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,13280002
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,18.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,13300001
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,48969.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,13420004
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,77.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,13440001
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,5.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,13440002
RPQNMLPKKHLFFBQ88CA,崁前段崁前小段,1572.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,03860001
RPQNMLPKKHLFFBQ88CA,崁前段崁前小段,1269.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,07330003
RPQNMLPKKHLFFBQ88CA,崁前段崁前小段,37.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,07330004
RPQNMLPKKHLFFBQ88CA,崁前段崁前小段,1.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,07330005
RPQNMLPKKHLFFBQ88CA,龜子港段順安小段,581.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,00140000
RPQNMLPKKHLFFBQ88CA,龜子港段順安小段,23.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,00770001
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,11059.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,08430001
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,110.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,08450001
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,106.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,08450002
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,21.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,08530001
RPQNMLPKKHLFFBQ88CA,鴨母寮段竹村小段,363.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,08810001
RPPNMLKLKHLFFDQ58CA,和雲段,9.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,257,持分移轉,07880000
RPPNMLKLKHLFFDQ58CA,和雲段,.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,257,持分移轉,07940000
RPPOMLOJKHLFFEQ98CA,番路段,14.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,4,持分移轉,01380021
RPPNMLKLKHLFFDQ58CA,和雲段,15.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,257,持分移轉,08040000
RPPNMLKLKHLFFDQ58CA,和雲段,85.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08120000
RPROMLOJKHLFFEQ56CA,番路段,14.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,4,持分移轉,05160164
RPQOMLOJKHLFFEQ09CA,番路段,6.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,4,持分移轉,05160176
RPTOMLOJKHLFFEQ76CA,番路段,4.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,4,持分移轉,05160175
RPSOMLOJKHLFFEQ66CA,番路段,86.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,4,持分移轉,05160104
RPXOMLOJKHLFFEQ17CA,番路段,26.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,3,持分移轉,01380019
RPWOMLOJKHLFFEQ07CA,番路段,7.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,5,持分移轉,05150005
RPWOMLOJKHLFFEQ07CA,番路段,14.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,5,持分移轉,05160162
RPOPMLOJKHLFFEQ98CA,番路段,14.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,3,持分移轉,05160166
RPOPMLOJKHLFFEQ98CA,番路段,11.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,3,持分移轉,05160167
RPPNMLPKKHLFFDQ09DA,鹿北段,188.82,都市：住,1,1,全筆移轉,06130000
RPQNMLOJKHLFFEQ56EA,灣橋段,1460.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03710000
RPTNMLPJKHLFFCQ66DA,民南段,73.00,都市：住,1,1,全筆移轉,02830000
RPSNMLPKKHLFFDQ66CA,新埤段新埤小段,1362.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03890000
