鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
湖西鄉,土地,尖山北段271地號,722.89,,一般農業區,農牧用地,1050122,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1660,,0.0,0,急買急賣。,RPPNMLMJKHLFFAX98CA,0.0,0.0,0.0,,
湖西鄉,土地,隘門新段1138地號,735.42,,一般農業區,農牧用地,1050120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1332000,1811,,0.0,0,,RPXNMLMJKHLFFAX17CA,0.0,0.0,0.0,,
馬公市,土地,烏崁新段1315地號,172.78,,一般農業區,農牧用地,1050118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,2084,,0.0,0,,RPQNMLNJKHLFFAX56CA,0.0,0.0,0.0,,
馬公市,房地(土地+建物),澎湖縣馬公巿東衛８６之２１號,282.7,,一般農業區,甲種建築用地,1050122,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1041005,250.04,4,3,5,有,無,8800000,35194,,0.0,0,,RPQNMLOJKHLFFAX66CA,242.63,7.41,0.0,,
西嶼鄉,土地,內垵一段231地號,698.3,,森林區,農牧用地,1050104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1689874,2420,,0.0,0,,RPRNMLNLKHLFFAX86CA,0.0,0.0,0.0,,
馬公市,土地,光榮段970地號,45.65,住,,,1050121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,666667,14604,,0.0,0,瑕疵物件之交易。土地增值稅買賣雙方各半,RPOOMLMJKHLFFAX09DA,0.0,0.0,0.0,,
馬公市,土地,文光段244地號,17.65,其他,,,1050128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,843670,47800,,0.0,0,馬公都市計畫龍行新城西側8米計畫道路開闢工程協議價購47800/m2,RPTNMLSKKHLFFAX57DA,0.0,0.0,0.0,,
馬公市,房地(土地+建物),澎湖縣馬公巿永和街１６號,93.54,住,,,1041222,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0740527,97.26,3,1,2,有,無,5000000,51409,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLPJKHLFFAX07EA,97.26,0.0,0.0,,
馬公市,土地,虎井段1147-6地號,18.0,,鄉村區,交通用地,1050106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46260,2570,,0.0,0,向政府機關承購之案件。,RPXNMLSKKHLFFAX08EA,0.0,0.0,0.0,,
白沙鄉,土地,赤崁中段598-1地號,33.33,,一般農業區,甲種建築用地,1050203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,286638,8600,,0.0,0,赤崁村高地截流溝新建工程協議價購8600元/每平方公尺,RPVNMLSKKHLFFAX77DA,0.0,0.0,0.0,,
白沙鄉,土地,赤崁中段597-1地號,0.14,,一般農業區,甲種建築用地,1050203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1190,0,,0.0,0,赤崁村高地截流溝新建工程協議價購8600元/每平方公尺,RPQOMLSKKHLFFAX37DA,0.0,0.0,0.0,,
白沙鄉,土地,講美段2018地號,1110.68,,一般農業區,農牧用地,1041217,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1035000,932,,0.0,0,,RPVNMLQLKHLFFAX57CA,0.0,0.0,0.0,,
西嶼鄉,土地,小池角段1369地號,515.0,,一般農業區,農牧用地,1050126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,2330,,0.0,0,,RPRNMLQKKHLFFAX07CA,0.0,0.0,0.0,,
白沙鄉,土地,赤崁中段597-1地號,0.28,,一般農業區,甲種建築用地,1050204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2379,0,,0.0,0,赤崁村高地截流溝新建工程協議價購8600元/每平方公尺,RPXNMLSKKHLFFAX97DA,0.0,0.0,0.0,,
