編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLNLNHLFFAP56CA,23,198.61,住家用,鋼筋混凝土加強磚造,82年4月19日,四層,
RPQOMLOJNHLFFAP88CA,11,141.72,住家用,鋼筋混凝土造,94年2月15日,三層,一層 二層 三層
RPRNMLOJNHLFFAP88CA,37,106.26,住家用,加強磚造,68年9月3日,二層,一層 二層
RPUOMLTJNHLFFAP17CA,23,168.94,住家用,鋼筋混凝土造,82年3月17日,三層,一層 二層 三層 陽台 露台
RPPNMLOJNHLFFCP88CA,20,146.40,住商用,鋼筋混凝土造,84年12月6日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPTNMLOJNHLFFCP66CA,23,147.11,住商用,鋼筋混凝土造,82年8月18日,三層,一層 二層 三層 電梯樓梯間
RPPNMLOJNHLFFDP98CA,10,286.12,住商用,鋼筋混凝土造,95年5月11日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 見其他登記事項
RPRNMLRKNHLFFDP96CA,,158.00,住家用,鋼筋混凝土造,104年11月16日,三層,一層 二層 三層 陽台
RPRNMLNJNHLFFAP88DA,9,192.88,住家用,鋼筋混凝土造,96年3月1日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPPNMLNKNHLFFDP09DA,10,208.28,住宅、車庫,鋼筋混凝土造,94年11月4日,三層,一層 二層 三層 陽台 屋頂突出物 車庫
RPTNMLRKNHLFFDP17CA,4,192.97,住家用,鋼筋混凝土造,100年12月5日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLQKNHLFFDP76CA,39,80.59,住家用,加強磚造,66年5月10日,二層,一層 二層 陽台
RPRNMLOJNHLFFDP56CA,19,129.66,自用農舍（儲藏室）,鋼架造,86年4月26日,一層,一層
RPXNMLLKNHLFFDP96CA,22,21.83,住家用,鋼筋混凝土造,83年6月14日,九層,三層 陽台
RPXNMLLKNHLFFDP96CA,22,8.27,共有部份,鋼筋混凝土造,83年6月14日,九層,
RPQNMLOJNHLFFCP98CA,1,218.96,住宅，樓梯間,鋼筋混凝土造,104年5月4日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLPJNHLFFBP88CA,2,200.86,住宅、樓梯間,鋼筋混凝土造,103年6月9日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLOJNHLFFAP66CA,17,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPVNMLOJNHLFFAP66CA,17,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層 陽台
RPVNMLOJNHLFFAP66CA,17,19.45,共有部份,鋼筋混凝土造,88年9月26日,五層,
RPXNMLOJNHLFFAP86CA,43,117.80,住家用,加強磚造,62年6月5日,三層,一層 二層 三層
RPUNMLQJNHLFFAP76CA,34,92.99,住家用,加強磚造,70年12月18日,二層,一層 二層
RPUNMLTJNHLFFAP07CA,8,320.40,集村農舍,鋼筋混凝土造,97年5月8日,四層,一層 二層 三層 四層
RPPNMLQJNHLFFBP98CA,11,171.65,住家用,鋼筋混凝土造,94年5月15日,四層,一層 二層 三層 四層 陽台 水箱
RPRNMLOJNHLFFCP09CA,9,196.82,住家用,鋼筋混凝土造,95年10月31日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
RPXNMLRKNHLFFCP47CA,43,48.00,住家用,磚造,61年11月15日,一層,一層
RPQNMLTJNHLFFDP96CA,10,150.42,住家用,鋼筋混凝土造,94年11月9日,三層,一層 二層 三層
RPPNMLPJNHLFFDP09CA,41,95.11,住家用,加強磚造,64年4月10日,二層,一層 二層
RPQNMLPJNHLFFDP56CA,38,86.42,住家用,加強磚造,67年8月11日,二層,一層 二層
RPSNMLPJNHLFFAP56DA,36,101.43,住家用,加強磚造,68年12月1日,二層,一層 二層
