編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLMJQHLFFBC87CA,長潭段,.55,都市：住,100000,21,持分移轉,08450000
RPSNMLMJQHLFFBC87CA,長潭段,5.52,都市：住,100000,21,持分移轉,08450003
RPPNMLOJQHLFFBC77CA,和平段,17.46,都市：住,4,1,持分移轉,07330000
RPPNMLOJQHLFFBC77CA,和平段,.04,都市：其他:道路用地,4,1,持分移轉,07330001
RPVNMLMJQHLFFBC18CA,東明段,22.00,都市：住,1,1,全筆移轉,01230001
RPVNMLMJQHLFFBC18CA,東明段,1.81,都市：住,1,1,全筆移轉,01230005
RPQNMLTJQHLFFBC38CA,調和段,22.40,都市：其他:市場用地,10000,82,持分移轉,02420000
RPQNMLTJQHLFFBC38CA,調和段,15.24,都市：其他:市場用地,10000,82,持分移轉,02420004
RPQNMLTJQHLFFBC38CA,調和段,1.27,都市：其他:市場用地,10000,82,持分移轉,02420005
RPTNMLLJQHLFFCC97CA,源遠段,19.95,都市：住,10000,34,持分移轉,13710000
RPUOMLPKQHLFFCC68CA,源遠段,17.94,都市：商,10000,95,持分移轉,11400000
RPTRMLNLQHLFFCC78CA,麥金段,19.45,都市：住,100000000,54456,持分移轉,05250000
RPTRMLNLQHLFFCC78CA,麥金段,.02,都市：住,100000000,54456,持分移轉,05270001
RPTRMLNLQHLFFCC78CA,麥金段,.01,都市：住,100000000,54456,持分移轉,05290002
RPTNMLNLQHLFFCC38CA,武嶺段,18.95,都市：住,10000,208,持分移轉,00960000
RPTNMLNLQHLFFCC38CA,武嶺段,1.07,都市：其他:道路用地,10000,208,持分移轉,00960001
RPTNMLNLQHLFFCC38CA,武嶺段,.03,都市：其他:道路用地,10000,208,持分移轉,00960002
RPTNMLNLQHLFFCC38CA,武嶺段,42.85,都市：住,10000,208,持分移轉,00990000
RPTNMLNLQHLFFCC38CA,武嶺段,.80,都市：其他:道路用地,10000,208,持分移轉,00990001
RPVNMLNJQHLFFBC28CA,成功段,42.00,都市：商,1,1,全筆移轉,02390000
RPVNMLTKQHLFFCC09CA,源遠段,29.12,都市：住,100000,152,持分移轉,11250000
RPUNMLTKQHLFFCC98CA,源遠段,32.76,都市：住,100000,171,持分移轉,11250000
RPTNMLSJQHLFFCC68CA,過港段,39.57,都市：住,10000,1058,持分移轉,01480000
