鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區昌盛路３１０號五樓,11.62,商,,,1050718,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951101,143.57,3,2,2,有,有,7880000,54886,坡道平面,19.82,0,,RPTNMLOJQHLFFAE28CA,76.83,1.13,7.76,,
鼓山區,房地(土地+建物),高雄市鼓山區文忠路５７號二樓,11.75,商,,,1050720,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940421,128.48000000000002,3,2,2,有,有,6500000,50592,,0.0,0,,RPQNMLSJQHLFFAE38CA,77.57,2.38,10.36,,
鼓山區,房地(土地+建物),高雄市鼓山區壽山街１３之２號五樓之２,10.91,商,,,1050628,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),,鋼筋混凝土造,0691121,56.400000000000006,2,1,1,有,無,2100000,37234,,0.0,0,,RPVNMLSJQHLFFAE88CA,46.81,0.0,0.0,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路２７９號十二樓,30.35,商,,,1050624,土地1建物1車位2,十二層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041013,493.62,4,2,4,有,有,63600000,136101,坡道平面,60.12,4600000,,RPQOMLRKQHLFFAE48CA,247.77,0.0,42.56,,
前金區,房地(土地+建物),高雄市前金區青年二路１５２之１號三樓,5.1,商,,,1050320,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040325,72.41,0,0,0,無,有,5270000,72780,,0.0,0,含裝潢,RPSOMLRKQHLFFAE68CA,45.59,0.0,3.39,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華泰路２８６號十二樓,32.53,住,,,1050714,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050108,200.26999999999998,3,2,2,有,有,13630000,68058,坡道平面,50.24,0,,RPRNMLTKQHLFFAE68CA,87.64,0.0,8.41,,
鼓山區,房地(土地+建物),高雄市鼓山區河西一路１４４１號,31.92,商,,,1050725,土地1建物1車位0,一層，夾層,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0960510,182.28,0,2,2,有,有,26600000,145929,,0.0,0,,RPTOMLMLQHLFFAE38CA,130.59,0.0,13.42,,
鼓山區,房地(土地+建物),高雄市鼓山區河西一路１４４３號,28.0,商,,,1050725,土地1建物1車位0,一層，夾層,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0960510,160.66,0,2,2,有,有,29900000,186107,,0.0,0,,RPUOMLMLQHLFFAE48CA,114.74,0.0,12.9,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３１９號二十八樓,21.26,住,,,1050719,土地1建物1車位2,二十八層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,270.74,3,2,2,有,有,25600000,94556,坡道平面,35.7,0,,RPSNMLPLQHLFFAE48CA,135.8,1.74,18.72,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３２５號七樓,19.85,住,,,1050720,土地1建物1車位1,七層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,238.41,3,2,2,有,有,17370000,72858,坡道平面,18.77,0,,RPUNMLPLQHLFFAE68CA,130.25,2.4,13.36,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３２１號二十八樓,17.1,住,,,1050722,土地1建物1車位2,二十八層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,226.57,3,2,2,有,有,18380000,81123,坡道平面,37.54,0,,RPVNMLPLQHLFFAE78CA,103.93,10.17,11.61,,
鼓山區,車位,高雄市鼓山區美術南三路３17號3樓等192戶之共有部分,0.0,,,,1050722,土地0建物0車位1,,,其他,,,,18.77,0,0,0,有,有,1800000,,坡道平面,18.77,1800000,,RPWNMLPLQHLFFAE88CA,0.0,0.0,0.0,,
鼓山區,車位,高雄市鼓山區美術南三路３17號3樓等192戶之共有部分,0.0,,,,1050722,土地0建物0車位1,,,其他,,,,18.77,0,0,0,有,有,1800000,,坡道平面,18.77,1800000,,RPXNMLPLQHLFFAE98CA,0.0,0.0,0.0,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路３２７號十六樓,16.69,住,,,1050719,土地1建物1車位2,十六層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,222.07,3,2,2,有,有,16530000,74436,坡道平面,37.54,0,,RPOOMLPLQHLFFAE18CA,108.94,2.58,11.16,,
鼓山區,房地(土地+建物),高雄市鼓山區龍德路１０６巷６弄３號三樓,24.16,商,,,1050712,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730430,78.77,3,2,2,有,無,2570000,32627,,0.0,0,陽台外推,RPSNMLQLQHLFFAE58CA,69.4,0.0,9.37,,
苓雅區,房地(土地+建物),高雄市苓雅區自強三路80巷21號二樓,21.2,商,,,1050702,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720705,105.69,3,2,2,有,有,3570000,33778,,0.0,0,,RPXNMLLJQHLFFBE48CA,74.92,0.0,9.81,,
新興區,房地(土地+建物)+車位,高雄市新興區復興一路８９號十樓之９,6.62,商,,,1050725,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041023,95.09,2,1,1,有,有,7200000,75483,坡道機械,14.94,1150000,,RPRNMLSJQHLFFBE58CA,44.78,0.0,7.46,,
苓雅區,房地(土地+建物),高雄市苓雅區廣東一街１０４巷１８號,48.0,住,,,1050702,土地2建物1車位0,全,二層,透天厝,,加強磚造,0590408,70.82,3,2,1,有,無,6000000,84722,,0.0,0,,RPTOMLTKQHLFFBE09CA,70.82,0.0,0.0,,
新興區,房地(土地+建物),高雄市新興區中正三路5號7樓之7,3.04,商,,,1050716,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0690514,25.32,1,1,1,有,有,1320000,52133,,0.0,0,,RPQNMLKMQHLFFBE97CA,20.18,0.0,0.0,,
前鎮區,房地(土地+建物),高雄市前鎮區二聖路236號,54.0,住,,,1050609,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1000719,235.15,5,3,3,有,無,16800000,71444,,0.0,0,,RPPOMLLJQHLFFCE87CA,202.13,0.38,32.64,,
小港區,房地(土地+建物),高雄市小港區高坪七十街５８號,142.0,住,,,1050722,土地1建物1車位0,一層，二層，三層，四層,四層,店面(店鋪),住家用,鋼筋混凝土造,1031013,266.59,5,2,5,有,無,12160000,45613,,0.0,0,,RPTNMLMJQHLFFCE28CA,231.89,0.0,34.7,,
小港區,房地(土地+建物),高雄市小港區高坪七十二街６７號,174.46,住,,,1050714,土地1建物1車位0,一層，二層，三層，四層，見其它登記事項,四層,店面(店鋪),住家用,鋼筋混凝土造,1031013,303.19,5,2,5,有,無,12180000,40173,,0.0,0,,RPUNMLMJQHLFFCE38CA,264.46,0.0,38.73,,
小港區,房地(土地+建物),高雄市小港區廈莊六街１１１號十樓,10.29,商,,,1050705,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041002,91.03,2,1,2,有,有,3660000,40207,,0.0,0,,RPWNMLMJQHLFFCE58CA,57.38,0.0,4.28,,
前鎮區,房地(土地+建物)+車位,高雄市前鎮區一心二路128號十一樓之2,21.0,商,,,1050713,土地2建物1車位1,十一層,十九層,辦公商業大樓,商業用,鋼筋混凝土造,0800504,276.39,0,1,0,有,有,6100000,22070,坡道機械,0.0,0,是開放空間；有地下室車位使用權利證明書,RPPOMLMJQHLFFCE97CA,160.46,0.0,29.07,,
前鎮區,土地,仁愛段397-35地號,25.0,商,,,1050721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,36000,,0.0,0,向政府機關承購之案件。,RPPNMLNJQHLFFCE97CA,0.0,0.0,0.0,,
前鎮區,房地(土地+建物),高雄市前鎮區中華五路９６９巷１弄９號十二樓之３,39.43,其他,,,1050710,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830726,180.59,4,2,2,有,有,6650000,36824,,0.0,0,,RPSNMLNJQHLFFCE28CA,109.56,0.0,12.82,,
