編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNJQHLFFBM09CC,草屯段,935.00,都市：其他:,,,,01550017
RPRNMLNJQHLFFBM09CC,草屯段,783.00,都市：其他:,,,,01550105
RPRNMLNJQHLFFBM09CC,草屯段,11.00,都市：其他:,,,,01550106
RPTNMLNJQHLFFBM66CC,北投堡段,72.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02920000
RPSNMLNJQHLFFBM56CC,建興段,798.61,都市：其他:,,,,13000000
RPSNMLNJQHLFFBM56CC,建興段,429.03,都市：其他:,,,,13010000
RPTNMLOJQHLFFBM76CC,草鞋墩段,144.36,都市：其他:,,,,01080000
RPOOMLLJQHLFFCM78CC,埔里段信義小段,21.24,都市：住,,,,04560000
RPRNMLOJQHLFFBM56CC,草鞋墩段,144.36,都市：其他:,,,,01080000
RPUNMLOJQHLFFBM86CC,新富功段,61.00,都市：其他:,,,,08950000
RPVNMLSKQHLFFBM57DC,中興段,15.97,都市：住,,,,00660002
RPSNMLSKQHLFFBM17CC,日新段,537.00,都市：工,,,,08040000
RPPNMLKKRHLFFBM78CC,草屯段,39.00,都市：住,,,,00580040
RPPNMLKKRHLFFBM78CC,草屯段,107.00,都市：住,,,,00460003
RPVNMLMKQHLFFBM96DC,草屯段,66.97,都市：商,,,,05730004
RPTNMLRKIILFFBM09CC,上林段,194.00,都市：農,,,,03240000
RPTNMLRKIILFFBM09CC,上林段,14.00,都市：農,,,,03250000
RPTNMLRKIILFFBM09CC,上林段,200.00,都市：農,,,,03260000
RPTNMLRKIILFFBM09CC,上林段,13.00,都市：農,,,,03270000
RPTNMLRKIILFFBM09CC,上林段,199.00,都市：農,,,,03280000
RPTNMLRKIILFFBM09CC,上林段,12.00,都市：農,,,,03290000
RPTNMLRKIILFFBM09CC,上林段,16.00,都市：農,,,,03360000
RPTNMLMLQHLFFCM86CC,埔里段信義小段,105.00,都市：住,,,,02490004
RPUNMLRKIILFFBM56CC,草鞋墩段,101.42,都市：其他:倉儲區,,,,05730000
RPUNMLPJIILFFBM88CC,玉峰段,30.42,都市：住,,,,08730000
RPUNMLPJIILFFBM88CC,玉峰段,11.44,都市：住,,,,08740000
RPUNMLPJIILFFBM88CC,玉峰段,16.31,都市：住,,,,08750000
RPQNMLQLRHLFFAM86CC,包尾段,18.21,都市：住,,,,05010001
RPSNMLSKQHLFFAM07CC,新?段,120.23,都市：住,,,,07470047
RPSNMLSKQHLFFAM07CC,新?段,135.04,都市：住,,,,07470061
RPTNMLNLQHLFFAM76CC,牛運堀段,191.23,都市：住,,,,01280099
RPSNMLNLQHLFFAM66CC,南投段,154.00,都市：住,,,,03700015
RPXNMLPLIILFFBM76CC,中興段,12.03,都市：住,,,,17410000
