編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLSKJHNFFEN76DA,32,61.35,住商用,鋼筋混凝土造,74年10月9日,二層,一層 二層 陽台 屋頂突出物 騎樓,持分移轉
RPTOMLQJKHNFFAN09CA,29,8.07,住家用,鋼筋混凝土造,78年6月14日,三層,一層 二層 三層 屋頂突出物,持分移轉
RPSNMLNKKHNFFFN56CA,2,12.34,店舖,鋼骨造,104年9月14日,一層,一層,全筆移轉
RPTNMLNKKHNFFFN66CA,23,143.61,住家用,鋼筋混凝土造,84年4月8日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPUNMLQLJHNFFBN66CA,,252.90,住宅、停車空間、外廊,鋼筋混凝土造,106年9月21日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLSKJHNFFAN98CA,38,49.97,住商用,鋼筋混凝土加強磚造,68年7月15日,三層,一層 二層 三層 騎樓,持分移轉
RPVNMLLJKHNFFBN78CA,,218.80,住宅、停車空間、外廊,鋼筋混凝土造,106年9月21日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLSKJHNFFFN66CA,1,194.44,住宅,鋼筋混凝土造,105年11月15日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPXOMLTJKHNFFAN17CA,2,202.84,住家用,鋼筋混凝土造,104年9月8日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLPLJHNFFCN78CA,1,174.65,住宅、停車空間、梯間,鋼筋混凝土造,105年10月19日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPSNMLQKJHNFFGN96DA,34,205.82,住家用,加強磚造,72年12月29日,二層,一層 二層,全筆移轉
RPQNMLRLKHNFFCN56CA,23,88.71,住家用,鋼筋混凝土造,84年3月21日,八層,六層 陽台,全筆移轉
RPQNMLRLKHNFFCN56CA,23,36.12,地下室、水箱、梯間、機械室,鋼筋混凝土造,84年3月21日,八層,,持分移轉
RPVOMLNLJHNFFAN09CA,26,127.38,住家用,鋼筋混凝土造,81年2月17日,三層,一層 二層 三層,全筆移轉
