編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUPMLTKRHNFFAH37EA,埔子段埔子小段,10.00,都市：其他:道路用地,1,1,全筆移轉,19520009
RPRNMLMLQHNFFBH68CA,興南段興南小段,2.04,都市：商,8000,49,持分移轉,02070170
RPRNMLMLQHNFFBH68CA,興南段興南小段,2.05,都市：商,8000,49,持分移轉,02070168
RPRNMLMLQHNFFBH68CA,興南段興南小段,1.02,都市：商,8000,49,持分移轉,02070186
RPOPMLRLQHNFFCH56CA,烏林段,8106.40,非都市：工業區 ; 非都市編定：水利用地,3960,959,持分移轉,00780000
RPOQMLOKQHNFFBH98EA,忠愛段,132.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10330014
RPPNMLKKQHNFFEH48CA,德林段,10.22,非都市：一般農業區 ; 非都市編定：農牧用地,3600,126,持分移轉,10590000
RPPNMLKKQHNFFEH48CA,德林段,18.38,非都市：一般農業區 ; 非都市編定：農牧用地,3600,126,持分移轉,10610000
RPWOMLPJPHNFFAH76EA,國際段,66.24,都市：農,10000,344,持分移轉,04210000
RPUQMLQKQHNFFBH96CA,上嶺段,193.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,72,2,持分移轉,10530000
RPQNMLNKQHNFFCH68CA,金龍段,603.38,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13670000
RPQNMLNKQHNFFCH68CA,金龍段,92.60,非都市：一般農業區 ; 非都市編定：農牧用地,10000,789,持分移轉,17790000
RPRNMLNLQHNFFAH68CA,中路三段,12.31,都市：住,10000,92,持分移轉,02200000
RPOOMLRKRHNFFCH09CA,民有段,8.91,都市：其他:道路用地-旅館區,10000,5,持分移轉,11200000
RPOOMLRKRHNFFCH09CA,民有段,3.57,都市：其他:保護區-道路用地,10000,5,持分移轉,11230000
RPUNMLNLQHNFFEH76CA,大新段,23.97,都市：住,10000,86,持分移轉,04910000
RPVNMLNLQHNFFEH86CA,大新段,19.51,都市：住,10000,70,持分移轉,04910000
RPXNMLRLPHNFFBH17DA,富林段,394.25,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,08200000
RPQNMLMKPHNFFEH68CA,橫山段橫山小段,5.99,非都市：特定農業區 ; 非都市編定：水利用地,32400,400,持分移轉,02290001
RPQNMLMKPHNFFEH68CA,橫山段橫山小段,21.79,非都市：特定農業區 ; 非都市編定：農牧用地,32400,400,持分移轉,02320000
RPQNMLMKPHNFFEH68CA,橫山段橫山小段,5.86,非都市：特定農業區 ; 非都市編定：水利用地,32400,400,持分移轉,02440007
RPQNMLMKPHNFFEH68CA,橫山段橫山小段,32.54,非都市：特定農業區 ; 非都市編定：水利用地,32400,400,持分移轉,02490010
RPOSMLKMQHNFFAH68CA,埔子段埔子小段,5.16,都市：商,100000,629,持分移轉,20430012
RPQNMLRJQHNFFCH98CA,中山段,29.27,都市：住,100000,319,持分移轉,04110000
RPTOMLRKPHNFFDH86CA,幼獅段,6.26,都市：住,200000,70,持分移轉,12240000
RPOPMLNKPHNFFBH48CA,育仁段,348.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,16,1,持分移轉,00950000
RPUNMLKLPHNFFDH88CA,大金山下段大金山下小段,22.08,都市：住,100000,315,持分移轉,00100000
RPWNMLKLPHNFFDH09CA,大金山下段大金山下小段,22.43,都市：住,100000,320,持分移轉,00100000
RPSPMLQKPHNFFAH09CA,大樹林段,29.86,都市：住,1000,20,持分移轉,03020044
RPPQMLMKPHNFFEH88CA,大新段,17.83,都市：商,10000,70,持分移轉,02420000
RPUPMLKKPHNFFAH68CA,同德段,26.53,都市：商,100000,163,持分移轉,00080000
RPTOMLTKPHNFFCH17EA,介壽段,45.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01290000
RPTPMLNKPHNFFAH88CA,桃園段長美小段,2.47,都市：商,1088,13,持分移轉,00770000
RPVOMLRKPHNFFBH07EA,後寮段,3.13,都市：住,100000,202,持分移轉,05640000
RPWPMLPLPHNFFBH96CA,草富段,13.70,都市：住,228,22,持分移轉,00150034
RPWPMLPLPHNFFBH96CA,草富段,52.45,都市：住,1,1,全筆移轉,00150035
RPPOMLPLPHNFFGH66CA,廣豐段,73.81,都市：住,1,1,全筆移轉,03310012
RPOQMLQKPHNFFBH88CA,忠福段,167.00,都市：住,1,1,全筆移轉,31230015
RPOQMLQKPHNFFBH88CA,忠福段,51.33,都市：住,3,1,持分移轉,31230017
RPROMLQKPHNFFAH98DA,中路段,3.57,都市：住,10000,20,持分移轉,00030001
RPROMLQKPHNFFAH98DA,中路段,1.04,都市：住,10000,20,持分移轉,00030208
RPXNMLQLPHNFFDH17CA,大金山下段大金山下小段,29.23,都市：住,100000,417,持分移轉,00100000
RPPPMLQKPHNFFAH78CA,新埔段,4.27,都市：住,100000,120,持分移轉,13450000
RPOOMLPLPHNFFFH09CA,豐田段,28.41,都市：住,10000,247,持分移轉,14230000
RPPOMLPLPHNFFFH56CA,豐田段,28.29,都市：住,10000,246,持分移轉,14230000
RPTOMLLMPHNFFFH66CA,興豐段,160.07,都市：住,10000,479,持分移轉,25740000
RPOOMLKKQHNFFGH68CA,東北段,57.92,都市：住,1,1,全筆移轉,02360000
RPTOMLTKPHNFFDH07CA,崁頭厝段下庄子小段,22.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,181,持分移轉,02910010
RPUNMLTKPHNFFDH07CA,楊湖段,9.98,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1081,持分移轉,11620000
RPPQMLMJQHNFFAH48CA,大有段,25.75,都市：住,100000,1313,持分移轉,06400000
RPVQMLMJQHNFFAH09CA,大有段,31.64,都市：住,100000,1613,持分移轉,06400000
RPTNMLLJQHNFFDH78CA,永福段,8.91,都市：住,98,12,持分移轉,16090000
RPTNMLLJQHNFFDH78CA,永福段,33.80,都市：住,98,12,持分移轉,16020000
RPTNMLLJQHNFFDH78CA,永福段,25.79,都市：住,1000000,33465,持分移轉,16030000
RPTNMLLJQHNFFDH78CA,永福段,2.06,都市：住,70,2,持分移轉,16060000
RPTNMLLJQHNFFDH78CA,永福段,10.34,都市：住,7,1,持分移轉,16070000
RPTNMLLJQHNFFDH78CA,永福段,10.37,都市：住,7,1,持分移轉,16080000
RPQPMLMJQHNFFCH68CA,仁善段,28.76,都市：住,10000,263,持分移轉,02640000
RPROMLTJQHNFFDH86CA,高獅段,5.91,非都市：一般農業區 ; 非都市編定：特定目的事業用地,10000,35,持分移轉,03720000
RPROMLTJQHNFFDH86CA,高獅段,18.87,非都市：一般農業區 ; 非都市編定：特定目的事業用地,5,1,持分移轉,03770000
