編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLKMPHNFFBK68CA,坡道平面,0,,
RPOPMLNLPHNFFFK66CA,坡道平面,800000,37.85,
RPXNMLRLPHNFFFK77CA,坡道平面,880000,37.79,
RPSNMLLJQHNFFFK56CA,坡道平面,900000,39.44,
RPVNMLKLPHNFFBK09CA,升降機械,0,,
RPXNMLQLPHNFFBK27CA,一樓平面,0,,
RPRNMLLJQHNFFDK88CA,坡道機械,0,,
RPRNMLSJQHNFFBK76CA,坡道機械,0,11.79,
RPPOMLPKQHNFFBK09CA,一樓平面,0,,
RPUNMLOKQHNFFDK96CA,一樓平面,1000000,21.02,
RPVNMLOKQHNFFDK07CA,一樓平面,1000000,21.02,
RPTNMLOKQHNFFDK86CA,一樓平面,1000000,21.02,
RPVNMLLJQHNFFFK86CA,坡道平面,0,,
RPWOMLPKQHNFFFK57CA,坡道平面,1250000,26.87,
RPQOMLQKQHNFFFK07CA,坡道平面,1250000,26.87,
RPSNMLRKQHNFFDK07CA,一樓平面,0,,
RPUNMLSJQHNFFDK27CA,一樓平面,0,,
RPPOMLQKQHNFFBK56CA,一樓平面,0,,
RPOOMLQKQHNFFBK09CA,一樓平面,0,,
RPQOMLQKQHNFFBK66CA,一樓平面,0,,
RPPOMLSJQHNFFDK86CA,坡道平面,950000,28.25,
RPTOMLQKQHNFFBK96CA,一樓平面,0,,
RPVNMLNKQHNFFFK17CA,坡道平面,880000,37.79,
RPOOMLNKQHNFFFK56CA,坡道平面,880000,37.79,
RPRNMLSJQHNFFDK07DA,坡道平面,0,,
RPPNMLSJQHNFFBK56CA,一樓平面,0,,
RPRNMLQKQHNFFBK66CA,一樓平面,0,,
RPRNMLQKQHNFFBK66CA,一樓平面,0,,
RPSNMLOKQHNFFFK96CA,坡道平面,900000,39.44,
RPROMLQKQHNFFFK17CA,坡道平面,1250000,26.87,
RPROMLQKQHNFFFK17CA,坡道平面,1200000,25.75,
RPQNMLLMQHNFFFK66CA,坡道平面,1030000,31.18,
RPOOMLSLQHNFFFK17CA,一樓平面,0,,
RPPNMLNKQHNFFDK98CA,一樓平面,0,,
RPPNMLKKQHNFFDK68CA,坡道平面,0,,
RPPOMLOKQHNFFDK56CA,一樓平面,0,,
RPTNMLLLOHNFFDK09CA,坡道平面,0,,
RPVNMLLLOHNFFDK66CA,坡道機械,0,14.48,
RPSOMLQLOHNFFBK76CA,坡道平面,0,15.00,
RPPNMLTJPHNFFDK76CA,其他,0,,
RPPOMLQJPHNFFFK76CA,坡道平面,1100000,26.87,
RPPOMLQJPHNFFFK76CA,坡道平面,1050000,25.75,
RPWOMLQKQHNFFFK67CA,坡道平面,1250000,26.87,
RPVNMLKLQHNFFFK96CA,坡道平面,0,,
RPTNMLTLOHNFFDK27CA,一樓平面,1000000,26.44,
RPTOMLNJPHNFFBK09CA,一樓平面,300000,,
RPQNMLOJPHNFFCK88CA,坡道平面,0,,
RPROMLOJPHNFFFK76CA,坡道平面,0,28.48,
RPPPMLPJPHNFFFK76CA,坡道平面,0,,
RPPOMLKKPHNFFFK88CA,坡道機械,0,,
RPPOMLKKPHNFFFK88CA,坡道機械,0,,
RPPNMLRKPHNFFFK86CA,坡道平面,980000,50.88,
RPQNMLRKPHNFFFK96CA,坡道平面,800000,50.88,
RPRNMLRKPHNFFFK07CA,坡道平面,880000,37.79,
RPSNMLRKPHNFFFK17CA,坡道平面,900000,50.88,
RPRNMLNJPHNFFFK56CA,一樓平面,0,,
RPSNMLKMOHNFFFK56CA,坡道平面,900000,33.90,
RPUNMLRKPHNFFFK37CA,坡道平面,700000,37.79,
RPWNMLRKPHNFFFK57CA,坡道平面,880000,37.79,
RPXNMLRKPHNFFFK67CA,坡道平面,880000,37.79,
RPVNMLRKPHNFFFK47CA,坡道平面,880000,37.79,
RPPNMLKKPHNFFFK78CA,坡道平面,0,,
RPSOMLOLPHNFFFK07CA,坡道平面,1100000,26.87,
RPSNMLKKPHNFFDK88CA,一樓平面,0,,
RPXNMLTJPHNFFBK37CA,一樓平面,300000,,
RPSOMLQJQHNFFDK96CA,坡道平面,1100000,32.12,
RPOOMLRKPHNFFDK66CA,坡道平面,1100000,32.12,
RPOOMLKKPHNFFFK78CA,坡道平面,0,,
RPPNMLMJQHNFFFK98CA,坡道平面,900000,31.17,
RPTNMLMKPHNFFDK56CA,坡道機械,0,,
RPOOMLPLPHNFFBK98CA,一樓平面,0,,
RPSNMLKLPHNFFFK56CA,坡道平面,980000,50.88,
RPTOMLNLPHNFFFK07CA,坡道平面,880000,37.79,
RPQOMLNLPHNFFFK76CA,坡道平面,880000,37.79,
RPRPMLNLPHNFFFK96CA,坡道平面,880000,37.79,
RPSPMLNLPHNFFFK07CA,坡道平面,980000,50.88,
RPROMLNLPHNFFFK86CA,坡道平面,880000,37.79,
RPQPMLNLPHNFFFK86CA,坡道平面,880000,37.79,
RPQNMLMJQHNFFFK09CA,坡道平面,1060000,31.17,
RPXOMLOLPHNFFFK57CA,坡道平面,1200000,25.75,
RPTNMLQKPHNFFBK76CA,一樓平面,0,,
RPTNMLQKPHNFFBK76CA,一樓平面,0,,
RPWOMLNLPHNFFFK37CA,坡道平面,880000,37.79,
RPVOMLNLPHNFFFK27CA,坡道平面,880000,37.79,
RPXOMLNLPHNFFFK47CA,坡道平面,880000,37.79,
RPPPMLNLPHNFFFK76CA,坡道平面,700000,37.79,
RPPNMLSKPHNFFFK96CA,坡道平面,0,,
RPPNMLQLPHNFFBK09CA,一樓平面,0,,
RPSNMLPKQHNFFFK07CA,坡道平面,0,25.56,
RPRNMLTKPHNFFFK27CA,坡道平面,0,28.47,
RPSNMLNLPHNFFFK86CA,坡道平面,0,,
RPUNMLNLPHNFFFK07CA,坡道機械,0,15.63,
RPUNMLNLPHNFFFK07CA,坡道機械,0,15.63,
RPVNMLOLPHNFFFK27CA,坡道平面,1250000,26.87,
RPUNMLKLPHNFFFK76CA,坡道平面,0,35.50,
RPSNMLNLPHNFFDK66CA,坡道機械,0,,
RPPNMLRLPHNFFDK76CA,坡道平面,0,,
RPQNMLRLPHNFFDK86CA,坡道平面,0,,
RPXNMLQLPHNFFDK47CA,坡道平面,1000000,19.32,
RPRNMLOLPHNFFDK66CA,坡道平面,1000000,20.00,
RPXNMLPLPHNFFDK37CA,升降機械,0,,
RPPNMLNJQHNFFFK09CA,一樓平面,0,,
RPQNMLQJQHNFFFK86CA,坡道平面,1000000,26.44,
RPSNMLQLPHNFFFK17CA,坡道平面,0,,
RPPOMLPLPHNFFFK86CA,坡道平面,0,18.58,
RPPNMLRJQHNFFDK66CA,坡道平面,1100000,32.12,
RPVNMLPKQHNFFDK17CA,其他,0,,
RPVNMLPKQHNFFDK17CA,其他,0,,
RPQNMLQLPHNFFDK76CA,坡道平面,1100000,33.50,
RPQNMLQLPHNFFDK76CA,坡道平面,1100000,33.50,
RPRPMLOKQHNFFDK86CA,坡道平面,0,36.00,
RPSNMLQJQHNFFFK07CA,坡道平面,1000000,33.91,
RPSNMLQJQHNFFFK07CA,坡道平面,1000000,33.91,
RPVNMLQKQHNFFFK47CA,坡道平面,1250000,26.87,
RPVNMLQKQHNFFFK47CA,坡道平面,1200000,25.75,
RPUNMLKMPHNFFFK86CA,坡道平面,0,29.00,
RPRNMLQJQHNFFFK96CA,坡道平面,900000,26.44,
RPPOMLQKQHNFFFK96CA,坡道平面,1100000,26.87,
RPWOMLMJQHNFFDK96CA,坡道平面,0,,
RPPNMLMJQHNFFBK58CA,一樓平面,300000,,
RPTNMLNKQHNFFFK96CA,坡道平面,980000,50.88,
RPPNMLPKQHNFFDK56CA,坡道平面,0,32.12,
RPPNMLPKQHNFFDK56CA,坡道平面,0,32.12,
RPWNMLSJQHNFFDK47CA,坡道平面,0,29.85,
RPWNMLSJQHNFFDK47CA,坡道平面,0,29.85,
RPPNMLTJQHNFFDK86CA,一樓平面,0,,
RPRNMLTJQHNFFFK27CA,坡道平面,0,29.00,
RPRNMLKKQHNFFDK88CA,一樓平面,0,,
RPUOMLOKQHNFFDK07CA,坡道平面,1000000,47.23,
RPUOMLQKQHNFFFK47CA,坡道平面,1250000,26.87,
RPUOMLQKQHNFFFK47CA,坡道平面,1250000,26.87,
RPVPMLOKQHNFFDK27CA,坡道機械,0,,
RPUNMLNKQHNFFDK86CA,一樓平面,0,,
RPVNMLKKQHNFFDK66CA,坡道平面,0,,
RPQNMLNLNHNFFFK09CA,坡道平面,1000000,33.91,
RPRNMLOLNHNFFCK98CA,坡道機械,0,,
RPUNMLOLNHNFFBK56CA,一樓平面,0,,
RPXNMLSLNHNFFFK67CA,坡道平面,1000000,33.91,
RPOOMLSLNHNFFFK86CA,坡道平面,900000,33.91,
RPQOMLOJOHNFFDK98CA,坡道平面,0,,
RPRNMLPJOHNFFBK88CA,升降機械,0,13.82,
RPTNMLLJOHNFFBK68CA,一樓平面,0,,
RPXNMLLMNHNFFFK07CA,坡道平面,900000,39.44,
RPXNMLLMNHNFFFK07CA,坡道平面,900000,39.44,
RPUNMLLJOHNFFDK98CA,坡道平面,0,,
RPUNMLLJOHNFFDK98CA,坡道平面,0,,
RPQNMLTJOHNFFDK76CA,坡道平面,1100000,32.12,
RPUNMLPJOHNFFBK56CA,一樓平面,0,,
RPTNMLLKOHNFFBK78CA,一樓平面,0,,
RPPQMLSJOHNFFFK07CA,坡道平面,900000,33.91,
RPUNMLQLPHNFFFK37CA,坡道平面,0,30.11,
RPUNMLQLPHNFFFK37CA,坡道平面,0,30.11,
RPQNMLPKOHNFFFK66CA,坡道平面,0,26.43,
RPQRMLSJOHNFFFK27CA,坡道機械,800000,9.96,
