編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXPMLMKPHNFFAO27CA,47,83.70,住家用,加強磚造,60年9月4日,二層,一層 二層,全筆移轉
RPRQMLNKPHNFFAO86CA,1,194.13,集合住宅、樓梯間,鋼筋混凝土造,106年12月13日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項,全筆移轉
RPRQMLNKPHNFFAO86CA,1,.49,共有部分,鋼筋混凝土造,106年12月13日,一層,,持分移轉
RPPPMLRKPHNFFAO96CA,2,114.82,集合住宅,鋼筋混凝土造,105年5月1日,二十三層,十一層 陽台,全筆移轉
RPPPMLRKPHNFFAO96CA,2,23.99,共有部分,鋼筋混凝土造,105年5月1日,二十三層,,持分移轉
RPPPMLRKPHNFFAO96CA,2,56.33,共有部分,鋼筋混凝土造,105年5月1日,二十三層,,持分移轉
RPXNMLKLPHNFFAO96CA,,107.14,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPOPMLLMPHNFFAO09CA,18,34.20,住家用,鋼筋混凝土造,89年4月17日,十四層,五層 陽台,全筆移轉
RPOPMLLMPHNFFAO09CA,18,9.69,共有部分,鋼筋混凝土造,89年4月17日,十四層,,持分移轉
RPRNMLPJQHNFFAO76CA,10,32.25,辦公室,鋼筋混凝土造,97年12月30日,十層,三層 陽台 雨遮,全筆移轉
RPWOMLNKQHNFFAO27CA,,218.06,停車空間、住宅、樓梯間,鋼筋混凝土造,107年5月14日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPRNMLPJQHNFFAO76CA,10,7.47,樓梯間,鋼筋混凝土造,97年12月30日,十層,,持分移轉
RPRNMLPJQHNFFAO76CA,10,7.94,防空避難室兼停車空間、樓梯間、水箱,鋼筋混凝土造,97年12月30日,十層,,持分移轉
RPPNMLMLPHNFFAO98CA,20,210.78,住宅、儲藏室,鋼筋混凝土造,87年3月21日,三層,一層 二層 三層 陽台 平台 地下一層,全筆移轉
RPVQMLOLPHNFFAO47CA,31,84.64,住家用,鋼筋混凝土造,76年3月6日,五層,五層 陽台,全筆移轉
RPRPMLKLPHNFFAO56CA,5,175.67,集合住宅,鋼筋混凝土造,102年9月16日,十四層,十層 陽台,全筆移轉
RPRPMLKLPHNFFAO56CA,5,.02,店舖,鋼筋混凝土造,102年9月16日,十四層,,持分移轉
RPRPMLKLPHNFFAO56CA,5,.00,共有部分,鋼筋混凝土造,102年9月16日,十四層,,持分移轉
RPRPMLKLPHNFFAO56CA,5,35.13,共有部分,鋼筋混凝土造,102年9月16日,十四層,,持分移轉
RPRPMLKLPHNFFAO56CA,5,23.58,共有部分,鋼筋混凝土造,102年9月16日,十四層,,持分移轉
RPQPMLNLPHNFFAO76CA,14,113.62,集合住宅,鋼筋混凝土造,93年2月15日,十一層,四層 陽台,全筆移轉
RPRPMLKLPHNFFAO56CA,5,55.35,共有部分,鋼筋混凝土造,102年9月16日,十四層,,持分移轉
RPXNMLQLPHNFFAO57CA,20,28.46,住家用,鋼筋混凝土造,87年6月23日,六層,五層 陽台,全筆移轉
RPQPMLNLPHNFFAO76CA,14,63.88,辦公室（社區使用）、台電配電室、停車空間兼防空避難室、戶內遊憩設施、機房、水箱,鋼筋混凝土造,93年2月15日,十一層,,持分移轉
RPXNMLQLPHNFFAO57CA,20,3.79,共有部分,鋼筋混凝土造,87年6月23日,六層,,持分移轉
RPXNMLQLPHNFFAO57CA,20,10.63,共有部分,鋼筋混凝土造,87年6月23日,六層,,持分移轉
RPWOMLKLPHNFFAO96CA,24,32.75,住家用,鋼筋混凝土造,83年11月14日,五層,五層 陽台,全筆移轉
RPWOMLKLPHNFFAO96CA,24,9.07,共有部分,鋼筋混凝土造,83年11月14日,五層,,持分移轉
RPXQMLNLPHNFFAO57CA,4,.02,店舖,鋼筋混凝土造,103年11月17日,二十五層,一層,持分移轉
RPWOMLKLPHNFFAO96CA,24,19.22,共有部分,鋼筋混凝土造,83年11月14日,五層,,持分移轉
RPXQMLNLPHNFFAO57CA,4,.01,共有部分,鋼筋混凝土造,103年11月17日,二十五層,,持分移轉
RPXQMLNLPHNFFAO57CA,4,16.94,共有部分,鋼筋混凝土造,103年11月17日,二十七層,,持分移轉
RPUPMLOLPHNFFAO27CA,6,294.73,集合住宅,鋼筋混凝土造,101年3月8日,三層,一層 二層 三層 陽台 雨遮,全筆移轉
RPUPMLOLPHNFFAO27CA,7,.16,店舖,鋼骨造,100年3月31日,二層,,持分移轉
RPUPMLOLPHNFFAO27CA,7,3.60,社區活動中心,鋼骨造,100年3月31日,二層,,持分移轉
RPUPMLLJQHNFFAO86CA,24,113.17,住家用,鋼筋混凝土造,83年5月24日,六層,六層 露台 雨遮 見其他登記事項,全筆移轉
RPUPMLLJQHNFFAO86CA,24,58.52,共有部分,鋼筋混凝土造,83年5月24日,六層,,持分移轉
RPPOMLPLPHNFFAO76CA,1,215.18,集合住宅、停車空間、樓梯間,鋼筋混凝土造,106年12月13日,四層,一層 二層 三層 四層 陽台 雨遮 見其他登記事項,全筆移轉
RPQOMLPLPHNFFAO86CA,1,194.13,集合住宅、樓梯間,鋼筋混凝土造,106年12月13日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項,全筆移轉
RPPOMLPLPHNFFAO76CA,1,.49,共有部分,鋼筋混凝土造,106年12月13日,一層,,持分移轉
RPQOMLPLPHNFFAO86CA,1,.49,共有部分,鋼筋混凝土造,106年12月13日,一層,,持分移轉
RPROMLPLPHNFFAO96CA,1,184.05,集合住宅、樓梯間,鋼筋混凝土造,106年12月13日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項,全筆移轉
RPROMLPLPHNFFAO96CA,1,.49,共有部分,鋼筋混凝土造,106年12月13日,一層,,持分移轉
RPPQMLKMPHNFFAO56CA,37,100.65,住家用,鋼筋混凝土造,70年12月28日,五層,四層 陽台,全筆移轉
RPPQMLKMPHNFFAO56CA,37,6.98,共有部分,鋼筋混凝土造,70年12月28日,五層,,持分移轉
RPPQMLKMPHNFFAO56CA,37,5.62,共有部分,鋼筋混凝土造,70年12月28日,五層,,持分移轉
RPTPMLKMPHNFFAO86CA,2,69.10,集合住宅,鋼筋混凝土造,105年9月30日,十四層,七層 陽台 雨遮,全筆移轉
