編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPPMLRKPHNFFAO96CA,坡道平面,1050000,26.22,
RPRPMLKLPHNFFAO56CA,坡道平面,0,,
RPRPMLKLPHNFFAO56CA,坡道平面,0,,
RPQPMLNLPHNFFAO76CA,坡道平面,0,,
RPXQMLNLPHNFFAO57CA,坡道平面,1000000,,
RPUPMLLJQHNFFAO86CA,坡道平面,0,,
RPTPMLKMPHNFFAO86CA,坡道平面,1200000,28.10,
RPUPMLKMPHNFFAO96CA,坡道平面,1350000,28.10,
RPVPMLKMPHNFFAO07CA,坡道平面,1150000,28.10,
RPQPMLKMPHNFFAO56CA,坡道平面,1350000,29.29,
RPOOMLLMPHNFFAO98CA,坡道平面,0,22.81,
RPOOMLLMPHNFFAO98CA,坡道平面,0,22.81,
RPRNMLNJQHNFFAO56CA,坡道平面,0,,
RPWPMLKMPHNFFAO17CA,坡道平面,1350000,28.10,
RPXPMLKMPHNFFAO27CA,坡道平面,1350000,28.10,
RPWNMLTKQHNFFAO77CA,一樓平面,0,,
RPTNMLSLPHNFFAO37CA,坡道平面,0,,
RPXNMLRLPHNFFAO67CA,坡道平面,1000000,,
RPOOMLRLPHNFFAO86CA,坡道平面,1200000,,
RPPOMLRLPHNFFAO96CA,坡道平面,1000000,,
RPSNMLLJQHNFFAO09CA,坡道機械,0,,
RPOQMLNJQHNFFAO56CA,其他,1000000,8.77,
RPQPMLLMPHNFFAO66CA,坡道平面,0,,
RPUPMLLMPHNFFAO07CA,一樓平面,1200000,29.03,
RPOPMLKLQHNFFAO98CA,坡道平面,0,34.02,
RPWPMLNJQHNFFAO27CA,坡道機械,0,,
RPROMLMJQHNFFAO56CA,坡道平面,0,23.08,
RPQOMLOKQHNFFAO76CA,坡道平面,480000,38.27,
RPPOMLOKQHNFFAO66CA,坡道機械,250000,19.13,
RPXNMLOKQHNFFAO37CA,坡道機械,280000,19.13,
RPSOMLOKQHNFFAO96CA,坡道平面,520000,38.27,
RPSQMLOKQHNFFAO17CA,升降平面,0,,
RPTOMLOKQHNFFAO07CA,坡道平面,480000,38.27,
RPOOMLOKQHNFFAO56CA,坡道平面,520000,38.27,
RPUNMLMJQHNFFAO76CA,坡道平面,0,,
RPUNMLMJQHNFFAO76CA,坡道平面,0,,
RPWQMLNJQHNFFAO37CA,坡道平面,0,30.16,
RPSPMLLJQHNFFAO66CA,坡道平面,0,,
RPSPMLLJQHNFFAO66CA,坡道平面,0,,
RPVNMLNKQHNFFAO07CA,升降機械,0,,
RPVNMLOKQHNFFAO17CA,坡道平面,0,,
RPVPMLNJQHNFFAO17CA,坡道平面,0,,
RPWSMLRJQHNFFAO97CA,坡道平面,0,,
RPROMLQJQHNFFAO96CA,坡道平面,0,,
RPRNMLRJQHNFFAO96CA,坡道平面,0,24.09,
RPRNMLRJQHNFFAO96CA,坡道平面,0,24.09,
RPQNMLTJQHNFFAO07CA,坡道平面,0,34.91,
RPPPMLQJQHNFFAO86CA,坡道平面,0,,
RPPPMLQJQHNFFAO86CA,坡道平面,0,,
RPUSMLOKQHNFFAO57CA,坡道平面,0,32.21,
RPUOMLRJQHNFFAO37CA,坡道平面,1000000,25.17,
RPVOMLRJQHNFFAO47CA,坡道平面,1000000,25.17,
RPWOMLRJQHNFFAO57CA,坡道平面,1000000,25.17,
RPXOMLRJQHNFFAO67CA,坡道平面,1100000,25.17,
RPQPMLRJQHNFFAO07CA,坡道機械,0,,
RPUPMLQJQHNFFAO37CA,坡道平面,0,,
RPOPMLRJQHNFFAO86CA,坡道平面,1000000,25.17,
RPROMLKKQHNFFAO09CA,坡道平面,0,,
RPROMLTJQHNFFAO27CA,坡道平面,1450000,29.29,
RPROMLSKQHNFFAO27CA,坡道平面,0,,
RPOTMLRJQHNFFAO27CA,坡道機械,0,7.00,
RPTNMLKKQHNFFAO56CA,坡道平面,0,,
RPRNMLSJQHNFFAO07CA,坡道平面,0,,
RPTQMLOKQHNFFAO27CA,坡道平面,0,,
RPUQMLOKQHNFFAO37CA,坡道平面,0,26.22,
RPUQMLOKQHNFFAO37CA,坡道平面,0,26.22,
RPSNMLNKQHNFFAO76CA,坡道平面,0,37.43,
RPSNMLNKQHNFFAO76CA,坡道平面,0,37.43,
RPWQMLOKQHNFFAO57CA,坡道平面,0,24.09,
RPWQMLOKQHNFFAO57CA,坡道平面,0,26.22,
RPURMLSLQHNFFAO97CA,坡道平面,1200000,25.24,
RPTQMLTLQHNFFAO87CA,坡道平面,1200000,25.24,
RPTPMLTLQHNFFAO77CA,坡道平面,0,,
RPWSMLOKQHNFFAO77CA,坡道平面,1060000,31.22,
RPQTMLOKQHNFFAO27CA,坡道平面,1150000,31.22,
RPSTMLOKQHNFFAO47CA,坡道平面,1150000,31.22,
RPUTMLOKQHNFFAO67CA,坡道平面,1060000,31.22,
RPTUMLOKQHNFFAO67CA,坡道平面,1300000,31.22,
RPQUMLOKQHNFFAO37CA,坡道平面,1400000,31.22,
RPUUMLOKQHNFFAO77CA,坡道平面,1200000,31.22,
RPRUMLOKQHNFFAO47CA,坡道平面,1200000,31.22,
RPSNMLPKQHNFFAO96CA,坡道平面,1200000,31.22,
RPUNMLPKQHNFFAO17CA,坡道平面,1200000,31.22,
RPVNMLPKQHNFFAO27CA,坡道平面,1200000,31.22,
RPWNMLPKQHNFFAO37CA,坡道平面,1200000,31.22,
RPXNMLPKQHNFFAO47CA,坡道平面,1300000,31.22,
RPPOMLPKQHNFFAO76CA,坡道平面,1300000,31.22,
RPQOMLPKQHNFFAO86CA,坡道平面,1200000,31.22,
RPXQMLOKQHNFFAO67CA,坡道平面,0,24.09,
RPXQMLOKQHNFFAO67CA,坡道平面,0,26.22,
RPXQMLOKQHNFFAO67CA,坡道平面,0,24.09,
RPVRMLOKQHNFFAO57CA,坡道平面,1060000,31.22,
RPPPMLPKQHNFFAO86CA,坡道平面,1200000,31.22,
RPQPMLPKQHNFFAO96CA,坡道平面,1300000,31.22,
RPXOMLPKQHNFFAO57CA,坡道平面,1300000,31.22,
RPTPMLPKQHNFFAO27CA,坡道平面,1300000,31.22,
RPOPMLPKQHNFFAO76CA,坡道平面,1200000,31.22,
RPSSMLOKQHNFFAO37CA,坡道平面,1200000,31.22,
RPQQMLPKQHNFFAO07CA,坡道平面,1200000,31.22,
RPPQMLQKQHNFFAO07CA,坡道平面,1200000,31.22,
RPRQMLQKQHNFFAO27CA,坡道平面,1200000,31.22,
RPSQMLQKQHNFFAO37CA,坡道平面,1200000,31.22,
RPUSMLQKQHNFFAO77CA,坡道平面,1300000,31.22,
RPRSMLQKQHNFFAO47CA,坡道平面,1200000,31.22,
RPQSMLQKQHNFFAO37CA,坡道平面,1300000,31.22,
RPTSMLQKQHNFFAO67CA,坡道平面,1300000,31.22,
RPSSMLQKQHNFFAO57CA,坡道平面,1200000,31.22,
RPXQMLQKQHNFFAO87CA,坡道平面,1300000,31.22,
RPVQMLQKQHNFFAO67CA,坡道平面,1200000,31.22,
RPORMLQKQHNFFAO07CA,坡道平面,1200000,31.22,
RPOSMLQKQHNFFAO17CA,坡道平面,1200000,31.22,
RPSRMLQKQHNFFAO47CA,坡道平面,1300000,31.22,
RPWRMLQKQHNFFAO87CA,坡道平面,1200000,31.22,
RPQRMLQKQHNFFAO27CA,坡道平面,1300000,31.22,
RPVRMLQKQHNFFAO77CA,坡道平面,1200000,31.22,
RPWSMLQKQHNFFAO97CA,坡道平面,1200000,31.22,
RPTRMLQKQHNFFAO57CA,坡道平面,1300000,31.22,
RPOTMLQKQHNFFAO27CA,坡道平面,0,31.22,
RPRTMLQKQHNFFAO57CA,坡道平面,1300000,31.22,
RPPTMLQKQHNFFAO37CA,坡道平面,1300000,31.22,
RPQTMLQKQHNFFAO47CA,坡道平面,1300000,31.22,
RPSTMLQKQHNFFAO67CA,坡道平面,1200000,31.22,
RPPNMLRKQHNFFAO86CA,坡道平面,1500000,31.22,
RPQNMLRKQHNFFAO96CA,坡道平面,1400000,31.22,
RPRNMLRKQHNFFAO07CA,坡道平面,1300000,31.22,
RPSNMLRKQHNFFAO17CA,坡道平面,1400000,31.22,
RPVPMLPKQHNFFAO47CA,坡道平面,1200000,31.22,
RPVOMLPKQHNFFAO37CA,坡道平面,1200000,31.22,
RPXPMLPKQHNFFAO67CA,坡道平面,1300000,31.22,
RPOQMLPKQHNFFAO86CA,坡道平面,1200000,31.22,
RPTNMLRKQHNFFAO27CA,坡道平面,1300000,31.22,
RPXNMLRKQHNFFAO67CA,坡道平面,1400000,31.22,
RPQRMLPKQHNFFAO17CA,坡道平面,1500000,39.38,
RPRRMLPKQHNFFAO27CA,坡道平面,1200000,31.22,
RPPRMLPKQHNFFAO07CA,坡道平面,1300000,31.22,
RPWNMLRKQHNFFAO57CA,坡道平面,1300000,31.22,
RPORMLPKQHNFFAO96CA,坡道平面,1300000,31.22,
RPROMLQKQHNFFAO07CA,坡道平面,1400000,31.22,
RPSOMLQKQHNFFAO17CA,坡道平面,1300000,31.22,
RPTOMLQKQHNFFAO27CA,坡道平面,1400000,31.22,
RPXOMLQKQHNFFAO67CA,坡道平面,1200000,31.22,
RPOPMLQKQHNFFAO86CA,坡道平面,1200000,31.22,
RPUOMLQKQHNFFAO37CA,坡道平面,0,31.22,
RPVOMLQKQHNFFAO47CA,坡道平面,1200000,31.22,
RPPPMLQKQHNFFAO96CA,坡道平面,1200000,31.22,
RPRPMLQKQHNFFAO17CA,坡道平面,1200000,31.22,
RPSPMLQKQHNFFAO27CA,坡道平面,1300000,31.22,
RPQPMLQKQHNFFAO07CA,坡道平面,1200000,31.22,
RPXPMLQKQHNFFAO77CA,坡道平面,1200000,31.22,
RPTPMLQKQHNFFAO37CA,坡道平面,1300000,31.22,
RPSRMLPKQHNFFAO37CA,坡道平面,1300000,31.22,
RPURMLPKQHNFFAO57CA,坡道平面,1300000,31.22,
RPPSMLPKQHNFFAO17CA,坡道平面,1300000,31.22,
RPXRMLPKQHNFFAO87CA,坡道平面,1400000,31.22,
RPTNMLQKQHNFFAO17CA,坡道平面,1200000,31.22,
RPUNMLQKQHNFFAO27CA,坡道平面,1200000,31.22,
RPSSMLPKQHNFFAO47CA,坡道平面,1300000,31.22,
RPRNMLQKQHNFFAO96CA,坡道平面,1200000,31.22,
RPQSMLPKQHNFFAO27CA,坡道平面,1200000,31.22,
RPPNMLQKQHNFFAO76CA,坡道平面,1200000,31.22,
RPQNMLQKQHNFFAO86CA,坡道平面,1200000,31.22,
RPOQMLQKQHNFFAO96CA,坡道平面,0,,
RPPOMLRKQHNFFAO96CA,坡道平面,1300000,31.22,
RPOOMLRKQHNFFAO86CA,坡道平面,1400000,31.22,
RPROMLRKQHNFFAO17CA,坡道平面,1300000,31.22,
RPQOMLRKQHNFFAO07CA,坡道平面,0,31.22,
RPSOMLRKQHNFFAO27CA,坡道平面,1350000,31.22,
RPTOMLRKQHNFFAO37CA,坡道平面,1400000,31.22,
RPRQMLLLQHNFFAO86CA,坡道平面,1200000,31.22,
RPSQMLLLQHNFFAO96CA,坡道平面,1400000,31.22,
RPTQMLLLQHNFFAO07CA,坡道平面,1300000,31.22,
RPUQMLLLQHNFFAO17CA,坡道平面,1400000,31.22,
RPWQMLLLQHNFFAO37CA,坡道平面,1350000,31.22,
RPXQMLLLQHNFFAO47CA,坡道平面,1300000,31.22,
RPQQMLLLQHNFFAO76CA,坡道平面,1400000,31.22,
RPOQMLLLQHNFFAO56CA,坡道平面,1300000,31.22,
RPPRMLLLQHNFFAO76CA,坡道平面,1300000,31.22,
RPRRMLLLQHNFFAO96CA,坡道平面,1400000,31.22,
RPORMLLLQHNFFAO66CA,坡道平面,1300000,31.22,
RPOSMLLLQHNFFAO76CA,坡道平面,1300000,31.22,
RPXRMLLLQHNFFAO57CA,坡道平面,1200000,31.22,
RPTRMLLLQHNFFAO17CA,坡道平面,1200000,31.22,
RPWRMLLLQHNFFAO47CA,坡道平面,1200000,31.22,
RPSRMLLLQHNFFAO07CA,坡道平面,1200000,31.22,
RPPNMLTKQHNFFAO07CA,坡道平面,0,38.96,
RPSNMLTKQHNFFAO37CA,坡道平面,0,,
RPQOMLLKQHNFFAO09CA,坡道平面,0,32.72,
RPPUMLOKQHNFFAO27CA,坡道平面,1400000,31.22,
RPTNMLNKQHNFFAO86CA,坡道平面,0,34.62,
RPQNMLPKQHNFFAO76CA,坡道平面,1500000,31.22,
RPQPMLNKQHNFFAO76CA,坡道平面,0,,
RPRPMLTLQHNFFAO57CA,坡道平面,0,,
RPTQMLQKQHNFFAO47CA,坡道平面,1200000,31.22,
RPXPMLLLQHNFFAO37CA,坡道平面,1300000,31.22,
RPTRMLSLQHNFFAO87CA,坡道平面,0,,
RPTRMLSLQHNFFAO87CA,坡道平面,0,,
RPUOMLRKQHNFFAO47CA,坡道平面,0,31.22,
RPRSMLPKQHNFFAO37CA,坡道平面,0,31.22,
RPTNMLTLQHNFFAO57CA,坡道平面,0,,
RPOPMLRKQHNFFAO96CA,坡道平面,1300000,31.22,
RPPPMLRKQHNFFAO07CA,坡道平面,1300000,31.22,
RPVOMLRKQHNFFAO57CA,坡道平面,1400000,31.22,
RPQPMLRKQHNFFAO17CA,坡道平面,1350000,31.22,
RPXOMLRKQHNFFAO77CA,坡道平面,1400000,31.22,
RPRPMLLLQHNFFAO76CA,坡道平面,0,33.07,
RPWNMLTKIINFFAO27EA,升降機械,1000000,8.76,
RPUOMLNKQHNFFAO07CA,坡道平面,0,33.58,
RPUOMLNKQHNFFAO07CA,坡道平面,0,33.58,
RPRTMLOKQHNFFAO37CA,坡道平面,520000,38.27,
RPOTMLOKQHNFFAO07CA,坡道平面,520000,38.27,
RPPTMLOKQHNFFAO17CA,坡道平面,480000,38.27,
RPVSMLOKQHNFFAO67CA,坡道機械,300000,19.13,
RPVSMLOKQHNFFAO67CA,坡道機械,300000,19.13,
RPRPMLOKQHNFFAO96CA,坡道平面,1050000,25.17,
RPTPMLOKQHNFFAO17CA,坡道平面,1000000,25.17,
RPOQMLOKQHNFFAO76CA,坡道平面,1100000,30.23,
RPWRMLOKQHNFFAO67CA,坡道平面,520000,38.27,
RPQSMLOKQHNFFAO17CA,坡道機械,280000,19.13,
RPQRMLOKQHNFFAO07CA,坡道機械,280000,19.13,
RPTRMLOKQHNFFAO37CA,坡道機械,270000,19.13,
RPRPMLRKQHNFFAO27CA,坡道平面,1300000,31.22,
RPQNMLTKOHNFFAO17EA,坡道平面,0,,
RPQNMLMJRHNFFAO09CA,坡道平面,0,,
RPSNMLSKOHNFFAO07CA,升降機械,0,,
RPTNMLNLPHNFFAO86CA,坡道機械,800000,7.00,
RPQOMLKKPHNFFAO88CA,坡道平面,0,26.22,
RPQOMLKKPHNFFAO88CA,坡道平面,0,26.22,
RPSNMLNJPHNFFAO56CA,坡道平面,0,32.71,
RPVQMLMJPHNFFAO07CA,坡道平面,1150000,33.55,
RPUQMLMJPHNFFAO96CA,坡道平面,1150000,33.55,
RPTRMLRJQHNFFAO77EA,坡道平面,1300000,25.24,
RPSRMLRJQHNFFAO67EA,坡道平面,1200000,25.24,
RPTOMLKLPHNFFAO66CA,坡道平面,0,8.27,
RPWNMLKKPHNFFAO76CA,坡道平面,0,,
RPTQMLSLOHNFFAO57CA,坡道平面,1200000,28.10,
RPQOMLTLOHNFFAO17CA,一樓平面,1000000,,
RPQPMLRLOHNFFAO07CA,坡道平面,0,,
RPPPMLRLPHNFFAO07CA,坡道平面,0,,
RPPPMLRLPHNFFAO07CA,坡道平面,0,,
RPPPMLRLPHNFFAO07CA,坡道平面,0,,
RPOQMLMJPHNFFAO98CA,坡道平面,1250000,29.29,
RPOQMLMJPHNFFAO98CA,坡道平面,1250000,29.29,
RPUPMLMJPHNFFAO86CA,坡道平面,1150000,29.29,
RPUPMLMJPHNFFAO86CA,坡道平面,1150000,29.29,
RPVPMLMJPHNFFAO96CA,坡道平面,1150000,29.29,
RPVPMLMJPHNFFAO96CA,坡道平面,1250000,29.29,
RPPQMLMJPHNFFAO09CA,坡道平面,1400000,33.07,
RPPQMLMJPHNFFAO09CA,坡道平面,1100000,33.07,
RPTPMLMJPHNFFAO76CA,坡道平面,1150000,29.29,
RPTPMLMJPHNFFAO76CA,坡道平面,1150000,29.29,
RPVOMLOJPHNFFAO07CA,坡道平面,0,29.83,
RPVOMLOJPHNFFAO07CA,坡道平面,0,29.83,
RPOOMLQJPHNFFAO56CA,坡道平面,0,,
RPOOMLQJPHNFFAO56CA,坡道平面,0,,
RPWNMLQJPHNFFAO27CA,坡道平面,0,,
RPWNMLQJPHNFFAO27CA,坡道平面,0,,
RPPOMLQJPHNFFAO66CA,坡道平面,0,,
RPPOMLQJPHNFFAO66CA,坡道平面,0,,
RPSPMLMJPHNFFAO66CA,其他,800000,,
RPRQMLKMPHNFFAO76CA,坡道平面,0,,
RPPQMLOJPHNFFAO66CA,坡道平面,0,30.35,
RPWQMLRLPHNFFAO87CA,坡道平面,0,,
RPQQMLSLOHNFFAO27CA,坡道平面,1200000,28.10,
RPUPMLSLOHNFFAO57CA,坡道平面,0,29.49,
RPQNMLQJPHNFFAO66CA,坡道平面,0,,
RPOPMLKKPHNFFAO78CA,坡道平面,0,21.68,
RPOPMLKKPHNFFAO78CA,坡道平面,0,21.68,
RPUOMLSKPHNFFAO47CA,坡道平面,0,,
RPSNMLPLPHNFFAO96CA,坡道平面,0,28.20,
RPSNMLPLPHNFFAO96CA,坡道平面,0,28.20,
RPSNMLPLPHNFFAO96CA,坡道平面,0,28.20,
RPSNMLPLPHNFFAO96CA,坡道平面,0,28.20,
RPSNMLPLPHNFFAO96CA,坡道平面,0,28.20,
RPWOMLTKPHNFFAO77CA,坡道平面,0,27.10,
RPUNMLNKPHNFFAO86CA,坡道平面,0,26.54,
RPUNMLKKPHNFFAO66DA,升降平面,0,,
RPXNMLPJPHNFFAO27CA,坡道平面,0,,
RPOOMLPJPHNFFAO09CA,一樓平面,0,,
RPPNMLQJPHNFFAO56CA,坡道平面,500000,29.03,
RPRPMLQJPHNFFAO96CA,其他,650000,,
RPQOMLKLPHNFFAO98CA,坡道平面,1200000,33.55,
RPQOMLNKPHNFFAO56CA,坡道平面,0,,
RPOOMLKKPHNFFAO68CA,坡道平面,0,,
RPXPMLKKPHNFFAO07CA,坡道平面,0,,
RPXQMLKKPHNFFAO17CA,升降機械,800000,17.74,
RPUQMLNKPHNFFAO17CA,坡道機械,0,6.99,
RPQOMLMKPHNFFAO09CA,坡道平面,1000000,,
RPQOMLMKPHNFFAO09CA,坡道平面,1000000,,
