編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLTLIIOFFEA58DA,坡道平面,0,,
RPQOMLOKIIOFFFA87CA,坡道平面,0,35.24,
RPVOMLPKIIOFFFA58DA,坡道平面,0,35.24,
RPQNMLSJJIOFFBA87DA,坡道機械,0,,
RPQOMLKMIIOFFFA77DA,坡道平面,0,,
RPQOMLKMIIOFFFA77DA,坡道機械,0,,
RPOOMLRKIIOFFFA08DA,坡道平面,0,35.24,
RPOOMLRKIIOFFFA08DA,塔式車位,0,17.62,
RPPNMLSKIIOFFAA57CA,坡道平面,2500000,23.01,
RPTNMLMLIIOFFFA08DA,坡道平面,0,,
RPPOMLNKJIOFFFA87DA,升降機械,1180000,,
RPOQMLLLIIOFFDA47CA,坡道平面,2950000,38.68,
RPUNMLKLIIOFFCA57CA,坡道平面,2500000,47.15,
RPWNMLTLIIOFFAA48CA,坡道平面,1450000,36.58,
RPSNMLRKIIOFFAA77CA,塔式車位,0,,
RPSNMLRKIIOFFAA77CA,塔式車位,0,,
RPQQMLRJJIOFFCA08CA,坡道平面,3000000,33.58,
RPWPMLLJJIOFFBA87CA,坡道平面,0,,
RPOQMLLJJIOFFBA17CA,坡道平面,0,,
RPTNMLNJJIOFFCA67CA,升降機械,0,,
RPVNMLKMIIOFFAA67DA,坡道平面,2000000,49.80,
RPPNMLKLIIOFFDA17CA,坡道平面,0,39.39,
RPSNMLMJJIOFFAA27CA,坡道平面,0,,
RPTOMLMLIIOFFEA08DA,坡道機械,775000,19.98,
RPXNMLOKJIOFFCA28CA,坡道平面,0,,
RPPNMLRLIIOFFFA18DA,坡道機械,1960000,19.04,
RPUNMLTLIIOFFEA68CA,坡道平面,2350000,38.73,
RPUPMLLJJIOFFBA67CA,坡道平面,0,,
RPTPMLLJJIOFFBA57CA,坡道平面,0,,
RPQQMLLJJIOFFBA37CA,坡道平面,0,,
RPTNMLNJJIOFFAA47CA,坡道機械,1100000,18.88,
RPTOMLKMIIOFFFA97CA,坡道平面,3000000,29.68,
RPSNMLKMIIOFFDA57CA,塔式車位,0,,
RPQOMLOLIIOFFBA57CA,坡道平面,0,34.74,
RPQPMLMLJIOFFEA87CA,坡道機械,0,,
RPOOMLPLIIOFFBA47CA,升降機械,770000,7.12,
RPQOMLOLIIOFFAA57DA,坡道平面,1900000,41.96,
RPXRMLLMIIOFFCA58DA,坡道平面,2500000,47.15,
RPVNMLSLIIOFFEA68CA,坡道平面,2000000,44.59,
RPXNMLSLIIOFFAA48CA,坡道平面,1800000,44.66,
RPWNMLPLIIOFFBA18CA,坡道平面,0,27.32,
RPQNMLPLIIOFFCA67CA,坡道平面,2330000,36.68,
RPQPMLPJKIOFFDA97CA,升降機械,1650000,20.76,
RPQSMLLMIIOFFCA87CA,坡道平面,2500000,30.84,
RPTNMLKMIIOFFDA67CA,坡道平面,0,44.61,
RPTNMLKMIIOFFDA67CA,坡道平面,0,44.61,
RPTNMLKMIIOFFDA67CA,坡道平面,0,44.61,
RPWRMLNJKIOFFCA48CA,坡道平面,1550000,36.68,
RPXNMLTKJIOFFCA78CA,坡道平面,0,37.73,
RPXNMLTKJIOFFCA78CA,坡道平面,0,37.73,
