編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLMKQHOFFCA08CC,德惠段四小段,.00,都市：商,,,,02280000
RPPNMLLKQHOFFCA97CC,文德段五小段,.00,都市：其他:科技工業區(A區),,,,00050000
RPXOMLMKQHOFFCA98CC,中山段三小段,29.42,都市：商,,,,06640000
RPSOMLMKQHOFFCA48CC,金泰段,.00,都市：商,,,,00830004
RPSPMLMKQHOFFCA58CC,吉林段二小段,135.00,都市：其他:第參種商業區,,,,03480000
RPWQMLMKQHOFFCA09CC,長安段一小段,.00,都市：商,,,,04060000
RPUPMLMKQHOFFCA78CC,長春段二小段,.00,都市：住,,,,07870001
RPRQMLMKQHOFFCA58CC,吉林段三小段,.00,都市：商,,,,10360000
RPUPMLMKQHOFFCA78CC,長春段二小段,.00,都市：住,,,,07870003
RPTNMLMKQHOFFDA58CC,雅祥段四小段,.00,都市：商,,,,08210000
RPUOMLMKQHOFFCA68CC,康寧段三小段,.00,都市：商,,,,02640000
RPPOMLMKQHOFFDA28CC,永春段二小段,.00,都市：住,,,,02380015
RPSOMLMKQHOFFDA58CC,吳興段二小段,25.12,都市：住,,,,02310000
RPVNMLMKQHOFFDA78CC,福德段三小段,.00,都市：住,,,,00900002
RPVNMLMKQHOFFDA78CC,福德段三小段,.00,都市：住,,,,00920002
RPVNMLMKQHOFFDA78CC,福德段三小段,.00,都市：住,,,,00970000
RPQOMLMKQHOFFDA38CC,敦化段二小段,.00,都市：商,,,,02740000
RPWNMLMKQHOFFDA88CC,南港段二小段,.00,都市：商,,,,02410000
RPTOMLMKQHOFFDA68CC,三興段一小段,30.75,都市：住,,,,02340000
RPUOMLMKQHOFFDA78CC,祥和段三小段,33.25,都市：住,,,,03020000
RPWOMLMKQHOFFEA09CC,秀山段一小段,.00,都市：住,,,,07230000
RPTOMLMKQHOFFEA78CC,天母段三小段,.00,都市：商,,,,02630000
RPTOMLMKQHOFFEA78CC,天母段三小段,.00,都市：商,,,,02630001
RPTOMLMKQHOFFEA78CC,天母段三小段,.00,都市：商,,,,02630002
RPTOMLMKQHOFFEA78CC,天母段三小段,.00,都市：商,,,,02630003
RPTOMLMKQHOFFEA78CC,天母段三小段,.00,都市：商,,,,02630004
RPWOMLMKQHOFFDA98CC,敦化段一小段,108.32,都市：其他:敦化南北路特定專用區,,,,04090000
RPRPMLMKQHOFFEA68CC,天母段二小段,.00,都市：住,,,,00070000
RPWNMLMKQHOFFBA68CC,華江段三小段,.00,都市：其他:特定專用區(一)。,,,,03920000
RPPNMLMKQHOFFBA97CC,雙連段二小段,.00,都市：商,,,,04620000
RPPNMLMKQHOFFBA97CC,雙連段二小段,.00,都市：商,,,,05160000
RPOOMLMKQHOFFBA97CC,中正段一小段,.00,都市：住,,,,03250000
RPXNMLMKQHOFFBA78CC,雙連段一小段,.00,都市：商,,,,06800000
RPQOMLMKQHOFFBA18CC,臨沂段一小段,.00,都市：其他:資訊產業專用區,,,,00210000
RPSPMLMKQHOFFAA38CC,政大段四小段,.00,都市：住,,,,03110000
RPQOMLMKQHOFFBA18CC,臨沂段一小段,.00,都市：其他:資訊產業專用區,,,,00210001
RPUOMLMKQHOFFBA58CC,橋北段三小段,.00,都市：住,,,,00040000
RPPNMLMKQHOFFAA87CC,景美段三小段,.00,都市：住,,,,03360000
RPTNMLMKQHOFFFA78CC,通化段一小段,.00,都市：商,,,,01710000
RPSNMLMKQHOFFFA68CC,仁愛段五小段,.00,都市：商,,,,02540000
